"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL33","A01",205,2.61,39.22,66.47,"west"
"NL32","A01",58,1.16,47.09,66.47,"west"
"NL31","A01",37,1.08,41.78,66.47,"west"
"NL23","A01",12,3.11,52.3,66.47,"west"
"NL32","A21",18,5.42,73.89,61.48,"west"
"NL33","A21",8,1.54,63.61,61.48,"west"
"NL31","A21",4,1.75,71.94,61.48,"west"
"NL23","A21",0,0,67.5,61.48,"west"
"NL32","A22",20,8.43,45.28,73.99,"west"
"NL23","A22",0,0,47.23,73.99,"west"
"NL31","A22",2,1.23,45.6,73.99,"west"
"NL33","A22",9,2.43,35.83,73.99,"west"
"NL32","A23",74,2.51,80.62,54.42,"west"
"NL33","A23",125,2.71,61.48,54.42,"west"
"NL23","A23",12,5.29,37.14,54.42,"west"
"NL31","A23",129,6.38,68.4,54.42,"west"
"NL32","A24",8,0.52,36.06,47.69,"west"
"NL33","A24",6,0.25,13.05,47.69,"west"
"NL31","A24",0,0,32.52,47.69,"west"
"NL23","A24",0,0,34.07,47.69,"west"
"NL33","A41",6,0.82,9.02,63.5,"west"
"NL23","A41",0,0,45.86,63.5,"west"
"NL31","A41",4,1.25,31.36,63.5,"west"
"NL32","A41",5,1.07,40.09,63.5,"west"
"NL23","A42",1,8.93,19.87,56.03,"west"
"NL31","A42",0,0,45.79,56.03,"west"
"NL32","A42",3,2.06,47.47,56.03,"west"
"NL33","A42",0,0,14.14,56.03,"west"
"NL33","A43",1,0.17,14.07,72.75,"west"
"NL23","A43",0,0,42.96,72.75,"west"
"NL32","A43",5,1.3,49.5,72.75,"west"
"NL31","A43",3,1.14,41.21,72.75,"west"
"NL33","A44",2,0.46,8.68,71.52,"west"
"NL23","A44",0,0,26.82,71.52,"west"
"NL31","A44",2,1.04,24.06,71.52,"west"
"NL32","A44",1,0.36,45.56,71.52,"west"
"NL31","A45",2,0.39,33.39,62.96,"west"
"NL32","A45",8,1.07,39.8,62.96,"west"
"NL23","A45",1,1.74,27.96,62.96,"west"
"NL33","A45",8,0.68,11.68,62.96,"west"
"NL33","A46",3,0.61,8.96,66.35,"west"
"NL32","A46",0,0,59.66,66.35,"west"
"NL31","A46",0,0,29.97,66.35,"west"
"NL23","A46",0,0,45.94,66.35,"west"
"NL23","A47",2,0.61,44.25,76.72,"west"
"NL31","A47",61,2.08,34.75,76.72,"west"
"NL33","A47",55,0.82,28.08,76.72,"west"
"NL32","A47",47,1.1,44.83,76.72,"west"
"NL23","A61",17,0.85,50.2,37.95,"west"
"NL31","A61",334,1.88,46.88,37.95,"west"
"NL32","A61",289,1.12,56.09,37.95,"west"
"NL33","A61",388,0.96,49.65,37.95,"west"
"NL23","A62",1,2.11,39.33,67.05,"west"
"NL33","A62",5,0.52,33.2,67.05,"west"
"NL31","A62",3,0.71,44.66,67.05,"west"
"NL32","A62",2,0.33,53.36,67.05,"west"
"NL23","A63",0,0,28.7,44.98,"west"
"NL32","A63",18,1.99,48.99,44.98,"west"
"NL33","A63",16,1.13,15.17,44.98,"west"
"NL31","A63",4,0.65,28.34,44.98,"west"
"NL23","B01",7,1.38,49.49,57.41,"west"
"NL31","B01",68,1.5,48.34,57.41,"west"
"NL33","B01",104,1.01,53.26,57.41,"west"
"NL32","B01",98,1.49,50.57,57.41,"west"
"NL23","B02",0,0,37.06,87.93,"west"
"NL31","B02",0,0,39.63,87.93,"west"
"NL32","B02",0,0,42.89,87.93,"west"
"NL33","B02",2,0.38,53.61,87.93,"west"
"NL23","B03",0,0,48.38,66.29,"west"
"NL31","B03",1,0.61,51.62,66.29,"west"
"NL33","B03",7,1.86,58.11,66.29,"west"
"NL32","B03",2,0.83,42.97,66.29,"west"
"NL23","B04",0,0,38.61,73.66,"west"
"NL33","B04",1,0.31,52.12,73.66,"west"
"NL31","B04",2,1.4,44.02,73.66,"west"
"NL32","B04",4,1.92,52.12,73.66,"west"
"NL23","B05",3,2.23,53.15,86.94,"west"
"NL32","B05",28,1.6,45.04,86.94,"west"
"NL31","B05",9,0.75,30.84,86.94,"west"
"NL33","B05",23,0.84,27,86.94,"west"
"NL23","B06",0,0,29.81,65.31,"west"
"NL32","B06",2,0.86,46.58,65.31,"west"
"NL31","B06",2,1.25,15.84,65.31,"west"
"NL33","B06",14,3.83,30.43,65.31,"west"
"NL23","B07",0,0,33.33,83.71,"west"
"NL33","B07",6,1.14,37.5,83.71,"west"
"NL31","B07",2,0.87,43.52,83.71,"west"
"NL32","B07",3,0.89,44.21,83.71,"west"
"NL23","B08",1,1.89,40.61,84.85,"west"
"NL32","B08",5,0.72,45.91,84.85,"west"
"NL31","B08",3,0.63,34.85,84.85,"west"
"NL33","B08",7,0.65,37.58,84.85,"west"
"NL33","B09",7,2.47,44.22,67.32,"west"
"NL32","B09",4,2.21,33.33,67.32,"west"
"NL23","B09",0,0,47.11,67.32,"west"
"NL31","B09",2,1.61,28.22,67.32,"west"
"NL33","B21",3,0.16,17.81,98.05,"west"
"NL23","B21",0,0,38.49,98.05,"west"
"NL31","B21",0,0,20.55,98.05,"west"
