name,abstract,url,clean_infobox,Website,Founded,Headquarters,Founders,Industry,Employees
AI21 Labs,"AI21 Labs is an Israeli company specializing in Natural Language Processing (NLP), which develops AI systems that can understand and generate natural language.",https://en.wikipedia.org/wiki/AI21_Labs,"{'logo': 'AI21-Labs-Logo.jpg', 'industry': 'AI', 'founded': '2017', 'founder': 'Yoav Shoham, Ori Goshen, Amnon Shashua', 'hq_location_city': 'Tel Aviv', 'products': 'Jurassic-1, Jurassic-2, Wordtune', 'website': 'https://ai21.com'}",https://ai21.com,2017,Tel Aviv,"Yoav Shoham, Ori Goshen, Amnon Shashua",AI,
Aleph Alpha,"Aleph Alpha is an independent German artificial intelligence (AI) startup company in Heidelberg, founded by professionals with experience as employees of Apple, SAP and Deloitte. Aleph Alpha attempts to provide a full-stack sovereign technology stack for generative AI, independent from US companies and comply with European data protection regulations and the AI Act. It built one of the most powerful AI clusters inside its own data centre and develops large language models (LLM), which try to provide transparency of its sources used for the results generated and are intended for enterprises and governmental agencies only. Training of its model has been done in five European languages.",https://en.wikipedia.org/wiki/Aleph_Alpha,"{'name': 'Aleph Alpha GmbH', 'logo': 'File:Logo Aleph Alpha.svg', 'type': 'Private', 'industry': 'Artificial intelligence', 'founded': '2019', 'founders': ['Jonas Andrulis', 'Samuel Weinbach'], 'hq_location': 'Heidelberg, Germany', 'products': 'Luminous LLM', 'website': 'https://aleph-alpha.com'}",https://aleph-alpha.com,2019,"Heidelberg, Germany","['Jonas Andrulis', 'Samuel Weinbach']",Artificial intelligence,
Anthropic,"Anthropic PBC is a U.S.-based artificial intelligence (AI) startup company, founded in 2021, researching artificial intelligence as a public-benefit company to develop AI systems to “study their safety properties at the technological frontier” and use this research to deploy safe, reliable models for the public. Anthropic has developed a family of large language models (LLMs) named Claude as a competitor to OpenAI’s ChatGPT and Google’s Gemini. Anthropic was founded by former members of OpenAI, Daniela Amodei and Dario Amodei. In September 2023, Amazon announced an investment of up to $4 billion, followed by a $2 billion commitment from Google in the following month.",https://en.wikipedia.org/wiki/Anthropic,"{'name': 'Anthropic PBC', 'logo': 'Anthropic logo.svg', 'logo_size': '260px', 'type': 'Private', 'industry': 'Artificial intelligence', 'founded': '2021', 'founders': ['Daniela Amodei', 'Dario Amodei', 'Jack Clark', 'Jared Kaplan'], 'hq_location': 'San Francisco, California, U.S.', 'products': 'Claude', 'num_employees': '375 (2024)', 'website': 'https://www.anthropic.com/'}",https://www.anthropic.com/,2021,"San Francisco, California, U.S.","['Daniela Amodei', 'Dario Amodei', 'Jack Clark', 'Jared Kaplan']",Artificial intelligence,375 (2024)
Australian Artificial Intelligence Institute,"In Australia, the Australian Artificial Intelligence Institute (Australian AI Institute, AAII, or A2I2) was a government-funded research and development laboratory for investigating and commercializing Artificial Intelligence, specifically Intelligent Software Agents.",https://en.wikipedia.org/wiki/Australian_Artificial_Intelligence_Institute,"{'name': 'Australian Artificial Intelligence Institute', 'logo': 'Australian Artificial Intelligence Institute logo.jpg', 'type': 'Privately held company Pty. Ltd.', 'industry': 'Intelligent agent', 'foundation': '1988 Australia', 'location': 'Australia'}",,1988 Australia,,,Intelligent agent,
Berkshire Grey,"Berkshire Grey, Inc. is an American technology company based in Bedford Massachusetts that develops integrated artificial intelligence (“AI"") and robotic solutions for e-commerce, retail replenishment, and logistics. The company's systems automate pick, pack and sort operations. Berkshire Grey was founded by a group of 20 PhD's in the fields of embedded systems to motion planning. ",https://en.wikipedia.org/wiki/Berkshire_Grey,"{'name': 'Berkshire Grey, Inc.', 'logo': 'Berkshire Grey logo 2022.svg', 'type': 'Public', 'traded_as': 'NASDAQ|BGRY', 'industry': 'Robotics and artificial intelligence', 'foundation': '2013', 'location_city': 'Bedford, Massachusetts, United States', 'founder': 'Tom Wagner', 'key_people': 'Tom Wagner, Chairman & CEO', 'revenue': ""US$50.852 Million ('Fiscal Year Ended December 31, 2021')"", 'operating_income': ""US$&minus;164.339 Million ('Fiscal Year Ended December 31, 2021')"", 'net_income': ""US$&minus;153.380 Million ('Fiscal Year Ended December 31, 2021')"", 'assets': ""US$216.684 Million ('Fiscal Year Ended December 31, 2021')"", 'equity': ""US$144.231 Million ('Fiscal Year Ended December 31, 2021')"", 'num_employees': '400 (December 2021)', 'homepage': 'https://www.berkshiregrey.com/'}",https://www.berkshiregrey.com/,2013,"Bedford, Massachusetts, United States",Tom Wagner,Robotics and artificial intelligence,400 (December 2021)
Blue Prism,"Blue Prism is the trading name of the Blue Prism Group plc, a British multinational software corporation that pioneered and makes enterprise robotic process automation (RPA) software that provides a digital workforce designed to automate complex, end-to-end operational activities. In March 2022, Blue Prism was acquired by SS&C Technologies. Blue Prism's headquarters are at 2 Cinnamon Park Crab Lane Warrington WA2 0XP, UK with regional offices in the U.S. and Australia. The company was listed on the London Stock Exchange AIM market until its acquisition.",https://en.wikipedia.org/wiki/Blue_Prism,"{'name': 'Blue Prism Group plc', 'logo': 'SSC-blueprism-2col-logo-rgb.svg', 'logo_caption': 'SS&C / Blue Prism merged logo', 'type': 'Subsidiary', 'parent': 'SS&C Technologies', 'founders': ['David Moss', 'Alastair Bathgate'], 'key_people': 'David Moss (CTO)', 'industry': 'Software', 'products': ['Robotic Process Automation|RPA tools', 'Automation tools'], 'revenue': '£141.4 million (2020)', 'num_employees': '1,005 (2020)', 'homepage': 'https://www.blueprism.com/', 'foundation': '2001-07-26', 'location_country': 'Warrington, UK'}",https://www.blueprism.com/,7/26/2001,"Warrington, UK","['David Moss', 'Alastair Bathgate']",Software,"1,005 (2020)"
Caper AI,"Caper is a software technology company that develops and deploys AI-powered automated checkout devices as well as AI-based software applications for retailers, grocers, convenience stores and other general merchandising store formats. Caper AI was established in 2016 by Lindon Gao, York Yang, Yilin Huang and Ahmed Beshry. It is headquartered in Manhattan, NY. In October 2021, American retail delivery company Instacart acquired Caper for $350 million.",https://en.wikipedia.org/wiki/Caper_AI,"{'name': 'Caper', 'logo': 'Caper by Instacart logo.svg', 'type': 'Subsidiary', 'industry': 'Retail software, AI technologies in retail', 'parent': 'Instacart', 'founded': 2016, 'location': 'New York, US', 'key_people': 'Lindon Gao (CEO), York Yang, Yilin Huang, Ahmed Beshry', 'area_served': 'US and Canada', 'services': 'Autonomous checkout software', 'website': 'https://www.caper.ai'}",https://www.caper.ai,2016,,"Lindon Gao (CEO), York Yang, Yilin Huang, Ahmed Beshry","Retail software, AI technologies in retail",
Cerence,Cerence Inc. is an American multinational software company that develops artificial intelligence (AI) assistant technology primarily for automobiles.,https://en.wikipedia.org/wiki/Cerence,"{'name': 'Cerence Inc.', 'logo': 'Cerence logo h color.png', 'type': 'Public company', 'traded_as': 'NASDAQ|CRNC|S&P 600 component', 'industry': 'Artificial intelligence|Automotive', 'predecessor': 'Nuance Communications (automotive division)', 'founded': '{{Start date and age|2019}}', 'hq_location': 'Burlington, Massachusetts, U.S.', 'key_people': 'Stefan Ortmanns (Chief executive officer|CEO),Arun Sarin (chairman)', 'products': 'Automotive AI, Voice assistant technology', 'revenue': 'US$|328 million|link=yes (2022)', 'operating_income': 'US$|184 million (2022)', 'net_income': 'US$|311 million (2022)', 'assets': 'US$|1.32 billion (2022)', 'equity': 'US$|713 million (2022)', 'num_employees': 'circa|1,700', 'num_employees_year': '2022', 'website': 'cerence.com', 'footnotes': 'cite web |url=https://www.sec.gov/ix?doc=/Archives/edgar/data/1768267/000095017022025785/crnc-20220930.htm |title=Cerence Inc. 2022 Annual Report (Form 10-K) |date=November 29, 2022 |publisher=U.S. Securities and Exchange Commission,cite news |last=Maffei |first=Lucia |date=December 15, 2021 |title=Cerence CEO is the latest public tech company chief to resign |url=https://www.bizjournals.com/boston/news/2021/12/15/cerence-ceo-resigns.html |work=Boston Business Journal |location= |access-date=December 17, 2021'}",cerence.com,{{Start date and age|2019}},"Burlington, Massachusetts, U.S.","Stefan Ortmanns (Chief executive officer|CEO),Arun Sarin (chairman)",Artificial intelligence|Automotive,"circa|1,700"
Cohere,"Cohere Inc. is a Canadian multinational technology company focused on artificial intelligence for the enterprise, specializing in large language models. Cohere was founded in 2019 by Aidan Gomez, Ivan Zhang, and Nick Frosst, and is headquartered in Toronto and San Francisco, with offices in Palo Alto, London, and New York City.",https://en.wikipedia.org/wiki/Cohere,"{'name': 'Cohere Inc.', 'logo': 'File:Cohere logo.svg', 'type': 'Private', 'industry': ['Natural language processing', 'Artificial intelligence'], 'foundation': '{{Start date and age|2019}}', 'founders': ['Aidan Gomez', 'Ivan Zhang', 'Nick Frosst'], 'key_people': ['Aidan Gomez (CEO)', 'Martin Kon (president & COO)', 'Jaron Waldman (CPO)'], 'location_city': ['Toronto, Ontario', 'San Francisco, California'], 'num_employees': ""300 (2024)<ref>{{Cite web |last=Bratton |first=Laura |date=March 1, 2024 |title=Canada's leading AI startup is taking its talents to New York |url=https://qz.com/cohere-ai-new-york-city-offices-1851300850 |work=Quartz}}</ref>"", 'homepage': 'https://cohere.com/'}",https://cohere.com/,{{Start date and age|2019}},"['Toronto, Ontario', 'San Francisco, California']","['Aidan Gomez', 'Ivan Zhang', 'Nick Frosst']","['Natural language processing', 'Artificial intelligence']","300 (2024)<ref>{{Cite web |last=Bratton |first=Laura |date=March 1, 2024 |title=Canada's leading AI startup is taking its talents to New York |url=https://qz.com/cohere-ai-new-york-city-offices-1851300850 |work=Quartz}}</ref>"
Colloquis,"Colloquis, previously known as ActiveBuddy and Conversagent, was a company that created conversation-based interactive agents originally distributed via instant messaging platforms. The company had offices in New York, New York, and Sunnyvale, California.",https://en.wikipedia.org/wiki/Colloquis,"{'name': 'Colloquis', 'type': 'Subsidiary', 'industry': 'Software Development', 'predecessor': ['ActiveBuddy', 'Conversagent'], 'founded': '2000', 'founder': ['Peter Levitan', 'Robert Hoffer', 'Timothy Kay'], 'products': ['SmarterChild'], 'parent': 'Microsoft Corporation'}",,2000,,"['Peter Levitan', 'Robert Hoffer', 'Timothy Kay']",Software Development,
