country,imf_gdp_forecast_2025
World,115494312.00
United States,30337162.00
China,19534894.00
Germany,4921563.00
Japan,4389326.00
India,4271922.00
United Kingdom,3730261.00
France,3283429.00
Italy,2459597.00
Canada,2330308.00
Brazil,2307162.00
Russia,2195708.00
South Korea,1947133.00
Australia,1881140.00
Spain,1827576.00
Mexico,1817818.00
Indonesia,1492618.00
Turkey,1455413.00
Netherlands,1272960.00
Saudi Arabia,1136580.00
Switzerland,999604.00
Poland,915451.00
Taiwan,814438.00
Belgium,689364.00
Sweden,638780.00
Argentina,604201.00
Ireland,587225.00
United Arab Emirates,568567.00
Singapore,561725.00
Austria,559218.00
Israel,550905.00
Thailand,545341.00
Philippines,507670.00
Vietnam,506600.00
Norway,503466.00
Malaysia,488250.00
Bangladesh,481856.00
Iran,478100.00
Denmark,432228.00
Hong Kong,422057.00
Colombia,419331.00
South Africa,418046.00
Romania,406202.00
Pakistan,393100.00
Chile,362240.00
Czech Republic,360233.00
Egypt,345800.00
Finland,319989.00
Portugal,319934.00
Hungary,312619.00
Kazakhstan,306629.00
Peru,294898.00
Iraq,270874.00
Greece,265171.00
Algeria,264270.00
New Zealand,262924.00
Qatar,240217.00
Ethiopia,238800.00
Nigeria,199720.00
Ukraine,189827.00
Morocco,168597.00
Kuwait,161950.00
Slovakia,142617.00
Dominican Republic,126238.00
Uzbekistan,125511.00
Bulgaria,123425.00
Ecuador,121425.00
Puerto Rico,120971.00
Kenya,116321.00
Angola,113286.00
Guatemala,112369.00
Oman,110993.00
Venezuela,106327.00
Costa Rica,95149.00
Luxembourg,91210.00
Croatia,89665.00
Panama,87347.00
Ivory Coast,86993.00
Sri Lanka,74846.00
Turkmenistan,83883.00
Lithuania,82789.00
Uruguay,82605.00
Serbia,82550.00
Tanzania,79867.00
Azerbaijan,75649.00
Ghana,75307.00
Slovenia,73198.00
Belarus,73129.00
DR Congo,72483.00
Myanmar,64284.00
Uganda,55587.00
Macau,55447.00
Cameroon,53391.00
Jordan,53305.00
Tunisia,52636.00
Cambodia,51159.00
Bolivia,48172.00
Bahrain,47812.00
Latvia,45521.00
Paraguay,44937.00
Libya,44812.00
Nepal,43673.00
Estonia,43044.00
Honduras,36735.00
Zimbabwe,35919.00
El Salvador,35848.00
Cyprus,34790.00
Senegal,33685.00
Georgia,33191.00
Iceland,32919.00
Papua New Guinea,31716.00
Sudan,30873.00
Zambia,29872.00
Bosnia and Herzegovina,29078.00
Trinidad and Tobago,28365.00
Guinea,25447.00
Albania,25431.00
Armenia,25408.00
Haiti,24046.00
Mozambique,22975.00
Malta,22737.00
Mongolia,21943.00
Burkina Faso,21902.00
Mali,21662.00
Botswana,21418.00
Benin,21371.00
Guyana,21178.00
Gabon,21013.00
Jamaica,20098.00
Nicaragua,18829.00
Niger,18816.00
Chad,18697.00
Palestine,18602.00
Moldova,18356.00
Lebanon,21780.00
Yemen,16940.00
Madagascar,16465.00
Mauritius,16359.00
Brunei,15988.00
North Macedonia,15873.00
Kyrgyzstan,15770.00
Congo,15501.00
Laos,15190.00
Afghanistan,14467.00
Bahamas,14390.00
Rwanda,13701.00
Tajikistan,13000.00
Somalia,12804.00
Namibia,12765.00
Kosovo,11318.00
Malawi,11241.00
Equatorial Guinea,10708.00
Mauritania,10628.00
Togo,9832.00
Montenegro,8010.00
Maldives,7199.00
Barbados,6863.00
South Sudan,6517.00
Fiji,5801.00
Eswatini,5085.00
Liberia,4754.00
Sierra Leone,4558.00
Djibouti,4364.00
Suriname,4337.00
Aruba,4069.00
Andorra,3897.00
Belize,3296.00
Bhutan,3110.00
Burundi,3075.00
Central African Republic,2810.00
Cape Verde,2718.00
Gambia,2694.00
Saint Lucia,2582.00
Lesotho,2395.00
Seychelles,2203.00
Guinea-Bissau,2151.00
Antigua and Barbuda,2127.00
San Marino,2033.00
Timor-Leste,1992.00
Solomon Islands,1707.00
Comoros,1422.00
Grenada,1406.00
Vanuatu,1289.00
Saint Kitts and Nevis,1134.00
Saint Vincent and the Grenadines,1128.00
Samoa,1024.00
São Tomé and Príncipe,751.00
Dominica,708.00
Tonga,581.00
Micronesia,484.00
Kiribati,311.00
Palau,308.00
Marshall Islands,305.00
Nauru,161.00
Tuvalu,66.00
