Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Hub Tags,Full Description,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
DevRev,https://www.crunchbase.com/organization/devrev,"Artificial Intelligence (AI), CRM, Customer Service, Developer APIs, Developer Platform, Software","Palo Alto, California, United States",DevRev offers a cloud-based solution for both customer support and software development.,28,"San Francisco Bay Area, Silicon Valley, West Coast",,,$10M to $50M,Active,2020-10-20,day,,,,,For Profit,https://devrev.ai,https://twitter.com/devrev,,https://www.linkedin.com/company/devrev,contacts@devrev.ai,,33,,,"DevRev is a business software startup focused on bringing developers closer to customers and revenue. The company aims to empower developers by integrating development and customer relationship management (CRM) in a product-led growth (PLG) model. This approach seeks to break down the silos between developers and end-users, allowing for direct collaboration and communication, thereby enhancing customer-centric product development​. Unlike horizontal CRMs, DevRev takes a blank canvas approach to collaboration, AI, and analytics, enabling SaaS companies to increase product velocity and reduce customer churn. DevRev is used by thousands of companies in search of low latency analytics and customizable LLMs to thrive in this era of GenAI.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Sales and Marketing, Science and Engineering, Software",2,"Dheeraj Pandey, Manoj Agarwal",251-500,4,Early Stage Venture,2024-08-09,100825173,USD,100825173,Series A,100825173,USD,100825173,Series A,150825173,USD,150825173,150825173,USD,150825173,"Param Hansa Values, Khosla Ventures, Alumni Ventures, Mayfield Fund, Ballistic Ventures",4,13
Cowbell,https://www.crunchbase.com/organization/cowbell-cyber-inc,"Artificial Intelligence (AI), FinTech, Insurance, InsurTech, Risk Management","Pleasanton, California, United States",Cowbell provides adaptive cyber insurance for small and medium-sized enterprises using AI-driven risk assessment.,44,"San Francisco Bay Area, West Coast, Western US","South Asian Founded, South Asian Led",94566,$10M to $50M,Active,2019-01-03,day,,,,,For Profit,https://cowbell.insure,https://twitter.com/CowbellCyber,http://facebook.com/cowbellcyber,https://www.linkedin.com/company/cowbell-cyber,hello@cowbellcyber.ai,833-633-8666,"1,197",,,"Cowbell is a cyber insurance company for small and medium-sized enterprises (SMEs), providing adaptive cyber insurance with coverage that evolves with today's and tomorrow's threats. Cowbell offers specialized standalone cyber coverage tailored to the unique needs of each business. Its innovative approach utilizes AI for continuous risk assessment and underwriting, providing policyholders with a comprehensive, closed-loop risk management solution that includes risk prevention, mitigation, incident preparedness, and response services.",2,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",4,"Jack Kudale, Prab Reddy, Rajeev Gupta, Trent Cooksley",101-250,5,Late Stage Venture,2024-07-26,60000000,USD,60000000,Series C,60000000,USD,60000000,Series C,208300000,USD,208300000,208300000,USD,208300000,"Permira, PruVen Capital, Holmes Murphy, Zurich Insurance Group, Prosperity7 Ventures",5,16
Apple,https://www.crunchbase.com/organization/apple,"Artificial Intelligence (AI), Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables","Cupertino, California, United States","Apple is a corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",44,"San Francisco Bay Area, Silicon Valley, West Coast",,95014,$10B+,Active,1976-04-01,day,1980-12-12,day,,,For Profit,http://www.apple.com,https://www.twitter.com/apple,https://www.facebook.com/apple,http://www.linkedin.com/company/apple,,408-996-1010,"87,048",Yes,,"Apple is a corporation that designs, manufactures, and markets mobile communication and media devices, personal computers, portable digital music players, and sells a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. Apple provides many products and services, including iPhone; iPad; iPod; Mac; Apple TV; a portfolio of consumer and professional software applications; the iOS and OS X operating systems; iCloud; and accessories, service, and support offerings.  It sells its products worldwide through its retail stores, online stores, direct sales force and third-party cellular network carriers, wholesalers, retailers, and value-added resellers to the consumer and also sells third-party iPhone, iPad, Mac and iPod compatible products, including application software and accessories through its online and retail stores. Introduced in 1984, the Macintosh was the first widely sold personal computer with a graphical user interface (GUI). That feature and others such as an improved floppy drive design and a low-cost hard drive that made data retrieval faster helped Apple cultivate a reputation for innovation. Apple was named as the most admired company in the United States in 2008 and in the world from 2008 to 2012 by the Fortune magazine. The company was founded by Steven Paul Jobs, Steve Wozniak, and Ronald Gerald Wayne on April 1, 1976, and is headquartered in Cupertino, California.",5,,,28,30,20,2,14,12,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Mobile, Platforms, Science and Engineering, Software",3,"Ron Wayne, Steve Jobs, Steve Wozniak",10001+,7,IPO,2021-04-30,,,,Post-IPO Equity,,,,Post-IPO Equity,1155230000,USD,1155230000,1170230000,USD,1170230000,"Berkshire Hathaway, Microsoft, Sequoia Capital, Matrix, Venrock",3,8
Pendo,https://www.crunchbase.com/organization/pendo-io,"Analytics, Artificial Intelligence (AI), Enterprise Software, Product Design, Product Management, SaaS","Raleigh, North Carolina, United States",Pendo is a product experience platform that specializes in software usage analytics and digital adoption solutions.,94,"Research Triangle, East Coast, Southern US",,27601,$100M to $500M,Active,2013-10-01,month,,,,,For Profit,http://www.pendo.io,https://www.twitter.com/pendoio,https://www.facebook.com/pendoio,https://www.linkedin.com/company/pendo-io,help@pendo.io,877.320.8484,150,,Unicorn,"Pendo provides a platform for product managers and teams to better understand how their users interact with their software products Pendo’s product experience platform allows companies to make product intelligence actionable with speed and scale, giving rise to a new generation of companies that put products at the center of everything. Pendo customers include the world’s leading companies, including Verizon, Morgan Stanley, LabCorp, OpenTable, Okta, Salesforce, and Zendesk. Through Mind the Product and customer communities, sponsored events and podcasts, Pendo aims to support the success of product and digital leaders everywhere. Pendo is headquartered in Raleigh, North Carolina and has offices around the world.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Other, Science and Engineering, Software",4,"Eric Boduch, Erik Troan, Rahul Jain, Todd Olson",501-1000,12,,2024-08-13,9912849,USD,9912849,Venture - Series Unknown,9912849,USD,9912849,Venture - Series Unknown,366912849,USD,366912849,479412849,USD,479412849,"B Capital, Tiger Global Management, Meritech Capital Partners, General Atlantic, Spark Capital",8,17
Skild AI,https://www.crunchbase.com/organization/skild-ai,"Artificial Intelligence (AI), Information Technology, Robotics","Pittsburgh, Pennsylvania, United States",Skild AI is a startup that develops software to power various robots.,120,"Great Lakes, Northeastern US",,,,Active,2023-01-01,year,,,,,For Profit,https://www.skild.ai,https://twitter.com/SkildAI,,https://www.linkedin.com/company/skild-ai,,,17,,Unicorn,Skild AI is a startup that develops software to power various robots including ones with two or four legs.,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",2,"Abhinav Gupta Abhinav Gupta, Deepak Pathak",11-50,1,Early Stage Venture,2024-07-09,300000000,USD,300000000,Series A,300000000,USD,300000000,Series A,300000000,USD,300000000,300000000,USD,300000000,"Amazon, SoftBank, Menlo Ventures, Sequoia Capital, General Catalyst",4,14
Sahara AI,https://www.crunchbase.com/organization/sahara-ai,"Artificial Intelligence (AI), Blockchain, Decentralized Finance (DeFi), Web3","Los Angeles, California, United States","Sahara AI is a decentralized AI network that enables freely and securely deploy autonomous AI with high-performance, privacy-first network.",137,"Greater Los Angeles Area, West Coast, Western US",,,,Active,2023-01-01,year,,,,,For Profit,https://saharalabs.ai,https://twitter.com/SaharaLabsAI,,https://www.linkedin.com/company/saharalabs-ai,,,4,,,"Sahara AI is a decentralized AI network that enables freely and securely deploying autonomous AI with a high-performance, privacy-first network. Its collaboration network helps individuals and businesses deploy personalized, autonomous AI. It also offers a permissionless and privacy-centric network that allows cross-agent communication, knowledge transfer, and capitalization between individuals.",,,,,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Internet Services, Other, Science and Engineering, Software",2,"Sean Ren, Tyler Zhou",11-50,2,Early Stage Venture,2024-08-14,37000000,USD,37000000,Series A,37000000,USD,37000000,Series A,43000000,USD,43000000,43000000,USD,43000000,"Sequoia Capital, Alumni Ventures, Polychain, Sandeep Nailwal, Canonical Crypto",4,26
Huma,https://www.crunchbase.com/organization/medopad,"Artificial Intelligence (AI), Health Care, mHealth, SaaS","London, England, United Kingdom",Huma offers a health platform used for remote patient monitoring and biological data gathering for preventative healthcare.,149,"Europe, Middle East, and Africa (EMEA)",,SW1P 4QP,$10M to $50M,Active,2011-08-02,day,,,,,For Profit,https://huma.com,https://twitter.com/humaforhealth,https://www.facebook.com/humaforhealth,https://www.linkedin.com/company/humaforhealth,info@huma.com,+44 2039895089,88,,Unicorn,"Huma is a global health technology company that provides a modular platform to support digital 'hospitals at home' across different disease areas. Its platform combines predictive algorithms, digital biomarkers, and real-world data to advance proactive, predictive care and research. The company's technology integrates data from hospital databases, patient wearables, and mobile devices to provide real-time information to healthcare providers.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",2,"Dan Vahdat, Rich Khatib",501-1000,11,Late Stage Venture,2024-07-16,80000000,USD,80000000,Series D,80000000,USD,80000000,Series D,292012801,USD,292012801,322619465,USD,322619465,"AstraZeneca, Hitachi Ventures, Leaps by Bayer, Samsung NEXT, DigitalHealth.London Accelerator",6,16
Meta,https://www.crunchbase.com/organization/facebook,"Artificial Intelligence (AI), Augmented Reality, Metaverse, Social Media, Social Network, Virtual Reality","Menlo Park, California, United States","Meta is a social technology company that enables people to connect, find communities, and grow businesses.",195,"San Francisco Bay Area, Silicon Valley, West Coast",,94025,$10B+,Active,2004-02-04,day,2012-05-18,day,,,For Profit,https://meta.com,https://www.twitter.com/Meta,https://www.facebook.com/Meta,https://www.linkedin.com/company/meta,,,"55,316",,Exited Unicorn,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.  Previously known as Facebook, Mark Zuckerberg announced the company's rebrand to Meta on October 28, 2021, at the company's annual Connect Conference. Facebook was founded by Mark Zuckerberg in Menlo Park, California in 2004. With millions of more users, [Friendster] attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from [Accel Partners] at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo-sharing feature the next month. The next spring, Facebook received $25 million in funding from [Greylock Partners] and [Meritech Capital] as well as previous investors [Accel Partners] and [Peter Thiel]. The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally, in September 2006, Facebook was opened to anyone with an email address. Facebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in [NASDAQ] with shares trading at $42.05. Facebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013, over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly active. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo-sharing site with 250 million photos uploaded per day. The company has a strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere. Meta is currently the owner of many applications and services such as Facebook App, Instagram, Whatsapp, Oculus VR, Pagemodo Pagebuilder, [RSS Graffiti], Huddle, and more. Facebook is the world’s largest social network with over 2.9 billion monthly active users.",7,,,51,56,28,8,1,1,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Media and Entertainment, Science and Engineering, Software",5,"Andrew McCollum, Chris Hughes, Dustin Moskovitz, Eduardo Saverin, Mark Zuckerberg",10001+,14,IPO,2022-08-04,10000000000,USD,10000000000,Post-IPO Debt,13787117488,USD,13787117488,Post-IPO Equity,14387817488,USD,14387817488,24607817488,USD,24607817488,"Microsoft, PayPal, Accel, TCV, Founders Fund",11,25
osapiens,https://www.crunchbase.com/organization/osapiens,"Artificial Intelligence (AI), Compliance, SaaS, Software","Mannheim, Baden-Wurttemberg, Germany",Osapiens provides an ESG platform and Software-as-a-Service solutions for companies.,226,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,68163,$1M to $10M,Active,2018-07-02,day,,,,,For Profit,https://www.osapiens.com,https://x.com/osapiens_,,https://www.linkedin.com/company/osapiens,info@osapiens.com,+49 621 / 150 206 90,21,,,"Osapiens provides an ESG platform and Software-as-a-Service solutions for companies.  Osapiens has created and manages the osapiens HUB, an advanced ESG platform designed to help companies make a meaningful impact. This platform, which leverages AI and cloud technology, forms the foundation for Osapiens' innovative Software-as-a-Service (SaaS) solutions. These solutions assist businesses across various sectors to quickly, automatically, and securely meet ESG requirements. The osapiens HUB facilitates compliance and transparency throughout the value chain. With this platform, companies can address all their ESG challenges by identifying risks, fulfilling reporting obligations such as CSRD, EUDR, and CSDDD, and making their operational processes more sustainable over the long term.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",3,"Alberto Zamora, Matthias Jungblut, Stefan Wawrzinek",251-500,2,Early Stage Venture,2024-07-29,110700000,EUR,120225725,Series B,110700000,EUR,120225725,Series B,135700000,EUR,147651989,135700000,EUR,147651989,"Armira, Goldman Sachs Alternatives",2,2
Silicon Box,https://www.crunchbase.com/organization/silicon-box,"Artificial Intelligence (AI), Electronics, Manufacturing, Semiconductor","Singapore, Central Region, Singapore",Silicon Box is a semiconductor integration service provider specializing in full chip design and manufacturing.,239,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,529580,,Active,2021-05-01,month,,,,,For Profit,https://www.silicon-box.com,,,https://www.linkedin.com/company/silicon-box-pte-ltd,customer_enquiry@silicon-box.com,,69,,Unicorn,"Silicon Box is an advanced OSAT (outsourced semiconductor assembly and testing) services provider, specializing in semiconductor integration. The company is capable of delivering full execution for semiconductor packaging, from initial design to final manufacturing of standard single chip packages to the most sophisticated chiplet-based systems, enabling applications that include AI (artificial intelligence), HPC (high performance computing), EV (electric vehicles), automotive, power management, mobile chipsets and processors, applications processors, radiofrequency, and more.",,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",3,"Byung Joon Han, Sehat Sutardja, Weili Dai",1001-5000,5,Early Stage Venture,2024-08-05,99860000,USD,99860000,Series B,99860000,USD,99860000,Series B,507460000,USD,507460000,507460000,USD,507460000,"Tata Electronics, Hillhouse Investment, BlueRun Ventures, Tata Group, Prysm Capital",1,16
