Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - EARTH AI,https://www.crunchbase.com/funding_round/earth-ai-seed--c7b12ab8,EARTH AI,https://www.crunchbase.com/organization/earth-ai,Seed,2500000,USD,2500000,2019-08-16,Seed,,,,Yes,EARTH AI is a predictive explorer and driller for critical minerals.,"Artificial Intelligence (AI), Hardware, Mineral, Mining, Mining Technology",,"San Mateo, California, United States, North America",http://www.earth-ai.com/,$1M to $10M,14000000,USD,14000000,,4,,"Gagarin Foundation, Y Combinator",2,,"13,513"
Seed Round - Presagen,https://www.crunchbase.com/funding_round/presagen-seed--a2b81e21,Presagen,https://www.crunchbase.com/organization/presagen,Seed,4500000,AUD,3156322,2019-04-24,Seed,8700000,USD,8700000,Yes,"Presagen is The Social Network for Healthcare, connecting clinics, patients and medical data from around the world through AI.","Artificial Intelligence (AI), Big Data, Health Care, Information Technology, Machine Learning, Medical","Women Founded, Women Led","San Francisco, California, United States, North America",https://www.presagen.com/,$1M to $10M,6478272,USD,6478272,Seed,3,Jungle Capital,"3Lines, Jungle Capital",2,,"18,360"
Series A - Dabeeo,https://www.crunchbase.com/funding_round/dabeeo-series-a--18c34639,Dabeeo,https://www.crunchbase.com/organization/dabeeo,Series A,3000000000,KRW,2529063,2019-12-06,Early Stage Venture,,,,Yes,Dabeeo is an AI company specialized in geo-spatial intelligence.,"Artificial Intelligence (AI), Big Data, Geospatial, Indoor Positioning, Location Based Services, Mapping Services, Navigation, Software",,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",http://www.dabeeo.com/,$1M to $10M,21500000000,KRW,17429814,Early Stage Venture,6,,"CH&Partners, HB Investment, Mirae Asset Capital, Shinhan Capital, The Seed Group",5,,"18,696"
Pre Seed Round - Notiv,https://www.crunchbase.com/funding_round/notiv-pre-seed--c090d790,Notiv,https://www.crunchbase.com/organization/notiv,Pre-Seed,1500000,USD,1500000,2019-06-03,Seed,,,,Yes,Notiv is the intelligent meeting assistant that turns all your important voice conversations into clever business outcomes.,"Artificial Intelligence (AI), Enterprise Software, Intelligent Systems, Meeting Software, Productivity Tools, Software, Speech Recognition",Women Founded,"San Francisco, California, United States, North America",https://www.notiv.com/,$1M to $10M,3000000,USD,3000000,M&A,2,"Black Sheep Capital, Full Circle Venture Capital, Transition Level Investments","Airtree Ventures, Black Nova Group, Black Sheep Capital, Full Circle Venture Capital, Transition Level Investments",5,,"19,059"
Series A - Space Walk,https://www.crunchbase.com/funding_round/space-walk-series-a--8d3a4dbd,Space Walk,https://www.crunchbase.com/organization/space-walk,Series A,1800000000,KRW,1596230,2019-03-01,Early Stage Venture,,,,Yes,Space Walk is creating innovation in land development based on data and technology.,"Artificial Intelligence (AI), Computer, Information Technology, Software, Software Engineering",,"Seongdong, Kyonggi-do, South Korea, Asia",https://www.spacewalk.tech/,$1M to $10M,9800000000,KRW,8503500,Early Stage Venture,3,,"HYU Holdings, KB Investment, Stone Bridge Ventures, ZigBang",4,,"23,490"
Pre Seed Round - Chef Robotics,https://www.crunchbase.com/funding_round/chef-robotics-pre-seed--c4206b49,Chef Robotics,https://www.crunchbase.com/organization/chef-robotics,Pre-Seed,1600000,USD,1600000,2019-09-09,Seed,,,,Yes,Chef Robotics is a robotics and artificial intelligence company serving the food industry.,"Artificial Intelligence (AI), Food and Beverage, Machine Learning, Robotics",,"San Francisco, California, United States, North America",http://chefrobotics.ai,$1M to $10M,22500000,USD,22500000,Seed,6,,"Bold Capital Partners, Gokul Rajaram, humbition, Kleiner Perkins, Red & Blue Ventures, Tau Ventures",6,1,"25,276"
Seed Round - HOOD,https://www.crunchbase.com/funding_round/hood-54ea-seed--10806971,HOOD,https://www.crunchbase.com/organization/hood-54ea,Seed,3000000,USD,3000000,2019-08-12,Seed,,,,Yes,HOOD is the global moving platform and community for home.moves,"Apps, Artificial Intelligence (AI), Software",,"Camberwell, Victoria, Australia, Oceania",https://hood.ai/,,14844307,USD,14844307,Seed,2,BRC Capital,BRC Capital,1,,"25,264"
Seed Round - Chata.ai,https://www.crunchbase.com/funding_round/chata-ai-seed--8694b0b5,Chata.ai,https://www.crunchbase.com/organization/chata-ai,Seed,4500000,CAD,3302437,2019-01-01,Seed,,,,Yes,Chata.ai builds an API-first solution that empowers non-technical business users with easy-to-use self-service analytics.,"Analytics, Artificial Intelligence (AI), Business Intelligence, Information Technology, Machine Learning, Natural Language Processing, SaaS, Software",,"Calgary, Alberta, Canada, North America",https://chata.ai/,$1M to $10M,7400000,CAD,5527708,Seed,4,,"Aventrock Ventures, Bluesky Equities, InterGen Capital, Prairie Merchant Corporation",4,,"26,827"
Venture Round - SESAMm,https://www.crunchbase.com/funding_round/sesamm-series-unknown--9063f083,SESAMm,https://www.crunchbase.com/organization/sesamm,Venture - Series Unknown,4400000,EUR,4938998,2019-04-04,,,,,Yes,SESAMm is a fintech company that specializes in big data and artificial intelligence for investment.,"Analytics, Artificial Intelligence (AI), Asset Management, Data Visualization, Finance, FinTech, Impact Investing, Machine Learning, Predictive Analytics, Sustainability",,"Paris, Ile-de-France, France, Europe",https://www.sesamm.com/,$10M to $50M,50500000,EUR,55705178,Early Stage Venture,6,"Caisse d’Epargne, Havenrock","Angelsquare, Aventure, Caisse d'Epargne Grand Est Europe, Caisse d’Epargne, Havenrock",5,1,"32,446"
Venture Round - Fivecast,https://www.crunchbase.com/funding_round/fivecast-series-unknown--1327a350,Fivecast,https://www.crunchbase.com/organization/fivecast,Venture - Series Unknown,4000000,USD,4000000,2019-07-01,,,,,Yes,"Fivecast helps public and private organizations explore data, uncovering actionable insights to protect global communities.","Artificial Intelligence (AI), Security, Software",,"Adelaide, South Australia, Australia, Oceania",https://fivecast.com,$10M to $50M,23959137,USD,23959137,Early Stage Venture,2,Main Sequence Ventures,"Main Sequence Ventures, South Australian Venture Capital Fund",2,2,"38,533"
Seed Round - AdaptX,https://www.crunchbase.com/funding_round/mdmetrix-seed--bfdf8c77,AdaptX,https://www.crunchbase.com/organization/mdmetrix,Seed,3085738,USD,3085738,2019-05-14,Seed,,,,Yes,AdaptX is a clinical management platform that delivers analytics and AI to hospitals and surgery centers.,"Analytics, Artificial Intelligence (AI), Health Care, Hospital, Medical",,"Seattle, Washington, United States, North America",http://www.adaptx.com,$50M to $100M,20944486,USD,20944486,Early Stage Venture,5,Founders' Co-op,"Alumni Ventures, Arnold Venture Group, Founders' Co-op, Green D Ventures, Washington Research Foundation",5,1,"38,650"
Seed Round - Homerun Smart,https://www.crunchbase.com/funding_round/homerun-smart-seed--2b07c8c3,Homerun Smart,https://www.crunchbase.com/organization/homerun-smart,Seed,10000000,CNY,1453849,2019-05-13,Seed,,,,Yes,Homerun Smart is an independent research and development enterprise dedicated to artificial intelligence.,Artificial Intelligence (AI),,"Guangzhou, Guangdong, China, Asia",http://www.homerunsmart.com/,$1M to $10M,110000000,CNY,15369216,Late Stage Venture,2,Li Zexiang,"Li Zexiang, XBOTPARK Jijin",2,,"44,461"
Seed Round - Pienso,https://www.crunchbase.com/funding_round/pienso-seed--4da3f781,Pienso,https://www.crunchbase.com/organization/pienso,Seed,1425000,USD,1425000,2019-10-07,Seed,,,,Yes,"Pienso is a B2B AI platform that utilizes text data for insight generation, document intelligence, and content moderation.","Artificial Intelligence (AI), Big Data, Generative AI, Machine Learning, Software","Black Founded, Black Led","Arlington, Virginia, United States, North America",http://pienso.com,$1M to $10M,17017854,USD,17017854,Early Stage Venture,7,Alumni Ventures,"Alumni Ventures, Castor Ventures, Differential Ventures",3,3,"46,273"
Seed Round - Tune,https://www.crunchbase.com/funding_round/tune-cf29-seed--13466093,Tune,https://www.crunchbase.com/organization/tune-cf29,Seed,1500000000,KRW,1287885,2019-11-01,Seed,,,,Yes,Tune provides data analytics services.,"Analytics, Predictive Analytics",,"Seongnam, Kyonggi-do, South Korea, Asia",https://tune-universe.com,,1500000000,KRW,1287885,Seed,1,HYU Holdings,HYU Holdings,1,,"48,508"
Seed Round - Market Beyond,https://www.crunchbase.com/funding_round/market-beyond-seed--4a1beb56,Market Beyond,https://www.crunchbase.com/organization/market-beyond,Seed,4000000,USD,4000000,2019-04-16,Seed,,,,Yes,Market Beyond is an e-commerce analytics company.,"Analytics, E-Commerce, Information Services, Information Technology, Machine Learning",,"Tel Aviv-yafo, Tel Aviv, Israel, Asia",https://themarketbeyond.com,$1M to $10M,4000000,USD,4000000,M&A,2,,Launchbay Capital,1,,"48,713"
Seed Round - Niqo Robotics,https://www.crunchbase.com/funding_round/tartansense-seed--4c6521d3,Niqo Robotics,https://www.crunchbase.com/organization/tartansense,Seed,2000000,USD,2000000,2019-03-11,Seed,,,,Yes,Niqo Robotics is an AI powered robotics solutions provider empowering small farm holders.,"Agriculture, Artificial Intelligence (AI), Consumer Electronics, Farming, Information Technology, Machine Learning, Robotics",,"Bangalore, Karnataka, India, Asia",https://niqorobotics.com/,,20016122,USD,20016122,Early Stage Venture,4,"BEENEXT, Blume Ventures, Omnivore","BEENEXT, Blume Ventures, Omnivore",3,1,"49,672"
