Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series C - MiningLamp,https://www.crunchbase.com/funding_round/mininglamp-series-c--106f639d,MiningLamp,https://www.crunchbase.com/organization/mininglamp,Series C,1154403600,CNY,183924735,2018-04-16,Late Stage Venture,,,,Yes,"MiningLamp helps clients to build their own knowledge graphs and apply AI to their business, and finally transform data into insights.","Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Software",,"Beijing, Beijing, China, Asia",https://www.mininglamp.com/,$50M to $100M,841824740,USD,841824740,Late Stage Venture,6,"China Renaissance, Huasheng Capital, Tencent","China Creation Ventures (CCV), China Renaissance, Huasheng Capital, Starquest Capital, Tencent",5,1,"7,715"
Series B - JD Finance,https://www.crunchbase.com/funding_round/jd-finance-2f28-series-b--8c2f759f,JD Finance,https://www.crunchbase.com/organization/jd-finance-2f28,Series B,13000000000,CNY,1960597125,2018-07-10,Early Stage Venture,120000000000,CNY,18097819620,Yes,"JD Finance is a digital tech company providing financial solutions with artificial intelligence, and cloud computing technologies.","Artificial Intelligence (AI), Blockchain, Cloud Computing, Financial Services",,"Beijing, Beijing, China, Asia",https://jr.jddinnovation.com/,,19650000000,CNY,2971067421,Early Stage Venture,2,CICC Capital,"Bank of China Investment Management, CICC Capital, CITIC Construction Investment",3,,"10,072"
Series D - Orbbec,https://www.crunchbase.com/funding_round/orbbec-series-d--22afd645,Orbbec,https://www.crunchbase.com/organization/orbbec,Series D,200000000,USD,200000000,2018-05-21,Late Stage Venture,,,,Yes,"The Orbbec mission is to create intelligent technologies for every human, everywhere through 3D image sensors and smart cameras.","Artificial Intelligence (AI), Information Technology, Robotics",,"Shenzhen, Guangdong, China, Asia",http://www.orbbec3d.com/,$10M to $50M,200000000,USD,200000000,Late Stage Venture,1,Ant Group,"Ant Group, Fosun RZ Capital, Green Pine Capital Partners, Haitong Capital, Hongtai Capital Holdings, Renhe Capital, Renzhi Capital, SAIF Partners, Sirius Capital, Titanium Ventures",10,,"11,318"
Series B - Cambricon Technologies,https://www.crunchbase.com/funding_round/cambricon-technologies-series-b--67291b32,Cambricon Technologies,https://www.crunchbase.com/organization/cambricon-technologies,Series B,100000000,USD,100000000,2018-06-20,Early Stage Venture,2400000000,USD,2400000000,Yes,"Cambricon Technologies builds core processor chips for intelligent cloud servers, intelligent terminals, and intelligent robots.","Artificial Intelligence (AI), Electronics, Semiconductor",,"Beijing, Beijing, China, Asia",http://www.cambricon.com/,$100M to $500M,200000000,USD,200000000,,4,SDIC Venture Capital,"Alibaba Innovation Investment, China State-Owned Capital Venture Investment Fund, Chinese Academy Of Sciences, CICC, CMB International Capital Corporation, CTC Capital, GoldStone Investment, Guoxin Fund, SDIC Venture Capital, TCL Capital, Tiefa Capital, Tuofeng Investment",12,,"13,891"
Angel Round - AInnovation,https://www.crunchbase.com/funding_round/ainnovation-angel--0a15a49f,AInnovation,https://www.crunchbase.com/organization/ainnovation,Angel,100000000,CNY,15669806,2018-05-21,Seed,,,,Yes,AInnovation owns and operates a company that offers products and services based on artificial intelligence to different companies.,"Artificial Intelligence (AI), B2B, Information Technology, Machine Learning, Software",,"Haidian, Beijing, China, Asia",https://www.ainnovation.com,$100M to $500M,900000000,CNY,131051538,IPO,6,"Chengwei Capital, Sinovation Ventures","Chengwei Capital, Sinovation Ventures",2,,"15,357"
Series C - BeagleData,https://www.crunchbase.com/funding_round/beagledata-series-c--835dfcc6,BeagleData,https://www.crunchbase.com/organization/beagledata,Series C,100000000,CNY,15575354,2018-06-01,Late Stage Venture,,,,Yes,Beijing Based  Enterprise services Company.,"Artificial Intelligence (AI), Cloud Computing, Enterprise, Information Technology",,"Beijing, Beijing, China, Asia",http://www.beagledata.com/,,215000000,CNY,33288274,Late Stage Venture,6,"Ally Capital, Huaying Capital","Ally Capital, Huaying Capital",2,,"20,468"
Series C - Soul,https://www.crunchbase.com/funding_round/soul-bd43-series-c--b3056514,Soul,https://www.crunchbase.com/organization/soul-bd43,Series C,60000000,USD,60000000,2018-12-18,Late Stage Venture,,,,Yes,SOUL is a social network that uses AI to help users find their soul mates.,"Apps, Artificial Intelligence (AI), Internet, Social Network",,"Shanghai, Shanghai, China, Asia",http://www.soulapp.cn,$50M to $100M,395600000,USD,395600000,Late Stage Venture,8,GGV Capital,"5Y Capital, Genesis Capital, GGV Capital, Magic Capital",4,1,"23,386"
Series B - Cowarobot,https://www.crunchbase.com/funding_round/cowarobot-series-b--fb1c6812,Cowarobot,https://www.crunchbase.com/organization/cowarobot,Series B,135000000,CNY,21163192,2018-05-15,Early Stage Venture,,,,Yes,"Cowarobot is to bring people the future travel experience by using robotics, self-driving technology and other intelligent solutions.","Apps, Artificial Intelligence (AI), Information Technology, Robotics, Software",,"Shanghai, Shanghai, China, Asia",http://www.cowarobot.com/,$1M to $10M,271163192,USD,271163192,Late Stage Venture,4,"China Creation Ventures (CCV), SBCVC","China Creation Ventures (CCV), China Minsheng Investment Group, Empower Investment, Infore Capital, SBCVC, Wuhu Yuanda Chuangtou, Ying Feng Investment Create Value",7,2,"24,194"
Series A - Callsign,https://www.crunchbase.com/funding_round/callsign-series-a--9bfed22c,Callsign,https://www.crunchbase.com/organization/callsign,Series A,35000000,USD,35000000,2018-03-12,Early Stage Venture,,,,Yes,Delivering digital trust through simple secure customer interactions,"Artificial Intelligence (AI), Biometrics, Cyber Security, FinTech, Fraud Detection, Identity Management, Machine Learning, Network Security, Privacy, Software",,"London, England, United Kingdom, Europe",http://www.callsign.com,$1M to $10M,38750000,USD,38750000,,5,"Accel, PTB Ventures","Accel, AllegisCyber, Dave DeWalt, NightDragon, PTB Ventures, QBN Capital, TriplePoint Ventures, WestWave Capital",8,4,"26,096"
Series A - NextVPU,https://www.crunchbase.com/funding_round/nextvpu-series-a--b7779fd4,NextVPU,https://www.crunchbase.com/organization/nextvpu,Series A,200000000,CNY,28801843,2018-10-24,Early Stage Venture,,,,Yes,NextVPU offers embedded AI solutions for most of the smart devices and applications.,"Artificial Intelligence (AI), Semiconductor",,"Shanghai, Shanghai, China, Asia",http://nextvpu.com/,,808000000,CNY,114247530,Late Stage Venture,7,CETHIK,"CETHIK, Sirius Capital",2,1,"29,383"
