Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Phone Number,Contact Email,Number of Articles,Hub Tags,Full Description,Number of Sub-Orgs,Actively Hiring,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Google,https://www.crunchbase.com/organization/google,"Artificial Intelligence (AI), Cloud Computing, Cloud Storage, SEO, Software","Mountain View, California, United States",Google is a multinational corporation that specializes in Internet-related services and products.,78,"San Francisco Bay Area, Silicon Valley, West Coast",94043,,$10B+,Active,1998-01-01,year,2004-08-19,day,,,For Profit,https://www.google.com,https://www.twitter.com/google,https://www.facebook.com/Google,https://www.linkedin.com/company/google,+1 650 253 0000,google@google.com,"74,116",,"Google is a multinational technology company focusing on search engine technology, online advertising, cloud computing, computer software, quantum computing, e-commerce, artificial intelligence, and consumer electronics. Their products address a wide range of use cases, including email, navigation, cloud computing, web browsing, video sharing, productivity, operating systems, cloud storage, language translation, photo storage, video calling, smart home, smartphones, wearable technology, music streaming, and more.",23,,,,255,287,20,51,26,149,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software",4,"Andrew Ng, Larry Page, Sergey Brin, Will Koffel",10001+,3,IPO,1999-06-07,25000000,USD,25000000,25000000,USD,25000000,Series A,Series A,26100000,USD,26100000,26100000,USD,26100000,"Google, Sequoia Capital, Kleiner Perkins, Jeff Bezos, Ram Shriram",3,13
Qualcomm,https://www.crunchbase.com/organization/qualcomm,"Artificial Intelligence (AI), Generative AI, Software, Telecommunications, Wireless","San Diego, California, United States","Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","8,063","Greater San Diego Area, West Coast, Western US",92121,,$10B+,Active,1985-01-01,day,1991-12-20,day,,,For Profit,http://www.qualcomm.com,http://www.twitter.com/Qualcomm,https://www.facebook.com/QualcommIN,https://www.linkedin.com/company/qualcomm,(858) 587-1121,Careers@Qualcomm.com,"20,076",,"Qualcomm is an American fabless semiconductor company that designs, manufactures, and markets digital wireless telecommunications products and services. It produces processors and connectivity solutions, displays, software, and charging products. The company is focused on various industries: automotive, education, healthcare, Internet of Everything, mobile computing, networking, smart cities, smart homes, and wearables. Qualcomm’s products include Gobi, Hy-Fi, IPQ, IZat, Powerline, Snapdragon, Small Cells, VIVE, Wi-Fi platforms, Mirasol, Pixtronix, AllPlay, 2net, Brew, HealthyCircles, QChat, QLearn, RaptorQ, Vuforia, Halo, and WiPower.",9,,,,69,89,3,28,4,18,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Mobile, Science and Engineering, Software",4,"Andrew Viterbi, Franklin P. Antonio, Frederic Rombaut, Irwin Jacobs",10001+,1,IPO,1988-01-01,3500000,USD,3500000,3500000,USD,3500000,Undisclosed,Undisclosed,3500000,USD,3500000,3500000,USD,3500000,KB Securities,,
Facebook,https://www.crunchbase.com/organization/facebook-ai,"Artificial Intelligence (AI), Hardware, Machine Learning, Software","Menlo Park, California, United States","Facebook AI offers technology and engineering services like theory, algorithms, applications, software and hardware infrastructure.","14,095","San Francisco Bay Area, Silicon Valley, West Coast",,,$10B+,Active,2004-01-01,year,,,,,For Profit,https://ai.meta.com/,https://www.twitter.com/facebook,https://www.facebook.com/facebook,https://www.linkedin.com/company/facebook,,,"2,920",,"Meta is the new name for the Facebook corporation. Meta creates solutions that assist people in connecting, finding communities, and growing enterprises. Meta AI offers technology and engineering services like theory, algorithms, applications, software, and hardware infrastructure.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",1,Eduardo Saverin,10001+,2,,2011-10-21,,,,,,,Secondary Market,Venture - Series Unknown,,,,,,,"Milliways Ventures, Rahim Thawer",,2
DeepMind,https://www.crunchbase.com/organization/deepmind,"Artificial Intelligence (AI), Business Development, Machine Learning","London, England, United Kingdom",DeepMind aims to research and build safe artificial intelligence system to solve intelligence and advance science and humanity.,"22,480","Europe, Middle East, and Africa (EMEA)",N1C4AG,,$100M to $500M,Active,2010-01-01,year,2014-01-26,day,,,For Profit,https://deepmind.com,https://twitter.com/deepmindai,,https://www.linkedin.com/company/googledeepmind,,contact@deepmind.com,"1,679",,"DeepMind Technologies operates as an artificial intelligence company. The company builds general-purpose algorithms for use in simulations, e-commerce applications, and games. It combines AI, ML, and systems neuroscience to build general-purpose learning algorithms and scientific discoveries.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",2,"Demis Hassabis, Mustafa Suleyman",501-1000,1,M&A,2011-02-01,,,,,,,Series A,Series A,,,,,,,"Founders Fund, Horizons Ventures",,2
Arya.ai,https://www.crunchbase.com/organization/arya-ai,"Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning, PaaS","Mumbai, Maharashtra, India",Arya.ai offers 'Autonomous AI' product stack for financial institutions to automate and augment core business tasks using deep learning.,"25,703",Asia-Pacific (APAC),,,,Active,2013-10-20,day,2024-04-19,day,,,For Profit,http://arya.ai,https://twitter.com/arya_ai1,https://www.facebook.com/Aryaai-1615946888664893,https://www.linkedin.com/company/arya-ai,,,40,,"Arya.ai operates an autonomous artificial intelligence-based operating platform designed to automate and augment financial choices. The company's platform employs deep learning algorithms to optimize apps that can learn and re-learn without human intervention. It can also aid professionals from many industries in their work, allowing clients to focus on essential product aspects via artificial intelligence.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",2,"Deekshith Marla, Vinay Kumar Sankarapu",11-50,1,M&A,2015-12-23,750000,USD,750000,750000,USD,750000,Seed,Seed,750000,USD,750000,750000,USD,750000,"YourNest Venture Capital, VentureNursery",1,2
JO+,https://www.crunchbase.com/organization/jo,"Artificial Intelligence (AI), Internet, Mobile Apps, Software","Huangpu, Shanghai, China",JO+ is a domestic life management and concierge service platform.,"26,930",Asia-Pacific (APAC),,,,Active,2012-01-01,day,,,,,For Profit,http://www.joplus.cn,,,https://www.linkedin.com/company/%E4%B8%8A%E6%B5%B7%E7%B4%AB%E7%9B%9B%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,400-629-0098,meiwei@clubmeiwei.com,88,,"JO+ is a service platform. JO+ is based on the combination of artificial intelligence and intelligence. The company will integrate artificial intelligence interactive technologies, constantly update and iterate, and provide more professional, caring, and personalised services for more people, so as to repay the trust and support of the majority of users.",,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Internet Services, Mobile, Science and Engineering, Software",1,Yiwen Jiang,11-50,2,Early Stage Venture,2015-09-05,10000000,CNY,1573214,10000000,CNY,1573214,Series A,Series A,13000000,CNY,2061163,13000000,CNY,2061163,NCF Group,1,1
Thoughtly,https://www.crunchbase.com/organization/thoughtly,"Artificial Intelligence (AI), Machine Learning, Natural Language Processing","New York, New York, United States","Thoughtly leverages machine learning and natural language processing for the automated analysis, visualization and summarization of text.","34,610","Greater New York Area, East Coast, Northeastern US",10036,,Less than $1M,Active,2013-02-01,day,,,,,For Profit,http://www.thoughtly.co,http://twitter.com/thoughtly_me,https://www.facebook.com/ThoughtlyApp,http://www.linkedin.com/company/thoughtly,,perkins@thoughtly.co,5,,"Thoughtly builds natural language processing tools and products that reimagine how we discover, read and experience text. We are focused on delivering highly capable machine learning tools that provide exceptional analysis, immersive visualizations and meaningful summaries of text. Thoughtly’s system can be a force multiplier for organizations as current natural language tools are often inadequate for specific job functions. Expanding on our core technology, we seek to provide tools that provide reliable insight to enterprise clients.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Chase Perkins,1-10,2,Seed,2015-02-26,2500000,USD,2500000,2500000,USD,2500000,Seed,Seed,2625000,USD,2625000,2625000,USD,2625000,Gigi Pritzker,,1
tectonic,https://www.crunchbase.com/organization/tectonic,"Analytics, Big Data, Cloud Data Services, CRM, Information Technology, Internet, Marketing Automation, Predictive Analytics","Hosston, Louisiana, United States","insight2action - a premier big data analytics provider of cloud consulting, marketing automation and CRM transformation services","37,105",Southern US,,,$10M to $50M,Active,2009-01-01,year,,,,,For Profit,http://www.gettectonic.com/,https://twitter.com/gettectonic,https://www.facebook.com/Tectonic.insight.to.action,https://www.linkedin.com/company/tectonic-insight-to-action,(888) 707-1574,info@sakonent.com,10,,"Tectonic is a leading technology and business services company serving mid-sized business to enterprise customers with a focus on insight2action automation in the cloud. Headquartered in Denver, with offices in Chicago, Houston and Los Angeles, the company prides itself on working with innovators in informed customer interaction.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Software",2,"Blair Linville, Ron Pullar",101-250,2,,2015-09-11,2000000,USD,2000000,2000000,USD,2000000,Venture - Series Unknown,Venture - Series Unknown,3000000,USD,3000000,2000000,USD,2000000,"Salesforce Ventures, Silicon Valley Bank, Fortitude MB",2,3
Jampp,https://www.crunchbase.com/organization/jampp,"Ad Retargeting, Advertising, Advertising Platforms, Analytics, Apps, Big Data, Machine Learning, Mobile, Mobile Advertising, Video Advertising","San Francisco, California, United States",Jampp is the growth platform of choice for on-demand apps worldwide. We unlock programmatic UA and RTGT to drive incremental performance,"37,526","San Francisco Bay Area, West Coast, Western US",94108,"Hispanic / Latine Founded, Hispanic / Latine Led",Less than $1M,Active,2011-01-01,year,2021-06-09,day,,,For Profit,http://jampp.com,http://twitter.com/jampp,http://www.facebook.com/jamppHQ,http://www.linkedin.com/company/jampp,,hello@jampp.com,44,,"Jampp is the growth platform of choice for on-demand apps worldwide. We unlock programmatic advertising to drive incremental performance. A demand-side platform (DSP) at heart, Jampp leverages unique contextual and behavioral signals to deliver customers and in-app purchases through programmatic user acquisition and retargeting.  We simplify programmatic growth for some of the biggest names in mobile. Learn more at: https://jampp.com/",,Yes,,,,,,,,,,,,"Advertising, Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Sales and Marketing, Software",3,"Diego Meller, Martin Anazco, Martin Conte Mac Donell",51-100,2,M&A,2015-02-25,7000000,USD,7000000,7000000,USD,7000000,Series A,Series A,7550000,USD,7550000,7550000,USD,7550000,"Endeavor Catalyst, Highland Europe, NXTP Ventures, Innova Capital, Start Capital",1,10
Open Influence,https://www.crunchbase.com/organization/instabrand,"Advertising, Brand Marketing, Machine Learning, Marketing Automation, Social Media, Social Media Advertising, Social Media Marketing","Los Angeles, California, United States",Open Influence is a marketing company that helps brands and advertisers engage and grow their desired audiences through social media.,"38,398","Greater Los Angeles Area, West Coast, Western US",90048,,$1M to $10M,Active,2011-01-01,year,,,,,For Profit,https://www.openinfluence.com,https://twitter.com/openinfluence,https://www.facebook.com/openinfluence/,https://www.linkedin.com/company/openinfluence/,323-424-4001,social@openinfluence.com,29,,"Open Influence is a data-driven global influencer marketing company that helps brands and advertisers engage and grow their desired audiences through social media. Open Influence is both platform and talent agnostic, and works with the entire spectrum of influencers; from social celebrities to micro-influencers. The company’s proprietary platform boasts the industry’s largest collection of influencer data, and leverages machine learning and image recognition to analyze more than 70 million pieces of content from over 300,000 influencers and counting. Its team collaborates closely with every client to develop award-winning creative strategies, and its advanced audience analytics allow brands to target based on location, education, age, gender, consumer preferences and more. Headquartered in Los Angeles with satellite offices across the globe, Open Influence offers support in 15 languages and has managed campaigns for top brands from a variety of industries including Calvin Klein, Hyundai, Corona, AirBnB and Verizon.",,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Software",4,"Alex Dahan, Eric Dahan, Felix LaHaye, Joey Chowaiki",51-100,3,,2015-03-31,2500000,USD,2500000,2500000,USD,2500000,Venture - Series Unknown,Venture - Series Unknown,4500000,USD,4500000,4500000,USD,4500000,TI Capital,1,1
