Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company)
Pienso,https://www.crunchbase.com/organization/pienso,Pienso is a machine-learning platform for non-programmers. Pienso’s end-to-end Intelligent Development Environment allows non-programming experts to create and train their machine-learning models without the need for external support.,"Artificial Intelligence (AI), Big Data, Generative AI, Machine Learning, Software","Arlington, Virginia, United States","Pienso is a B2B AI platform that utilizes text data for insight generation, document intelligence, and content moderation.",17017854,USD,17017854,,,,"3,773",58,19,17017854,USD,17017854,,,,10000000,USD,10000000,7,2024-03-12,"Washington DC Metro Area, East Coast, Southern US",$1M to $10M,"Gideon Capital, Latimer Ventures, Alumni Ventures, Eniac Ventures, Castor Ventures",$50M to $100M,2024-03-12,,Private,22209,2016-05-01,month,For Profit,http://pienso.com,https://www.linkedin.com/company/pienso-us,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Birago Jones, Karthik Dinakar",1-10,Early Stage Venture,Series A,10000000,USD,10000000,Series A,3,15,,,37,37
HeyGen,https://www.crunchbase.com/organization/heygen,"Movio is bringing the futurist way of creating videos - by turning your text into realistic spokesperson videos in minutes, right from you broswer. No actors, cameras or editing needed.  All you need is your story to tell.","Generative AI, Software, Video, Web Apps","Los Angeles, California, United States","Next-gen generative AI video platform with customizable AI avatars, right from your browser",69000000,USD,69000000,,,1,"5,737,788",24,,69000000,USD,69000000,,,Scientific and electric apparatus and instruments,60000000,USD,60000000,2,2024-03-23,"Greater Los Angeles Area, West Coast, Western US",$10M to $50M,"Aviv Nevo, Thrive Capital, Bond, Conviction VC, Neil Mehta",,,0,Private,90094,2020-11-01,month,For Profit,https://www.heygen.com?sid=cb,https://www.linkedin.com/company/heygen,,,"Apps, Artificial Intelligence (AI), Media and Entertainment, Software, Video",2,"Joshua Xu, Wayne Liang",11-50,Early Stage Venture,Series A,60000000,USD,60000000,Series A,1,9,,,66,66
Fireworks AI,https://www.crunchbase.com/organization/fireworks-ai,Fireworks.ai offers generative AI platform as a service. We optimize for rapid product iteration building on top of gen AI as well as minimizing cost to serve.,"Artificial Intelligence (AI), Software","Redwood City, California, United States",Commoditize AI infrastructure for PyTorch to accelerate product innovation and disruption,25000000,USD,25000000,,,0,"42,348",55,,25000000,USD,25000000,,,Scientific and technological services,25000000,USD,25000000,1,2024-03-27,"San Francisco Bay Area, Silicon Valley, West Coast",,"Sequoia Capital, Databricks Ventures, Alexandr Wang, Benchmark, Frank Slootman",,,0,Private,,2022-10-01,month,For Profit,https://fireworks.ai,https://www.linkedin.com/company/fireworks-ai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Lin Qiao,11-50,Early Stage Venture,Series A,25000000,USD,25000000,Series A,1,5,,,172,172
Contextual AI,https://www.crunchbase.com/organization/contextual-ai,Contextual AI offers a pioneering approach to generative AI for the workplace.,"Artificial Intelligence (AI), Generative AI, Software","Mountain View, California, United States",Contextual AI offers a pioneering approach to generative AI for the workplace.,20000000,USD,20000000,,,,"3,388",42,,20000000,USD,20000000,,,,20000000,USD,20000000,1,2023-06-07,"San Francisco Bay Area, Silicon Valley, West Coast",,"Amjad Masad, Sarah Guo, Harry Stebbings, Lightspeed Venture Partners, Greycroft",,,,Private,94040,2023-01-01,year,For Profit,https://contextual.ai,https://www.linkedin.com/company/contextualai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Amanpreet Singh, Douwe Kiela",1-10,Seed,Seed,20000000,USD,20000000,Seed,1,12,,,222,222
Finaloop,https://www.crunchbase.com/organization/finaloop,"Finaloop provides AI-driven e-commerce accounting services, reconciling financial data in real time. It is a technology company that provides automated, end-to-end accounting services to simplify financial management for online sellers.","Accounting, Artificial Intelligence (AI), Bookkeeping and Payroll, E-Commerce, SaaS","Brooklyn, New York, United States","Finaloop offers real-time ecommerce accounting software and bookkeeping services for DTC, multichannel & wholesale.",52000000,USD,52000000,,,,"5,268",18,,52000000,USD,52000000,,,,35000000,USD,35000000,3,2024-06-17,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,"Aleph, Operator Partners, Accel, Lightspeed Venture Partners, Vesey Ventures",,,,Private,11217,2019-01-01,year,For Profit,https://www.finaloop.com,https://www.linkedin.com/company/finaloop,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",4,"Eliran Azulai, Lioran Pinchevski, Omri Haim, Yaron Revah",11-50,Early Stage Venture,Series A,35000000,USD,35000000,Series A,3,22,,,441,441
Relevance AI,https://www.crunchbase.com/organization/relevance-ai,"Relevance AI is a platform for building custom AI agents, aiding companies in automating repetitive reasoning tasks efficiently. The company offers two main products: AI Tools, which facilitate seamless integration into workflows for automating repetitive tasks, and AI Agents, which streamline complete workflows in areas such as marketing, sales, and research. Relevance AI aims to empower teams, ensuring limitations are driven by ideas, not size.","Analytics, Artificial Intelligence (AI), Generative AI, Machine Learning, Software","Surry Hills, New South Wales, Australia","Relevance AI is a platform for building custom AI agents, aiding companies in automating repetitive reasoning tasks efficiently.",18000000,USD,18000000,,,,"120,668",74,19,18000000,USD,18000000,,,,15000000,USD,15000000,2,2023-12-14,"Asia-Pacific (APAC), Australasia",$1M to $10M,"Surge, Insight Partners, King River Capital, Archangel Ventures, Galileo Ventures",,,,Private,2010,2020-03-01,month,For Profit,https://relevanceai.com,https://www.linkedin.com/company/relevanceai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Daniel Vassilev, Jacky Koh",11-50,Early Stage Venture,Series A,15000000,USD,15000000,Series A,2,5,,,547,547
Akkio,https://www.crunchbase.com/organization/akkio,"Akkio is using artificial intelligence to transform the way they work with data. Anyone can now use generative analytics and machine learning to converse with live data, build charts and dashboards automatically, and precisely estimate critical business outcomes with upcoming speed and accuracy.","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Data Services, Data Mining, Data Visualization, Machine Learning, Software","Boston, Massachusetts, United States",Akkio is an AI company that delivers generative analytics and machine learning to businesses.,18000000,USD,18000000,,,0,"169,600",10,,18000000,USD,18000000,,,Scientific and technological services,15000000,USD,15000000,2,2023-08-01,"Greater Boston Area, East Coast, New England",$1M to $10M,"Bain Capital Ventures, Pandome",,,2,Private,02135,2019-06-01,month,For Profit,https://www.akkio.com,https://www.linkedin.com/company/akkio,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Internet Services, Science and Engineering, Software",4,"Abraham Parangi, Craig Wisneski, Ekin Keserer, Jon Reilly",11-50,Early Stage Venture,Series A,15000000,USD,15000000,Series A,2,2,,,619,619
Roboflow,https://www.crunchbase.com/organization/roboflow,"Roboflow's developer tools enable teams to build computer vision models faster and more accurately.We replace ad-hoc code with production infrastructure, enable versioned datasets to be used in any framework, eliminate common errors that reduce model performance.","Artificial Intelligence (AI), Computer Vision, Developer Tools","Des Moines, Iowa, United States",Roboflow is a developer tool for building computer vision models faster and more accurately.,22240000,USD,22240000,,,4,"705,128",135,28,22225000,USD,22225000,0,,Scientific and electric apparatus and instruments,20000000,USD,20000000,4,2021-09-16,Midwestern US,$1M to $10M,"Y Combinator, Max Altman, Jack Altman, Greg Brockman, Next Level Ventures",,,0,Private,,2019-01-01,year,For Profit,https://roboflow.com/,https://www.linkedin.com/company/roboflow-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,"Brad Dwyer, Joseph Nelson",11-50,Early Stage Venture,Series A,20000000,USD,20000000,Series A,3,20,,,631,631
Vectara,https://www.crunchbase.com/organization/vectara,"Vectara is the Trusted Generative AI for Enterprise Applications, a Serverless Retrieval Augmented Generation (RAG) platform that simplifies RAG & ML pipeline for better generative outcomes in applications, chatbots, and products. Vectara's product is an end-to-end Serverless Retrieval Augmented Generation API platform for embedding powerful generative AI functionality into applications, chatbots, and products with extraordinary results that are grounded in, and never trained on, the data, documents, and knowledge that they have. Built on a solid hybrid-search core, Vectara delivers the shortest path to a correct answer-action through a safe, secure, and trusted entry point that allows businesses to quickly, safely, and affordably integrate best-in-class conversational AI and question-answering into their application with zero-shot precision. Vectara's serverless RAG platform solves critical problems required for enterprise adoption, namely: reduces hallucination, provides explainability, provenance, enforces access control, allows for real-time updatability of the knowledge, and mitigates intellectual property and bias concerns from large language models. Vectara is your GenAI Partner, our commitment to value co-creation and mutual success is intrinsic to Vectara’s Ecosystem Partnerships, designed to foster collective enrichment for “Better Together” differentiation, and co-shape the ‘art of possible’ in GenAI Ecosystem.","Artificial Intelligence (AI), Developer Platform, Generative AI, Machine Learning, Natural Language Processing, Software","Palo Alto, California, United States","Vectara is the Trusted Generative AI for Enterprise Applications, provided as a Serverless Retrieval Augmented Generation (RAG) Platform",28500000,USD,28500000,,,,"28,905",78,,28500000,USD,28500000,,,,28500000,USD,28500000,1,2023-05-30,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Vertex Ventures, Race Capital, Ruttenberg Gordon Investments, Databricks Ventures, Page One Ventures",,,,Private,94306,2022-01-01,year,For Profit,https://vectara.com,https://www.linkedin.com/company/vectara,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Amin Ahmad, Amr Awadallah, Tallat Shafaat",11-50,Seed,Seed,28500000,USD,28500000,Seed,1,19,,,834,834
Colossyan,https://www.crunchbase.com/organization/colossyan,"Colossyan enables users to create videos from text using AI and is focused on Learning & Development (L&D) creators. Colossyan sidesteps the traditional video creation process, removing the need for cameras, studios, and conventional actors. Colossyan''s approach cuts down the time necessary to create videos from weeks to minutes. The company is dedicated to advancing the Colossyan platform, transforming it from a mere video creation tool into a comprehensive solution that facilitates interactive and engaging learning experiences.","Artificial Intelligence (AI), Audio, Generative AI, Media and Entertainment, Software, Video, Video Editing","Wilmington, Delaware, United States","Colossyan specializes in AI video for workplace learning, empowering users to generate videos from text through AI technology.",28179350,USD,28179350,,,2,"249,789",41,,28179350,USD,28179350,,,Education; entertainment,22000000,USD,22000000,4,2024-02-06,"Greater Philadelphia Area, East Coast, Southern US",$10M to $50M,"Lakestar, APX, LAUNCHub Ventures, Day One Capital, Oktogon Ventures",,,0,Private,DE 19081,2020-01-01,year,For Profit,https://www.colossyan.com,https://www.linkedin.com/company/colossyan,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video",3,"Dominik Mate Kovacs, Kristof Szabo, Zoltan Kovacs",51-100,Early Stage Venture,Series A,22000000,USD,22000000,Series A,3,9,,,854,854
