Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - OfferFit,https://www.crunchbase.com/funding_round/offerfit-series-a--50c7646e,OfferFit,https://www.crunchbase.com/organization/offerfit,Series A,14000000,USD,14000000,2021-11-16,Early Stage Venture,,,,Yes,We are an automated experimentation platform that makes A/B testing obsolete.,"Artificial Intelligence (AI), Machine Learning, Marketing Automation",,"Boston, Massachusetts, United States, North America",http://OfferFit.ai,$10M to $50M,39000000,USD,39000000,Early Stage Venture,4,"Canvas Ventures, Harmony Partners","AfterWork Ventures, Alex Clayton, Alumni Ventures, Black Nova Group, Bradley Horowitz, Burst Capital, Canvas Ventures, Carbide Ventures, Frederic Kerrest, GTMfund, Harmony Partners, Jacques D. Kerrest, Jeffrey Bazar, Jeremy Stoppelman, Katelyn Donnelly, Kevin Stumpf, Luther Lowe, Michael Stoppelman, Pareto Holdings, Ryan Carlson, Samuel Adeyemo, Sean Buckley, TMD Ventures, Tushar Garg",24,4,"5,788"
Series C - Groq,https://www.crunchbase.com/funding_round/groq-series-c--e0766e1a,Groq,https://www.crunchbase.com/organization/groq,Series C,300000000,USD,300000000,2021-04-14,Late Stage Venture,800000000,USD,800000000,Yes,"Groq radically simplifies compute to accelerate workloads in artificial intelligence, machine learning, and high-performance computing.","Electronics, Machine Learning, Semiconductor",,"Mountain View, California, United States, North America",http://groq.com,,362550552,USD,362550552,,6,"D1 Capital Partners, Tiger Global Management","Addition, Alumni Ventures, Boardman Bay Capital Management, Castor Ventures, D1 Capital Partners, Firebolt Ventures, GCM Grosvenor, General Global Capital, Infinitum Partners, Junipero Capital, TDK Ventures, The Spruce House Partnership, Tiger Global Management, Tru Arrow Partners, Verdure Capital Management, XN, XTX Ventures",17,3,"6,109"
Series D - Tekion,https://www.crunchbase.com/funding_round/tekion-series-d--5068b137,Tekion,https://www.crunchbase.com/organization/tekion,Series D,250000000,USD,250000000,2021-10-05,Late Stage Venture,3250000000,USD,3250000000,Yes,Tekion is a software development company that develops business applications on the cloud.,"Artificial Intelligence (AI), Automotive, Big Data, Machine Learning, Management Information Systems, Software",,"Pleasanton, California, United States, North America",http://www.tekion.com,,635100000,USD,635100000,,7,"Alkeon Capital, Durable Capital Partners","Advent International, Alkeon Capital, Durable Capital Partners, Holman Growth Ventures, Hyundai Motor Company, Index Ventures",6,7,"8,783"
Series B - Inkbit,https://www.crunchbase.com/funding_round/inkbit-series-b--4ee8fab3,Inkbit,https://www.crunchbase.com/organization/inkbit,Series B,30000000,USD,30000000,2021-07-20,Early Stage Venture,,,,Yes,Inkbit creats a next-generation additive manufacturing platform that combines 3D printing with machine vision.,"3D Printing, 3D Technology, Machine Learning, Manufacturing, Software",Hispanic / Latine Founded,"Medford, Massachusetts, United States, North America",https://inkbit3d.com/,$1M to $10M,63824998,USD,63824998,,5,Phoenix Venture Partners,"3M, Alumni Ventures, Castor Ventures, DSM Venturing, IMA, MassVentures, Ocado Group, Phoenix Venture Partners, Saint-Gobain, Stratasys",10,1,"9,605"
Funding Round - AUI™ (Augmented Intelligence) Inc.,https://www.crunchbase.com/funding_round/augmentedintelligence-undisclosed--f67cfb0c,AUI™ (Augmented Intelligence) Inc.,https://www.crunchbase.com/organization/augmentedintelligence,Funding Round,22000000,USD,22000000,2021-01-03,,108000000,USD,108000000,Yes,Controllable Language Models™,Artificial Intelligence (AI),,"New York, New York, United States, North America",http://www.aui.io,$1M to $10M,43135000,USD,43135000,,5,,"Aron Ain, Bradley M. Bloom, Chris Varelas, David Mendels, David Perlmutter, James Whitehurst, Joshua Boger, New England Development, New Era Capital Partners, The Kraft Group",10,,"10,219"
Series C - DataStory,https://www.crunchbase.com/funding_round/datastory-series-c--cea3770d,DataStory,https://www.crunchbase.com/organization/datastory,Series C,150000000,CNY,23445926,2021-06-16,Late Stage Venture,,,,Yes,DataStory is a big data and AI intelligent business application provider.,"Artificial Intelligence (AI), Big Data, Information Technology",,"Guangzhou, Guangdong, China, Asia",https://www.datastory.com.cn/,$1M to $10M,104620747,USD,104620747,Late Stage Venture,4,,"Cathay Health, Guangdong Science and Technology Venture Capital, JCP Capital, Zhuhai Da Heng Qin",4,,"10,127"
Series A - Formlogic,https://www.crunchbase.com/funding_round/formlogic-3def-series-a--281e03c6,Formlogic,https://www.crunchbase.com/organization/formlogic-3def,Series A,20400000,USD,20400000,2021-06-10,Early Stage Venture,,,,Yes,Formlogic is an autonomous manufacturing company that uses machine learning and physics simulation to precision parts.,"Artificial Intelligence (AI), Industrial Automation, Industrial Engineering, Machine Learning, Manufacturing, Mechanical Engineering",,"Pittsburgh, Pennsylvania, United States, North America",https://www.formlogic.com/,,40400000,USD,40400000,Early Stage Venture,5,Two Sigma Ventures,"10x Founders, 116 Street Ventures, 8VC, Alumni Ventures, Blue Ivy Ventures, Quest Venture Partners, Streamlined Ventures, The Yard Ventures, Trinity Capital, Triphammer Ventures, Two Sigma Ventures",11,1,"10,314"
Venture Round - UISEE,https://www.crunchbase.com/funding_round/uisee-series-unknown--5092c0e7,UISEE,https://www.crunchbase.com/organization/uisee,Venture - Series Unknown,1000000000,CNY,154325751,2021-01-25,,,,,Yes,UISEE provides leading-edge products on autonomous driving and transformative services on mobility on demand.,"Autonomous Vehicles, Machine Learning, Robotics",,"Haidian, Beijing, China, Asia",http://www.uisee.com/,$50M to $100M,1000000000,CNY,154325751,Late Stage Venture,5,"National Manufacturing Transformation and Upgrading Fund, Upgrade Fund","CAS Star, Century Golden Resources Group, China Development Bank Capital, Keyuan Industry Fund, National Manufacturing Transformation and Upgrading Fund, Upgrade Fund, Wuxi Capital",7,,"10,508"
Private Equity Round - Penten,https://www.crunchbase.com/funding_round/penten-private-equity--6185a08f,Penten,https://www.crunchbase.com/organization/penten,Private Equity,50000000,USD,50000000,2021-08-15,Private Equity,,,,Yes,"Penten helps the digital transformation of defence & government - creating, building & operating new cyber tech for the modern workforce.","Artificial Intelligence (AI), Cyber Security, Electronics, Government, Information Technology, Military, National Security, Network Security, Software",,"Canberra, Australian Capital Territory, Australia, Oceania",https://www.penten.com/,,53134473,USD,53134473,Private Equity,3,Five V Capital,Five V Capital,1,,"11,654"
Venture Round - ActivePipe,https://www.crunchbase.com/funding_round/activepipe-series-unknown--004cc90f,ActivePipe,https://www.crunchbase.com/organization/activepipe,Venture - Series Unknown,51000000,USD,51000000,2021-03-23,,,,,Yes,ActivePipe Platform uses predictive data technology to identify high-value contacts in a real estate agent’s database.,"Artificial Intelligence (AI), Marketing, Real Estate",,"Melbourne, Victoria, Australia, Oceania",https://activepipe.com/,$1M to $10M,60606254,USD,60606254,M&A,7,SecondQuarter Ventures,"David Tarascio, Leigh Jasper, SecondQuarter Ventures",3,1,"11,598"
Series D - Soul,https://www.crunchbase.com/funding_round/soul-bd43-series-d--a390a095,Soul,https://www.crunchbase.com/organization/soul-bd43,Series D,177400000,USD,177400000,2021-06-01,Late Stage Venture,,,,Yes,SOUL is a social network that uses AI to help users find their soul mates.,"Apps, Artificial Intelligence (AI), Internet, Social Network",,"Shanghai, Shanghai, China, Asia",http://www.soulapp.cn,$50M to $100M,395600000,USD,395600000,Late Stage Venture,8,,"Boyu Capital, Janus Henderson Investors, miHoYo, Tencent",4,,"14,047"
