Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Emergence,https://www.crunchbase.com/organization/emergence-9794,,"Artificial Intelligence (AI), Information Technology, Internet","New York, New York, United States",Emergence is technology company that advances science and development of AI agent systems for enterprise.,100000000,USD,100000000,,,,,,,97200000,USD,97200000,,,,97200000,USD,97200000,2,2024-06-27,"Greater New York Area, East Coast, Northeastern US",,Learn Capital,,,,Private,10018,2018-01-01,year,For Profit,https://www.emergence.ai/,https://www.linkedin.com/company/emergenceai/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,101-250,Seed,Seed,97200000,USD,97200000,Seed,1,1,,,,,,,,,,,,,,,,
Galaxy Bot,https://www.crunchbase.com/organization/galaxy-bot,Galaxy Bot is an innovative robotics company that provides intelligent universal service robotic products.,"Intelligent Systems, Manufacturing, Robotics","Beijing, Beijing, China",Galaxy Bot is an innovative robotics company that provides intelligent universal service robotic products.,700000000,CNY,96406782,,,1,155,11,,700000000,CNY,96406782,,,Scientific and electric apparatus and instruments,700000000,CNY,96406782,2,2024-06-21,Asia-Pacific (APAC),,"Meituan, Iflytek, Qiming Venture Partners, BlueRun Ventures, Matrix Partners China",,,0,Private,,,,For Profit,http://www.galbot.com,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",,,,Seed,Seed,700000000,CNY,96406782,Seed,4,9,,,"160,334","158,475",,,,,,,,,,,,
Klarity,https://www.crunchbase.com/organization/klarity,"Klarity's software simplifies your ASC 606 or IFRS 15 customer contract review process. Klarity normalizes your contract review controls through a standardized checklist, uses Machine Learning to review customer contracts for clauses with potential revenue impact, documents technical Revenue Recognition impact according to ASC 606 or IFRS 15, and stores all relevant documents (e.g. MSA, Order Form, RevRec schedule and Invoice) in one record.  Klarity was founded by Andrew Antos, a Harvard lawyer, and Nischal Nadhamuni, an MIT Computer Science graduate.","Accounting, Artificial Intelligence (AI), Document Management, Document Preparation, Machine Learning, SaaS, Software","San Francisco, California, United States",Klarity uses artificial intelligence to automate billing & revrec contract review for saas and software companies.,90375000,USD,90375000,,,,"1,193",52,13,90375000,USD,90375000,,,,70000000,USD,70000000,6,2024-06-24,"San Francisco Bay Area, West Coast, Western US",Less than $1M,"Scale Venture Partners, Nat Friedman, Daniel Gross, Invus, Tola Capital",,,,Private,94104,2017-06-05,day,For Profit,https://www.tryklarity.com,https://www.linkedin.com/company/klaritylaw,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software",2,"Andrew Antoš, Nischal Nadhamuni",11-50,Early Stage Venture,Series B,70000000,USD,70000000,Series B,3,25,,,"26,877","26,810",,,,,,,,,,,,
Leighton Dynamica,https://www.crunchbase.com/organization/leighton-avant-garde-haus,"Leighton Dynamica is an Avant-Garde Haus dedicated to innovation and determined to utilize bespoke technology to create an impactful future for advancements in Company Management Solutions, Private Sector Enterprises, Operations, and Management. The company is striving to improve the lives of countless individuals by integrating Intelligent Amalgamated Compositive Systems. This technology is being developed by a talented and mission-driven team whose diverse perspectives and lived experiences strengthen our ability to creatively problem-solve and execute solutions in the Healthcare Industry. IQX bespoke technologies bring an array of mission-critical advisory services to its clients from management consulting in the areas of strategy, performance, digital and IT, and revenue cycle, to clinical quality and patient safety services, medical staff services, and interim staffing, to strategic communications and change management.","Business Intelligence, Cloud Management, Consulting, Innovation Management, Intelligent Systems","Charlotte, North Carolina, United States",Innovative Avant-Garde Systems and Technologies,75000000,USD,75000000,,,,,8,,75000000,USD,75000000,,,,30000000,USD,30000000,3,2024-05-17,"East Coast, Southern US",$1M to $10M,"IO Group, Patrick A., Mark W.",,,,Private,28202,2022-06-01,month,For Profit,https://linktr.ee/leightondynamica,https://www.linkedin.com/company/theleightonhaus/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software",1,Tristan Leighton,11-50,Seed,Pre-Seed,30000000,USD,30000000,Pre-Seed,1,3,,,"47,315","47,152",,,"Hispanic / Latine Founded, Hispanic / Latine Led",,,,,,,,,
Motion,https://www.crunchbase.com/organization/motion-f1df,"Motion is an AI time management platform that provides real-time interventions, reminders, and analytics. Motion mark sites as distracting to limit the time on them in the future. The company's tool keeps users from becoming distracted while browsing the web by providing real-time interventions, reminders, and analytics, as well as calendar, tab management, and focus tools.","Analytics, Artificial Intelligence (AI), Productivity Tools, Real Time, Software","San Francisco, California, United States","Motion is an AI time management platform that provides real-time interventions, reminders, and analytics.",63567941,USD,63567941,,,,"1,751,929",55,,63567941,USD,63567941,"27,657",,,36490025,USD,36490025,4,2024-06-13,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"SignalFire, Y Combinator, Leonis Capital, Michael Seibel, Sam Altman",,,,Private,95834,2019-03-01,day,For Profit,https://www.usemotion.com,https://www.linkedin.com/company/motionapp,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",3,"Ethan Yu, Harry Qi, Omid Rooholfada",11-50,,Venture - Series Unknown,36490025,USD,36490025,Venture - Series Unknown,2,9,,,"41,941","41,803",,,,,,,,,,,,
Genspark AI,https://www.crunchbase.com/organization/genspark-ai,Genspark AI operates as an artificial intelligence search company.,"Artificial Intelligence (AI), Search Engine, Software","Palo Alto, California, United States",Genspark AI operates as an artificial intelligence search company.,60000000,USD,60000000,,,,,,,60000000,USD,60000000,,,,60000000,USD,60000000,1,2024-06-18,"San Francisco Bay Area, Silicon Valley, West Coast",,Lanchi Ventures,,,,Private,,2023-01-01,year,For Profit,https://genspark.ai,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,11-50,Seed,Seed,60000000,USD,60000000,Seed,1,1,,,,,,,,,,,,,,,,
Daydream,https://www.crunchbase.com/organization/daydream-562f,"Daydream focuses on providing personalized shopping results through generative AI, machine learning, and computer vision.","Fashion, Generative AI, Shopping","San Francisco, California, United States","Daydream focuses on providing personalized shopping results through generative AI, machine learning, and computer vision.",50000000,USD,50000000,,,,,,,50000000,USD,50000000,,,,50000000,USD,50000000,1,2024-06-20,"San Francisco Bay Area, West Coast, Western US",,"Google Ventures, Index Ventures, True Ventures, Forerunner Ventures",,,,Private,,2023-01-01,year,For Profit,https://daydream.ing,https://www.linkedin.com/company/daydream-ing,,,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Design",3,"Julie Bornstein, Lisa Yamner Green, Richard Kim",11-50,Seed,Seed,50000000,USD,50000000,Seed,2,4,,,,,,,,,,,,,,,,
Sensi.Ai,https://www.crunchbase.com/organization/clanz-technologies,"Sensi.Ai developed the first audio AI that's able to analyze the routine in long term care environments, detect anomalies and provide insight on trends, with the purpose of improving the quality of care","Artificial Intelligence (AI), Elder Care, Health Care, Machine Learning, Natural Language Processing, Physical Security, Security, Speech Recognition","Tel Aviv, Tel Aviv, Israel","The first in-home virtual care agent, leveraging AI to enable home care agencies to offer 24/7 services.",48650000,USD,48650000,,,,907,4,,48650000,USD,48650000,,,,31000000,USD,31000000,5,2024-06-26,"Europe, Middle East, and Africa (EMEA), Middle East",$1M to $10M,"Entrée Capital, Operator Partners, Flint Capital, Zeev Ventures, Insight Partners",,,,Private,,2019-07-01,day,For Profit,https://www.sensi.ai,https://www.linkedin.com/company/sensi-ai/,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Health Care, Privacy and Security, Science and Engineering, Software",3,"Keren Etkin, Nevo Elmalem, Romi Gubes",11-50,Early Stage Venture,Series B,31000000,USD,31000000,Series B,4,12,,,"55,118","54,887",,,,,,,,,,,,
Sunlune Corp,https://www.crunchbase.com/organization/sunlune-corp,"Sunlune is a developer of cutting-edge Web 3.0 and AI compute infrastructure hardware technologies. It is designed to meet the industry’s rapidly growing demands for high-throughput computing and larger AI workload capacities. The company’s disruptive next-gen hardware solutions provide massive upgrades in cost-efficiency, scalability, and sustainability to support the new wave of Gen AI applications.","Artificial Intelligence (AI), Blockchain, Generative AI, Semiconductor, Web3","Santa Clara, California, United States",Sunlune is a developer of cutting-edge Web 3.0 and AI compute infrastructure hardware technologies.,48010000,USD,48010000,,,,,,,48010000,USD,48010000,,,,30000000,USD,30000000,3,2022-08-01,"San Francisco Bay Area, Silicon Valley, West Coast",,Intel Capital,,,,Private,95051,2009-01-01,year,For Profit,https://sunlune.us/#/home/index,https://www.linkedin.com/company/sunlune,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Internet Services, Other, Science and Engineering, Software",,,101-250,Early Stage Venture,Series A,30000000,USD,30000000,Series A,1,1,,,,,,,,,,,,,,,,
BeagleData,https://www.crunchbase.com/organization/beagledata,BeagleData is a manufacturer that can provide distributed computing platform products and AI platform infrastructure.,"Artificial Intelligence (AI), Cloud Computing, Enterprise, Information Technology","Beijing, Beijing, China",Beijing Based  Enterprise services Company.,215000000,CNY,33288274,,,,,1,,215000000,CNY,33288274,,,,,,,6,2022-03-22,Asia-Pacific (APAC),,"Huaying Capital, Vision Plus Capital, Meridian Capital, Tianjin Venture Capital, SASAC",,,,Private,,2010-08-01,month,For Profit,http://www.beagledata.com/,https://www.linkedin.com/company/天云融创数据科技（北京）有限公司,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software",1,Truman Lei,51-100,Late Stage Venture,Series D,,,,Series D,6,13,,,"70,212","69,867",,,,,,,,,,,,
QuanticMind,https://www.crunchbase.com/organization/insidevault,"QuanticMind is a predictive advertising management software for paid search and social channels. Their Platform is for Smarter Advertising and is the pioneer of predictive advertising management software for paid search and social channels. By reinventing ad management point solutions through machine learning, distributed cloud computing, and in-memory processing, QuanticMind delivers the most intelligent, scalable, and fastest platform for maximizing advertising performance for enterprises. A global community of data-driven marketers relies on QuanticMind’s data science-powered platform to anticipate and execute the best and most granular advertising investments. It was incorporated in 2011 and is headquartered in Redwood City, California.","Advertising, Analytics, Artificial Intelligence (AI), Cloud Computing, Digital Marketing, Machine Learning, Marketing, Predictive Analytics, SaaS, Software","Redwood City, California, United States",QuanticMind is a predictive advertising management software for paid search and social channels. ,30300000,USD,30300000,2021-02-24,day,,,17,22,30300000,USD,30300000,,,,20000000,USD,20000000,2,2017-10-05,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Safeguard Scientifics, Cervin Ventures, Foundation Capital",$100M to $500M,2017-10-05,,Private,94065,2011-05-01,month,For Profit,http://quanticmind.com/,http://www.linkedin.com/company/insidevault,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software",3,"Brian Bird, Chaitanya Chandrasekar, Enriko Aryanto",51-100,M&A,Series B,20000000,USD,20000000,Series B,2,3,,Was Acquired,"25,880","25,816",,,,,,,,,,,,
Herow,https://www.crunchbase.com/organization/connecthings,"Herow is a one-stop contextual marketing platform that allows apps to maximize engagement with their users. It uses hyper-precise location technology and machine-learning algorithms to provide mobile applications with true user context - a combination of location, behavior, and surroundings.","Artificial Intelligence (AI), Big Data, Information Technology, Internet of Things, Location Based Services, Machine Learning, Marketing, Mobile, Mobile Apps, SaaS","Paris, Ile-de-France, France",Herow is a contextual marketing platform for mobile applications.,30300000,USD,30300000,,,3,,34,14,30300000,USD,30300000,,,Scientific and electric apparatus and instruments,18600000,USD,18600000,4,2019-10-15,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,"Siparex Groupe, Xerys, Calao Finance",,,0,Private,75010,2007-07-20,day,For Profit,http://www.herow.io,https://www.linkedin.com/company/herow/,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Mobile, Navigation and Mapping, Sales and Marketing, Science and Engineering, Software",1,Laetitia Gazel Anthoine,11-50,Early Stage Venture,Series B,18600000,USD,18600000,Series B,3,3,,,"43,213","43,068",,,,,,,,,,,,
Xiaoi Robot,https://www.crunchbase.com/organization/xiaoi-robert,"Xiaoi Robot is an intelligent robot technology provider and platform operator that is specialized in the long-term technology research and development of smart robots. The company covers businesses in telecommunication, finance, government, e-commerce, smart household appliances, automobiles, and other industries. After the constant verification and optimization of actual programs over the past decades, Xiaoi Robot now has the largest industrial knowledge base and encyclopedia base in multiple industries and sectors in the world. It also possesses an advanced intelligent human-machine dialogue engine, which ensures that its robot system process.   Established in 2001, Xiaoi Robot has been awarded with many national innovation patents in natural language processing and human-machine interaction. With more than 1 billion users and over 100 billion interactions, it covers more than a hundred countries and establishes the largest intelligent robot cloud service platform in the world.","Artificial Intelligence (AI), Automotive, Robotics","Shanghai, Shanghai, China",Xiaoi Robot is an intelligent robot technology provider and platform operator.,33539362,USD,33539362,2023-03-09,day,4,501,28,11,30278493,USD,30278493,,Computing; Calculating,Scientific and technological services,3260869,USD,3260869,7,2024-06-17,Asia-Pacific (APAC),$10M to $50M,"JAFCO Asia, Militello Capital, CBC Capital, Alibaba Capital Partners, Intel Capital",,,23,Public,201803,2001-01-01,year,For Profit,http://www.xiaoi.com,https://www.linkedin.com/company/xiaoi/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",1,Yuan Hui,501-1000,IPO,Post-IPO Debt,2994945,USD,2994945,Post-IPO Equity,1,10,,,"30,214","30,137",,,,,,3,3,,,,,
Huiyi Huiying,https://www.crunchbase.com/organization/huiyihuiying,"Huiyi Huiying is an international cloud computing, large data & AI tech that has created a digital medical imaging and tumor radiotherapy platform. It has also built a video intelligent screening system, leak detection system and the image Depth applied to the tumor, cardiovascular, acute abdomen and other single disease of artificial intelligence assisted diagnosis and treatment system.","Artificial Intelligence (AI), Big Data, Cloud Computing, Health Care, Hospital, Medical, Medical Device","Beijing, Beijing, China",Huiyi Huiying is an international cloud computing & AI tech that has created a digital medical imaging and tumor radiotherapy platform.,30186490,USD,30186490,,,0,,24,,30186490,USD,30186490,,Medical Or Veterinary Science; Hygiene,,100000000,CNY,15186490,5,2020-11-16,Asia-Pacific (APAC),$10M to $50M,"BlueRun Ventures, CDH Investments, Intel Capital, Delta Capital, Sinopharm Capital",,,1,Private,,2015-01-01,year,For Profit,http://www.huiyihuiying.com/,https://www.linkedin.com/company/%E6%85%A7%E5%BD%B1%E5%8C%BB%E7%96%97%E7%A7%91%E6%8A%80-%E5%8C%97%E4%BA%AC-%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Internet Services, Science and Engineering, Software",1,Xiangfei Chai,51-100,Late Stage Venture,Series C,100000000,CNY,15186490,Series C,3,8,,,"74,550","74,167",,,,,,,,,,,,
