Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Organization Location,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Mytra,https://www.crunchbase.com/funding_round/mytra-series-a--9d03a2cc,Mytra,https://www.crunchbase.com/organization/mytra,Series A,28000000,USD,28000000,2023-01-01,Early Stage Venture,,,,Yes,Mytra is a robotics company developing software-defined warehouse robotics solutions to automate industrial tasks in logistics.,"Artificial Intelligence (AI), Industrial Automation, Robotics, Supply Chain Management, Warehousing","South San Francisco, California, United States, North America",,http://mytra.ai,$1M to $10M,78000000,USD,78000000,Early Stage Venture,3,Eclipse Ventures,"Eclipse Ventures, Promus Ventures",2,1,510
Corporate Round - OpenAI,https://www.crunchbase.com/funding_round/openai-corporate-round--68edca00,OpenAI,https://www.crunchbase.com/organization/openai,Corporate Round,10000000000,USD,10000000000,2023-01-23,,19000000000,USD,19000000000,Yes,OpenAI is an AI research and deployment company that conducts research and implements machine learning.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software","San Francisco, California, United States, North America","LGBTQ+ Founded, LGBTQ+ Led, Women Founded",https://www.openai.com,$1B to $10B,11300120000,USD,11300120000,,7,Microsoft,Microsoft,1,,"1,663"
Series D - Glance,https://www.crunchbase.com/funding_round/glance-6e2a-series-d--e551238c,Glance,https://www.crunchbase.com/organization/glance-6e2a,Series D,200000000,USD,200000000,2022-02-14,Late Stage Venture,1500000000,USD,1500000000,Yes,Glance is an artificial intelligence-driven software company that delivers personalized content on the lock screen of smartphones.,"Artificial Intelligence (AI), Information Technology, Internet, Software","Bengaluru, Karnataka, India, Asia",,https://glance.com,$10M to $50M,390000000,USD,390000000,Late Stage Venture,3,Reliance Jio,Reliance Jio,1,,"4,074"
Series A - BCB Blockchain,https://www.crunchbase.com/funding_round/bcb-blockchain-series-a--2bb8345f,BCB Blockchain,https://www.crunchbase.com/organization/bcb-blockchain,Series A,60000000,USD,60000000,2022-01-24,Early Stage Venture,,,,Yes,BCB Blockchain is a blockchain protocol for developing and supporting smart city solutions.,"Artificial Intelligence (AI), Big Data, Blockchain, Cloud Computing, Robotics, Smart Cities, Virtual Reality","Singapore, Central Region, Singapore, Asia",,https://www.bcbchain.io/,,60000000,USD,60000000,Early Stage Venture,1,Foundation Capital,"BACKED VC, Blockchain.com Ventures, Circle, Cowa Ventures, Digital Currency Group, Foundation Capital, L1D, LAUNCHub Ventures, Menai Financial Group, Nexo, North Island Ventures, Pantera Capital, PayU GPO, Profluent Ventures, Rockaway Blockchain Fund, tokentus investment AG, Wintermute",17,,"5,179"
Series C - Anthropic,https://www.crunchbase.com/funding_round/anthropic-series-c--c12aea10,Anthropic,https://www.crunchbase.com/organization/anthropic,Series C,450000000,USD,450000000,2023-05-23,Late Stage Venture,4000000000,USD,4000000000,Yes,Anthropic is an AI safety and research company that focuses on increasing the safety of large-scale AI systems.,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning","San Francisco, California, United States, North America",Women Founded,https://www.anthropic.com,,9740377627,USD,9740377627,Late Stage Venture,10,Spark Capital,"Cedar Springs Capital LLC, Edelweiss Capital, Factorial Funds, Firestreak Ventures, Google, HOF Capital, ICONIQ Capital, ICS FO, Menlo Ventures, NLS Ventures, Pario Ventures, Pioneer Fund, Raison, Salesforce Ventures, SAP, Seven Rivers Capital LTD, SK Telecom Ventures, Sound Ventures, Spark Capital, SV Angel, XTX Ventures, Zoom Ventures",22,3,"5,624"
"Series A - Crowdbotics, Inc.",https://www.crunchbase.com/funding_round/crowdbotics-inc-series-a--3cecdd66,"Crowdbotics, Inc.",https://www.crunchbase.com/organization/crowdbotics-inc,Series A,22000000,USD,22000000,2022-01-20,Early Stage Venture,29000000,USD,29000000,Yes,Crowdbotics helps you build better apps faster and more securely with AI and systematic code reuse.,"Artificial Intelligence (AI), Augmented Reality, Blockchain, Chatbot, Consumer Applications, Internet of Things, Mobile Apps, Virtual Reality, Wearables, Web Development","Berkeley, California, United States, North America",,https://crowdbotics.asia/,,62000000,USD,62000000,Early Stage Venture,2,Jackson Square Ventures,"Bee Partners, Harrison Metal, Homebrew, Jackson Square Ventures, Pacific West Bank, The House Fund",6,,"7,471"
Series B - Bear Robotics,https://www.crunchbase.com/funding_round/bear-robotics-inc-series-b--27279d90,Bear Robotics,https://www.crunchbase.com/organization/bear-robotics-inc,Series B,81000000,USD,81000000,2022-03-15,Early Stage Venture,,,,Yes,Bear Robotics manufactures self-driving indoor robots to assist employees on daily tasks that can ease their workload.,"Artificial Intelligence (AI), Hospitality, Machine Learning, Robotics, Software","Redwood City, California, United States, North America","East Asian Founded, East Asian Led",https://bearrobotics.ai,$1M to $10M,175750000,USD,175750000,Late Stage Venture,7,IMM,"Cleveland Avenue, DSC Investment, IMM, IMM Private Equity, KT, Smilegate Investment",6,1,"7,960"
Seed Round - Poolside,https://www.crunchbase.com/funding_round/poolside-4f90-seed--150974ec,Poolside,https://www.crunchbase.com/organization/poolside-4f90,Seed,26000000,USD,26000000,2023-05-14,Seed,,,,Yes,Poolside is an artificial intelligence platform that offers foundation concepts and infrastructure.,"Artificial Intelligence (AI), Developer Platform, Information Technology, Infrastructure, Software","Paris, Ile-de-France, France, Europe",,http://www.poolside.ai,$1M to $10M,126000000,USD,126000000,Seed,2,Redpoint,"Air Street Capital, firedrop, Frst, Kima Ventures, New Wave (VC), Point Nine, Redpoint, The Twenty Minute VC",8,,"7,929"
Venture Round - CurveBeam AI,https://www.crunchbase.com/funding_round/curvebeam-ai-series-unknown--bebd2f9b,CurveBeam AI,https://www.crunchbase.com/organization/curvebeam-ai,Venture - Series Unknown,25000000,USD,25000000,2023-02-02,,,,,Yes,"CurveBeam AI develops, manufactures, operates, and sells artificial intelligence tools for bone analysis.","Artificial Intelligence (AI), Health Care, Manufacturing, Medical Device","Hatfield, Pennsylvania, United States, North America",,https://curvebeamai.com,$1M to $10M,25000000,USD,25000000,,1,,"Acorn Capital, Firetrail Investments, Frazis Capital Partners, Ilwella, Karst Peak Capital, SG Hiscock and Company, Tenmile",7,,"7,926"
"Series B - Crowdbotics, Inc.",https://www.crunchbase.com/funding_round/crowdbotics-inc-series-b--4f5c35cb,"Crowdbotics, Inc.",https://www.crunchbase.com/organization/crowdbotics-inc,Series B,40000000,USD,40000000,2023-01-25,Early Stage Venture,135000000,USD,135000000,Yes,Crowdbotics helps you build better apps faster and more securely with AI and systematic code reuse.,"Artificial Intelligence (AI), Augmented Reality, Blockchain, Chatbot, Consumer Applications, Internet of Things, Mobile Apps, Virtual Reality, Wearables, Web Development","Berkeley, California, United States, North America",,https://crowdbotics.asia/,,62000000,USD,62000000,Early Stage Venture,2,New Enterprise Associates,"Harrison Metal, Homebrew, Jackson Square Ventures, New Enterprise Associates, The House Fund",5,,"8,119"
