Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
Aisles,https://www.crunchbase.com/organization/aisles,"Artificial Intelligence (AI), Retail Technology","Portland, Oregon, United States",Aisles is a retail technology company seeking to transform the retail shopping experience through AI-powered technology.,4
rabbit,https://www.crunchbase.com/organization/rabbit-hmi,"Artificial Intelligence (AI), Hardware, Operating Systems","Los Angeles, California, United States",Rabbit brings the future of human-machine interface.,54
EliseAI,https://www.crunchbase.com/organization/meetelise,"Artificial Intelligence (AI), Business Intelligence, Information Technology, Real Estate","New York, New York, United States",EliseAI is an AI company developing a conversational platform for business automation.,67
EnsoData,https://www.crunchbase.com/organization/ensodata,"Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Software","Madison, Wisconsin, United States",EnsoData is a startup that utilizes artificial intelligence to analyze the human body to diagnose health conditions.,69
Otter.ai,https://www.crunchbase.com/organization/aisense-inc,"Artificial Intelligence (AI), Collaboration, Consumer Software, Enterprise Software, Information Technology","Mountain View, California, United States","Otter.ai improves business team productivity by providing an app to capture, share and recall all of your meeting notes.",85
Reka AI,https://www.crunchbase.com/organization/reka-ai,"Artificial Intelligence (AI), Generative AI, Information Technology, Software","Sunnyvale, California, United States",Reka AI is an AI research and product company to advance science and build generative AI models.,134
InVideo,https://www.crunchbase.com/organization/invideo,"Animation, Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Software, Video, Video Advertising, Video Editing","Singapore, Central Region, Singapore",InVideo is re-inventing video creation using AI and making it accessible to the world.,257
Essential AI,https://www.crunchbase.com/organization/essential-ai,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States",Essential AI creates AI solutions that enhance efficiency through the automation of labor-intensive and repetitive workflows.,314
Lexion,https://www.crunchbase.com/organization/lexion,"Artificial Intelligence (AI), Information Technology, Procurement, Productivity Tools, SaaS","Seattle, Washington, United States",Lexion is an operations workflow platform that streamlines and centralizes the contracting process to enhance team productivity.,357
TruEra,https://www.crunchbase.com/organization/truera,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Redwood City, California, United States","TruEra provides AI quality management solutions that test, optimize, and monitor machine learning models.",392
Robust Intelligence,https://www.crunchbase.com/organization/robust-intelligence,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Software, Software Engineering","San Francisco, California, United States",Robust Intelligence eliminates AI Failures by detecting model vulnerabilities and automatically preventing bad outcomes.,408
