Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Organization Website,Organization Location,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - xiQ,https://www.crunchbase.com/funding_round/xtra-iq-inc-series-a--6032570e,xiQ,https://www.crunchbase.com/organization/xtra-iq-inc,Series A,1600000,USD,1600000,2017-10-01,Early Stage Venture,,,,Yes,xiQ is an AI-enabled sales and marketing platform.,"Artificial Intelligence (AI), Brand Marketing, Business Intelligence, Content Marketing, CRM, Digital Marketing, Email Marketing, Machine Learning, Market Research, Marketing Automation",,2,Early Stage Venture,2500000,USD,2500000,$1M to $10M,http://www.xiqinc.com,"Redwood City, California, United States, North America",Amir Wain,"Amir Wain, H&S Ventures, StartEngine",3,,"55,143"
Seed Round - Aerial,https://www.crunchbase.com/funding_round/aerial-technologies-seed--17aed017,Aerial,https://www.crunchbase.com/organization/aerial-technologies,Seed,2250000,CAD,1664711,2017-06-01,Seed,,,,Yes,Aerial leverages AI and existing wireless infrastructure to create Sensing Intelligence that enables smarter applications,"Artificial Intelligence (AI), Big Data, Computer, Energy Management, Hospitality, Information Technology, Machine Learning, Security, Smart Home, Software",,5,,9002358,USD,9002358,$10M to $50M,http://www.aerial.ai/,"Montréal, Quebec, Canada, North America",,"MEDTEQ+, TandemLaunch",2,,"59,908"
Pre Seed Round - Nanoprecise Sci Corp,https://www.crunchbase.com/funding_round/nanoprecise-sci-corp-pre-seed--61b6938b,Nanoprecise Sci Corp,https://www.crunchbase.com/organization/nanoprecise-sci-corp,Pre-Seed,750000,USD,750000,2017-10-31,Seed,2000000,USD,2000000,Yes,Nanoprecise is an AI & IoT company that is revolutionizing the field of predictive maintenance by accurately diagnosing faults in machines.,"Artificial Intelligence (AI), Industrial Automation, Internet of Things",,7,Early Stage Venture,18969710,USD,18969710,$1M to $10M,http://www.nanoprecisesc.com,"Edmonton, Alberta, Canada, North America",Brian Craig,"Advanced Technology Centre, Adventure Capital, Brian Craig",3,,"61,466"
Angel Round - Bear Robotics,https://www.crunchbase.com/funding_round/bear-robotics-inc-angel--d82fa484,Bear Robotics,https://www.crunchbase.com/organization/bear-robotics-inc,Angel,750000,USD,750000,2017-06-01,Seed,,,,Yes,Bear Robotics manufactures self-driving indoor robots to assist employees on daily tasks that can ease their workload.,"Artificial Intelligence (AI), Hospitality, Machine Learning, Robotics, Software","East Asian Founded, East Asian Led",7,Late Stage Venture,175750000,USD,175750000,$1M to $10M,https://bearrobotics.ai,"Redwood City, California, United States, North America",,"Charlie Songhurst, Founder Friendly Labs, FuturePlay, John Ha, Line, SoftBank",6,,"62,335"
Seed Round - Mybrana,https://www.crunchbase.com/funding_round/mybrana-seed--929cc880,Mybrana,https://www.crunchbase.com/organization/mybrana,Seed,398000,EUR,477676,2017-12-31,Seed,,,,Yes,"MYBRANA is a technology company that has integrated computer vision functionalities, such as face recognition.","Ad Network, Advertising, Artificial Intelligence (AI), Augmented Reality, Computer Vision, E-Commerce, Mobile Advertising, Video Games",,6,Seed,1655000,EUR,1951146,Less than $1M,http://www.mybrana.com/,"Valencia, Comunidad Valenciana, Spain, Europe",,"SOSV, Startupxplore",2,,"62,252"
Seed Round - Sea Machines Robotics,https://www.crunchbase.com/funding_round/sea-machines-robotics-seed--e2437ace,Sea Machines Robotics,https://www.crunchbase.com/organization/sea-machines-robotics,Seed,1500000,USD,1500000,2017-04-14,Seed,,,,Yes,Sea Machines Robotics builds autonomous control and navigation systems for the commercial marine and boating industries.,"Artificial Intelligence (AI), Autonomous Vehicles, Marine Transportation, Navigation, Robotics",,10,,44300000,USD,44300000,$1M to $10M,http://www.sea-machines.com,"Boston, Massachusetts, United States, North America",,"Accomplice, Geekdom Fund, Jere Doyle, LaunchCapital, LDV Capital, Oyster Angel Fund",6,1,"63,246"
Seed Round - LinkSquares,https://www.crunchbase.com/funding_round/linksquares-seed--2dedea25,LinkSquares,https://www.crunchbase.com/organization/linksquares,Seed,2160000,USD,2160000,2017-11-09,Seed,,,,Yes,LinkSquares is a provider of AI-powered contract management tools for in-house legal teams.,"Artificial Intelligence (AI), Legal Tech, Machine Learning, Productivity Tools, Software",,6,Late Stage Venture,161469800,USD,161469800,$1M to $10M,https://www.linksquares.com,"Boston, Massachusetts, United States, North America",,Oyster Angel Fund,1,,"63,375"
Seed Round - Shape Analytics,https://www.crunchbase.com/funding_round/shapeanalytics-seed--e94d1c1a,Shape Analytics,https://www.crunchbase.com/organization/shapeanalytics,Seed,1700000,USD,1700000,2017-03-14,Seed,,,,Yes,Improve Your Organization Through People Analytics,"Analytics, Big Data, Human Resources, Predictive Analytics",,2,M&A,2890000,USD,2890000,$1M to $10M,https://www.shapeanalytics.com/,"San Francisco, California, United States, North America",,"Blackbird Ventures, Caffeinated Capital, Lowercase Capital, Sandy Kory",4,,"64,353"
Seed Round - Sapia,https://www.crunchbase.com/funding_round/predictivehire-seed--ad1a497a,Sapia,https://www.crunchbase.com/organization/predictivehire,Seed,1870000,AUD,1438020,2017-06-30,Seed,,,,Yes,"Sapia is humanizing the recruiting process with AI smart interviewer, an automated talent solution for both candidates and employers.","Artificial Intelligence (AI), Human Resources, Machine Learning, Recruiting, Software",,5,Early Stage Venture,21542142,USD,21542142,$10M to $50M,https://sapia.ai ,"Ivanhoe East, Victoria, Australia, Oceania",,"Capital Zed, Rampersand",2,,"67,154"
Seed Round - Ibex Medical Analytics,https://www.crunchbase.com/funding_round/ibex-medical-analytics-seed--c3483079,Ibex Medical Analytics,https://www.crunchbase.com/organization/ibex-medical-analytics,Seed,2600000,USD,2600000,2017-03-01,Seed,,,,Yes,IBEX is a Medical technology manufacturer that develops AI-powered diagnostic solutions to help pathologists.,"Analytics, Artificial Intelligence (AI), Health Diagnostics, Machine Learning",,7,Late Stage Venture,118455493,USD,118455493,$1M to $10M,https://ibex-ai.com,"Tel Aviv-yafo, Tel Aviv, Israel, Asia",,"Kamet, XTX Ventures",2,,"68,967"
Seed Round - Proscia,https://www.crunchbase.com/funding_round/proscia-seed--2df4f300,Proscia,https://www.crunchbase.com/organization/proscia,Seed,927200,USD,927200,2017-05-10,Seed,,,,Yes,"Proscia develops a pathology platform to assist routine pathology operations, enhance cancer diagnosis, and improve patient outcomes.","Artificial Intelligence (AI), Biotechnology, Life Science, Medical",,7,Late Stage Venture,80517470,USD,80517470,$10M to $50M,https://www.proscia.com,"Philadelphia, Pennsylvania, United States, North America",,,,,"69,408"
Angel Round - MarketX Ventures,https://www.crunchbase.com/funding_round/marketx-angel--737e2e5f,MarketX Ventures,https://www.crunchbase.com/organization/marketx,Angel,1700000,USD,1700000,2017-03-16,Seed,,,,Yes,MarketX is an online investment platform revolutionizing access to the private equity market.,"Artificial Intelligence (AI), Financial Services, FinTech, Information Services, Internet, Metaverse, Wealth Management","Women Founded, Women Led",1,Seed,1700000,USD,1700000,$1M to $10M,https://www.marketxventures.com,"San Francisco, California, United States, North America",,"Benjamin Z Lee, Boquan He, Jun Lei, UpHonest Capital, Wei Guo, Wensheng Cai",6,,"69,551"
Seed Round - GetWhy A/S,https://www.crunchbase.com/funding_round/getwhy-seed--850e9f94,GetWhy A/S,https://www.crunchbase.com/organization/getwhy,Seed,3000000,DKK,479579,2017-12-01,Seed,,,,Yes,GetWhy is a consumer research technology company delivering human insight to BtC enterprises via its video-based platform & proprietary AI.,"Artificial Intelligence (AI), Consumer Research, Market Research",,7,Early Stage Venture,53876043,USD,53876043,,https://getwhy.io,"Copenhagen, Hovedstaden, Denmark, Europe",,,,,"71,920"
Venture Round - Telegrafik,https://www.crunchbase.com/funding_round/telegrafik-series-unknown--49b49299,Telegrafik,https://www.crunchbase.com/organization/telegrafik,Venture - Series Unknown,1000000,EUR,1070785,2017-01-30,,,,,Yes,Telegrafik is an intelligent analysis platform for data from sensors for home care.,"Artificial Intelligence (AI), Internet of Things, Sensor",,3,,1000000,EUR,1070785,Less than $1M,http://www.telegrafik.eu/,"Toulouse, Midi-Pyrenees, France, Europe",,"Aviva Impact Investing France, Bpifrance, Citizen Capital, Fiblac, IeS, Les Business Angels des Grandes Écoles",6,,"73,361"
Seed Round - PKFARE,https://www.crunchbase.com/funding_round/pkfare-seed--25196147,PKFARE,https://www.crunchbase.com/organization/pkfare,Seed,2000000,USD,2000000,2017-06-01,Seed,,,,Yes,"PKFARE leads in sourcing, aggregating, and delivering vital information on air tickets and hotel accommodations.","Air Transportation, B2B, Big Data, Hospitality, Internet, Machine Learning, Marketplace, Travel",,2,M&A,3600000,USD,3600000,$1M to $10M,https://www.pkfare.com,"Shenzhen, Guangdong, China, Asia",,,,,"73,079"
Seed Round - Flexciton,https://www.crunchbase.com/funding_round/flexciton-seed--098be2b8,Flexciton,https://www.crunchbase.com/organization/flexciton,Seed,820000,GBP,1069100,2017-08-07,Seed,,,,Yes,Flexciton is the intelligent advantage platform for streamlined chipmaking,"Artificial Intelligence (AI), Industrial, Industrial Automation, Machine Learning, Manufacturing, Semiconductor, Software",,5,Early Stage Venture,28752720,USD,28752720,$1M to $10M,http://www.flexciton.com/,"London, England, United Kingdom, Europe",BACKED VC,"BACKED VC, Charlie Songhurst, Entrepreneur First, Isomer Capital, Join Capital, Nadav Rosenberg, Rob Dobson, Romulus Capital",8,1,"73,118"
Series A - RXThinking,https://www.crunchbase.com/funding_round/rxthinking-series-a--fd5caecf,RXThinking,https://www.crunchbase.com/organization/rxthinking,Series A,10000000,CNY,1506387,2017-10-25,Early Stage Venture,,,,Yes,RXThinking is an AI smart medical big data health company.,"Artificial Intelligence (AI), Big Data, Health Care",,3,Early Stage Venture,33000000,CNY,4896779,,https://www.rxthinking.com/,"Haidian, Beijing, China, Asia",,"Beijing Allcure Medical Technology, Foshan Junbo Technology, Grit Ventures",3,,"73,790"
Series A - Soul,https://www.crunchbase.com/funding_round/soul-bd43-series-a--e344f268,Soul,https://www.crunchbase.com/organization/soul-bd43,Series A,1200000,USD,1200000,2017-09-01,Early Stage Venture,,,,Yes,SOUL is a social network that uses AI to help users find their soul mates.,"Apps, Artificial Intelligence (AI), Internet, Social Network",,8,Late Stage Venture,395600000,USD,395600000,$50M to $100M,http://www.soulapp.cn,"Shanghai, Shanghai, China, Asia",5Y Capital,"5Y Capital, Magic Capital",2,1,"74,830"
Seed Round - Chatdesk,https://www.crunchbase.com/funding_round/chatdesk-375c-seed--f31a1f21,Chatdesk,https://www.crunchbase.com/organization/chatdesk-375c,Seed,2004998,USD,2004998,2017-12-27,Seed,,,,Yes,"Chatdesk helps companies maximize the ROI of their customer interactions on Email, Chat, Social, and SMS","Information Technology, Machine Learning, Natural Language Processing, SaaS, Social Media, Software","Black Founded, Black Led",2,Early Stage Venture,9004998,USD,9004998,Less than $1M,https://chatdesk.com/,"New York, New York, United States, North America",Susa Ventures,"Fika Ventures, John Kobs, Partech, Slow Ventures, Susa Ventures",5,1,"75,394"
Seed Round - Brain of Things,https://www.crunchbase.com/funding_round/brain-of-things-6416-seed--457b04d2,Brain of Things,https://www.crunchbase.com/organization/brain-of-things-6416,Seed,1028000,USD,1028000,2017-06-01,Seed,28000000,USD,28000000,Yes,Smart home that adapts to you,"Artificial Intelligence (AI), Information Technology, Smart Home",,8,,12859000,USD,12859000,,,,,,,,"76,799"
Series A - CyberInsight,https://www.crunchbase.com/funding_round/cyberinsight-series-a--e8e67e44,CyberInsight,https://www.crunchbase.com/organization/cyberinsight,Series A,10000000,CNY,1532086,2017-12-31,Early Stage Venture,,,,Yes,CyberInsight is an industrial intelligence company that provides end-to-end solutions based on the CPS cyber-physical system.,"Artificial Intelligence (AI), Big Data, DevOps, Industrial",,2,Early Stage Venture,13000000,CNY,1990588,,http://www.cinsightech.com/,"Haidian, Beijing, China, Asia",Gaorong Capital,"Gaorong Capital, IDG Capital, Lenovo Capital and Incubator Group (LCIG)",3,,"76,709"
Seed Round - TAZI,https://www.crunchbase.com/funding_round/tazi-io-seed--17f7e093,TAZI,https://www.crunchbase.com/organization/tazi-io,Seed,1100000,USD,1100000,2017-12-01,Seed,,,,Yes,Business In The Loop™ AI/GenAI Platform,"Computer, Financial Services, FinTech, Generative AI, Machine Learning, Manufacturing, Retail, Retail Technology, Software","Women Founded, Women Led",4,Seed,6200000,USD,6200000,$1M to $10M,http://tazi.ai,"San Francisco, California, United States, North America",Diffusion Capital Partners,Diffusion Capital Partners,1,1,"78,358"
Pre Seed Round - TWOSENSE.AI,https://www.crunchbase.com/funding_round/twosense-inc-pre-seed--e705d6fa,TWOSENSE.AI,https://www.crunchbase.com/organization/twosense-inc,Pre-Seed,1233000,USD,1233000,2017-01-09,Seed,,,,Yes,TWOSENSE.AI is a software development company.,"Artificial Intelligence (AI), Biometrics, Business Development, Identity Management, Security, Service Industry, Software",,3,Seed,6653000,USD,6653000,$1M to $10M,https://www.twosense.ai,"New York, New York, United States, North America",,"(ERA) Entrepreneurs Roundtable Accelerator, Boro Capital, John Ason",3,,"83,148"
Convertible Note - Cognitiv,https://www.crunchbase.com/funding_round/cognitiv-convertible-note--78e9c47b,Cognitiv,https://www.crunchbase.com/organization/cognitiv,Convertible Note,1700000,USD,1700000,2017-12-15,,,,,No,Cognitiv uses proprietary Deep Learning technology to help companies with Big Data problems get beyond analysis to decisions.,"Advertising, Analytics, Artificial Intelligence (AI), Big Data, Machine Learning",,5,Seed,4950000,USD,4950000,$1M to $10M,https://cognitiv.ai,"New York, New York, United States, North America",,,,,"82,617"
Seed Round - KarmaPulse,https://www.crunchbase.com/funding_round/karmapulse-seed--01ea006f,KarmaPulse,https://www.crunchbase.com/organization/karmapulse,Seed,1500000,USD,1500000,2017-06-01,Seed,,,,Yes,"Karmapulse helps brands, companies, agencies and entrepreneurs to translate social data in to human experiences.","Analytics, Natural Language Processing, Social Media",,1,Seed,1500000,USD,1500000,$1M to $10M,http://www.karmapulse.com,"Mexico City, Distrito Federal, Mexico, North America",IGNIA,"ID345, IGNIA, On Ventures",3,1,"85,618"
Seed Round - Lily AI,https://www.crunchbase.com/funding_round/onelook-2-seed--0c882a05,Lily AI,https://www.crunchbase.com/organization/onelook-2,Seed,2000000,USD,2000000,2017-12-13,Seed,,,,Yes,Lily AI is the platform that bridges the gap between brand-speak and customer-speak to drive exponential growth for commerce companies.,"Artificial Intelligence (AI), E-Commerce, Fashion","Women Founded, Women Led",7,Early Stage Venture,71899988,USD,71899988,$10M to $50M,https://www.lily.ai,"Mountain View, California, United States, North America","New Enterprise Associates, Unshackled Ventures","Geoff Donaker, Global Founders Capital, Jed Nachman, New Enterprise Associates, Think + Ventures, TriplePoint Capital, Unshackled Ventures, Varsha Rao",8,1,"84,344"
Seed Round - Quantum Capture,https://www.crunchbase.com/funding_round/quantum-capture-seed--aba763ac,Quantum Capture,https://www.crunchbase.com/organization/quantum-capture,Seed,950000,USD,950000,2017-08-11,Seed,,,,Yes,Enhance customer satisfaction and engagement with AI-powered virtual humans.,"Artificial Intelligence (AI), Augmented Reality, Customer Service, Human Resources, Machine Learning, Retail, Software, Virtual Assistant, Virtual Reality",,1,Seed,950000,USD,950000,Less than $1M,http://www.quantumcapture.com,"Toronto, Ontario, Canada, North America",,"Axioma Ventures, FundersClub, Super Ventures, VIVE X",4,,"85,075"
Seed Round - Fluent.ai,https://www.crunchbase.com/funding_round/fluent-ai-seed--b5a8a810,Fluent.ai,https://www.crunchbase.com/organization/fluent-ai,Seed,2000000,CAD,1540015,2017-06-29,Seed,,,,Yes,"Speech understanding and intent recognition that learns from speech, behavior and context, for embedded voice user interfaces","Artificial Intelligence (AI), Industrial Automation, Internet of Things, Machine Learning, Smart Home, Software, Software Engineering, Speech Recognition",,5,Seed,5387139,USD,5387139,$1M to $10M,http://fluent.ai,"Montréal, Quebec, Canada, North America","BDC Venture Capital, DHVC","500 Startups Canada, BDC Venture Capital, Desjardins Venture Capital, DHVC, Maple Leaf Angels, Probal Lala, William Tunstall-Pedoe",7,2,"85,790"
Pre Seed Round - Spocket,https://www.crunchbase.com/funding_round/spocket-pre-seed--db085c5e,Spocket,https://www.crunchbase.com/organization/spocket,Pre-Seed,500000,USD,500000,2017-07-04,Seed,,,,Yes,"Dropshipping marketplace serving 40,000 merchants","Computer, E-Commerce, Machine Learning, Marketplace, Software",,3,Seed,1820000,USD,1820000,$1M to $10M,https://spocket.co,"Vancouver, British Columbia, Canada, North America",7 Gate Ventures,"7 Gate Ventures, entrepreneurship@UBC",2,1,"86,368"
Seed Round - Bibox,https://www.crunchbase.com/funding_round/bibox-79a9-seed--58445dfe,Bibox,https://www.crunchbase.com/organization/bibox-79a9,Seed,1000000,USD,1000000,2017-11-01,Seed,,,,Yes,Bibox.com is the first ever AI-driven digital asset trading platform. Embedding AI technology into the trading process for digital ...,"Artificial Intelligence (AI), Asset Management, Blockchain, Information Technology, Internet, Software",,3,Private Equity,1000000,USD,1000000,$1M to $10M,https://www.bibox.com,"Singapore, Central Region, Singapore, Asia",,"8 Decimal Capital, Node Capital",2,,"87,439"
Pre Seed Round - Popsa,https://www.crunchbase.com/funding_round/popsa-pre-seed--c20f51fc,Popsa,https://www.crunchbase.com/organization/popsa,Pre-Seed,840000,GBP,1083390,2017-05-01,Seed,4000000,GBP,5159000,Yes,"Popsa is a generative AI startup that automatically designs, makes, and delivers personalized physical products.","Artificial Intelligence (AI), E-Commerce, Machine Learning, Printing, Retail Technology",,4,Early Stage Venture,19040000,GBP,25296829,$1M to $10M,https://popsa.com,"London, England, United Kingdom, Europe",500 Global,"500 Global, Bryn Satherley, Gordon Fitzjohn, Isaac Applbaum, John Hegarty, The Garage Soho, Thomas Teichman, Zeev Remez",8,,"91,562"
Seed Round - Betterview,https://www.crunchbase.com/funding_round/betterview-seed--badf718f,Betterview,https://www.crunchbase.com/organization/betterview,Seed,2000000,USD,2000000,2017-09-05,Seed,,,,Yes,"Betterview is a property intelligence platform that assists property insurers in analyzing, scoring, managing, and monitoring property risk.","Computer Vision, Insurance, Predictive Analytics, Property Management, Risk Management",,11,M&A,15550000,USD,15550000,$10M to $50M,https://www.betterview.com,"San Francisco, California, United States, North America",Compound,"645 Ventures, AAF Management Ltd., Alumni Ventures, Compound, Edward Lando, Haystack, MetaProp, Pareto Holdings, Pierre Valade, Winklevoss Capital",10,,"89,515"
Seed Round - NanoNets,https://www.crunchbase.com/funding_round/nanonets-seed--e44e9585,NanoNets,https://www.crunchbase.com/organization/nanonets,Seed,1380000,USD,1380000,2017-04-01,Seed,,,,Yes,NanoNets uses artificial intelligence to automate back-office processes within the financial services sector.,"Artificial Intelligence (AI), Computer, Developer APIs, Machine Learning, Software",,4,Early Stage Venture,40500000,USD,40500000,$1M to $10M,https://nanonets.com,"San Francisco, California, United States, North America",,"Asha Jadeja, Avalon Ventures, Duro Ventures, FundersClub, Lynett Capital, Soma Capital, Sound Ventures, SV Angel",8,,"90,013"
Seed Round - AMPLYFI,https://www.crunchbase.com/funding_round/amplyfi-seed--17dafeda,AMPLYFI,https://www.crunchbase.com/organization/amplyfi,Seed,800000,GBP,999279,2017-04-03,Seed,,,,Yes,AMPLYFI is a privately held company that provides software platform capable of intelligently harvesting open source data from the internet.,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Information Technology, Machine Learning, Market Research, Predictive Analytics, Software",,6,,10556148,USD,10556148,$1M to $10M,https://www.amplyfi.com/,"Cardiff, Cardiff, United Kingdom, Europe",Development Bank of Wales,"Ashley Cooper, Development Bank of Wales",2,1,"90,075"
Grant - Deep Med IO,https://www.crunchbase.com/funding_round/deep-med-io-grant--dea40a56,Deep Med IO,https://www.crunchbase.com/organization/deep-med-io,Grant,1967115,GBP,2413768,2017-03-01,,,,,No,DeepMed IO is a MedTech company based in the UK.,"Artificial Intelligence (AI), Biotechnology, Health Care, Software",,3,,2711363,USD,2711363,$1M to $10M,https://www.deepmed.io/,"Manchester, Manchester, United Kingdom, Europe",SBRI Healthcare,SBRI Healthcare,1,1,"91,861"
Angel Round - In-Driving,https://www.crunchbase.com/funding_round/in-driving-angel--6d762fd9,In-Driving,https://www.crunchbase.com/organization/in-driving,Angel,15000000,CNY,2268585,2017-11-30,Seed,,,,Yes,"In-Driving is an AI and robotics start-up that focuses on autonomous driving products, solutions, and technical services.","Artificial Intelligence (AI), Autonomous Vehicles, Intelligent Systems, Robotics",,6,,30536385,USD,30536385,,http://www.in-driving.com/,"Wuhan, Hubei, China, Asia",,,,,"94,578"
Seed Round - Microshare,https://www.crunchbase.com/funding_round/microshare-io-seed--49f9120a,Microshare,https://www.crunchbase.com/organization/microshare-io,Seed,2358077,USD,2358077,2017-08-29,Seed,,,,Yes,"Microshare provides Smart Facilities data solutions at scale that bring safety, cost savings, and sustainability.","Data Mining, Facility Management, Predictive Analytics, SaaS, Sustainability",,9,,36697978,USD,36697978,$10M to $50M,http://microshare.io,"Philadelphia, Pennsylvania, United States, North America",,Endeavour Ventures,1,,"95,309"
