Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
"Modality.AI, Inc.",https://www.crunchbase.com/organization/modality-ai,"Modality.ai is an AI-powered platform that detects health conditions using conversational AI. Through dialogue and video, Modality.AI interacts conversationally with the patient to provide health assessment anywhere, anytime. Its system analyzes multimodal data which allows continuous screening and assessing of patients’ health.","Artificial Intelligence (AI), Health Care, Machine Learning, Natural Language Processing, Software, Video","San Francisco, California, United States",Self-Driven Neurological Assessments,6567738,USD,6567738,,,0,"7,022",36,,3639878,USD,3639878,,,Scientific and technological services,,,,6,2023-11-30,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Creative Destruction Lab (CDL), National Institutes of Health, Alchemist Accelerator, Health Engine, Michael J. Fox Foundation",,,0,Private,94105,2018-01-01,year,For Profit,https://modality.ai,https://www.linkedin.com/company/modality-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Media and Entertainment, Science and Engineering, Software, Video",2,"David Pautler, David Suendermann-Oeft",11-50,Seed,Non-equity Assistance,1119113,USD,1119113,Seed,5,15,,,"33,195","33,101",,,,,,,,,,,,
Shiftmation,https://www.crunchbase.com/organization/axiverse,shiftmation creates an environment where employees shift automatic creation service using artificial intelligence to create a better society.,"Information Technology, Machine Learning, Small and Medium Businesses","Tokyo, Tokyo, Japan",Shiftmation creates an environment where people can play an active role and create a better society.,980000000,JPY,6567331,,,,,5,,680000000,JPY,4618607,,,,600000000,JPY,3897448,3,2024-05-16,Asia-Pacific (APAC),,"DNX Ventures, Japan Finance Corporation, Archetype Ventures",,,,Private,101-0051,2015-01-05,day,For Profit,http://axiverse.co.jp/,https://www.linkedin.com/company/axiverse,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Software",1,Masaki Nodzuka,1-10,Early Stage Venture,Series A,600000000,JPY,3897448,Series A,1,3,,,"39,054","38,934",,,,,,,,,,,,
Jeeng,https://www.crunchbase.com/organization/jeeng-ltd,Jeeng is an AI-powered autonomous marketing platform that enables businesses to communicate with their users on a personalized level. Our AI engine analyses every message and piece of content in real-time and matches it to relevant users based on their interests and online behavior. Jeeng was established by Shlomi Haybi & Roma Bronstein in 2016,"Artificial Intelligence (AI), B2B, Marketing Automation, Native Advertising","Tel Aviv, Tel Aviv, Israel",Jeeng is an AI-powered autonomous marketing platform.,6500000,USD,6500000,2020-05-07,day,,"7,696",29,19,1500000,USD,1500000,,,,5000000,USD,5000000,2,2021-04-21,"Europe, Middle East, and Africa (EMEA), Middle East",$10M to $50M,"500 Global, Mizrahi Tefahot Bank, Gigi Levy Weiss, TA Ventures, Aryeh Mergi",,,,Private,,2014-08-08,day,For Profit,http://www.jeeng.com,https://il.linkedin.com/in/shlomihaybi,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",2,"Roma Bronstien, Shlomi Haybi",11-50,M&A,Debt Financing,1500000,USD,1500000,Seed,1,8,,Was Acquired,"70,153","69,806",,,,,,,,,,,,
AINOSTICS,https://www.crunchbase.com/organization/ainostics,"The Sixth Sense in medical Diagnostics.   At AINOSTICS we are working to identify the earliest biological signs of some of our society’s most devastating neurodegenerative conditions such as Alzheimer’s disease, Huntington's and MS, providing the best chance of success in the development of potential preventions and therapeutics by Pharma, and precise treatment planning by clinicians. We combine the most exciting medical imaging innovations with the best of artificial intelligence solutions to unlock the future of personalised diagnosis, prognosis, and therapy monitoring and planning.","Artificial Intelligence (AI), Clinical Trials, Health Care, Machine Learning, Medical, Medical Device","Manchester, Manchester, United Kingdom",AINOSTICS develops groundbreaking AI algorithms and MRI measurements for the accurate diagnosis and management of neurological conditions,6500000,USD,6500000,,,2,252,6,,,,,,,Scientific and electric apparatus and instruments,2600000,USD,2600000,4,2022-02-07,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,Innovate UK,,,0,Private,M3 3EB,2018-06-18,day,For Profit,https://www.ainostics.com,https://www.linkedin.com/company/ainostics,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1,Hojjat Azadbakht,11-50,,Grant,,,,,,1,,,"80,184","79,746",,,,,,,,,,,,
LBT Innovations Limited,https://www.crunchbase.com/organization/lbt-innovations-limited,"Medical technology company commercialising the first and only FDA cleared instrument using Artificial Intelligence (AI) which automates reading of culture plates in hospitals and microbiology laboratories globally.  This first in class technology has US-FDA, CE Mark and TGA regulatory clearances and is available for sale in the United States, the European Union and Australia.  The AI algorithm and intelligent imaging platform technology is patent protected, clinically proven through a 10,000 patient clinic trial with reference customer sites established in the US, EU and AU, with early sales.","Artificial Intelligence (AI), Clinical Trials, Health Care, Health Diagnostics, Medical Device","Adelaide, South Australia, Australia",Designer of platform AI and intelligent imaging technology for automated analysis of microbiology processes.,6500000,USD,6500000,2006-07-31,day,10,,19,20,,,,,Computing; Calculating,Scientific and electric apparatus and instruments,4000000,USD,4000000,2,2018-02-19,"Asia-Pacific (APAC), Australasia",$1M to $10M,,,,11,Public,SA 5000,2004-01-01,year,For Profit,http://www.lbtinnovations.com/,https://www.linkedin.com/company/4808105/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1,Lusia Guthrie,11-50,IPO,Post-IPO Debt,,,,,,,,,"86,055","85,555",,,,,,,,,,,,
Aegiq,https://www.crunchbase.com/organization/aegiq,"Aegiq is a quantum computing and quantum networking company on a mission to make quantum technology practical. Offering a portfolio of products and solutions covering frontier cybersecurity, quantum networking, quantum-enhanced sensing, and quantum computing, Aegiq helps governments and global leaders in R&D, telecommunications, defence & aerospace, financial, and advanced manufacturing sectors to stay ahead of the tech curve.","Aerospace, Artificial Intelligence (AI), Cyber Security, Information and Communications Technology (ICT), Machine Learning, Nanotechnology, Optical Communication, Quantum Computing, Satellite Communication","Sheffield, Sheffield, United Kingdom",A quantum computing and networking company making quantum technology practical,5000000,GBP,6463935,,,0,408,3,,3600000,GBP,4644186,,Electric Communication Technique,,,,,5,2022-09-15,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Creative Destruction Lab (CDL), Innovate UK, Deepbridge Capital, HTGF | High-Tech Gruenderfonds, Quantum Exponential",,,0,Private,S1 2NS,2019-12-01,month,For Profit,https://www.aegiq.com/,https://www.linkedin.com/company/aegiq,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",5,"Andrii Iamshanov, Jon Heffernan, Maksym Sich, Maurice Skolnick, Scott Dufferwiel",11-50,Seed,Grant,1800000,GBP,2196761,Seed,3,7,,,"27,819","27,749",,,,,,,,,,,,
Rally,https://www.crunchbase.com/organization/rally-bus,"Rally is Mass Mobility as a Service: technology and model innovations for the business of buses. With millions of rides completed, Rally is disrupting the mode of transportation that moves more people than any other. Our AI creates new intercity routes for regional transport and our crowdfunding/sourcing marketplace facilitates surge demand for travel during peak times or mass movements. Rally converts private car users to shared bus riders, unlocking the value of the underutilized assets of the bus industry. While Rally introduces bus travel to many first-time riders, our platform also provides traditional bus charter customers the digital tools to manage their entire journey, from route planning and procurement to marketing automation, payments and customer service.","Artificial Intelligence (AI), Collaborative Consumption, Events, Logistics, Music Venues, Sports, Transportation","New York, New York, United States",Rally is Mass Mobility as a Service: technology and model innovations for the business of buses.,6450000,USD,6450000,,,,"55,810",9,12,5750000,USD,5750000,,,,,,,11,2021-06-08,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,"Techstars, Elemental Excelerator, Mercedes-Benz Group AG, Right Side Capital Management, VentureOut",,,,Private,10001,2015-01-01,month,For Profit,https://rally.co,https://www.linkedin.com/company/rally-bus,,,"Artificial Intelligence (AI), Data and Analytics, Events, Media and Entertainment, Other, Science and Engineering, Software, Sports, Transportation",3,"Narinder Singh, Numaan Akram, Siheun Song",11-50,,Convertible Note,,,,Venture - Series Unknown,7,17,2,Made Acquisitions,"26,405","26,340",,,Women Founded,,,,,,,,,
ManoMotion,https://www.crunchbase.com/organization/manomotion,"ManoMotion is a deep tech AI company developing software for real time 3D gesture analysis that allows the user to interact with technology through finger and hand gestures in 3D. This is particularly important to create effective interaction without the need for additional hardware in Augmented and Virtual Reality, and with the small screens, or no screens, typical in wearable computing and smart devices.","3D Technology, Artificial Intelligence (AI), Augmented Reality, Machine Learning, Mobile Apps, Robotics, Software, Virtual Reality","Stockholm, Stockholms Lan, Sweden",ManoMotion is a gesture technology company that enables its users to manipulate objects in 3D space with real-life intuitiveness.,6450000,USD,6450000,,,1,"2,065",53,16,3700000,USD,3700000,0,Computing; Calculating,Scientific and electric apparatus and instruments,2500000,USD,2500000,4,2019-03-23,"European Union (EU), Nordic Countries, Scandinavia",$1M to $10M,"Horizon 2020, KTH Holding, Lars Thunell, Jakob Tolleryd, Lars Molinder",,,3,Private,11136,2015-02-23,day,For Profit,http://www.manomotion.com,https://www.linkedin.com/company/manomotion,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Mobile, Science and Engineering, Software",3,"Daniel Carlman, Haibo Li, Shahrouz Yousefi",11-50,Seed,Grant,2000000,USD,2000000,Seed,1,5,,,"31,486","31,403",,,,,,,,,,,,
C2RO,https://www.crunchbase.com/organization/c2ro,"C2RO™ is the leading global provider of Privacy-Aware AI-powered video analytics for physical spaces using proprietary edge-cloud AI and computer vision technologies. The C2RO™ biometric-free solutions are built for scale and reuse existing surveillance cameras while being fully compliant with the most restrictive data privacy regulations in the world including the EU’s GDPR. ENTERA™, C2RO’s flagship product, is the most advanced GDPR-Compliant Video Analytics Platform in the world. It provides comprehensive, accurate, and 100% faceless shopper journey insights, detailed socio-demographic breakdowns, and full conversion funnel analysis, enabling data-driven decision-making to improve quality of service, customer experience, and safety by detecting inefficiencies and bottlenecks that impact the ROI.  ENTERA™ enables unprecedented savings on Edge Computing for large deployments across thousands of sites. C2RO™ was founded in 2016 and headquartered in Montreal, Canada, a global hub for Artificial Intelligence. C2RO™ was named the 2020s most trusted retail technology provider in the world by CIO Techie magazine. It was also listed two years consecutively in 2020 and 2021 as the Most Innovative Privacy-Aware AI-Based Video Analytics Solution by Corporate Vision. In 2021, C2RO™ was named the official AI Video Analytics Technology provider of Telefonica Tech, providing innovative Video Analytics capability to their IoT and Big Data portfolio and always prioritizing consumer data protection.","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Computing, Computer Vision, Machine Learning, Retail Technology, SaaS, Software","Montréal, Quebec, Canada","Privacy-aware video analytics using proprietary edge-cloud AI for Physical Retail, Mall, Smart City and Enterprise Market.",6434829,USD,6434829,,,0,,10,15,4451376,USD,4451376,,,,,,,8,2020-12-18,,$1M to $10M,"Capital Angel Network, Anges Quebec, Celtic House Asia Partners, TandemLaunch, Desjardins Capital",,,7,Private,H2T2S6,2016-03-01,month,For Profit,https://www.c2ro.com,https://ca.linkedin.com/company/c2ro,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",2,"Brian Moore, Soodeh Farokhi",11-50,,Venture - Series Unknown,,,,Venture - Series Unknown,4,11,,,"41,023","40,893",,,,,,,,,,,,
Nanome,https://www.crunchbase.com/organization/nanome-inc,"Nanome is a software company that offers a collaborative XR software platform for scientific discovery. The platform accelerates existing computational workflows at the molecular scale and unlocks more scientists to leverage powerful molecular computations + AI. Nanome has worked largely on projects with companies in the biopharma industry, as well as other industries, including food & beverage, material science, and education.","Artificial Intelligence (AI), Biopharma, Biotechnology, Software, Virtual Reality","San Diego, California, United States",Nanome is a software company that offers a collaborative XR software platform for scientific discovery,6430000,USD,6430000,,,2,"7,575",26,19,4730000,USD,4730000,,,Scientific and technological services,3000000,USD,3000000,4,2021-02-09,"Greater San Diego Area, West Coast, Western US",$1M to $10M,"Formic Ventures, VIVE X, Colopl Next, Ride Home Fund, Keshif Ventures",,,6,Private,,2016-08-30,day,For Profit,http://nanome.ai,https://www.linkedin.com/company/nanome-inc,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",4,"Edgardo Leija, Keita Funakawa, Samuel Hessenauer, Steven McCloskey",11-50,,Venture - Series Unknown,3000000,USD,3000000,Venture - Series Unknown,1,7,,,"29,741","29,668",,,,,,,,,,,,
