Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Cyberinc,https://www.crunchbase.com/organization/cyberinc,"Cyberinc offers a secure, scalable, and high-performance security products that protect from cyber-attacks. It's formed by merging Spikes Security with Aurionpro’s Security Division, which is a wholly-owned subsidiary focused on Enterprise Security. Cyberinc is dedicated to helping enterprises secure their digital businesses and expand their security perimeter. Cyberinc delivers enterprise-scale solutions that help CISOs address the top two threat vectors of the digital age – information loss through web-based malware threats and unauthorized access, with their flagship product offering, Isla Malware Isolation platform which ensures 100% web freedom and comprehensive IAM solutions that have secured over 100 million identities across the globe.","Artificial Intelligence (AI), Cyber Security, Machine Learning, Security, Service Industry","Los Gatos, California, United States","Cyberinc offers a secure, scalable, and high-performance security products that protect from cyber-attacks.",11474999,USD,11474999,2021-05-06,day,,,5,19,11474999,USD,11474999,,,,3699999,USD,3699999,3,2019-06-27,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Benhamou Global Ventures, Javelin Venture Partners, Lakewood & Company",,,,Private,95030,2016-01-01,year,For Profit,https://cyberinc.com/,https://www.linkedin.com/company/cyberinc/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Privacy and Security, Science and Engineering, Software",1,Branden Spikes,11-50,M&A,Series B,3699999,USD,3699999,Series B,1,3,,Was Acquired,"62,640","62,343",,,,,,,,,,,,
SimpleTherapy,https://www.crunchbase.com/organization/simpletherapy,"SimpleTherapy is a digital healthcare platform that combines physical therapy with artificial intelligence to bring you a musculoskeletal pain recovery program that can be done at home and at a fraction of the cost. They work with individuals as well as employers of all sizes to provide convenient, physician-driven exercises that relieve pain and reduce the cost burdens associated with MSK. Additionally, our corporate wellness program is a cost-effective way to manage employee's muscle and joint pain while keeping them out of the healthcare system, thereby saving businesses thousands of dollars per year per employee. SimpleTherapy is head-to-toe pain recovery accessible 24/7 with no copays and without the need of expensive equipment. They are proud to have over 10,000 users across the world of which 72% report a significant reduction in pain. Too, SimpleTherapy is a valuable partner to decrease healthcare costs and has as clients two of the top 5 national insurance payers and three Fortune 100 employers.","Artificial Intelligence (AI), Health Care, Wellness","Fremont, California, United States",SimpleTherapy is a digital platform that combines physical therapy with AI to bring a musculoskeletal pain recovery.,11870994,USD,11870994,,,5,767,62,45,11470994,USD,11470994,,,Education; entertainment,9030994,USD,9030994,5,2022-05-17,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Swiss Re, Dreamit Ventures, Dreamit Healthtech",,,0,Private,94538,2012-02-01,month,For Profit,https://www.simpletherapy.com,http://www.linkedin.com/company/simpletherapy,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",3,"Andre Nicolas Gay, Arpit Khemka, Tae Won Kim",11-50,,Venture - Series Unknown,9030994,USD,9030994,Venture - Series Unknown,1,3,2,Made Acquisitions,"34,491","34,390",,,,,,,,,,,,
FLOKI Technologies,https://www.crunchbase.com/organization/floki-technologies,"We are a Market Network startup with a plug & play solution to bring the procurement area in fragmented industries to the age of A.I.. Our current clients are Bars, Restaurants, Dark Kitchens and Dark Stores. Our mission is to improve the procurement operation & financial health of fragmented food retailers by providing them with the same resources, technology and bargaining power that only the large companies had.","Artificial Intelligence (AI), Fast-Moving Consumer Goods, Food and Beverage, Procurement, Restaurants, Software","São Paulo, Sao Paulo, Brazil",Smart and Autonomous Procurement System for Fragmented Foodservice Retailers,11467360,USD,11467360,,,,,32,,11467360,USD,11467360,,,,50000000,BRL,10817360,3,2022-04-20,Latin America,,"Olist, Latitud, VivaReal, Apontador Busca Local, Valor Capital Group",,,,Private,01420-005,2020-01-01,year,For Profit,https://www.flokitech.com/,https://www.linkedin.com/company/floki-technologies/,,,"Artificial Intelligence (AI), Consumer Goods, Data and Analytics, Food and Beverage, Real Estate, Science and Engineering, Software, Transportation",2,"Luigi Uliana Rodrigues, Marcelo Lapa Espiga",51-100,Seed,Seed,50000000,BRL,10817360,Seed,3,11,,,"27,683","27,613",,,,,,,,,,,,
MostLikely,https://www.crunchbase.com/organization/mostlikely,"MostLikely applies cutting edge predictive analytics to predict the future intent and future need of homeowners at every stage of the home ownership lifecyle. Our suite of predictive models allows our clients to focus their marketing efforts on the specific addresses of the homeowners most likely to need their services, and stop wasting money on the least likely ones. Our company got started in 2009, under the name ValueAppeal, by predicting which homes were most likely to win a property tax appeal. ValueAppeal is a powerful online do-it-yourself tool that homeowners use to lower their property taxes. The service is based on a powerful proprietary predictive model designed to identify the properties most likely to win a property tax appeal. In July 2013 ValueAppeal was re-branded as MostLikely to reflect the wider application of our predictive model platform, and our expanded focus beyond the property tax appeal space alone.","Analytics, Big Data, Marketing Automation, Predictive Analytics, Real Estate, SaaS","Seattle, Washington, United States",ValueAppeal provides a web-based easy-to-use tool to help homeowners file a property tax appeal when taxes are overassessed.,11440911,USD,11440911,2014-09-01,month,,,4,2,11440911,USD,11440911,,,,6489578,USD,6489578,5,2013-01-22,"Greater Seattle Area, West Coast, Western US",Less than $1M,,,,,Private,98109,2009-02-01,day,For Profit,http://www.MostLikely.com,,,,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Sales and Marketing, Software",1,Charles A Walsh,11-50,M&A,Venture - Series Unknown,6489578,USD,6489578,Venture - Series Unknown,,,,Was Acquired,"1,385,538","1,349,916",,,,,,,,,,,,
DeepScience,https://www.crunchbase.com/organization/deepscience,DeepScience is an extended reality content technology company providing AI digital human-driven engines and technical art platforms.,"Artificial Intelligence (AI), Augmented Reality, Content, Software, Virtual Reality","Fengtai, Beijing, China",DeepScience is an extended reality content technology company providing AI digital human-driven engines and technical art platforms .,11414167,USD,11414167,,,,,9,,11414167,USD,11414167,0,,,10000000,USD,10000000,3,2021-11-02,Asia-Pacific (APAC),,"Haier, Innoangel Fund, GSR Ventures, Peakview Capital, AC Accelerator",,,,Private,,2016-04-01,month,For Profit,https://www.deepscience.cn/,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Media and Entertainment, Science and Engineering, Software",1,David Cheng,11-50,Early Stage Venture,Series B,10000000,USD,10000000,Series B,3,8,,,"74,157","73,776",,,,,,,,,,,,
mIQroTech,https://www.crunchbase.com/organization/miqrotech,"MIQroTech provides AI and IoT pipeline monitoring technology to predict oil and gas pipeline leaks. The company's cutting-edge pipeline monitoring solution reads pipelines in real time and provides instant feedback. This level of detection yields insights that go beyond real-time threats. By combining this continuous, consistent data collection with artificial intelligence and analytics, they can predict leaks weeks, months, and even years in advance. Its powerful analytics computing provides extensive and in-depth data analysis, providing the team with insights that allow for faster and more strategic decision-making.","Artificial Intelligence (AI), Energy, Internet of Things, Oil and Gas","Tampa, Florida, United States",MIQroTech provides AI and IoT pipeline monitoring technology to predict oil and gas pipeline leaks.,11414145,USD,11414145,,,,,12,11,11414145,USD,11414145,,,,,,,5,2022-08-25,"Tampa Bay Area, East Coast, Southern US",$1M to $10M,"Startupbootcamp Australia, Harvard Business School Alumni Angels of Greater NY, OCEAN Accelerator, E. Mackey",,,,Private,,2016-05-01,day,For Profit,https://www.miqrotech.com,https://www.linkedin.com/company/miqrotech,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Internet Services, Natural Resources, Science and Engineering, Software",1,Meade Lewis,11-50,Seed,Seed,,,,Seed,1,4,,,"46,833","46,672",,,,,,,,,,,,
ROBART,https://www.crunchbase.com/organization/robart,"ROBART is focused on developing autonomous mobile robots for consumer and industrial applications based upon its AICU (Artificial Intelligence Control Unit) technology. ROBART is an Austrian high-tech start-up that enables the vision of ""a robot in every home"". Since its founding in February 2009, ROBART's approach to the challenge and opportunity of next generation intelligent robots has been to focus on the development of a low cost control unit (AICU), which enables industry-leading companies to produce novel robotic products, such as intelligent robotic vacuums, security robots, mobile entertainment devices, or new classes of innovative products. Since today's robots do not satisfy consumer needs, ROBART's unique technology is focused on precise accomplishing of consumers tasks, robust functionality and intuitive interaction with the user.","Apps, Artificial Intelligence (AI), Internet of Things, Machine Learning, Product Design, Project Management, Robotics, Smart Building, Software","Linz, Oberosterreich, Austria",It's focused on developing autonomous mobile robots based upon its AICU.,20367624,USD,20367624,,,7,,18,14,11367624,USD,11367624,,Controlling,Machines and machine tools,9000000,USD,9000000,4,2020-10-29,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"European Investment Bank, Bosch Ventures, Groupe SEB, Innovacom, Crédit Mutuel Innovation",,,36,Private,4040,2009-02-01,day,For Profit,https://robart.ai,http://www.linkedin.com/company/robart,,,"Administrative Services, Apps, Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Internet Services, Other, Real Estate, Science and Engineering, Software",2,"Harold Artés, Michael Schahpar",11-50,Early Stage Venture,Debt Financing,6100000,EUR,7227625,Series B,3,8,,,"45,063","44,911",,,,,,,,,,,,
Pion,https://www.crunchbase.com/organization/pion-corporation,Pion Corporation is an Martech focused video intelligence company. A video creation and ad-automation platform powered by AI.,"Advertising, Advertising Platforms, Artificial Intelligence (AI), Digital Marketing, Machine Learning, Video","Yeoksamdong, Seoul-t'ukpyolsi, South Korea",Pion is martech company that focuses on video and image creation through AI.,16500000000,KRW,12882489,,,,,1,,14500000000,KRW,11358952,,,,10500000000,KRW,7998568,4,2023-04-04,Asia-Pacific (APAC),Less than $1M,"KB Investment, BonAngels Venture Partners, TIPS Program, FuturePlay, Smilegate Investment",,,,Private,,2019-02-12,day,For Profit,http://pioncorp.com,https://www.linkedin.com/company/pion-coporation,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Video",,,11-50,Early Stage Venture,Series A,10500000000,KRW,7998568,Series A,3,11,,,"32,748","32,655",,1,,,,,,,,,,
ProovStation,https://www.crunchbase.com/organization/proov-station,"Operating in 13 European countries, ProovStation is a DeepTech start-up specializing in computer vision.  Since 2017, its goal has been to scale up, automate and standardize the automotive inspection process worldwide to automatically estimate repair costs. Its mission is to reduce the total cost of vehicle inspection and increase the efficiency of the entire process to improve the customer and employee experience.  ProovStation develops a range of high-tech vehicle scanners which, assisted by a combined array of optical technologies, conduct a 360° scan of the vehicle in just three seconds. This technique covers all angles and analyzes all damages at millimeter scale.  The “Station” uses artificial intelligence to detect, measure and locate all of the damages sustained by the vehicle. It then generates a time-stamped, geolocated and secured report. ProovStation customers are subsequently given access to range of SaaS solutions (automatic reconditioning quotes; automatic vehicle pricing for resale; check in/check out, vehicle identification; 2D/3D photo studio; and activity management).","Artificial Intelligence (AI), Automotive, Cloud Computing, Machine Learning, Software","Lyon, Rhone-Alpes, France",ProovStation is an automated drive-through bay which detects and analyses vehicle damages.,10400000,EUR,11357320,,,0,"5,341",20,13,10400000,EUR,11357320,,Testing,,10400000,EUR,11357320,3,2023-01-25,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,"Supernova Invest, Otium Capital, Crédit Agricole Centre-Est",,,0,Private,69001,2017-01-01,year,For Profit,https://www.proovstation.com/,https://www.linkedin.com/company/proovstation,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software, Transportation",4,"Alexandre My, Anton Komyza, Cedric Bernard, Gabriel Tissandier",11-50,Early Stage Venture,Series A,10400000,EUR,11357320,Series A,1,3,,,"33,385","33,291",,,,,,,,,,,,
XYZ,https://www.crunchbase.com/organization/lounge-lab,"XYZ, Inc. is a service robot startup established based on the vision of “ROBOTS INTO OUR DAILYLIFE”, through artificial intelligence-based robot technology. We research and try various unmanned technologies from retail space to our daily life. We are developing various service robots for retail space automation, such as the barista robot <Baris>, the ice cream robot <Aris>, and the food and beverage delivery robot <Storagy> are reflecting. Recently, we are making achievements in collaboration with various major brands such as Porsche Korea, Hyundai Motor Company, and Grand Walkerhill Hotel.","Artificial Intelligence (AI), Information Technology, Robotics","Seoul, Seoul-t'ukpyolsi, South Korea",XYZ is an retail-tech startup that innovates user experience by using cutting-edge technologies.,11354266,USD,11354266,,,4,"2,105",7,,11354266,USD,11354266,,Hand Tools; Portable Power-Driven Tools; Manipulators,Scientific and electric apparatus and instruments,10000000000,KRW,7354266,5,2022-11-21,Asia-Pacific (APAC),,"Korea Investment Partners, Samsung Venture Investment, Hyundai Motor Group, Magna Investment, Humax Holdings",,,2,Private,,2019-10-01,day,For Profit,https://www.xyzcorp.io/,https://www.linkedin.com/company/xyzcorporation/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",1,Sungjae Hwang,11-50,Early Stage Venture,Series A,10000000000,KRW,7354266,Series A,2,8,2,Made Acquisitions,"27,032","26,966",,,,,,,,,,,,
