Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Aignostics,https://www.crunchbase.com/organization/aignostics,"Aignostics is an AI-powered precision diagnostics focused on pathology to assist with drug development and clinical research. Its “explainable” AI overcomes the “black-box” limitations of conventional AI. Based on their patented technology for reverse-engineering the black box, they render diagnostic results explainable in the form of precise heatmaps and image overlays. These heatmaps allow pathologists to quickly verify the results of the AI, which is crucial, as the pathologist is ultimately responsible for the diagnosis. The company was founded in 2018 and is headquartered in Berlin, Germany.","Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Software","Berlin, Berlin, Germany",Aignostics is an AI-powered precision diagnostics focused on pathology to assist with drug development and clinical research.,19800000,EUR,20841427,,,3,"10,339",14,,19800000,EUR,20841427,,,Scientific and electric apparatus and instruments,14000000,EUR,13982494,4,2022-09-15,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Wellington Partners, IBB Ventures, HTGF | High-Tech Gruenderfonds, Boehringer Ingelheim Venture Fund, Future Capital",,,0,Private,,2018-01-01,year,For Profit,http://www.aignostics.com,https://www.linkedin.com/company/aignostics/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",4,"Frederick Klauschen, Klaus-Robert Müller, Maximilian Alber, Viktor Matyas",101-250,Early Stage Venture,Series A,14000000,EUR,13982494,Series A,2,6,,,"13,082","13,061",,,,,,,,,,,,
Allium,https://www.crunchbase.com/organization/allium-2c51,"Allium provides accurate, simple and fast blockchain data for enterprises and institutions to both build applications and analyze blockchain activity The company was founded in 2021 and has offices based in New York, San Francisco and Singapore.","Analytics, Blockchain, Cryptocurrency, Data Management, Infrastructure, Machine Learning","New York, New York, United States","Allium provides accurate, simple and fast blockchain data for enterprises to both build applications and analyze blockchain activity",4250000,USD,4250000,,,0,"1,173",21,,4250000,USD,4250000,,,Scientific and technological services,,,,2,2023-01-01,"Greater New York Area, East Coast, Northeastern US",,"Kleiner Perkins, Markd, Amplify Partners",,,0,Private,,2021-04-21,day,For Profit,http://www.allium.so/,https://www.linkedin.com/company/alliumlabs/,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Payments, Software",3,"Cheng Han Lee, Ethan Chan, Paul Chun",11-50,Seed,Seed,,,,Seed,1,3,,,"13,088","13,068",,,,,,,,,,,,
Unlikely AI,https://www.crunchbase.com/organization/unlikely-ai,"Unlikely AI is a talented group that is approaching artificial intelligence from a daring, fresh angle.","Artificial Intelligence (AI), Software","London, England, United Kingdom","Unlikely AI is a talented group that is approaching artificial intelligence from a daring, fresh angle.",18500000,GBP,21756523,,,0,956,6,,18500000,GBP,21756523,,,,17400000,GBP,20339173,2,2022-09-12,"Europe, Middle East, and Africa (EMEA)",,"Cambridge Innovation Capital, Octopus Ventures, Amadeus Capital Partners, Metaplanet, Patrick Pichette",,,8,Private,,2018-01-01,year,For Profit,https://unlikely.ai/,https://www.linkedin.com/company/unlikely-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,William Tunstall-Pedoe,11-50,Seed,Seed,17400000,GBP,20339173,Seed,2,8,,,"13,089","13,068",,,,,,,,,,,,
SKY ENGINE AI,https://www.crunchbase.com/organization/sky-engine,"SKY ENGINE AI is a synthetic data cloud generative AI platform for data scientists enabling ai computer vision at scale software allows creating a digital twin of your sensor, drone, or robot and putting them through testing and training in a virtual environment prior to real-world deployment. They are data generation makes data scientist life easier providing perfectly balanced datasets for any computer vision applications like object detection and recognition. They include 3d positioning, pose estimation, and other sophisticated cases including analysis of multi-sensor data radars, lidars, satellites, x-rays, and more.","Artificial Intelligence (AI), Computer Vision, Developer Tools, Enterprise Software, Machine Learning, Robotics, Software, Virtual Reality","London, England, United Kingdom",SKY ENGINE AI is a Synthetic Data Cloud for Deep Learning in Vision AI,9047066,USD,9047066,,,,"1,250",6,,9047066,USD,9047066,,,,7000000,USD,7000000,4,2024-01-17,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Taiwania Capital Management Corporation, Movens Capital, HTGF | High-Tech Gruenderfonds, Edge VC, Cogito Capital Partners",,,,Private,WC2A 2JR,2018-01-01,year,For Profit,https://www.skyengine.ai,https://www.linkedin.com/company/skyengine,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,"Bartek Wlodarczyk, Jakub Pietrzak",11-50,Early Stage Venture,Series A,7000000,USD,7000000,Series A,4,7,,,"13,111","13,090",,,,,,,,,,,,
DXwand,https://www.crunchbase.com/organization/dxwand,DXwand is a technology & AI passionate team curious about transforming businesses with AI to be their growth partner.,"Artificial Intelligence (AI), Software","Cheyenne, Wyoming, United States",DXwand is a technology & AI passionate team curious about transforming businesses with AI to be their growth partner.,7030000,USD,7030000,,,,2,43,,7030000,USD,7030000,,,,4000000,USD,4000000,7,2024-01-25,Western US,$1M to $10M,"Shorooq Partners, Dubai Future District Fund, Algebra Ventures, SOSV, Huashan Capital",,,,Private,82001,2018-01-01,year,For Profit,https://dxwand.com/,https://www.linkedin.com/company/dxwand/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Ahmed Mahmoud,11-50,Early Stage Venture,Series A,4000000,USD,4000000,Series A,5,7,,,"13,115","13,094",,,,,,,,,,,,
Niki,https://www.crunchbase.com/organization/niki-ai,"With the mission statement “Nobody left behind”, Niki is ushering Bharat into the internet economy. Niki is Bharat’s very own “Full Stack Ramu Kaka"" delivering trust and service to over 150 Million customers. Niki has pioneered the Do-It-For-Me Model and it is built with the most advanced proprietary conversational technology that understands and fulfills customer's needs via voice. Its value chain has a strong supply side gatekeeping that ensures quality goods and services and is coupled with a digital and human stack that provides end to end proactive assistance to the Bharat customers. Niki is backed by US based fintech-focused fund EMVC, Unilazer Ventures, Mr. Ratan Tata, Japan’s Recruit Partners and Haresh Chawla among others.","Android, Natural Language Processing","Bangalore, Karnataka, India",Full Stack Ramu Kaka | Ushering Bharat into Internet Economy 2.0,6287653,USD,6287653,,,,197,56,38,4302434,USD,4302434,"8,396",,,,,,10,2019-11-14,Asia-Pacific (APAC),$10M to $50M,"LetsVenture, FinSight Ventures, Ramakant Sharma, Unilazer Ventures, EMVC",,,,Private,560095,2015-05-04,day,For Profit,https://niki.ai,https://www.linkedin.com/company/talktoniki/,,,"Artificial Intelligence (AI), Data and Analytics, Mobile, Platforms, Software",4,"Keshav Prawasi, Nitin Babel, Sachin Jaiswal, Shishir Modi",11-50,Early Stage Venture,Series A,,,,Series A,6,14,,,"13,142","13,121",,,,,,,,,,,,
Language I/O,https://www.crunchbase.com/organization/language-i-o,"The future of translation is conversational and Language I/O’s proprietary machine translation optimization technology ensures that every conversation is understood. Their machine translation optimizer can translate difficult to translate user-generated content such as jargon, slang, abbreviations, and misspellings in 150 languages over chat, email, article, and social support channels. Language I/O seamlessly integrates within all major CRMs and also provides an API. Finally, we let customers decide whether to use professional human linguists, our machine translation optimizer, or a combination of the two.","Communications Infrastructure, Customer Service, Machine Learning, SaaS, Translation Service","Cheyenne, Wyoming, United States",Language I/O is a software development company whose products allow clients to provide multilingual customer support to their customers.,20003670,USD,20003670,,,,"8,092",27,25,20003670,USD,20003670,,,,8003670,USD,8003670,5,2023-07-24,Western US,$10M to $50M,"Golden Seeds, Gutbrain Ventures, Caruso Ventures, PBJ Capital, Wyoming Business Council",,,,Private,82001,2011-01-01,year,For Profit,http://languageio.com,https://www.linkedin.com/company/languageio/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Professional Services, Software",2,"Heather Morgan Shoemaker, Kaarina Kvaavik",51-100,Early Stage Venture,Series A,8003670,USD,8003670,Series A,6,13,,,"13,154","13,133",,,"Women Founded, Women Led",,,,,,,,,
Precision AI,https://www.crunchbase.com/organization/pricision-ai,"Precision AI is on a mission to accelerate artificial intelligence-based farming practices to create healthier, happier, and more profitable farms. By leveraging custom-built AI technology in drones, Precision AI takes crop production decisions from a whole field to an individual plant level. Transforming the industry's dependence on bulkier technology for decades, the outcome of these solutions helps craft the machines of tomorrow that will feed the world.  With headquarters in North America, Precision AI is scaling rapidly with an elite team dedicated to solving the agricultural challenges of farms around the world.","Aerospace, Agriculture, AgTech, Artificial Intelligence (AI), Drones","Regina, Saskatchewan, Canada","Precision AI is on a mission to accelerate AI-based farming practices to create healthier, happier, and more profitable farms.",21500000,USD,21500000,,,0,"1,520",26,,20000000,USD,20000000,,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,,,,,5,2023-04-17,,$10M to $50M,"BDC Venture Capital, Protein Industries Canada, Cultivator, At One Ventures, Business Development Bank of Canada",,,1,Private,S4N 5N1,2018-01-01,year,For Profit,https://www.precision.ai/,https://www.linkedin.com/company/precision-ai/,,,"Agriculture and Farming, Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",1,Daniel McCann,11-50,Seed,Grant,20000000,USD,20000000,Seed,4,10,,,"13,166","13,145",,,,,,,,,,,,
Sailes,https://www.crunchbase.com/organization/saile,"Saile uses artificial intelligence (AI) to help sales leaders spend less time searching and more time selling. Through Digital Labor, its patent-pending Sailebots reduce manual prospecting by millions of tasks each year, while increasing revenue opportunities. Sailebots are currently deployed in 29 countries and multiple languages, allowing sales leaders to automate their entire prospecting lifecycle, including finding contacts, setting meetings, cleansing data, and reading and summarizing prospective company reports and documents. Saile is headquartered in Kansas City, Missouri, and has employees all over the world.","Artificial Intelligence (AI), Machine Learning","Kansas City, Missouri, United States",Sailes is a sales enablement software that helps increase revenue opportunities.,6450000,USD,6450000,,,2,"1,907",10,,6450000,USD,6450000,,Computing; Calculating,Advertising; business,5100000,USD,5100000,2,2023-09-14,Midwestern US,$1M to $10M,"Valor Ventures, Lewis & Clark Ventures, Acronym Venture Capital, KCRise Fund, Tenzing Capital (Tenzing.vc)",,,0,Private,64112,2018-07-04,day,For Profit,https://sailes.com,https://www.linkedin.com/company/saile,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Nick Smith,51-100,Early Stage Venture,Series A,5100000,USD,5100000,Series A,2,5,,,"13,180","13,159",,,,,,,,,,,,
Shipfix,https://www.crunchbase.com/organization/shipfix,"Shipfix is a fast-growing collaborative workflow and data platform for the maritime and trade sectors, driven by groundbreaking AI-enabled tools. The platform streamlines maritime workflows with market and operational intelligence with a focus on shipowners, commodity traders, industrials, freight forwarders, and shipbrokers. With Shipfix, maritime and trade professionals make better-informed decisions and move faster.","Artificial Intelligence (AI), Business Intelligence, Machine Learning, Marine Transportation, Shipping","Vincennes, Ile-de-France, France",Shipfix operates as a data and community platform that helps with the operational efficiency in the maritime industry.,19000000,USD,19000000,2023-12-14,day,1,"173,785",38,,19000000,USD,19000000,,,Scientific and electric apparatus and instruments,14500000,USD,14500000,3,2022-05-31,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"The Family, Gaingels, Eurazeo, Bpifrance, Breega",,,0,Private,CS 60002,2018-12-01,month,For Profit,https://shipfix.com,https://www.linkedin.com/company/shipfix/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",2,"Antoine Grisay, Serge Alleyne",51-100,M&A,Series A,14500000,USD,14500000,Series A,2,12,,Was Acquired,"13,182","13,162",,,,,,,,,,,,
