"Region";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"NL4";"Audio-visual technology";59,71;90,91;1,29;"G09F";"displaying; advertising; signs; labels or name-pla";45,53;1,54
"NL4";"Audio-visual technology";59,71;90,91;1,29;"G09G";"arrangements or circuits for control of indicating";76,13;4,99
"NL4";"Audio-visual technology";59,71;90,91;1,29;"G11B";"information storage based on relative movement bet";43,91;1,27
"NL4";"Audio-visual technology";59,71;90,91;1,29;"H04N";"pictorial communication, e.g. television";60,03;2,25
"NL4";"Audio-visual technology";59,71;90,91;1,29;"H04R";"loudspeakers, microphones, gramophone pick-ups or ";67,22;1,21
"NL4";"Audio-visual technology";59,71;90,91;1,29;"H04S";"stereophonic systems";38,68;1,37
"NL4";"Audio-visual technology";59,71;90,91;1,29;"H04W";"wireless communication networks";53,65;0,63
"NL4";"Audio-visual technology";59,71;90,91;1,29;"H05K";"printed circuits; casings or constructional detail";35,66;1,4
"NL4";"Basic communication process";74,3;72,73;1,54;"H03B";"generation of oscillations, directly or by frequen";87,5;1,62
"NL4";"Basic communication process";74,3;72,73;1,54;"H03C";"modulation ";93,21;2,08
"NL4";"Basic communication process";74,3;72,73;1,54;"H03D";"demodulation or transference of modulation from on";85,95;1,76
"NL4";"Basic communication process";74,3;72,73;1,54;"H03F";"amplifiers ";83,57;2,9
"NL4";"Basic communication process";74,3;72,73;1,54;"H03G";"control of amplification ";65,58;1,61
"NL4";"Basic communication process";74,3;72,73;1,54;"H03H";"impedance networks, e.g. resonant circuits; resona";67,2;1,33
"NL4";"Basic communication process";74,3;72,73;1,54;"H03J";"tuning resonant circuits; selecting resonant circu";81,64;2,12
"NL4";"Basic communication process";74,3;72,73;1,54;"H03K";"pulse technique ";56,91;1,11
"NL4";"Basic communication process";74,3;72,73;1,54;"H03L";"automatic control, starting, synchronisation, or s";84,26;1,82
"NL4";"Basic communication process";74,3;72,73;1,54;"H03M";"coding, decoding or code conversion, in general";68,79;1,26
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"A01N";"preservation of bodies of humans or animals or pla";24,6;0,24
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C05B";"phosphatic fertilisers";41,44;2,17
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C05C";"nitrogenous fertilisers";61,34;4,96
