"Province";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"Limburg";"Audio-visual technology";17,02;90,91;0,7;"G09F";"displaying; advertising; signs; labels or name-pla";33,63;0,44
"Limburg";"Audio-visual technology";17,02;90,91;0,7;"G09G";"arrangements or circuits for control of indicating";18,04;1,83
"Limburg";"Audio-visual technology";17,02;90,91;0,7;"G11B";"information storage based on relative movement bet";28,92;0
"Limburg";"Audio-visual technology";17,02;90,91;0,7;"H04N";"pictorial communication, e.g. television";11,9;1,08
"Limburg";"Audio-visual technology";17,02;90,91;0,7;"H04R";"loudspeakers, microphones, gramophone pick-ups or ";19,76;0
"Limburg";"Audio-visual technology";17,02;90,91;0,7;"H04S";"stereophonic systems";2,49;0
"Limburg";"Audio-visual technology";17,02;90,91;0,7;"H04W";"wireless communication networks";4,78;0,39
"Limburg";"Audio-visual technology";17,02;90,91;0,7;"H05K";"printed circuits; casings or constructional detail";27,04;1,75
"North Brabant";"Audio-visual technology";80,51;90,91;1,45;"G09F";"displaying; advertising; signs; labels or name-pla";37,24;1,82
"North Brabant";"Audio-visual technology";80,51;90,91;1,45;"G09G";"arrangements or circuits for control of indicating";77,12;5,79
"North Brabant";"Audio-visual technology";80,51;90,91;1,45;"G11B";"information storage based on relative movement bet";42,94;1,57
"North Brabant";"Audio-visual technology";80,51;90,91;1,45;"H04N";"pictorial communication, e.g. television";70,93;2,52
"North Brabant";"Audio-visual technology";80,51;90,91;1,45;"H04R";"loudspeakers, microphones, gramophone pick-ups or ";68,8;1,5
"North Brabant";"Audio-visual technology";80,51;90,91;1,45;"H04S";"stereophonic systems";40,5;1,69
"North Brabant";"Audio-visual technology";80,51;90,91;1,45;"H04W";"wireless communication networks";75,31;0,69
"North Brabant";"Audio-visual technology";80,51;90,91;1,45;"H05K";"printed circuits; casings or constructional detail";33,33;1,37
"Zeeland";"Audio-visual technology";12,09;90,91;0,24;"G09F";"displaying; advertising; signs; labels or name-pla";26,23;0
"Zeeland";"Audio-visual technology";12,09;90,91;0,24;"G09G";"arrangements or circuits for control of indicating";19,69;0
"Zeeland";"Audio-visual technology";12,09;90,91;0,24;"G11B";"information storage based on relative movement bet";31,04;0
"Zeeland";"Audio-visual technology";12,09;90,91;0,24;"H04N";"pictorial communication, e.g. television";12,79;1,19
"Zeeland";"Audio-visual technology";12,09;90,91;0,24;"H04R";"loudspeakers, microphones, gramophone pick-ups or ";16,92;0
"Zeeland";"Audio-visual technology";12,09;90,91;0,24;"H04S";"stereophonic systems";55,31;0
"Zeeland";"Audio-visual technology";12,09;90,91;0,24;"H04W";"wireless communication networks";6,98;0
"Zeeland";"Audio-visual technology";12,09;90,91;0,24;"H05K";"printed circuits; casings or constructional detail";19,45;0
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03B";"generation of oscillations, directly or by frequen";8,37;0
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03C";"modulation ";21,17;0
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03D";"demodulation or transference of modulation from on";34,48;0
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03F";"amplifiers ";13,34;1,83
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03G";"control of amplification ";29,55;0
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03H";"impedance networks, e.g. resonant circuits; resona";29,32;1,88
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03J";"tuning resonant circuits; selecting resonant circu";24,6;0
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03K";"pulse technique ";11,9;0,13
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03L";"automatic control, starting, synchronisation, or s";5,13;0
"Limburg";"Basic communication process";8,28;72,73;0,61;"H03M";"coding, decoding or code conversion, in general";18,99;0,52
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03B";"generation of oscillations, directly or by frequen";87,75;2
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03C";"modulation ";97,77;2,57
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03D";"demodulation or transference of modulation from on";92,51;2,18
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03F";"amplifiers ";88,08;3,21
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03G";"control of amplification ";70,14;1,99
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03H";"impedance networks, e.g. resonant circuits; resona";68,61;1,26
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03J";"tuning resonant circuits; selecting resonant circu";93,69;2,62
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03K";"pulse technique ";57,96;1,35
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03L";"automatic control, starting, synchronisation, or s";87,73;2,24
"North Brabant";"Basic communication process";87,26;72,73;1,79;"H03M";"coding, decoding or code conversion, in general";80,55;1,45
"Zeeland";"Basic communication process";3,75;72,73;0;"H03B";"generation of oscillations, directly or by frequen";1,86;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03C";"modulation ";1,53;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03D";"demodulation or transference of modulation from on";0,55;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03F";"amplifiers ";1,65;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03G";"control of amplification ";23,81;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03H";"impedance networks, e.g. resonant circuits; resona";5,79;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03J";"tuning resonant circuits; selecting resonant circu";11,48;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03K";"pulse technique ";5,89;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03L";"automatic control, starting, synchronisation, or s";0,92;0
"Zeeland";"Basic communication process";3,75;72,73;0;"H03M";"coding, decoding or code conversion, in general";8,78;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"A01N";"preservation of bodies of humans or animals or pla";47,93;1,12
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C05B";"phosphatic fertilisers";77,47;6,48
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C05C";"nitrogenous fertilisers";85,61;26,15
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C05D";"inorganic fertilisers not covered by subclasses ; ";65,97;3,13
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C05F";"organic fertilisers not covered by subclasses ; c0";62,61;1,75
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C05G";"mixtures of fertilisers covered individually by di";84,09;9,34
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C06B";"explosive or thermic compositions; manufacture the";3,68;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C06C";"detonating or priming devices; fuses; chemical lig";1,78;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C06D";"means for generating smoke or mist; gas-attack com";0,99;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C09B";"organic dyes or closely-related compounds for prod";45,77;0,56
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C09C";"treatment of inorganic materials, other than fibro";36,21;0,42
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C09D";"coating compositions, e.g. paints, varnishes‘_or l";57,63;3,73
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C09F";"natural resins; french polish; drying-oils; driers";45,44;12,16
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C09G";"polishing compositions other than french polish; s";28,37;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C09J";"adhesives; non-mechanical‘_aspects of‘_adhesive pr";76,05;0,82
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C09K";"materials for applications not otherwise provided ";44,28;0,7
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C10B";"destructive distillation of carbonaceous materials";19,14;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C10C";"working-up tar, pitch, asphalt, bitumen; pyroligne";35,61;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C10G";"cracking hydrocarbon oils; production of liquid hy";35,45;2,31
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C10J";"production of gases containing carbon monoxide and";22,61;0,45
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C10K";"purifying or modifying the chemical composition of";20,69;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C10L";"fuels not otherwise provided for; natural gas; syn";29,56;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C10M";"lubricating compositions; use of chemical substanc";17,51;0,5
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C10N";"indexing scheme associated with subclass c10m";15,21;0,3
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C11B";"producing, e.g. by pressing raw materials or by ex";43,92;0,58
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C11C";"fatty acids‘_obtained‘_from fats, oils or waxes; c";44,79;0
"Limburg";"Basic materials chemistry";76,16;33,33;1,48;"C11D";"detergent compositions; use of single substances a";48,19;0,38
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"A01N";"preservation of bodies of humans or animals or pla";10,74;0,06
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C05B";"phosphatic fertilisers";3,32;0,89
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C05C";"nitrogenous fertilisers";7,09;0,36
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C05D";"inorganic fertilisers not covered by subclasses ; ";12,2;0,32
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C05F";"organic fertilisers not covered by subclasses ; c0";8,76;0,54
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C05G";"mixtures of fertilisers covered individually by di";10,91;0,58
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C06B";"explosive or thermic compositions; manufacture the";0,58;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C06C";"detonating or priming devices; fuses; chemical lig";0,07;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C06D";"means for generating smoke or mist; gas-attack com";2,67;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C09B";"organic dyes or closely-related compounds for prod";35,84;0,12
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C09C";"treatment of inorganic materials, other than fibro";12,43;0,09
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C09D";"coating compositions, e.g. paints, varnishes‘_or l";10,94;0,39
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C09F";"natural resins; french polish; drying-oils; driers";2;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C09G";"polishing compositions other than french polish; s";62,69;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C09J";"adhesives; non-mechanical‘_aspects of‘_adhesive pr";9,42;0,26
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C09K";"materials for applications not otherwise provided ";23,65;1,22
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C10B";"destructive distillation of carbonaceous materials";0,83;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C10C";"working-up tar, pitch, asphalt, bitumen; pyroligne";1,64;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C10G";"cracking hydrocarbon oils; production of liquid hy";3,99;0,2
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C10J";"production of gases containing carbon monoxide and";1,06;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C10K";"purifying or modifying the chemical composition of";1,34;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C10L";"fuels not otherwise provided for; natural gas; syn";3,3;0
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C10M";"lubricating compositions; use of chemical substanc";5,86;0,15
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C10N";"indexing scheme associated with subclass c10m";4,7;0,19
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C11B";"producing, e.g. by pressing raw materials or by ex";18,17;0,48
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C11C";"fatty acids‘_obtained‘_from fats, oils or waxes; c";19,58;0
