"Province";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"Limburg";"Audio-visual technology";24,26;90,91;0,77;"G09F";"displaying; advertising; signs; labels or name-pla";22,79;0,79
"Limburg";"Audio-visual technology";24,26;90,91;0,77;"G09G";"arrangements or circuits for control of indicating";28,41;0
"Limburg";"Audio-visual technology";24,26;90,91;0,77;"G11B";"information storage based on relative movement bet";32,95;0
"Limburg";"Audio-visual technology";24,26;90,91;0,77;"H04N";"pictorial communication, e.g. television";15,14;2,51
"Limburg";"Audio-visual technology";24,26;90,91;0,77;"H04R";"loudspeakers, microphones, gramophone pick-ups or ";9,04;0,25
"Limburg";"Audio-visual technology";24,26;90,91;0,77;"H04S";"stereophonic systems";5,49;0
"Limburg";"Audio-visual technology";24,26;90,91;0,77;"H04W";"wireless communication networks";10,79;0,26
"Limburg";"Audio-visual technology";24,26;90,91;0,77;"H05K";"printed circuits; casings or constructional detail";8,1;0,41
"North Brabant";"Audio-visual technology";77,02;90,91;1,02;"G09F";"displaying; advertising; signs; labels or name-pla";28,88;1,15
"North Brabant";"Audio-visual technology";77,02;90,91;1,02;"G09G";"arrangements or circuits for control of indicating";57,51;1,85
"North Brabant";"Audio-visual technology";77,02;90,91;1,02;"G11B";"information storage based on relative movement bet";59,2;0,45
"North Brabant";"Audio-visual technology";77,02;90,91;1,02;"H04N";"pictorial communication, e.g. television";55,16;1,24
"North Brabant";"Audio-visual technology";77,02;90,91;1,02;"H04R";"loudspeakers, microphones, gramophone pick-ups or ";58,5;0,81
"North Brabant";"Audio-visual technology";77,02;90,91;1,02;"H04S";"stereophonic systems";56,06;0,42
"North Brabant";"Audio-visual technology";77,02;90,91;1,02;"H04W";"wireless communication networks";69,65;0,86
"North Brabant";"Audio-visual technology";77,02;90,91;1,02;"H05K";"printed circuits; casings or constructional detail";39,29;0,81
"Zeeland";"Audio-visual technology";4,68;90,91;0,18;"G09F";"displaying; advertising; signs; labels or name-pla";14,99;0
"Zeeland";"Audio-visual technology";4,68;90,91;0,18;"G09G";"arrangements or circuits for control of indicating";3,57;0
"Zeeland";"Audio-visual technology";4,68;90,91;0,18;"G11B";"information storage based on relative movement bet";14,36;0
"Zeeland";"Audio-visual technology";4,68;90,91;0,18;"H04N";"pictorial communication, e.g. television";8,58;0
"Zeeland";"Audio-visual technology";4,68;90,91;0,18;"H04R";"loudspeakers, microphones, gramophone pick-ups or ";7,25;1,04
"Zeeland";"Audio-visual technology";4,68;90,91;0,18;"H04S";"stereophonic systems";37,65;0
"Zeeland";"Audio-visual technology";4,68;90,91;0,18;"H04W";"wireless communication networks";1,59;0,2
"Zeeland";"Audio-visual technology";4,68;90,91;0,18;"H05K";"printed circuits; casings or constructional detail";12,96;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03B";"generation of oscillations, directly or by frequen";3,43;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03C";"modulation ";2,69;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03D";"demodulation or transference of modulation from on";1,87;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03F";"amplifiers ";4,48;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03G";"control of amplification ";1,74;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03H";"impedance networks, e.g. resonant circuits; resona";5,46;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03J";"tuning resonant circuits; selecting resonant circu";0,83;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03K";"pulse technique ";8,52;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03L";"automatic control, starting, synchronisation, or s";1,39;0
"Limburg";"Basic communication process";14,81;72,73;0,07;"H03M";"coding, decoding or code conversion, in general";10,11;0,4
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03B";"generation of oscillations, directly or by frequen";91,41;1,52
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03C";"modulation ";90,72;1,55
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03D";"demodulation or transference of modulation from on";92,38;3,52
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03F";"amplifiers ";83,03;4,54
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03G";"control of amplification ";70,29;4,23
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03H";"impedance networks, e.g. resonant circuits; resona";69,17;2,37
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03J";"tuning resonant circuits; selecting resonant circu";74,76;1,5
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03K";"pulse technique ";53,51;1,94
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03L";"automatic control, starting, synchronisation, or s";78,49;2,45
"North Brabant";"Basic communication process";86,43;72,73;2,76;"H03M";"coding, decoding or code conversion, in general";85,65;1,98
"Zeeland";"Basic communication process";2,85;72,73;0;"H03B";"generation of oscillations, directly or by frequen";2,8;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03C";"modulation ";0;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03D";"demodulation or transference of modulation from on";0;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03F";"amplifiers ";10,61;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03G";"control of amplification ";23,9;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03H";"impedance networks, e.g. resonant circuits; resona";3,3;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03J";"tuning resonant circuits; selecting resonant circu";0;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03K";"pulse technique ";3,31;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03L";"automatic control, starting, synchronisation, or s";0,47;0
"Zeeland";"Basic communication process";2,85;72,73;0;"H03M";"coding, decoding or code conversion, in general";0,83;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"A01N";"preservation of bodies of humans or animals or pla";41,77;0,23
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C05B";"phosphatic fertilisers";31,9;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C05C";"nitrogenous fertilisers";50,86;8,47
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C05D";"inorganic fertilisers not covered by subclasses ; ";37,27;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C05F";"organic fertilisers not covered by subclasses ; c0";35,76;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C05G";"mixtures of fertilisers covered individually by di";40,8;1,71
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C06B";"explosive or thermic compositions; manufacture the";4,63;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C06C";"detonating or priming devices; fuses; chemical lig";0;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C06D";"means for generating smoke or mist; gas-attack com";0,68;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C09B";"organic dyes or closely-related compounds for prod";50,11;0,87
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C09C";"treatment of inorganic materials, other than fibro";42,58;0,36
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C09D";"coating compositions, e.g. paints, varnishes‘_or l";54,07;2,96
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C09F";"natural resins; french polish; drying-oils; driers";53,3;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C09G";"polishing compositions other than french polish; s";18,73;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C09J";"adhesives; non-mechanical‘_aspects of‘_adhesive pr";63,68;0,25
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C09K";"materials for applications not otherwise provided ";31,55;0,3
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C10B";"destructive distillation of carbonaceous materials";37,72;1,25
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C10C";"working-up tar, pitch, asphalt, bitumen; pyroligne";83,13;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C10G";"cracking hydrocarbon oils; production of liquid hy";52,16;11,34
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C10J";"production of gases containing carbon monoxide and";54,12;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C10K";"purifying or modifying the chemical composition of";36,01;1,36
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C10L";"fuels not otherwise provided for; natural gas; syn";51,88;1,96
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C10M";"lubricating compositions; use of chemical substanc";70,48;1,13
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C10N";"indexing scheme associated with subclass c10m";79,18;2,36
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C11B";"producing, e.g. by pressing raw materials or by ex";34,75;0,44
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C11C";"fatty acids‘_obtained‘_from fats, oils or waxes; c";34,92;0
"Limburg";"Basic materials chemistry";65,42;33,33;1,54;"C11D";"detergent compositions; use of single substances a";38,23;0,43
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"A01N";"preservation of bodies of humans or animals or pla";10,32;0,09
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C05B";"phosphatic fertilisers";9,1;0,62
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C05C";"nitrogenous fertilisers";3,78;0,63
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C05D";"inorganic fertilisers not covered by subclasses ; ";4,73;0,4
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C05F";"organic fertilisers not covered by subclasses ; c0";5,3;0,46
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C05G";"mixtures of fertilisers covered individually by di";1,19;0,19
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C06B";"explosive or thermic compositions; manufacture the";0;0
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C06C";"detonating or priming devices; fuses; chemical lig";0;0
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C06D";"means for generating smoke or mist; gas-attack com";0,19;0
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C09B";"organic dyes or closely-related compounds for prod";19,9;0,29
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C09C";"treatment of inorganic materials, other than fibro";2,85;0,08
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C09D";"coating compositions, e.g. paints, varnishes‘_or l";6,84;0,43
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C09F";"natural resins; french polish; drying-oils; driers";0;0
"North Brabant";"Basic materials chemistry";20,27;33,33;0,27;"C09G";"polishing compositions other than french polish; s";10,39;0
