parent,priority,concept,description
Digitale technologie - Transversal,Artificial intelligence,154945302,Artificial intelligence: field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents
Digitale technologie - Transversal,Robotics - Robots,34413123,"Robotics: design, construction, operation, and application of robots"
Digitale technologie - Transversal,Robotics - Autonomous robots,2778835581,Autonomous robot: robot that performs behaviors or tasks with a high degree of autonomy
Digitale technologie - Transversal,Digitale veiligheid,38652104,"Computer security: the protection of computer systems and networks from theft, damage, misuse or data leak"
Digitale technologie - Energie,Smart grids,10558101,Smart grid: electrical grid operated by automatic control devices or controled and maintained from distance
Digitale technologie - Energie,Electrolizers voor Power2Molecule,542482507,Hydrogen technologies
Digitale technologie - Energie,Elektrische mobiliteit - EV charging systems,2779607880,Charging station: infrastructure that supplies electric energy for the recharging of electric vehicles
Digitale technologie - Energie,Elektrische mobiliteit - Battery technologies,555008776,"Battery (electricity): assembly of one or more electrochemical cells, used to electrical devices with stored electrical energy"
Digitale technologie - Klimaat,Klimaatbeheersing,122346748,"HVAC: heating, ventilation, and air conditioning"
Digitale technologie - Klimaat,Water- en bodem-beheer,524765639,Water resource management: management of water by humans
Digitale technologie - Klimaat,Water- en bodem-beheer,85675897,Soil management
Digitale technologie - Grondstoffen,3D-printing/additive productie,524769229,3D printing: additive process used to make a three-dimensional object
Digitale technologie - Grondstoffen,Advanced maintenance (CMMS),180539650,Computer-aided manufacturing: use of computer software to control machine tools
Digitale technologie - Landbouw,Precisielandbouw,120217122,Precision agriculture
Digitale technologie - Gezondheid,Personalised/precision medicine,32220436,Personalized medicine: medical procedure that separates patients into different groups
Digitale technologie - Gezondheid,Medtech/beeldvorming,31601959,Medical imaging: technique and process of creating visual representations of the interior of a body
Digitale technologie - Gezondheid,Robotisering Chirurgie-opafstand,103203806,Robotic surgery: surgical procedure aided by robotic systems
Fotonica - Energie,Energieopslag - Photovoltaic,542589376,Photovoltaics: method of converting solar radiation into direct current electricity
Fotonica - Energie,Energieopslag - Photovoltaic,75027835,Green computing: study and practice of environmentally sustainable computing or IT
Fotonica - Energie,Energiebesparing hardware/datacenters - Photonic memory,144898412,Photonic metamaterial: type of electromagnetic metamaterial
Geavanceerde materialen - Energie,Hernieuwbare energie - Composieten,159985019,Composite material: material made from a combination of two or more unlike substances
Geavanceerde materialen - Energie,Hernieuwbare energie - Windturbines,78600449,Wind power: the conversion of wind energy into a useful form
Geavanceerde materialen - Gezondheid,Nano-medicine,15083742,Nanomedicine: medical application of nanotechnology
Chemische technologie - Energie,Carbon Capture,22884784,Carbon sequestration: process of long-term carbon capture
Chemische technologie - Grondstoffen,Bio-landbouw,54924851,Sustainable agriculture: farming relying on ecosystem services for maintenance
Chemische technologie - Grondstoffen,Bio-landbouw,38739810,Ecological farming
Chemische technologie - Grondstoffen,Recyclage,206588197,"Reuse: using an item again after it has been used, instead of recycling or disposing"
Nanotech en -electronica - Grondstoffen,Waste water treatment,2994348156,Wastewater reuse: converting wastewater into water that can be reused for other purposes
Nanotech en -electronica - Landbouw,Zaadveredeling,2776096895,Seedling: young seed plant
Life Sciences/biotech - Transversal,Biosensors,160756335,Biosensor: probe which tests for biological molecules
Life Sciences/biotech - Landbouw,GMO,122172344,"Genetically modified crops: plants used in agriculture, the DNA of which has been modified using genetic engineering techniques"
Life Sciences/biotech - Landbouw,Super-labfoods,165007447,"Nutritional science: science that interprets the nutrients and other substances in food in relation to maintenance, growth, reproduction, health and disease of an organism"
Electrical engineering,"Electrical machinery, apparatus, energy",2993130303,Electrical machinery: apparatus that converts energy through means of magnetic induction
Electrical engineering,Audio-visual technology,3017588708,"Audio visual: electronic media with both a sound and a visual component, such as films, television programs, church services and live theater productions"
Electrical engineering,Telecommunications,76155785,Telecommunications: electronic transmission of information between locations
Electrical engineering,Digital communication,84462506,Digital signal processing: mathematical manipulation of an information signal
Electrical engineering,Basic communication processes,761482,Transmission (telecommunications): process of sending and propagating a signal
Electrical engineering,Computer technology,41008148,Computer science: study of computation
Electrical engineering,IT methods for management,29848774,"Management information systems: focuses on the manager of information technology to provide efficiency and effectiveness or strategy decision making;the concept may include systems termed transaction processing system, decision support system, expert or executive information system"
Electrical engineering,IT methods for management,201359696,Information Technology Infrastructure Library: set of practices for IT service management
Electrical engineering,IT methods for management,134503902,Information technology management: the discipline whereby all of the information technology resources of a firm are managed in accordance with its needs and priorities
Electrical engineering,Semiconductors,108225325,Semiconductor: material that has electrical conductivity intermediate to that of a conductor and an insulator
Instruments,Optics,120665830,Optics: branch of physics concerning light
Instruments,Measurement,67649825,Microscope: instrument used to see objects that are too small for the naked eye
Instruments,Measurement,2780848835,Telescope: instrument that aids in the observation of remote objects
Instruments,Measurement,17534553,Altimeter: instrument used to measure the altitude of an object above a fixed level
Instruments,Measurement,21054061,Tiltmeter: instrument designed to measure very small changes from the vertical level
Instruments,Measurement,21158419,Nephelometer: instrument for measuring the concentration of suspended particulates
Instruments,Measurement,21592077,Instrumentation and control engineering:Ê
Instruments,Measurement,29420128,Galvanometer: instrument to measure electric current
Instruments,Measurement,30198954,Thermal mass flow meter: family of instruments for the measurement of the total mass flow rate of a flui
Instruments,Measurement,32688793,Tilt sensor: instrument used to measure the inclination of a surface relative to local gravity
Instruments,Measurement,39546656,Diffractometer: measuring instrument
Instruments,Measurement,43210895,Laser tracker: instruments that accurately measure large objects
Instruments,Measurement,46399941,Theodolite: surveying instrument that measures azimuth and elevation between points
Instruments,Measurement,48806519,Goniometer: measuring instrument
Instruments,Measurement,54473852,Electrometer: instrument for measuring electric charge
Instruments,Measurement,62646347,Measuring instrument: device for measuring a physical quantity
Instruments,Measurement,73362275,Plethysmograph: instrument for recording and measuring variation in the volume of a part of the body
Instruments,Measurement,75031826,Sediment trap: instrument used in oceanography to measure the quantity of sinking particulate material
Instruments,Measurement,77530849,Polarimeter: instrument for measuring polarization
Instruments,Measurement,79261456,Profilometer: instrument used to measure a surface's profile
Instruments,Measurement,88033656,Geiger counter: instrument used for measuring ionizing radiation
Instruments,Measurement,88893950,Schmidt hammer: measuring instrument
Instruments,Measurement,90166738,"Noise-figure meter: instrument for measuring the noise figure of an amplifier, mixer, or similar device"
Instruments,Measurement,93356670,Viscometer: measuring instrument
Instruments,Measurement,99101257,"Network analyzer (electrical): Instrument for microwave characteristics measurements (such as VSWR,Power, Frequency,etc)."
Instruments,Measurement,100028377,Hygrometer: instrument used for measuring the moisture content in the atmosphere
Instruments,Measurement,103185065,Multimeter: Electronic measuring instrument that combines several measurement functions in one unit
Instruments,Measurement,104713690,Wheatstone bridge: measuring instrument in electricity
