"parent","priority","cpc","description"
"Landbouw, Water en Voedsel","Innovatief Waterbeheer","A01B79/005","Precision agriculture"
"Landbouw, Water en Voedsel","Innovatief Waterbeheer","A01C21","Methods of fertilizing"
"Landbouw, Water en Voedsel","Innovatief Waterbeheer","Y02A40","Adaptation technologies in agriculture, forestry, livestock or agroalimentary production"
"Landbouw, Water en Voedsel","Innovatief Waterbeheer","A01G22","Cultivation of specific crops or plants not otherwise provided for"
"Landbouw, Water en Voedsel","Innovatief Waterbeheer","G06Q50/02","Systems or methods specially adapted for agriculture"
"Landbouw, Water en Voedsel","Innovatief Waterbeheer","A01G27","Self-acting watering devices, e.g. for flower-pots"
"Landbouw, Water en Voedsel","Vertical Farming","Y02P60/216","Aquaponics or hydroponics"
"Landbouw, Water en Voedsel","Vertical Farming","A01G31","Soilless cultivation, e.g. hydroponics"
"Landbouw, Water en Voedsel","Vertical Farming","A01G9/2","Forcing-frames; Lights {, i.e. glass panels covering the forcing}"
"Landbouw, Water en Voedsel","Vertical Farming","Y02A40/264","Devices or systems for heating, ventilating, regulating temperature, or watering"
"Landbouw, Water en Voedsel","Vertical Farming","A01G7/04","Electric or magnetic or acoustic treatment of plants for promoting growth"
"Landbouw, Water en Voedsel","Vertical Farming","A01G2/20","Layering"
"Landbouw, Water en Voedsel","Vertical Farming","F21Y2115","Light-generating elements of semiconductor light sources"
"Landbouw, Water en Voedsel","Kringloop Landbouw","Y02W","Climate change mitigation technologies related to wastewater treatment or waste management "
"Landbouw, Water en Voedsel","Kringloop Landbouw","C05F3","Fertilisers from human or animal excrements, e.g. manure"
"Landbouw, Water en Voedsel","Kringloop Landbouw","C05F17","Preparation of fertilisers characterised by the composting step"
"Landbouw, Water en Voedsel","Kringloop Landbouw","Y02A40/205","Fertilizers from human or animal excrements, e.g. manure"
"Landbouw, Water en Voedsel","Kringloop Landbouw","A01G7/06","Treatment of growing trees or plants, e.g. for preventing decay of wood, for tingeing flowers or wood, for prolonging the life of plants"
"Landbouw, Water en Voedsel","Kringloop Landbouw","Y02E50/343","Methane production by fermentation of organic by-products, e.g. sludge"
"Landbouw, Water en Voedsel","Klimaatneutrale Landbouw","Y02P60","Climate change mitigation technologies relating to agriculture, livestock or agroalimentary industries"
"Landbouw, Water en Voedsel","Teeltverduurzaming","0","Note: Overlap with Klimaatneutrale Landbouw"
"Landbouw, Water en Voedsel","Valorisatie Deltatechnologie","Y02A10","Technologies for adaptation to climate change at coastal zones; at river basins"
"Landbouw, Water en Voedsel","Valorisatie Deltatechnologie","Y02A20/4","Water resources protection or enhancement"
"Energie en Klimaat","Slimme mobiliteit","B60K1","Arrangement or mounting of electrical propulsion units"
"Energie en Klimaat","Slimme mobiliteit","B60L53","Methods of charging batteries, specially adapted for electric vehicles; Charging stations or on-board charging equipment therefor; Exchange of energy storage elements in electric vehicles"
"Energie en Klimaat","Slimme mobiliteit","H02J7","Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries"
"Energie en Klimaat","Slimme mobiliteit","B60Y2200/112","City movers, small sized city motor vehicles"
"Energie en Klimaat","Slimme mobiliteit","B60Y2200/91","Electric vehicles"
