Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Garnet Labs,https://www.crunchbase.com/funding_round/garnet-labs-seed--3e077018,Garnet Labs,https://www.crunchbase.com/organization/garnet-labs,Seed,8500000,USD,8500000,2021-12-02,Seed,,,,Yes,"Makers of listen.dev, a security monitoring tool for CI/CD pipelines.","Artificial Intelligence (AI), Developer Tools, Security",,"Toronto, Ontario, Canada, North America",https://listen.dev,,8500000,USD,8500000,Seed,1,Index Ventures,"Altman Capital, Brian Vallelunga, Dig Ventures, Firstminute Capital, Index Ventures, Indicator Fund, Jan Oberhauser, Kevin Mahaffey, Liu Jiang, Mahmoud Abdelkader, Mike Murchison, Olivier Pomel, Packy McCormick, Rishi Bhargava, Ross Mason, Slavik Markovich, SV Angel, Volt Capital",18,,"6,553"
Series A - Reejigs,https://www.crunchbase.com/funding_round/reejigs-series-a--08393544,Reejigs,https://www.crunchbase.com/organization/reejigs,Series A,6000000,USD,6000000,2021-10-11,Early Stage Venture,,,,Yes,"Reejig is a talent Intelligence platform that transforms the way companies discover, manage and mobilise their workforce","Artificial Intelligence (AI), EdTech, SaaS, Software",,"Sydney, New South Wales, Australia, Oceania",https://reejigs.com,,40200000,USD,40200000,Early Stage Venture,4,Skip Capital,"Airtree Ventures, Didier Elzinga, Greta Bradman, Kate Mason, Right Click Capital, Skip Capital",6,3,"6,881"
Series B - Dabeeo,https://www.crunchbase.com/funding_round/dabeeo-series-b--493c3cf9,Dabeeo,https://www.crunchbase.com/organization/dabeeo,Series B,9000000000,KRW,7625828,2021-09-26,Early Stage Venture,,,,Yes,Dabeeo is an AI company specialized in geo-spatial intelligence.,"Artificial Intelligence (AI), Big Data, Geospatial, Indoor Positioning, Location Based Services, Mapping Services, Navigation, Software",,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",http://www.dabeeo.com/,$1M to $10M,21500000000,KRW,17429814,Early Stage Venture,6,,"Aju IB Investment, BonAngels Venture Partners, Guardian Fund, KOREA INVESTMENT & SECURITIES, Newport Ventures, NH Venture Investment, Open Water Investment, Shinhan Capital",8,,"7,037"
Seed Round - SonicJobs,https://www.crunchbase.com/funding_round/sonicjobs-seed--be5b4eca,SonicJobs,https://www.crunchbase.com/organization/sonicjobs,Seed,4200000,GBP,5799327,2021-09-14,Seed,,,,Yes,Building an AI Agent that unlocks human potential,"Artificial Intelligence (AI), Generative AI, Recruiting, Software",Women Founded,"San Francisco, California, United States, North America",http://www.sonicjobs.com,$1M to $10M,6700000,GBP,9066276,Seed,2,"TMT Investments, Triple Point Ventures, Ufi Ventures","Jon Owens, Paul Huntingdon, Rajan Navani, Richard Flint, Rod Leefe, Simon Murphy, Simon Ramery, TMT Investments, Triple Point Ventures, Ufi Ventures, W Fund",11,1,"10,941"
Seed Round - Flam,https://www.crunchbase.com/funding_round/flam-155d-seed--f4f40f11,Flam,https://www.crunchbase.com/organization/flam-155d,Seed,3588757,USD,3588757,2021-07-31,Seed,,,,Yes,Flam is an AI-powered mixed reality (MR) publishing platform.,"3D Technology, Artificial Intelligence (AI), Content, Digital Media, Machine Learning",,"Bangalore, Karnataka, India, Asia",https://flamapp.ai,,8155689,USD,8155689,Seed,3,Inventus Capital Partners,"9Unicorns Accelerator Fund, Inventus Capital Partners, Kwaish Ventures, SVQUAD",4,3,"10,844"
Seed Round - CommandBar,https://www.crunchbase.com/funding_round/command-bar-seed--9aa57ae0,CommandBar,https://www.crunchbase.com/organization/command-bar,Seed,4800000,USD,4800000,2021-08-09,Seed,,,,Yes,"User Assistance Platform that helps product, growth, and CX teams teams unleash their users with AI chat and in-product nudges.","Artificial Intelligence (AI), Software",,"San Francisco, California, United States, North America",https://www.commandbar.com/,$1M to $10M,23800000,USD,23800000,Early Stage Venture,3,Thrive Capital,"BoxGroup, Calvin French-Owen, Christian Reber, Derrick Li, Jack Altman, Naval Ravikant, Soma Capital, Thrive Capital, Worklife, Y Combinator",10,,"11,801"
Series A - Particular Audience,https://www.crunchbase.com/funding_round/particular-audience-series-a--ead03abd,Particular Audience,https://www.crunchbase.com/organization/particular-audience,Series A,10100000,AUD,7196249,2021-11-30,Early Stage Venture,,,,Yes,AI Commerce & Retail Media,"Artificial Intelligence (AI), Big Data, E-Commerce Platforms, Machine Learning, Search Engine, Semantic Search, Visual Search",,"Darlinghurst, New South Wales, Australia, Oceania",https://www.particularaudience.com,$10M to $50M,12700000,AUD,9023561,Early Stage Venture,5,EVP,"Carthona Capital, EVP, Five V Capital, The Sypkes Group",4,5,"14,127"
Series A - GXC,https://www.crunchbase.com/funding_round/gxc-inc-series-a--739b60d6,GXC,https://www.crunchbase.com/organization/gxc-inc,Series A,4730000,USD,4730000,2021-06-23,Early Stage Venture,,,,Yes,"GXC is holding company which has world wide subsidiaries in the field of Game Testing Platform, Game Accelerator, Venture Capital","Artificial Intelligence (AI), Big Data, Console Games, Developer Platform, Online Games, PC Games, Video Games",,"Jeju, Cheju-do, South Korea, Asia",https://gxc.games/,,12410000,USD,12410000,Early Stage Venture,6,"Enlight Ventures, Hana Financial Investment, Konai Partners, SangSang Ventures","DS Asset Management, DS&Partners, Enlight Ventures, Hana Financial Investment, KNet Investment Partners, Konai Partners, Korea Development Bank, Megazone, SangSang Ventures, Tiger Asset Management Discretionary Invest, Vision Creator",11,,"14,421"
Seed Round - Cloudphysician,https://www.crunchbase.com/funding_round/cloudphysician-seed--e1d46206,Cloudphysician,https://www.crunchbase.com/organization/cloudphysician,Seed,300000000,INR,4010827,2021-10-28,Seed,,,,Yes,Cloudphysician is a healthcare technology company that leverages cloud-based solutions to provide critical care services.,"Artificial Intelligence (AI), Emergency Medicine, Health Care, Internet of Things, Medical",,"Bangalore, Karnataka, India, Asia",https://cloudphysician.net,$10M to $50M,1177000000,INR,14520857,Early Stage Venture,4,Elevar Equity,Elevar Equity,1,1,"15,483"
Series A - Niqo Robotics,https://www.crunchbase.com/funding_round/tartansense-series-a--e2b852dc,Niqo Robotics,https://www.crunchbase.com/organization/tartansense,Series A,5060000,USD,5060000,2021-08-25,Early Stage Venture,,,,Yes,Niqo Robotics is an AI powered robotics solutions provider empowering small farm holders.,"Agriculture, Artificial Intelligence (AI), Consumer Electronics, Farming, Information Technology, Machine Learning, Robotics",,"Bangalore, Karnataka, India, Asia",https://niqorobotics.com/,,20016122,USD,20016122,Early Stage Venture,4,"FMC Ventures, Omnivore","Blume Ventures, FMC Ventures, Omnivore",3,3,"17,262"
