Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Diversity Spotlight,Organization Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Grant - Vidrovr,https://www.crunchbase.com/funding_round/vidrovr-grant--aa15a53c,Vidrovr,https://www.crunchbase.com/organization/vidrovr,Grant,899910,USD,899910,2019-05-20,,,,,No,"Vidrovr develops multimodal computer vision and machine learning systems to index, tag, and understand video. ","Machine Learning, Video, Web Design","New York, New York, United States, North America",$1M to $10M,,http://vidrovr.com,5294910,USD,5294910,Seed,10,National Science Foundation,National Science Foundation,1,,"369,531"
Seed Round - BackHug,https://www.crunchbase.com/funding_round/robo-physio-seed--48be0c1f,BackHug,https://www.crunchbase.com/organization/robo-physio,Seed,827000,GBP,1075841,2019-05-09,Seed,,,,Yes,A smart robot that solves aches and pains,"Apps, Health Care, Machine Learning, Medical Device, Robotics, Therapeutics, Wellness","Edinburgh, Edinburgh, City of, United Kingdom, Europe",$1M to $10M,,https://www.mybackhug.com/,1984650,GBP,2583169,,4,Deepbridge Capital,Deepbridge Capital,1,,"303,283"
Pre Seed Round - EmailTree AI,https://www.crunchbase.com/funding_round/emailtree-ai-pre-seed--fcc88091,EmailTree AI,https://www.crunchbase.com/organization/emailtree-ai,Pre-Seed,285000,EUR,324002,2019-01-21,Seed,5000000,EUR,5684247,Yes,Reinvent the customer experience with an intelligent end-to-end customer service automation.,"Artificial Intelligence (AI), SaaS, Software","Luxembourg, Luxembourg, Luxembourg, Europe",$1M to $10M,,https://emailtree.ai,4750000,EUR,5487639,,5,,,,,"190,461"
Seed Round - Clubee,https://www.crunchbase.com/funding_round/clubee-3dee-seed--83ba746d,Clubee,https://www.crunchbase.com/organization/clubee-3dee,Seed,820000,EUR,921141,2019-05-10,Seed,,,,Yes,Unburdening human workforce in sports organizations through AI & automation.,"Artificial Intelligence (AI), CRM, Information Technology, Machine Learning, Marketing, Mobile Apps, Software, Sports","Foetz, Luxembourg, Luxembourg, Europe",$1M to $10M,,https://www.clubee.com,2080000,EUR,2363013,Seed,3,,,,,"599,735"
Seed Round - ChemTech AI,https://www.crunchbase.com/funding_round/chemtec-seed--f64357ed,ChemTech AI,https://www.crunchbase.com/organization/chemtec,Seed,850000,USD,850000,2019-11-25,Seed,,,,Yes,"AI-based software designed to operate food, chemical, cosmetic, and oil & gas production lines. Fully autonomous and highly efficient.","Artificial Intelligence (AI), Industrial Automation, Manufacturing, Software","New York, New York, United States, North America",,,https://www.chmtch.com,1150000,USD,1150000,Seed,3,,,,,"534,114"
Equity Crowdfunding - Breathevision,https://www.crunchbase.com/funding_round/breathevision-equity-crowdfunding--6e4e3a7d,Breathevision,https://www.crunchbase.com/organization/breathevision,Equity Crowdfunding,832000,USD,832000,2019-11-01,,,,,Yes,BreatheVision develops a method for early detection of breathing deterioration in patients under conscious sedation.,"Artificial Intelligence (AI), Computer Vision, Health Care, Machine Learning, Medical, Wellness","Ashkelon, HaDarom, Israel, Asia",,,http://www.breathevision.com,832000,USD,832000,,1,,PipelBiz.com,1,,"378,666"
Seed Round - Alex Therapeutics,https://www.crunchbase.com/funding_round/alex-therapeutics-seed--e329df0b,Alex Therapeutics,https://www.crunchbase.com/organization/alex-therapeutics,Seed,4100000,SEK,455975,2019-01-16,Seed,,,,Yes,"AI digital CBT therapeutic platform - changing habits, changing health","Artificial Intelligence (AI), Assistive Technology, Health Care, Medical, Personal Health, Software, Therapeutics","Stockholm, Stockholms Lan, Sweden, Europe",$1M to $10M,,https://www.alextherapeutics.com,9497329,USD,9497329,,4,Sweet Studio,Sweet Studio,1,,"254,434"
Seed Round - Machine Medicine Technologies,https://www.crunchbase.com/funding_round/machine-medicine-seed--8b800954,Machine Medicine Technologies,https://www.crunchbase.com/organization/machine-medicine,Seed,500000,GBP,653680,2019-04-04,Seed,,,,Yes,Machine Medicine are building an operating system for neuromodulation and other forms of precision neurotherapeutics.,"Artificial Intelligence (AI), Computer Vision, Health Care, Machine Learning, Software Engineering","London, England, United Kingdom, Europe",$1M to $10M,,http://machinemedicine.com/,500400,GBP,654168,,8,,,,,"254,516"
Corporate Round - Kognita,https://www.crunchbase.com/funding_round/kognita-corporate-round--b226fbe2,Kognita,https://www.crunchbase.com/organization/kognita,Corporate Round,1000000,BRL,240594,2019-10-01,,4000000,BRL,962376,Yes,"Kognita is an Artificial Inteligence company. We build products and solutions that help our clients make better decisions, faster.","Artificial Intelligence (AI), Machine Learning, SaaS, Sales Automation, Software","Brasil, Sao Paulo, Brazil, South America",Less than $1M,,https://kognita.com.br,2075000,BRL,441732,,3,,,,,"569,098"
Series A - Asilla,https://www.crunchbase.com/funding_round/asilla-series-a--4983ea59,Asilla,https://www.crunchbase.com/organization/asilla,Series A,104250000,JPY,935385,2019-04-01,Early Stage Venture,,,,Yes,Asilla develops and provides AI specialized in image and video analysis.,"Analytics, Artificial Intelligence (AI), Image Recognition, Machine Learning, Video","Machida, Tokyo, Japan, Asia",$1M to $10M,,https://www.asilla.jp,1404250000,JPY,9827335,Late Stage Venture,6,"Mitsubishi UFJ Capital, Okasan Capital Partners","Mitsubishi UFJ Capital, Okasan Capital Partners",2,,"254,859"
Seed Round - Malbek,https://www.crunchbase.com/funding_round/malbek-seed--78bbc72d,Malbek,https://www.crunchbase.com/organization/malbek,Seed,800000,USD,800000,2019-05-24,Seed,,,,Yes,"Malbek is an AI fueled enterprise contract management solution that streamlines request, review, signature, and commitment tracking.","Artificial Intelligence (AI), Enterprise Software, Legal Tech, SaaS, Software","Princeton, New Jersey, United States, North America",$1M to $10M,"South Asian Founded, South Asian Led",https://www.malbek.io,20550000,USD,20550000,Early Stage Venture,5,,,,,"255,189"
Seed Round - reDock,https://www.crunchbase.com/funding_round/redock-seed--5282a7cf,reDock,https://www.crunchbase.com/organization/redock,Seed,1000000,USD,1000000,2019-03-01,Seed,,,,Yes,reDock uses AI to extract meaning from content in order to accelerate and automate the content creation process.,"Artificial Intelligence (AI), Software","Ottawa, Ontario, Canada, North America",$1M to $10M,,http://www.redock.com/,1000000,USD,1000000,Seed,3,"Anges Quebec, Hustle Fund, Panache Ventures, ScaleUP Ventures","Anges Quebec, Hustle Fund, Panache Ventures, ScaleUP Ventures",4,,"255,507"
Pre Seed Round - Mav,https://www.crunchbase.com/funding_round/mav-bd1e-pre-seed--8dcdcedb,Mav,https://www.crunchbase.com/organization/mav-bd1e,Pre-Seed,750000,USD,750000,2019-11-01,Seed,,,,Yes,Mav is the full-funnel AI SMS assistant that helps companies acquire and nurture leads.,"Artificial Intelligence (AI), Finance, Information Technology, Legal, Legal Tech, Real Estate, Software","San Diego, California, United States, North America",,,https://www.hiremav.com,750000,USD,750000,Seed,1,,,,,"381,241"
Pre Seed Round - Alty Chatbot,https://www.crunchbase.com/funding_round/alty-34ec-pre-seed--7f0df55b,Alty Chatbot,https://www.crunchbase.com/organization/alty-34ec,Pre-Seed,500000,USD,500000,2019-02-01,Seed,3000000,USD,3000000,Yes,Alty is an AI-based platform that provides a crypto wallet for social media.,"Artificial Intelligence (AI), Blockchain, Cryptocurrency, Information Technology, Small and Medium Businesses, Software, Web3","Bridgetown, Saint Michael, Barbados, North America",$1M to $10M,,https://alty.com,2000000,USD,2000000,Seed,2,,,,,"256,185"
Pre Seed Round - Jobplanner,https://www.crunchbase.com/funding_round/jobplanner-pre-seed--c51af93d,Jobplanner,https://www.crunchbase.com/organization/jobplanner,Pre-Seed,450000,USD,450000,2019-03-01,Seed,,,,Yes,Jobplanner is an AI-driven job search platform that offers a talent-sourcing solution.,"Artificial Intelligence (AI), Human Resources, Internet","Tel Aviv, Tel Aviv, Israel, Asia",$10M to $50M,,https://jobplanner.co.il,450000,USD,450000,Seed,1,,,,,"564,255"
Pre Seed Round - Flowlity,https://www.crunchbase.com/funding_round/flowlity-pre-seed--b671e433,Flowlity,https://www.crunchbase.com/organization/flowlity,Pre-Seed,1120000,USD,1120000,2019-08-27,Seed,,,,Yes,"SaaS using AI to build resilient supply chain, predict sales and consumptions and optimize inventories","Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software, Supply Chain Management","Paris, Ile-de-France, France, Europe",$1M to $10M,,http://www.flowlity.com,6626681,USD,6626681,Seed,3,42CAP,"42CAP, Entrepreneur First",2,2,"257,061"
Grant - Beagle Learning,https://www.crunchbase.com/funding_round/beagle-learning-grant--ef5b6c08,Beagle Learning,https://www.crunchbase.com/organization/beagle-learning,Grant,224690,USD,224690,2019-01-29,,,,,No,Beagle Learning provides software that accelerates learning and strategic decision making using custom built AI.,"Artificial Intelligence (AI), EdTech, Education, Machine Learning, SaaS, Software","Boston, Massachusetts, United States, North America",$1M to $10M,Women Founded,https://en.beaglelearning.com,514690,USD,514690,Seed,3,National Science Foundation,National Science Foundation,1,,"257,485"
Seed Round - FireVisor,https://www.crunchbase.com/funding_round/firevisor-systems-pte-ltd-seed--bcbea470,FireVisor,https://www.crunchbase.com/organization/firevisor-systems-pte-ltd,Seed,1300000,SGD,962028,2019-03-19,Seed,,,,Yes,FireVisor provide AI powered software platform that understands manufacturing data to reduce the cost of product failure.,"Artificial Intelligence (AI), Industrial Automation, Machine Learning, Manufacturing, Software","Singapore, Central Region, Singapore, Asia",$1M to $10M,,http://firevisor.com,1385000,SGD,1028306,Seed,5,"500 Southeast Asia, Acequia Capital (AceCap)","500 Southeast Asia, Acequia Capital (AceCap), Charlie Songhurst, Entrepreneur First, SGI Venture Capital",5,3,"257,593"
Seed Round - Plyable,https://www.crunchbase.com/funding_round/mouldbox-seed--7552a908,Plyable,https://www.crunchbase.com/organization/mouldbox,Seed,500000,GBP,651992,2019-04-30,Seed,,,,Yes,Building the definitive global marketplace for composite tooling,"Artificial Intelligence (AI), CAD, Computer Vision, Hardware, Industrial Automation, Machine Learning, Manufacturing, Marketplace, SaaS, Software","Oxford, Oxfordshire, United Kingdom, Europe",Less than $1M,,https://www.plyable.com,500000,GBP,651992,Seed,2,Forward Partners,Forward Partners,1,1,"382,942"
"Seed Round - KPI Ninja, Inc.",https://www.crunchbase.com/funding_round/kpi-ninja-llc-seed--063988ea,"KPI Ninja, Inc.",https://www.crunchbase.com/organization/kpi-ninja-llc,Seed,855000,USD,855000,2019-07-31,Seed,,,,Yes,Leader in healthcare analytics and performance improvement that accelerates the achievement of strategic goals.,"Analytics, Data Integration, Data Mining, Data Visualization, Health Care, Natural Language Processing, Software","Lincoln, Nebraska, United States, North America",$1M to $10M,,http://kpininja.com,855000,USD,855000,M&A,2,Invest Nebraska,"Invest Nebraska, Nebraska Angel Network",2,,"385,344"
Grant - Aether Biomedical,https://www.crunchbase.com/funding_round/aether-biomedical-grant--4520ec3a,Aether Biomedical,https://www.crunchbase.com/organization/aether-biomedical,Grant,500000,EUR,549524,2019-09-01,,,,,No,Aether Biomedical is a rehabiliation robotics startup focused on building bionic limbs for upper limb amputees,"Artificial Intelligence (AI), Biotechnology, Electronics, Health Care, Information Technology, Medical, Medical Device, Robotics","Poznan, Wielkopolskie, Poland, Europe",$1M to $10M,,https://www.aetherbiomedical.com,11283322,USD,11283322,Early Stage Venture,9,,Narodowe Centrum Badan i Rozwoju,1,,"258,595"
Series B - Tarviz Digimart,https://www.crunchbase.com/funding_round/tarviz-digimart-series-b--ab3ee2d6,Tarviz Digimart,https://www.crunchbase.com/organization/tarviz-digimart,Series B,916000,USD,916000,2019-02-21,Early Stage Venture,1500000,USD,1500000,Yes,Tarviz Digimart is a leading digital marketing agency that provides AI/ML technologies enabled digital solutions.,"Artificial Intelligence (AI), Digital Marketing, E-Commerce, Email Marketing, Graphic Design, Machine Learning, Social Media","Chennai, Tamil Nadu, India, Asia",,,https://www.tarvizdigimart.com/,916000,USD,916000,Early Stage Venture,1,,,,,"549,353"
Seed Round - Vfluencer,https://www.crunchbase.com/funding_round/vfluencer-seed--8e3fcb8b,Vfluencer,https://www.crunchbase.com/organization/vfluencer,Seed,500000,USD,500000,2019-01-03,Seed,,,,Yes,Vfluencer is real-time competitor intelligence for China social media.,"Advertising, Analytics, Artificial Intelligence (AI), Big Data, CRM, Internet, Marketing","Kowloon City, Kowloon, Hong Kong, Asia",,,http://www.vfluencer.com,530000,USD,530000,Seed,2,,,,,"388,804"
Convertible Note - Observa,https://www.crunchbase.com/funding_round/observa-convertible-note--bce46d7f,Observa,https://www.crunchbase.com/organization/observa,Convertible Note,500000,USD,500000,2019-03-25,,,,,No,"AI-powered auditing platform that delivers insights and actions to CPG brands and retailers via data from shelf cameras, robots, and humans.","Analytics, Artificial Intelligence (AI), Image Recognition, Information Services, Mobile Apps, Real Time, Retail Technology","Seattle, Washington, United States, North America",$1M to $10M,,https://www.observanow.com,3076000,USD,3076000,,6,,,,,"137,243"
Grant - WaveScan,https://www.crunchbase.com/funding_round/wavescan-technologies-pte-ltd-grant--70f240e8,WaveScan,https://www.crunchbase.com/organization/wavescan-technologies-pte-ltd,Grant,500000,SGD,368866,2019-01-17,,,,,No,We create advanced 3D imaging scanning technology for see-through structural inspections focused on cross-sector NDT applications.,"Analytics, Artificial Intelligence (AI), Consumer Electronics, Electronics, Information Technology, Machine Learning, Software","Singapore, Central Region, Singapore, Asia",$1M to $10M,,https://www.wavescan.sg,3115160,SGD,2322363,Seed,9,,Enterprise Singapore,1,,"138,062"
Grant - Cognetivity Neurosciences,https://www.crunchbase.com/funding_round/cognetivity-neurosciences-grant--96d6f3b1,Cognetivity Neurosciences,https://www.crunchbase.com/organization/cognetivity-neurosciences,Grant,1300000,CAD,994225,2019-10-23,,,,,No,"Cognetivity Neurosciences is a Platform technology for early, rapid and easy detection of dementia.","Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical Device, Software","West Point, Georgia, United States, North America",$1M to $10M,,https://www.cognetivity.com,6902271,CAD,5160338,IPO,4,,Innovate UK,1,,"138,124"
Seed Round - The MoonVision,https://www.crunchbase.com/funding_round/the-moonvision-gmbh-seed--3ae49324,The MoonVision,https://www.crunchbase.com/organization/the-moonvision-gmbh,Seed,600000,EUR,686890,2019-01-31,Seed,12000000,EUR,13737805,Yes,The MoonVision  is an efficient visual object recognition plattform for your business.,"Artificial Intelligence (AI), Information Services, Information Technology, Machine Learning, Software","Vienna, Wien, Austria, Europe",$1M to $10M,,https://moonvision.io,2201429,EUR,2511173,Seed,5,Arax Capital Partners,Arax Capital Partners,1,,"551,199"
Pre Seed Round - Whalebone,https://www.crunchbase.com/funding_round/whalebone-pre-seed--1bca1307,Whalebone,https://www.crunchbase.com/organization/whalebone,Pre-Seed,10000000,SEK,1019838,2019-10-11,Seed,,,,Yes,Whalebone is developing technology to amplify and humanize virtual events.,"Analytics, Artificial Intelligence (AI), Big Data, Events, Machine Learning, Sensor","Stockholm, Stockholms Lan, Sweden, Europe",Less than $1M,,https://www.whalebone.com,30000000,SEK,3368492,M&A,3,,Rutger Arnhult,1,,"138,326"
Series A - Domotron,https://www.crunchbase.com/funding_round/domotron-series-a--dcb66f3f,Domotron,https://www.crunchbase.com/organization/domotron,Series A,900000,EUR,1007410,2019-06-01,Early Stage Venture,,,,Yes,The Most Advanced Smart Home That Adapts to Your Lifestyle. To Make Your Life Easier.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Smart Home","Prague, Hlavni mesto Praha, Czech Republic, Europe",Less than $1M,,https://domotron.com/,1700000,EUR,1864490,Early Stage Venture,2,,Presto Ventures,1,,"457,917"
Series A - RocketBody,https://www.crunchbase.com/funding_round/rocketbody-series-a--8748a084,RocketBody,https://www.crunchbase.com/organization/rocketbody,Series A,1000000,USD,1000000,2019-09-05,Early Stage Venture,,,,Yes,RocketBody A.I. powered Personal Trainer,"Apps, Artificial Intelligence (AI), Fitness, Health Care, Machine Learning","Newark, Delaware, United States, North America",$1M to $10M,,http://gorocketbody.com/,1000000,USD,1000000,Early Stage Venture,2,"AltaIR Capital, Taver Capital Partners","AltaIR Capital, Taver Capital Partners",2,1,"188,298"
Pre Seed Round - Arthronica,https://www.crunchbase.com/funding_round/arthronica-pre-seed--10d75085,Arthronica,https://www.crunchbase.com/organization/arthronica,Pre-Seed,500000,GBP,623472,2019-09-18,Seed,,,,Yes,Arthronica provides Artificial Intelligence for Patient Monitoring and Rehabilitation,"Artificial Intelligence (AI), Machine Learning, Medical Device","London, England, United Kingdom, Europe",$1M to $10M,,https://www.arthronica.com,966000,GBP,1219044,Seed,3,,"AI Seed, Crista Galli Ventures, Entrepreneur First, RebelBio, SOSV",5,1,"591,054"
Grant - Akrobotix,https://www.crunchbase.com/funding_round/akrobotix-grant--c6d23e17,Akrobotix,https://www.crunchbase.com/organization/akrobotix,Grant,224996,USD,224996,2019-12-15,,,,,No,Akrobotix is a research and product development startup.,"Aerospace, Artificial Intelligence (AI), Software","Manlius, New York, United States, North America",,,https://agcs.akrobotix.com/,474996,USD,474996,,2,National Science Foundation,National Science Foundation,1,,"460,738"
Series A - MANAFA Capital,https://www.crunchbase.com/funding_round/manafa-capital-series-a--8563e2e8,MANAFA Capital,https://www.crunchbase.com/organization/manafa-capital,Series A,1060000,USD,1060000,2019-01-01,Early Stage Venture,,,,Yes,MANAFA is an investment marketplace for innovative businesses regulated by the Saudi Capital Market Authority,"Crowdfunding, Financial Services, FinTech, Marketplace, Predictive Analytics","Riyadh, Ar Riyad, Saudi Arabia, Asia",$1M to $10M,,https://manafa.co,29060000,USD,29060000,Early Stage Venture,3,,"Oqal, Saudi Venture Capital Company",2,,"529,490"
Seed Round - EYWA Kitchen Hub,https://www.crunchbase.com/funding_round/eywa-kitchen-hub-seed--42e2d7d9,EYWA Kitchen Hub,https://www.crunchbase.com/organization/eywa-kitchen-hub,Seed,500000,USD,500000,2019-06-09,Seed,,,,Yes,Eywa Kitchen develops AI-based smart solutions for furniture in households and offices with voice control and speech recognition.,"Artificial Intelligence (AI), Consumer Electronics, Furniture, Software","Moscow, Moscow City, Russian Federation, Europe",,,http://eywa.io/,500000,USD,500000,Seed,1,Genezis Technology Capital,Genezis Technology Capital,1,,"594,193"
Pre Seed Round - Vozy,https://www.crunchbase.com/funding_round/vozy-inc-pre-seed--da148a72,Vozy,https://www.crunchbase.com/organization/vozy-inc,Pre-Seed,315000,USD,315000,2019-03-10,Seed,,,,Yes,Vozy provides a voice AI platform that help evolve conversations at SCALE for the Enterprise.,"Artificial Intelligence (AI), Enterprise Software, SaaS, Software, Speech Recognition, Virtual Assistant","Medellín, Antioquia, Colombia, South America",$1M to $10M,,https://www.vozy.co,8082600,USD,8082600,Seed,11,Magma Partners,"Alejandro Lopez, Andeo Capital, Condor, Impulsum Ventures, Magma Partners, Troopa",6,2,"594,681"
Equity Crowdfunding - Gleantap,https://www.crunchbase.com/funding_round/gleantap-equity-crowdfunding--69d3c1d1,Gleantap,https://www.crunchbase.com/organization/gleantap,Equity Crowdfunding,260000,USD,260000,2019-10-03,,,,,Yes,Gleantap is an intelligent customer experience platform for fitness & wellness businesses.,"Artificial Intelligence (AI), Information Technology, Internet","Austin, Texas, United States, North America",Less than $1M,,https://gleantap.com,775000,USD,775000,,3,,,,,"558,203"
Seed Round - MedHub-AI,https://www.crunchbase.com/funding_round/medhub-ai-seed--cf6067da,MedHub-AI,https://www.crunchbase.com/organization/medhub-ai,Seed,800000,USD,800000,2019-02-01,Seed,,,,Yes,MedHub-AI develops deep-learning video analysis algorithms that provide accurate diagnostic insights and practical guidance for physicians.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Medical, Medical Device","Tel Aviv, Tel Aviv, Israel, Asia",$1M to $10M,,https://www.medhub-ai.com/,6320000,USD,6320000,Early Stage Venture,10,,,,,"594,855"
"Seed Round - ProHawk Technology Group, Inc.",https://www.crunchbase.com/funding_round/prohawk-technology-group-seed--727b18fa,"ProHawk Technology Group, Inc.",https://www.crunchbase.com/organization/prohawk-technology-group,Seed,775879,USD,775879,2019-04-09,Seed,,,,Yes,ProHawk’s patented computer vision algorithms restore and enhance video streams for the clearest imagery possible.,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Security, Software, Software Engineering, Video, Video on Demand","Lake Mary, Florida, United States, North America",$1M to $10M,,http://prohawk.ai/,1741271,USD,1741271,Seed,6,,,,,"605,771"
Pre Seed Round - Native AI,https://www.crunchbase.com/funding_round/native-3000-pre-seed--7813f4ab,Native AI,https://www.crunchbase.com/organization/native-3000,Pre-Seed,500000,USD,500000,2019-09-20,Seed,,,,Yes,"The always-on market intelligence platform that helps you understand, innovate, and create ideal experiences for your customers.","Artificial Intelligence (AI), Consumer Goods, Food and Beverage, Life Science, Natural Language Processing, Predictive Analytics, Software","New York, New York, United States, North America",$1M to $10M,"Women Founded, Women Led",https://www.gonative.ai,5700000,USD,5700000,Seed,4,,Capital Innovators,1,,"595,810"
Seed Round - Happy Recruiter,https://www.crunchbase.com/funding_round/happy-recruiter-seed--bd2fdee7,Happy Recruiter,https://www.crunchbase.com/organization/happy-recruiter,Seed,1000000,EUR,1122209,2019-04-05,Seed,,,,Yes,Happy Recruiter is the Recruitment Robot will recruit for all the projects you have.,"Artificial Intelligence (AI), Robotics","Targu-mures, Mures, Romania, Europe",$1M to $10M,,https://happyrecruiter.com/en/,1000000,EUR,1122209,Seed,1,House of HR,House of HR,1,,"595,918"
Equity Crowdfunding - Userbot,https://www.crunchbase.com/funding_round/userbot-equity-crowdfunding--14775168,Userbot,https://www.crunchbase.com/organization/userbot,Equity Crowdfunding,690415,EUR,773433,2019-05-01,,5994074,EUR,6714823,Yes,Userbot is an AI powered customer interaction platform,"Analytics, Artificial Intelligence (AI), Customer Service, Human Computer Interaction, Information Technology, Machine Learning, Virtual Assistant","Milan, Lombardia, Italy, Europe",$1M to $10M,,https://userbot.ai/,2449844,EUR,2843716,Seed,7,,Enrico Bruschini,1,,"595,943"
Venture Round - Wigzo Technologies,https://www.crunchbase.com/funding_round/wigzo-technologies-series-unknown--7f01ce5e,Wigzo Technologies,https://www.crunchbase.com/organization/wigzo-technologies,Venture - Series Unknown,1000000,USD,1000000,2019-07-01,,,,,Yes,Contextual Marketing Platform for Web and In-App,"Advertising, Email, Machine Learning, Mobile, SaaS, Software","Singapore, Central Region, Singapore, Asia",$1M to $10M,,http://www.wigzo.com/,1600000,USD,1600000,M&A,5,Cornerstone Venture Partners Fund,Cornerstone Venture Partners Fund,1,,"633,905"
Seed Round - Wisely,https://www.crunchbase.com/funding_round/wisely-2051-seed--751b5cf3,Wisely,https://www.crunchbase.com/organization/wisely-2051,Seed,1500000,CAD,1142357,2019-07-22,Seed,5000000,CAD,3807856,Yes,"Wisely provides fundraising enablement software that accelerates nonprofit fundraising, helped by artificial intelligence.","Artificial Intelligence (AI), Software","Toronto, Ontario, Canada, North America",$1M to $10M,,https://fundraisewisely.com/,2002667,CAD,1535661,Seed,4,Ripple Ventures,"Maple Leaf Angels, Ripple Ventures, Verstra Ventures",3,1,"415,739"
Seed Round - Pitstop,https://www.crunchbase.com/funding_round/pitstop-seed--2f4b7f98,Pitstop,https://www.crunchbase.com/organization/pitstop,Seed,1500000,CAD,1108439,2019-05-30,Seed,,,,Yes,PitStop is a platform that aggregates data and uses machine learning to perform predictive maintenance for vehicles. ,"Analytics, Artificial Intelligence (AI), Automotive, Big Data, Machine Learning","Toronto, Ontario, Canada, North America",$50M to $100M,,https://pitstopconnect.com/,5604248,USD,5604248,Seed,7,Ripple Ventures,"Clairvest Group, Hike Ventures, Ontario Centres of Excellence, Ripple Ventures, WorldQuant Ventures LLC",5,,"415,946"
Pre Seed Round - Fyma,https://www.crunchbase.com/funding_round/visory-pre-seed--42f36fb3,Fyma,https://www.crunchbase.com/organization/visory,Pre-Seed,250000,EUR,275837,2019-10-15,Seed,,,,Yes,The world’s urban movement analytics platform: empirical data enabling better cities and commerce,"Analytics, Artificial Intelligence (AI), Computer Vision, Machine Learning, Real Estate, Retail, SaaS, Software","Tallinn, Harjumaa, Estonia, Europe",$1M to $10M,,https://fyma.ai/,4175837,USD,4175837,Seed,3,Superangel,Superangel,1,,"416,183"
Seed Round - INVOKE,https://www.crunchbase.com/funding_round/invoke-d186-seed--6f8eca85,INVOKE,https://www.crunchbase.com/organization/invoke-d186,Seed,490000,USD,490000,2019-11-01,Seed,12250000,USD,12250000,Yes,"Data, Analytics, Digital Platforms","Advertising, Analytics, Internet, Machine Learning","Kuala Lumpur, Kuala Lumpur, Malaysia, Asia",,,https://invokeisdata.com,3325000,USD,3325000,Seed,6,Ahmad Shahizam Mohd Shariff,"Ahmad Shahizam Mohd Shariff, Hassan Sonday",2,,"641,299"
Angel Round - Buddy.ai,https://www.crunchbase.com/funding_round/mybuddy-ai-angel--f4324a26,Buddy.ai,https://www.crunchbase.com/organization/mybuddy-ai,Angel,425000,USD,425000,2019-04-01,Seed,,,,Yes,Buddy.ai is a voice-based virtual English tutor for kids that uses speech and virtual human technologies.,"Apps, Artificial Intelligence (AI), E-Learning, EdTech, Education, Language Learning, Software, Tutoring","Mountain View, California, United States, North America",$1M to $10M,,https://buddy.ai,2230000,USD,2230000,,9,"Alex Vassiliev, YellowRockets","Alex Vassiliev, YellowRockets",2,,"641,906"
Seed Round - Care Angel,https://www.crunchbase.com/funding_round/care-angel-seed--a92fe6f2,Care Angel,https://www.crunchbase.com/organization/care-angel,Seed,600220,USD,600220,2019-12-05,Seed,,,,Yes,"Care Angel is a Consumer engagement Platform leveraging AI to improve patient outcomes, enable clinical worker, and operational efficiency.","Apps, Artificial Intelligence (AI), Health Care, Medical Device, mHealth","Miami, Florida, United States, North America",$1M to $10M,,http://www.careangel.com,16536567,USD,16536567,,6,,,,,"644,165"
Series A - Medipixel,https://www.crunchbase.com/funding_round/medipixel-series-a--8b9b8a8f,Medipixel,https://www.crunchbase.com/organization/medipixel,Series A,1005264100,KRW,847459,2019-12-06,Early Stage Venture,25000000000,KRW,21075526,Yes,Medipixel is a healthcare technology company that has created a number of AI-enhanced solutions for intervention surgeons.,"Artificial Intelligence (AI), Health Care, Machine Learning, Robotics","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",$1M to $10M,,http://www.medipixel.io,28422290526,KRW,22595428,Early Stage Venture,6,QUAD Investment Management,"Dayli Partners, QUAD Investment Management",2,1,"644,273"
Equity Crowdfunding - Mycroft,https://www.crunchbase.com/funding_round/mycroft-ai-inc-equity-crowdfunding--e63046c7,Mycroft,https://www.crunchbase.com/organization/mycroft-ai-inc,Equity Crowdfunding,1070000,USD,1070000,2019-01-25,,20000000,USD,20000000,Yes,Mycroft is a developer of an open source voice assistant platform designed to handle operating systems.,"Artificial Intelligence (AI), Consumer Electronics, Internet of Things, Machine Learning, Open Source, Software","Kansas City, Missouri, United States, North America",$1M to $10M,Women Founded,http://mycroft.ai,5089485,USD,5089485,,17,,StartEngine,1,,"487,779"
Venture Round - humanpredictions,https://www.crunchbase.com/funding_round/humanpredictions-series-unknown--a0717314,humanpredictions,https://www.crunchbase.com/organization/humanpredictions,Venture - Series Unknown,1165000,USD,1165000,2019-05-09,,,,,Yes,humanpredictions is a B2B data company focused on gathering professional public data about technical people.,"Human Resources, Machine Learning, Market Research, Recruiting, SaaS, Software","Chicago, Illinois, United States, North America",$1M to $10M,,http://www.humanpredictions.io,1165000,USD,1165000,,1,Network Ventures,"HPA (Hyde Park Angels), M25, Nameless Ventures, Network Ventures",4,,"374,349"
