Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Lisuto AI,https://www.crunchbase.com/funding_round/lisuto-ai-seed--0df92717,Lisuto AI,https://www.crunchbase.com/organization/lisuto-ai,Seed,1800000000,JPY,16161616,2017-04-01,Seed,,,,Yes,"Lisuto AI optimizes seller performance on marketplaces, by delivering an AI-based complete SaaS solution for marketplace-specific search","Artificial Intelligence (AI), E-Commerce, Internet, Marketing Automation, Marketplace, SaaS, SEM, SEO",,"Tokyo, Tokyo, Japan, Asia",http://lisuto.com,$1M to $10M,1800000000,JPY,16161616,Seed,1,,"Angel Bridge, Daiwa Corporation, Mitsubishi UFJ Capital, Sagawa Express, SMBC Venture Capital, Vector",6,,"8,787"
Series A - Longmao Data,https://www.crunchbase.com/funding_round/longmao-data-series-a--162bf4ba,Longmao Data,https://www.crunchbase.com/organization/longmao-data,Series A,5000000,USD,5000000,2017-11-07,Early Stage Venture,,,,Yes,Longmao Data specializes in offering data services intended for artificial intelligence platforms.,"Artificial Intelligence (AI), Big Data, Database",,"Beijing, Beijing, China, Asia",https://www.longmaosoft.com,,9711257,USD,9711257,Early Stage Venture,2,GSR Ventures,"Cloud Angel Fund, GSR Ventures, UnityVC, Zhenshun Jijin",4,,"17,262"
Angel Round - WATRIX.AI,https://www.crunchbase.com/funding_round/watrix-ai-angel--88360d93,WATRIX.AI,https://www.crunchbase.com/organization/watrix-ai,Angel,60000000,CNY,8639682,2017-01-01,Seed,,,,Yes,WATRIX.AI is an artificial intelligence company focusing on computer vision and video big data analysis.,"Analytics, Artificial Intelligence (AI), Robotics",,"Beijing, Beijing, China, Asia",http://www.watrix.ai,$1M to $10M,70067476,USD,70067476,Early Stage Venture,5,,"Lenovo Capital and Incubator Group (LCIG), Zhongke Innovation",2,,"18,143"
Series B - Minivision,https://www.crunchbase.com/funding_round/minivision-series-b--8243d8c0,Minivision,https://www.crunchbase.com/organization/minivision,Series B,20000000,CNY,3062178,2017-09-11,Early Stage Venture,,,,Yes,"Minivision offers machine learning, big data visualization, AI and IoT technology services.","Artificial Intelligence (AI), Big Data, Internet of Things, Machine Learning",,"Nanjing, Jiangsu, China, Asia",http://www.minivision.com.cn/,,50000000,CNY,7804288,Early Stage Venture,3,,"Conswall Capital, Daosheng Jinrong, Daxie Hansheng, Fusang Touzi, Handnice Capital",5,,"20,790"
Series A - Soul,https://www.crunchbase.com/funding_round/soul-bd43-series-a--eae50d8a,Soul,https://www.crunchbase.com/organization/soul-bd43,Series A,4500000,USD,4500000,2017-11-01,Early Stage Venture,,,,Yes,SOUL is a social network that uses AI to help users find their soul mates.,"Apps, Artificial Intelligence (AI), Internet, Social Network",,"Shanghai, Shanghai, China, Asia",http://www.soulapp.cn,$50M to $100M,395600000,USD,395600000,Late Stage Venture,8,,"5Y Capital, Magic Capital",2,,"23,714"
Series B - CloudWalk Technology,https://www.crunchbase.com/funding_round/cloudwalk-technology-series-b--6ad2f830,CloudWalk Technology,https://www.crunchbase.com/organization/cloudwalk-technology,Series B,500000000,CNY,75371582,2017-11-20,Early Stage Venture,,,,Yes,"CloudWalk Technology is an AI platform that provides facial recognition services for the financial, public security, and aviation sectors.","Artificial Intelligence (AI), Facial Recognition, Information Technology, Machine Learning",,"Beijing, Beijing, China, Asia",https://www.cloudwalk.com/,$500M to $1B,5560000000,CNY,804747563,IPO,8,"Oriza Holdings, Puhua Capital, Shunwei Capital","Galaxy Holding Group, Guangzhou Yuexiu Industrial Investment Fund, Oriza Holdings, Puhua Capital, Shenzhen Qianhai Xingwang Investment, Shunwei Capital, Yuexiu Group, ZJ Innopark (Zhangjiang Hi-Tech Park)",8,,"23,975"
Seed Round - Workrede,https://www.crunchbase.com/funding_round/red-e-app-seed--8b9f5587,Workrede,https://www.crunchbase.com/organization/red-e-app,Seed,3976161,USD,3976161,2017-05-05,Seed,,,,Yes,"Enable people, purpose, and process with every communication","Apps, Artificial Intelligence (AI), Document Management, Information Services, Machine Learning, Messaging, Mobile Apps, Productivity Tools, SaaS, Software",,"Louisville, Kentucky, United States, North America",https://workrede.com/,$1M to $10M,9189226,USD,9189226,Seed,5,,"Rockpoint Capital, Thornton Capital, Yearling Fund II",3,,"25,579"
Series A - Newmetrix,https://www.crunchbase.com/funding_round/newmetrix-series-a--e94a558e,Newmetrix,https://www.crunchbase.com/organization/newmetrix,Series A,7000000,USD,7000000,2017-06-19,Early Stage Venture,,,,Yes,Newmetrix develops a cloud-based video management platform to reduce jobsite risk with the power of human and artificial intelligence.,"Artificial Intelligence (AI), Computer, Machine Learning, Software Engineering",,"Cambridge, Massachusetts, United States, North America",https://www.newmetrix.com,$10M to $50M,23673916,USD,23673916,M&A,7,Borealis Ventures,"Alumni Ventures, Autodesk, Borealis Ventures, Castor Ventures, Converge Ventures, LaunchPad Venture, Stage 1 Ventures",7,,"27,844"
Series B - Channel Talk,https://www.crunchbase.com/funding_round/channel-corp-series-b--506e5569,Channel Talk,https://www.crunchbase.com/organization/channel-corp,Series B,4500000000,JPY,41389251,2017-08-28,Early Stage Venture,,,,Yes,Channel Talk is an all-in-one AI messenger designed to help you provide VIP-level customer service.,"Artificial Intelligence (AI), Call Center, Chatbot, CRM, Customer Service, E-Commerce Platforms, Information Technology, SaaS, Software, Unified Communications",,"New York, New York, United States, North America",https://channel.io/en,$10M to $50M,69129600,USD,69129600,Late Stage Venture,5,Global Brain Corporation,"Colopl Next, Global Brain Corporation, KDDI Open Innovation Fund",3,,"35,486"
Series B - Rigetti Computing,https://www.crunchbase.com/funding_round/rigetti-computing-series-b--e7a87d7e,Rigetti Computing,https://www.crunchbase.com/organization/rigetti-computing,Series B,50000000,USD,50000000,2017-11-17,Early Stage Venture,,,,Yes,Rigetti Computing is a quantum computing company that builds and deploys full-stack quantum systems with superconducting qubits.,"Artificial Intelligence (AI), Big Data, Hardware, Quantum Computing, Software",,"Berkeley, California, United States, North America",http://www.rigetti.com,$10M to $50M,298450000,USD,298450000,IPO,12,,"Alumni Ventures, Capikris Foundation, Castor Ventures, Green D Ventures, Nimble Ventures, Seabed VC, Streamlined Ventures",7,11,"36,167"
Series A - RapidSOS,https://www.crunchbase.com/funding_round/rapidsos-series-a--7123c946,RapidSOS,https://www.crunchbase.com/organization/rapidsos,Series A,14000000,USD,14000000,2017-04-25,Early Stage Venture,,,,Yes,"RapidSOS is an intelligent safety platform that connects devices, apps, and sensors for safety agents.","Artificial Intelligence (AI), Mobile Apps, Public Safety",,"New York, New York, United States, North America",https://rapidsos.com,$10M to $50M,355730006,USD,355730006,Late Stage Venture,17,Highland Capital Partners,"A3Ventures, Castor Ventures, Dennis Patrick, FOUNDER.org, Highland Capital Partners, iLab Ventures, Julius Genachowski, Motorola Solutions Venture Capital, Responder Ventures, The Westly Group, Tom Wheeler, Two Sigma Ventures",12,2,"36,733"
Series A - Hyper Anna,https://www.crunchbase.com/funding_round/hyper-anna-series-a--eac4adba,Hyper Anna,https://www.crunchbase.com/organization/hyper-anna,Series A,16000000,AUD,12697355,2017-08-21,Early Stage Venture,,,,Yes,AI-powered data insights meets interactive storytelling in real time.,"Analytics, Artificial Intelligence (AI), Banking, Data Visualization, Machine Learning, SaaS, Software",,"Sydney, New South Wales, Australia, Oceania",http://www.hyperanna.com,$1M to $10M,17250000,AUD,13647654,M&A,2,Sequoia Capital,"Airtree Ventures, IAG Firemark Ventures, Reinventure, Sequoia Capital",4,1,"42,318"
Initial Coin Offering - Flixxo,https://www.crunchbase.com/funding_round/flixxo-initial-coin-offering--47740017,Flixxo,https://www.crunchbase.com/organization/flixxo,Initial Coin Offering,4800000,USD,4800000,2017-10-24,,,,,Yes,Flixxo is a web3 streaming platform,"Artificial Intelligence (AI), Blockchain, Media and Entertainment",,"Buenos Aires, Distrito Federal, Argentina, South America",https://www.flixxo.com/,,4800000,USD,4800000,,1,,,,,"42,467"
Angel Round - Xingshen Zhineng,https://www.crunchbase.com/funding_round/xingshen-zhineng-angel--9c37f142,Xingshen Zhineng,https://www.crunchbase.com/organization/xingshen-zhineng,Angel,20000000,CNY,3020555,2017-09-25,Seed,,,,Yes,"Xingshen Zhineng engages in the AI field for providing unmanned driving-related technology, products and solutions.","Artificial Intelligence (AI), Autonomous Vehicles, Machine Learning, Robotics, Software",,"Changshahsien, Hunan, China, Asia",http://www.xingshentech.com,,130000000,CNY,19787431,Early Stage Venture,4,,"Huirong Deyun Investment, JD.com",2,,"43,764"
Series A - Jobbatical,https://www.crunchbase.com/funding_round/jobbatical-series-a--1d4acad8,Jobbatical,https://www.crunchbase.com/organization/jobbatical,Series A,4000000,USD,4000000,2017-09-28,Early Stage Venture,,,,Yes,Jobbatical is an AI-enabled immigration and relocation platform focused on making immigration easy.,"Artificial Intelligence (AI), Education, Information Technology, Professional Services, Recruiting",,"Tallinn, Harjumaa, Estonia, Europe",http://jobbatical.com/,$10M to $50M,19677848,USD,19677848,Early Stage Venture,7,Mistletoe,"Airtree Ventures, Mistletoe, Tera Ventures, Union Square Ventures",4,1,"42,987"
Post-IPO Equity - IPA (ImmunoPrecise Antibodies),https://www.crunchbase.com/funding_round/immunoprecise-antibodies-post-ipo-equity--4e6eb7cb,IPA (ImmunoPrecise Antibodies),https://www.crunchbase.com/organization/immunoprecise-antibodies,Post-IPO Equity,5200000,CAD,4020589,2017-07-04,,,,,Yes,"IPA is a full-service, bioplatform-based and AI-driven company, specialized in next-gen antibody discovery for therapeutics.","Artificial Intelligence (AI), Biotechnology, Machine Learning, Natural Language Processing, Pharmaceutical, Therapeutics",,"Victoria, British Columbia, Canada, North America",https://ipatherapeutics.com/,$10M to $50M,41248774,USD,41248774,IPO,9,,,,,"43,754"
Seed Round - Clobotics,https://www.crunchbase.com/funding_round/clobotics-seed--80e799a1,Clobotics,https://www.crunchbase.com/organization/clobotics,Seed,5000000,USD,5000000,2017-06-26,Seed,,,,Yes,Clobotics provides intelligent computer vision solutions for the retail and wind power sectors.,"Agriculture, Analytics, Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning, Retail Technology",Women Founded,"Bellevue, Washington, United States, North America",http://www.clobotics.com/,$1M to $10M,63000000,USD,63000000,Early Stage Venture,6,GGV Capital,"GGV Capital, Microsoft Accelerator, Xiaomiao Langcheng",3,1,"44,258"
Series A - Synyi,https://www.crunchbase.com/funding_round/synyi-series-a--f8a6338b,Synyi,https://www.crunchbase.com/organization/synyi,Series A,55000000,CNY,7989309,2017-04-03,Early Stage Venture,,,,Yes,"An artificial intelligence-powered medical data solutions provider based in Shanghai,China.","Artificial Intelligence (AI), Health Care, Hospital",,"Shanghai, Shanghai, China, Asia",https://www.synyi.com/,$1M to $10M,157419777,USD,157419777,,8,,"CEC Data Capital, Sequoia Capital China, Shulan Junjie Capital, ZhenFund",4,,"48,596"
Series A - Deepwise,https://www.crunchbase.com/funding_round/deepwise-series-a--bb542baa,Deepwise,https://www.crunchbase.com/organization/deepwise,Series A,35000000,CNY,5358811,2017-09-11,Early Stage Venture,,,,Yes,Deepwise is an artificial intelligence technology-based clinical imaging services provider.,"Artificial Intelligence (AI), Health Care",,"Beijing, Beijing, China, Asia",http://www.deepwise.com/,$10M to $50M,335000000,CNY,51835123,Late Stage Venture,4,,"Angel Plus China, Hongtai Capital Holdings, Kinzon Capital",3,,"48,549"
Series A - Cambricon Technologies,https://www.crunchbase.com/funding_round/cambricon-technologies-series-a--6b1a7127,Cambricon Technologies,https://www.crunchbase.com/organization/cambricon-technologies,Series A,100000000,USD,100000000,2017-08-18,Early Stage Venture,900000000,USD,900000000,Yes,"Cambricon Technologies builds core processor chips for intelligent cloud servers, intelligent terminals, and intelligent robots.","Artificial Intelligence (AI), Electronics, Semiconductor",,"Beijing, Beijing, China, Asia",http://www.cambricon.com/,$100M to $500M,200000000,USD,200000000,,4,SDIC Venture Capital,"Alibaba Group, CAS Investment Management, Lenovo Capital and Incubator Group (LCIG), Oriza Seed Capital (Oriza Yuandian), SDIC Venture Capital, Turing, TusStar, Yonghua Capital",8,,"50,532"
Series B - 12 Sigma Technologies,https://www.crunchbase.com/funding_round/12-sigma-technologies-series-b--ccdd480b,12 Sigma Technologies,https://www.crunchbase.com/organization/12-sigma-technologies,Series B,200000000,CNY,30238659,2017-12-01,Early Stage Venture,,,,Yes,12 Sigma Technologies is a software company focused on bringing artificial intelligence solutions to medical diagnosis.,"Artificial Intelligence (AI), Computer, Health Care, Medical Device, Software",,"Beijing, Beijing, China, Asia",http://www.12sigma.cn/en,$1M to $10M,201000000,CNY,30388406,Early Stage Venture,3,SBCVC,"CD Capital, Delian Capital, Matrix Partners China, SBCVC, ZhenFund",5,1,"50,905"
Seed Round - Aizon,https://www.crunchbase.com/funding_round/aizon-seed--c8679808,Aizon,https://www.crunchbase.com/organization/aizon,Seed,8500000,USD,8500000,2017-12-19,Seed,,,,Yes,Aizon is a cloud-based SaaS platform that helps optimize industrial processes in biotech and pharma.,"Analytics, Artificial Intelligence (AI), Big Data, Biotechnology, Information Services, Internet of Things, Machine Learning, Pharmaceutical, SaaS, Software",Hispanic / Latine Founded,"San Francisco, California, United States, North America",https://www.aizon.ai,$10M to $50M,43625000,USD,43625000,Late Stage Venture,6,"Crosslink Capital, La Famiglia, Uncork Capital","CKA Capital Ltd, Crosslink Capital, Industry Ventures, Konstantin von Unger, Krohne, La Famiglia, Leblon Capital, Uncork Capital",8,2,"51,126"
Series B - Huiyi Huiying,https://www.crunchbase.com/funding_round/huiyihuiying-series-b--da9f80e7,Huiyi Huiying,https://www.crunchbase.com/organization/huiyihuiying,Series B,15000000,USD,15000000,2017-10-26,Early Stage Venture,,,,Yes,Huiyi Huiying is an international cloud computing & AI tech that has created a digital medical imaging and tumor radiotherapy platform.,"Artificial Intelligence (AI), Big Data, Cloud Computing, Health Care, Hospital, Medical, Medical Device",,"Beijing, Beijing, China, Asia",http://www.huiyihuiying.com/,$10M to $50M,30186490,USD,30186490,Late Stage Venture,5,Delta Capital,Delta Capital,1,,"52,034"
Seed Round - Grabango,https://www.crunchbase.com/funding_round/grabango-seed--1289b4be,Grabango,https://www.crunchbase.com/organization/grabango,Seed,4000000,USD,4000000,2017-03-29,Seed,,,,Yes,"Grabango is a checkout-free technology for existing, large-scale grocery, and convenience stores.","Artificial Intelligence (AI), Computer Vision, Machine Learning, Retail Technology, Software",,"Berkeley, California, United States, North America",https://grabango.com,$10M to $50M,93775000,USD,93775000,Early Stage Venture,7,,"Abstract Ventures, Accomplice, Comet Labs, CSC Upshot, Founders Fund, James Conigliaro, Ramtin Naimi, Red Bear Angels, Sarus Select Capital, Thursday Capital, Tuesday Capital, UpHonest Capital, Vela Partners, Visary Capital",14,,"54,145"
Seed Round - Cobrainer,https://www.crunchbase.com/funding_round/cobrainer-gmbh-seed--3967cdc2,Cobrainer,https://www.crunchbase.com/organization/cobrainer-gmbh,Seed,7153000,EUR,7686439,2017-03-18,Seed,,,,Yes,Cobrainer builds the global marketplace for expertise transactions.,"Analytics, Data Visualization, Enterprise Software, Machine Learning, Project Management, SaaS, Software",,"Munich, Bayern, Germany, Europe",http://www.cobrainer.com,$1M to $10M,18153000,EUR,20456882,Early Stage Venture,3,,"Bayern Kapital, Linden Capital, Michael Brehm, Vogel Ventures",4,,"55,886"
Post-IPO Equity - UrtheCast,https://www.crunchbase.com/funding_round/urthecast-post-ipo-equity--aeaca84f,UrtheCast,https://www.crunchbase.com/organization/urthecast,Post-IPO Equity,19600000,CAD,14699011,2017-03-22,,,,,Yes,UrtheCast is a satellite imaging company developing world-first technologies in data services and geoanalytics across multiple industries.,"Aerospace, Agriculture, Analytics, Artificial Intelligence (AI), Big Data, Internet, Machine Learning, Real Time, Remote Sensing",,"Vancouver, British Columbia, Canada, North America",http://www.urthecast.com,$1M to $10M,179672394,USD,179672394,IPO,7,,,,,"58,652"
Post-IPO Equity - Namaste Technologies,https://www.crunchbase.com/funding_round/namaste-technologies-95b4-post-ipo-equity--e30d7e56,Namaste Technologies,https://www.crunchbase.com/organization/namaste-technologies-95b4,Post-IPO Equity,11338000,USD,11338000,2017-03-09,,,,,Yes,Namaste Technologies is a pharmaceutical company that specializes in manufacturing and selling cannabis-based products.,"Artificial Intelligence (AI), Cannabis, Logistics",,"Toronto, Ontario, Canada, North America",http://www.namastetechnologies.com,,69686862,USD,69686862,,3,,,,,"58,661"
Seed Round - Wayve,https://www.crunchbase.com/funding_round/wayve-9739-seed--6605fe85,Wayve,https://www.crunchbase.com/organization/wayve-9739,Seed,2450000,GBP,3172761,2017-09-01,Seed,,,,Yes,Wayve is a developer of Embodied AI technology for automated driving.,"Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Machine Learning",,"London, England, United Kingdom, Europe",https://wayve.ai,$1M to $10M,1257298451,USD,1257298451,Late Stage Venture,7,"Compound, Fly Ventures","Bruno Bowden, Compound, Firstminute Capital, Fly Ventures, Tiny VC, Zoubin Gharamani",6,,"59,003"
Seed Round - ISEE,https://www.crunchbase.com/funding_round/isee-c0f5-seed--ac070c46,ISEE,https://www.crunchbase.com/organization/isee-c0f5,Seed,2736986,USD,2736986,2017-09-15,Seed,,,,Yes,ISEE is an autonomous driving technology company.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning",Women Founded,"Cambridge, Massachusetts, United States, North America",http://isee.ai,$10M to $50M,57736986,USD,57736986,Early Stage Venture,4,,"Boston Seed Capital, Cherubic Ventures, Eniac Ventures, Hyperplane, Samsung NEXT’s Q Fund, The Engine",6,4,"60,671"
Venture Round - Talenya,https://www.crunchbase.com/funding_round/talenya-series-unknown--11b4ed36,Talenya,https://www.crunchbase.com/organization/talenya,Venture - Series Unknown,3000000,USD,3000000,2017-11-20,,,,,Yes,Talenya uses artificial intelligence to help talent acquisition teams fill jobs faster.,"Artificial Intelligence (AI), Employment, Human Resources, Machine Learning, Recruiting, Staffing Agency",,"Hoboken, New Jersey, United States, North America",https://www.talenya.com/,$1M to $10M,9500000,USD,9500000,M&A,3,lool ventures,"Dalia Narkis, Gal Ventures, lool ventures, Stuart Marvin",4,,"60,785"
