Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Announced Date,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Illumo Robotics,https://www.crunchbase.com/funding_round/illumo-robotics-seed--38a5280f,Illumo Robotics,https://www.crunchbase.com/organization/illumo-robotics,Seed,300000,EUR,321166,Seed,,,,Yes,2023-01-01,Illumo Robotics develops an autonomous mobile manipulation robot to increase productivity and accuracy in a warehouse.,,"Artificial Intelligence (AI), Industrial Automation, Machine Learning, Robotics, Warehouse Automation, Warehousing","Toulouse, Midi-Pyrenees, France, Europe",https://www.illumo.ai,Less than $1M,300000,EUR,321166,Seed,3,Demium Capital,Demium Capital,1,,"2,080"
Series A - Kapiche,https://www.crunchbase.com/funding_round/kapiche-series-a--3a866258,Kapiche,https://www.crunchbase.com/organization/kapiche,Series A,250000,USD,250000,Early Stage Venture,,,,Yes,2022-01-31,"Kapiche removes the guesswork from understandng brand, customer, employee, and product experiences.",,"Analytics, Artificial Intelligence (AI), B2B, Data Mining, Machine Learning, Natural Language Processing, SaaS, Software, Text Analytics","Brisbane, Queensland, Australia, Oceania",https://kapiche.com/,$1M to $10M,3199963,USD,3199963,Early Stage Venture,5,,"Flying Fox Ventures, Newchip Accelerator, Saniel Ventures, Sydney Angels",4,,"10,539"
Seed Round - NeuroX1,https://www.crunchbase.com/funding_round/neurox1-seed--e7a48302,NeuroX1,https://www.crunchbase.com/organization/neurox1,Seed,500000,USD,500000,Seed,,,,Yes,2023-03-03,Computational drug discovery leveraging generative AI to create therapeutics for neurodegenerative disorders.,LGBTQ+ Founded,"Artificial Intelligence (AI), Biopharma, Biotechnology, Generative AI, Life Science, Machine Learning, Neuroscience","Austin, Texas, United States, North America",https://www.neurox1.com,$1M to $10M,1970000,USD,1970000,Seed,3,Drive Capital,"Drive Capital, Next Sequence, Syntax Ventures",3,,"11,260"
Pre Seed Round - Clientell,https://www.crunchbase.com/funding_round/clientell-pre-seed--0f267132,Clientell,https://www.crunchbase.com/organization/clientell,Pre-Seed,600000,USD,600000,Seed,,,,Yes,2022-02-23,Clientell offers no-code machine learning platform to analyze consumer data and predict behaviour.,,"Artificial Intelligence (AI), Machine Learning, Software","San Francisco, California, United States, North America",https://www.getclientell.com,,3100000,USD,3100000,Seed,2,"Artha Venture Fund, Chiratae Ventures","Artha Venture Fund, Chiratae Ventures",2,,"13,362"
Pre Seed Round - Reality Defender,https://www.crunchbase.com/funding_round/reality-defender-pre-seed--97a9a018,Reality Defender,https://www.crunchbase.com/organization/reality-defender,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-22,Reality Defender develops a detection platform to identify and assess risks associated with false media content.,,"Artificial Intelligence (AI), Identity Management, Network Security","New York, New York, United States, North America",https://realitydefender.com/,,15504000,USD,15504000,Early Stage Venture,4,,"Argon Ventures, Bantam Group, Gutbrain Ventures, Pioneer Fund, Y Combinator",5,,"13,710"
Pre Seed Round - EVVELAND,https://www.crunchbase.com/funding_round/evveland-pre-seed--92f56b21,EVVELAND,https://www.crunchbase.com/organization/evveland,Pre-Seed,595000,USD,595000,Seed,2000000,USD,2000000,Yes,2022-09-15,Business Metaverse and AI for professional communities,,"Artificial Intelligence (AI), Blockchain, Environmental Consulting, Events, Metaverse, Virtual Reality, Web3","Miami, Florida, United States, North America",https://evveland.com/,Less than $1M,595000,USD,595000,Seed,1,"Eric Richner, Rafael Bonnelly","Daniel Taveras, Eric Richner, Eric Trinidad, Ivan Jimenez, Jerry Leonard, Jesus Powell, Rafael Bonnelly",7,,"14,779"
Pre Seed Round - WhiteLab Genomics,https://www.crunchbase.com/funding_round/whitelab-genomics-pre-seed--a006209f,WhiteLab Genomics,https://www.crunchbase.com/organization/whitelab-genomics,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,WhiteLab Genomics develops digital tools that help gene and cell therapy companies develop cheaper drugs faster.,,"Artificial Intelligence (AI), Biotechnology, Genetics","Paris, Ile-de-France, France, Europe",https://www.whitelabgx.com,,10500000,USD,10500000,Seed,2,Y Combinator,Y Combinator,1,,"15,669"
Pre Seed Round - Orchard Robotics,https://www.crunchbase.com/funding_round/orchard-robotics-pre-seed--8f011ad1,Orchard Robotics,https://www.crunchbase.com/organization/orchard-robotics,Pre-Seed,600000,USD,600000,Seed,,,,Yes,2022-03-01,Orchard Robotics develops an operating system that enables precision agriculture driven by robots and AI.,,"AgTech, Artificial Intelligence (AI), Farming, Robotics","Seattle, Washington, United States, North America",https://www.orchard-robotics.com,,3800000,USD,3800000,Seed,2,Contrary,"Contrary, Soma Capital",2,1,"15,865"
Convertible Note - CreationDose,https://www.crunchbase.com/funding_round/creationdose-convertible-note--724610b8,CreationDose,https://www.crunchbase.com/organization/creationdose,Convertible Note,250000,EUR,263188,,,,,No,2022-12-01,CreationDose offers value to new generations by developing hybrid digital strategies.,,"Advertising, Artificial Intelligence (AI), Content Creators, Content Marketing, Digital Media, Marketing Automation, Software","Catania, Sicilia, Italy, Europe",https://creationdose.com,,1519000,EUR,1638715,,5,,Intesa Sanpaolo,1,,"18,025"
Pre Seed Round - SID,https://www.crunchbase.com/funding_round/sid-a86a-pre-seed--05a2df5a,SID,https://www.crunchbase.com/organization/sid-a86a,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-05-08,SID is an artificial intelligence company that offers personal data infrastructure for AI companies to access data easily.,Women Founded,"Data Integration, Data Management, Data Storage, Database, Generative AI, Information Technology, Infrastructure, Internet, Natural Language Processing, Software","San Francisco, California, United States, North America",https://sid.ai,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,1,"19,525"
Pre Seed Round - Kredete,https://www.crunchbase.com/funding_round/kredete-pre-seed--53d46e50,Kredete,https://www.crunchbase.com/organization/kredete,Pre-Seed,515000,USD,515000,Seed,3000000,USD,3000000,Yes,2023-02-02,Kredete is a platform for African immigrants in North America to send money home to 20+ countries instantly at low fees and build credit.,Black Led,"Artificial Intelligence (AI), B2B, Banking, Blockchain, Credit, Financial Exchanges, Machine Learning, Payments, SaaS, Software","New York, New York, United States, North America",https://www.kredete.io,,515000,USD,515000,Seed,5,,"Blockchain Founders Fund, EXPERT DOJO, RevTech Labs, Team Ignite Ventures, Techstars",5,,"19,611"
Grant - Rithmik Solutions,https://www.crunchbase.com/funding_round/rithmik-solutions-grant--019a1544,Rithmik Solutions,https://www.crunchbase.com/organization/rithmik-solutions,Grant,577834,CAD,433264,,,,,No,2022-11-16,Rithmik is a mining technology company.,,"Artificial Intelligence (AI), Mining","Montreal, Quebec, Canada, North America",https://rithmik.com/,Less than $1M,1936674,USD,1936674,Seed,9,Mining Innovation Commercialization Accelerator,Mining Innovation Commercialization Accelerator,1,,"19,086"
Pre Seed Round - SNR Audio,https://www.crunchbase.com/funding_round/snr-audio-pre-seed--b52bc8f1,SNR Audio,https://www.crunchbase.com/organization/snr-audio,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,"SNR Audio is an AI voice models that helps to integrate high-quality audio into audiobooks, podcasts, automating, and outbound calls.",,"Artificial Intelligence (AI), Audio, Content","New York, New York, United States, North America",https://www.snr.audio/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"20,200"
Seed Round - Cherry Recommends,https://www.crunchbase.com/funding_round/four2-seed--f3457e94,Cherry Recommends,https://www.crunchbase.com/organization/four2,Seed,500000,USD,500000,Seed,,,,Yes,2022-03-22,"Cherry Recommends is an AI product and promotion recommender platform that increases customer engagement, conversion, and retention.",,"Artificial Intelligence (AI), E-Commerce, SaaS, Software","Brisbane, Queensland, Australia, Oceania",https://www.cherry.ai,Less than $1M,500000,USD,500000,Seed,2,Y Combinator,"UNSW Founders, Y Combinator",2,,"20,004"
Pre Seed Round - Ozone,https://www.crunchbase.com/funding_round/ozone-cd8b-pre-seed--67b7b3af,Ozone,https://www.crunchbase.com/organization/ozone-cd8b,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Ozone develops an AI-powered video editing platform that allows users to collaborate remotely.,,"Artificial Intelligence (AI), Cloud Data Services, Video, Video Editing","San Francisco, California, United States, North America",https://www.ozone.pro/,,7600000,USD,7600000,Seed,2,Y Combinator,Y Combinator,1,,"20,663"
Pre Seed Round - Bifrost,https://www.crunchbase.com/funding_round/bifrost-4342-pre-seed--8e7effde,Bifrost,https://www.crunchbase.com/organization/bifrost-4342,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Bifrost is an AI-driven platform that automatically turns Figma designs into clean React code.,,"Artificial Intelligence (AI), Developer Tools, Software","San Francisco, California, United States, North America",https://www.bifrost.so,,500000,USD,500000,Seed,2,Y Combinator,Y Combinator,1,,"20,546"
Pre Seed Round - Ponyrun,https://www.crunchbase.com/funding_round/ponyrun-pre-seed--0da470ed,Ponyrun,https://www.crunchbase.com/organization/ponyrun,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Ponyrun is an artificial intelligence software company that helps to answer the relevant context on your prospects to boost sales.,,"Artificial Intelligence (AI), Product Research, Software","San Francisco, California, United States, North America",https://ponyrun.ai/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"20,732"
Pre Seed Round - Delfino AI,https://www.crunchbase.com/funding_round/delfino-ai-pre-seed--5184ea4a,Delfino AI,https://www.crunchbase.com/organization/delfino-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,Delfino AI is an AI-powered platform intended to automate benefit verification phone calls to payors.,,"Artificial Intelligence (AI), Call Center, Information Services","San Francisco, California, United States, North America",https://www.delfino.ai/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"20,821"
Pre Seed Round - Argovox,https://www.crunchbase.com/funding_round/argovox-pre-seed--bd86c920,Argovox,https://www.crunchbase.com/organization/argovox,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,Argovox is an artificial intelligence platform that manages phone conversations within the financial services industry.,,"Artificial Intelligence (AI), Financial Services, Service Industry","San Francisco, California, United States, North America",https://www.argovox.com/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"20,743"
Pre Seed Round - IvyCheck,https://www.crunchbase.com/funding_round/ivycheck-pre-seed--655edc72,IvyCheck,https://www.crunchbase.com/organization/ivycheck,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,IvyCheck is a AI driven cybersecurity company that offers enterprise teams a tool for extracting hidden insights from data.,,"B2B, Cyber Security, Data Management, Generative AI","Berlin, Berlin, Germany, Europe",https://ivycheck.com/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"21,094"
Pre Seed Round - Truva,https://www.crunchbase.com/funding_round/truva-52ca-pre-seed--cfc1d6bb,Truva,https://www.crunchbase.com/organization/truva-52ca,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,"Truva is a AI firm that enhances software user experiences, guiding and executing tasks in real-time, boosting NPS.",,"Artificial Intelligence (AI), B2B, Software","Mountain View, California, United States, North America",https://truva.ai,,500000,USD,500000,Seed,1,,Y Combinator,1,,"20,851"
Pre Seed Round - Julius AI,https://www.crunchbase.com/funding_round/julius-ai-pre-seed--816ff2a6,Julius AI,https://www.crunchbase.com/organization/julius-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,Julius AI is an artificial intelligence platform that develops and analyzes data with computational AI.,,"Analytics, Artificial Intelligence (AI), Data Visualization, Information Technology","San Francisco, California, United States, North America",https://julius.ai,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,1,"21,247"
Pre Seed Round - Jutsoo,https://www.crunchbase.com/funding_round/jutsoo-pre-seed--8e5f912f,Jutsoo,https://www.crunchbase.com/organization/jutsoo,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Jutsoo is a software development company that provides treasury management and financial data analysis solutions.,,"Analytics, Finance, Predictive Analytics, Software","Kebayoran Baru, Jakarta Raya, Indonesia, Asia",https://www.jutsoo.com/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"20,333"
Pre Seed Round - Convore,https://www.crunchbase.com/funding_round/convore-3639-pre-seed--2b78fb72,Convore,https://www.crunchbase.com/organization/convore-3639,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Convore offers a universal inbox API easily integrating email interactions into your product.,,"Artificial Intelligence (AI), SaaS, Software, Software Engineering","San Francisco, California, United States, North America",https://www.convore.dev,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"20,838"
Pre Seed Round - Mintplex Labs,https://www.crunchbase.com/funding_round/mintplex-labs-pre-seed--80527b55,Mintplex Labs,https://www.crunchbase.com/organization/mintplex-labs,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,Mintplex Labs develops AI tools to support business operations.,,"Artificial Intelligence (AI), Business Development, Developer Platform, Information Technology","Orange, California, United States, North America",https://mintplexlabs.com/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"20,948"
Pre Seed Round - Siftly,https://www.crunchbase.com/funding_round/siftly-bb5d-pre-seed--cb4d65db,Siftly,https://www.crunchbase.com/organization/siftly-bb5d,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Siftly is a software company that develops AI-based platform to provide solutions for data analysis and business insights.,,"Analytics, Artificial Intelligence (AI), Software","Gurgaon, Haryana, India, Asia",https://www.siftly.ai/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"20,940"
Pre Seed Round - Aurelian,https://www.crunchbase.com/funding_round/aurelian-pre-seed--4ee2427c,Aurelian,https://www.crunchbase.com/organization/aurelian,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,"Aurelian is an AI platform designed to automate routes, triage, and resolve non-emergency police calls.",,"Artificial Intelligence (AI), Call Center, Software","Houston, Texas, United States, North America",https://www.aurelian.io/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"21,046"
Pre Seed Round - Cadence,https://www.crunchbase.com/funding_round/cadence-e913-pre-seed--2e008021,Cadence,https://www.crunchbase.com/organization/cadence-e913,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,Cadence is a AI powered running coach to help people achieve their fitness goals.,,"Apps, Artificial Intelligence (AI), Fitness","New York, New York, United States, North America",https://www.cadencerunning.com,,500000,USD,500000,Seed,1,,Y Combinator,1,,"21,181"
Pre Seed Round - Slidely AI,https://www.crunchbase.com/funding_round/slidely-ai-pre-seed--8d569a95,Slidely AI,https://www.crunchbase.com/organization/slidely-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,Slidely AI is a powerpoint add-in that utilizes AI to create professional presentations by reducing slide formatting time.,,"Artificial Intelligence (AI), B2B, SaaS","Bangalore, Karnataka, India, Asia",https://slidely.ai/,,500000,USD,500000,Seed,1,,Y Combinator,1,,"21,132"
Pre Seed Round - Stably AI,https://www.crunchbase.com/funding_round/stably-ai-pre-seed--be744af9,Stably AI,https://www.crunchbase.com/organization/stably-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Stably AI is a software development company that provides AI-based automation for web application testing.,,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States, North America",https://www.stably.ai/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"21,277"
Pre Seed Round - Andi,https://www.crunchbase.com/funding_round/andi-dd5a-pre-seed--d4eea935,Andi,https://www.crunchbase.com/organization/andi-dd5a,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-26,"Search for the next generation using generative AI. Instead of just links, Andi gives you answers - like chatting with a smart friend.",Women Founded,"Artificial Intelligence (AI), Chatbot, Search Engine","New York, New York, United States, North America",https://andisearch.com/,,3000000,USD,3000000,Seed,2,Y Combinator,Y Combinator,1,3,"21,318"
Pre Seed Round - Sigma AI,https://www.crunchbase.com/funding_round/sigma-ai-bce2-pre-seed--19d703a6,Sigma AI,https://www.crunchbase.com/organization/sigma-ai-bce2,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-09-07,"Sigma AI streamlines e-commerce brand customer support with automation, accelerating responses, tagging, and ticket closure.",,"Artificial Intelligence (AI), B2B, SaaS","San Francisco, California, United States, North America",https://sigmamind.ai/,,500000,USD,500000,Seed,1,,Y Combinator,1,,"21,298"
Pre Seed Round - Ankr Health,https://www.crunchbase.com/funding_round/ankr-health-pre-seed--1383f130,Ankr Health,https://www.crunchbase.com/organization/ankr-health,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-22,Ankr Health uses AI and telemedicine to automate side effect management in cancer and surgical clinics.,,"Artificial Intelligence (AI), B2B, Health Care, Hospital, Medical","San Francisco, California, United States, North America",https://ankr.us,$1M to $10M,500000,USD,500000,Seed,2,Y Combinator,Y Combinator,1,,"22,507"
Seed Round - Data Masters,https://www.crunchbase.com/funding_round/data-masters-04cb-seed--b1949c0c,Data Masters,https://www.crunchbase.com/organization/data-masters-04cb,Seed,650000,EUR,695150,Seed,,,,Yes,2023-05-31,"Datamasters provides artificial intelligence, machine learning, and data science skills.",,"Artificial Intelligence (AI), Education, Machine Learning, Training","Bari, Puglia, Italy, Europe",https://datamasters.it,Less than $1M,850000,EUR,905400,Seed,2,,"BluEstates, StartupItalia, Zanichelli Venture",3,1,"23,563"
Seed Round - RawData,https://www.crunchbase.com/funding_round/rawdata-afe1-seed--4190f926,RawData,https://www.crunchbase.com/organization/rawdata-afe1,Seed,500000,EUR,545222,Seed,,,,Yes,2023-03-30,"B2B SaaS powered by AI that makes crop predictions (best harvesting time, plant diseases...) without IoT",,"Agriculture, Artificial Intelligence (AI), B2B, Big Data, Biotechnology, Horticulture, Machine Learning, SaaS, Satellite Communication, Winery","Barcelona, Catalonia, Spain, Europe",https://agrawdata.com,$500M to $1B,960000,EUR,1097917,Seed,4,"Archipelago Next, Fondo Bolsa Social, Startupxplore","Andreu Casadellà, Archipelago Next, Fondo Bolsa Social, José Bendayan, Juanjo Mostazo, Startupxplore",6,,"22,838"
Pre Seed Round - Overwatch Data,https://www.crunchbase.com/funding_round/overwatch-data-pre-seed--a233440f,Overwatch Data,https://www.crunchbase.com/organization/overwatch-data,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-08-22,Overwatch Data is a SaaS platform that assists businesses in monitoring data streams for real-world events that affect their operations.,"Hispanic / Latine Founded, Hispanic / Latine Led","Big Data, Data Visualization, Information Technology, Natural Language Processing, SaaS","Brooklyn, New York, United States, North America",https://www.overwatchdata.ai/,,650000,USD,650000,Seed,2,Y Combinator,Y Combinator,1,,"24,003"
Seed Round - Hudson AI,https://www.crunchbase.com/funding_round/hudson-ai-seed--27556600,Hudson AI,https://www.crunchbase.com/organization/hudson-ai,Seed,700000000,KRW,538731,Seed,,,,Yes,2023-03-06,Hudson AI is an enterprise that delivers AI-based dubbing solutions.,,"Artificial Intelligence (AI), Content, Generative AI","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://hudson-ai.com,,4000000000,KRW,3026176,Seed,2,,"Daekyung Technology Holdings, Idea Bridge, Y&Archer",3,,"24,016"
Pre Seed Round - Anarchy,https://www.crunchbase.com/funding_round/anarchy-50d3-pre-seed--0a23a4bd,Anarchy,https://www.crunchbase.com/organization/anarchy-50d3,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Anarchy builds a cloud platform for AI pioneers to build LLM tools augmented with external interactivity.,,"Artificial Intelligence (AI), Developer Tools, Machine Learning","San Francisco, California, United States, North America",https://anarchy.ai,,500000,USD,500000,Seed,1,Y Combinator,"Ahmed Medhat, Bob van Luijt, Botware Ventures, Fellows Fund, Futureland Ventures, Vishal Rao, Y Combinator",7,,"25,447"
Convertible Note - IndiaSpeaks Research Labs,https://www.crunchbase.com/funding_round/indiaspeaks-research-labs-convertible-note--71133e07,IndiaSpeaks Research Labs,https://www.crunchbase.com/organization/indiaspeaks-research-labs,Convertible Note,20000000,INR,262146,,,,,No,2022-03-15,Empowering individuals and businesses across India with our suite of advanced AI solutions in speech and language technology.,,"Artificial Intelligence (AI), Information Services, Information Technology, Software","Madurai, Tamil Nadu, India, Asia",https://indiaspeaks.ai/,,24000000,INR,313210,,3,Startup TN,Startup TN,1,,"24,654"
Post-IPO Equity - React Gaming Group,https://www.crunchbase.com/funding_round/react-gaming-group-post-ipo-equity--6293df64,React Gaming Group,https://www.crunchbase.com/organization/react-gaming-group,Post-IPO Equity,643000,USD,643000,,,,,Yes,2022-10-24,Intema is a developer and provider of digital innovation to unparalleled customer-centric experiences.,,"Email Marketing, Gamification, Marketing Automation, Predictive Analytics, Software","Montréal, Quebec, Canada, North America",https://www.reactgaming.ca/,$1M to $10M,1723250,USD,1723250,IPO,3,,,,,"24,824"
Pre Seed Round - NuMind,https://www.crunchbase.com/funding_round/numind-pre-seed--cea17963,NuMind,https://www.crunchbase.com/organization/numind,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-06-28,"NuMind is a SAAS company that offers data scientists, analysts and software engineers AI tools to create custom NLP models.",,"Artificial Intelligence (AI), Machine Learning, SaaS","Cambridge, Massachusetts, United States, North America",https://www.numind.ai,$1M to $10M,3500000,USD,3500000,Seed,2,,"Pioneer Fund, Saturnin Pugnet, Y Combinator",3,,"26,260"
Seed Round - Bamboo Technology,https://www.crunchbase.com/funding_round/bamboo-technology-seed--f8814dc4,Bamboo Technology,https://www.crunchbase.com/organization/bamboo-technology,Seed,400000,USD,400000,Seed,3600000,USD,3600000,Yes,2023-01-22,"Bamboo Technology Ltd. is an AI mental health SaaS company, provide preventitve intervention for organizations and individuals.",Women Led,"Artificial Intelligence (AI), Health Care, Mental Health, Software","Taipei, T'ai-pei, Taiwan, Asia",https://bamboodd.com/,,400000,USD,400000,Seed,1,,"National Development Fund Angel Program, Sustainable Impact Capital",2,,"27,689"
