Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Remuner,https://www.crunchbase.com/funding_round/remuner-pre-seed--50413640,Remuner,https://www.crunchbase.com/organization/remuner,Pre-Seed,100000,EUR,107055,2023-01-01,Seed,,,,Yes,"Remuner's variable pay software automates sales commission systems, aligning company and employee goals and incentives.","Artificial Intelligence (AI), SaaS, Sales, Sales Automation, Software",,"Barcelona, Catalonia, Spain, Europe",https://remuner.com/,,2100000,EUR,2284165,Seed,2,Demium Capital,Demium Capital,1,,"3,423"
Pre Seed Round - Avawatz,https://www.crunchbase.com/funding_round/avawatz-pre-seed--cdb6de44,Avawatz,https://www.crunchbase.com/organization/avawatz,Pre-Seed,195100,USD,195100,2023-03-01,Seed,,,,Yes,Avawatz specializes in autonomous robotic teaming solutions using machine learning and physics-based algorithmic technologies.,"Artificial Intelligence (AI), Machine Learning, Robotics, Software",Women Founded,"Addison, Texas, United States, North America",https://avawatz.com,$1M to $10M,195100,USD,195100,Seed,1,Y Combinator,"Other People's Capital (OPC), Y Combinator",2,1,"9,865"
Seed Round - Markopolo ai,https://www.crunchbase.com/funding_round/markopolo-seed--5d73effd,Markopolo ai,https://www.crunchbase.com/organization/markopolo,Seed,100000,USD,100000,2023-04-26,Seed,2800000,USD,2800000,Yes,An AI Co-pilot that allows CMOs tailor individual journeys for every customer based on their previous behavior and preferences.,"Artificial Intelligence (AI), Generative AI, Machine Learning, SaaS",,"Sheridan, Wyoming, United States, North America",https://markopolo.ai/,$1M to $10M,3500000,USD,3500000,Seed,5,Startup Bangladesh,"BANSEA, Dhawal Shah, Khor Chieh Suang, Osman Ahmed, Playthink Pvt Limited, Razy Shah, Shaheen Siam, Startup Bangladesh",8,1,"10,144"
Series A - Kapiche,https://www.crunchbase.com/funding_round/kapiche-series-a--3a866258,Kapiche,https://www.crunchbase.com/organization/kapiche,Series A,250000,USD,250000,2022-01-31,Early Stage Venture,,,,Yes,"Kapiche removes the guesswork from understandng brand, customer, employee, and product experiences.","Analytics, Artificial Intelligence (AI), B2B, Data Mining, Machine Learning, Natural Language Processing, SaaS, Software, Text Analytics",,"Brisbane, Queensland, Australia, Oceania",https://kapiche.com/,$1M to $10M,3199963,USD,3199963,Early Stage Venture,5,,"Flying Fox Ventures, Newchip Accelerator, Saniel Ventures, Sydney Angels",4,,"10,539"
Series A - Sifli Technologies,https://www.crunchbase.com/funding_round/sifli-technologies-series-a--6a5a3ffe,Sifli Technologies,https://www.crunchbase.com/organization/sifli-technologies,Series A,100000000,CLP,101458,2022-10-24,Early Stage Venture,,,,Yes,Sifli Technologies focuses on the design and application development of embedded artificial intelligence IoT platforms.,"Apps, Artificial Intelligence (AI), Internet of Things, Semiconductor, Wearables",,"Shanghai, Shanghai, China, Asia",http://www.sifli.com/,,100000000,CLP,101458,,2,Beijing Lanpu Capital Management,"Beijing Lanpu Capital Management, Legend Capital, Weiran Capital, Yibai Capital",4,1,"10,899"
Venture Round - Jarvis,https://www.crunchbase.com/funding_round/jarvis-series-unknown--128eddf8,Jarvis,https://www.crunchbase.com/organization/jarvis,Venture - Series Unknown,16370100,INR,198917,2023-05-16,,,,,Yes,Artificial Intelligence Platform,"Artificial Intelligence (AI), Enterprise Software, PaaS, Software",,"San Francisco, California, United States, North America",http://jarvis.co,$1M to $10M,16370100,INR,198917,,1,,"Bestvantage Investments, HEM ANGELS",2,1,"13,986"
Seed Round - Sensegrass Inc,https://www.crunchbase.com/funding_round/sensegrass-inc-seed--8ed4061f,Sensegrass Inc,https://www.crunchbase.com/organization/sensegrass-inc,Seed,100000,USD,100000,2022-11-01,Seed,,,,Yes,Sensegrass provides a platform for soil intelligence.,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Internet of Things",,"San Mateo, California, United States, North America",http://sensegrass.com/,,807771,USD,807771,Seed,13,,"Render capital, Venture Lane",2,,"16,355"
Pre Seed Round - Kikimora,https://www.crunchbase.com/funding_round/kikimora-io-pre-seed--f71bbd17,Kikimora,https://www.crunchbase.com/organization/kikimora-io,Pre-Seed,150000,EUR,162751,2022-04-20,Seed,850000,EUR,922258,Yes,Kikimora.io is a holistic vulnerability management solution.,"B2B, Cyber Security, Machine Learning, SaaS",,"Sofia, Grad Sofiya, Bulgaria, Europe",https://kikimora.io/,,1150000,EUR,1239391,Seed,2,Impetus Capital,Impetus Capital,1,1,"17,812"
Grant - Zeus AI,https://www.crunchbase.com/funding_round/zeus-ai-grant--e4c17c02,Zeus AI,https://www.crunchbase.com/organization/zeus-ai,Grant,150000,USD,150000,2022-06-01,,,,,No,An AI platform for the planet,"Artificial Intelligence (AI), Software",,"Cambridge, Massachusetts, United States, North America",https://myzeus.ai,,1250000,USD,1250000,,3,NASA,NASA,1,,"27,135"
Seed Round - Vertum Technologies,https://www.crunchbase.com/funding_round/vertum-technologies-seed--24eff421,Vertum Technologies,https://www.crunchbase.com/organization/vertum-technologies,Seed,90000,USD,90000,2022-08-25,Seed,,,,Yes,Vertum Technologies designs & builds robotic farming assistants that help indoor farmers increase yield.,"Agriculture, Artificial Intelligence (AI), CleanTech, Internet of Things, Machine Learning, Machinery Manufacturing, Robotics, Software, Sustainability",,"Boston, Massachusetts, United States, North America",https://vertum.tech,,160000,USD,160000,Seed,2,SVG Ventures,SVG Ventures,1,1,"28,422"
Pre Seed Round - Agrobit,https://www.crunchbase.com/funding_round/agrobit-pre-seed--a9e464c9,Agrobit,https://www.crunchbase.com/organization/agrobit,Pre-Seed,120000,EUR,116838,2022-10-09,Seed,,,,Yes,"Agrobit has developed iAgro, a mobile app to help farmers taking better decisions in agro-inputs management using AI, AR and digital twin.","Agriculture, AgTech, Artificial Intelligence (AI), Computer Vision, SaaS, Software",,"Florence, Toscana, Italy, Europe",https://www.agrobit.ag,,140000,EUR,138002,Seed,2,CRiF,CRiF,1,,"30,879"
Pre Seed Round - Stargazr,https://www.crunchbase.com/funding_round/stargazr-pre-seed--84e2191f,Stargazr,https://www.crunchbase.com/organization/stargazr,Pre-Seed,100000,USD,100000,2022-04-08,Seed,,,,Yes,Pioneering decision-making with AI.,"Accounting, Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics, Software",,"Santa Monica, California, United States, North America",https://stargazr.ai/,$1M to $10M,2370000,USD,2370000,Seed,5,,K5 Global,1,,"31,240"
Seed Round - Parrot,https://www.crunchbase.com/funding_round/parrot-tech-seed--0c4d4f3c,Parrot,https://www.crunchbase.com/organization/parrot-tech,Seed,150000,USD,150000,2022-12-12,Seed,,,,Yes,Parrot is an AI-first technology company empowering attorneys to get more from depositions.,"Artificial Intelligence (AI), InsurTech, Legal Tech, Machine Learning, Software",,"New York, New York, United States, North America",https://www.parrot.us/,$10M to $50M,14250000,USD,14250000,Early Stage Venture,3,,K5 Global,1,,"31,482"
Pre Seed Round - Feeder,https://www.crunchbase.com/funding_round/feeder-ca71-pre-seed--af854718,Feeder,https://www.crunchbase.com/organization/feeder-ca71,Pre-Seed,170000,EUR,177295,2022-07-01,Seed,1000000,EUR,1042909,Yes,Feeder is a predictive AI created to analyze the reactions of marketing audiences to video contents with facial coding technology.,"Advertising, Analytics, Artificial Intelligence (AI), Big Data, Facial Recognition, Machine Learning, Marketing, Media and Entertainment",,"Barcelona, Catalonia, Spain, Europe",https://www.getfeeder.com/,,637295,USD,637295,Seed,2,,"Bcombinator Venture Partners, Famara Ventures, Parlem Ventures, Unitatea Capital",4,,"32,759"
