Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Investor Names,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - AISpotter,https://www.crunchbase.com/funding_round/aispotter-pre-seed--defffa74,AISpotter,https://www.crunchbase.com/organization/aispotter,Pre-Seed,200000,EUR,233065,2018-07-17,Seed,,,,Yes,Better video analysis - tell better stories. AISpotter automatically analysis any video with fast video analysis service based on AI.,"Analytics, Artificial Intelligence (AI), Data Visualization, Film Production, Media and Entertainment, Predictive Analytics, Video Streaming",,"Oulu, Oulu, Finland, Europe",http://www.aispotter.com,,564446,USD,564446,Seed,5,,1,Jerry Pruttz Holding Ab,,"270,454"
Equity Crowdfunding - Incomaker,https://www.crunchbase.com/funding_round/incomaker-equity-crowdfunding--31ef1741,Incomaker,https://www.crunchbase.com/organization/incomaker,Equity Crowdfunding,6096054,CZK,292326,2018-02-28,,4000000,USD,4000000,Yes,Incomaker is an AI-based marketing optimization system that turns data into income.,"Artificial Intelligence (AI), Big Data, Data Integration, Email Marketing, Marketing Automation, Software",,"Praha, Hlavni mesto Praha, Czech Republic, Europe",https://www.incomaker.com,Less than $1M,348018,USD,348018,,3,,,,,"271,031"
Debt Financing - How.to,https://www.crunchbase.com/funding_round/how-to-debt-financing--779c9f85,How.to,https://www.crunchbase.com/organization/how-to,Debt Financing,200000,GBP,286815,2018-04-16,,,,,No,How.to is an early-stage discovery platform and managed Marketplace,"Artificial Intelligence (AI), Content Discovery, E-Learning, Information Services, Machine Learning, Marketplace, MOOC, Publishing, Video on Demand",,"London, England, United Kingdom, Europe",https://how.to/,$1M to $10M,200000,GBP,286815,,1,,,,,"575,593"
Seed Round - Voiceflow,https://www.crunchbase.com/funding_round/storyflow-20c9-seed--5f247dba,Voiceflow,https://www.crunchbase.com/organization/storyflow-20c9,Seed,500000,USD,500000,2018-10-11,Seed,,,,Yes,The collaborative platform to build conversational AI.,"Artificial Intelligence (AI), Collaboration, Internet, Software",,"San Francisco, California, United States, North America",https://voiceflow.com,$10M to $50M,39000000,USD,39000000,,4,Ripple Ventures,1,Ripple Ventures,,"576,564"
Seed Round - ARInspect,https://www.crunchbase.com/funding_round/arinspect-seed--845240ee,ARInspect,https://www.crunchbase.com/organization/arinspect,Seed,550000,USD,550000,2018-08-01,Seed,,,,Yes,ARInspect is the World’s first Augmented Robotic Process Automation Platform (RPA) for Digital Inspections and Monitoring,"Analytics, Artificial Intelligence (AI), Big Data, Health Care, Robotic Process Automation (RPA)",,"Fairfax, Virginia, United States, North America",http://arinspect.com/,$1M to $10M,550000,USD,550000,M&A,2,,,,,"576,678"
Pre Seed Round - Talent4GIG AG,https://www.crunchbase.com/funding_round/talent4gig-pre-seed--aebac8cd,Talent4GIG AG,https://www.crunchbase.com/organization/talent4gig,Pre-Seed,150000,CHF,150805,2018-07-27,Seed,,,,Yes,Talent4GIG's AI platform that utilizes hiring tools for assessment.,"Artificial Intelligence (AI), Human Resources, Information Technology, Software",,"Pfaffikon, Zurich, Switzerland, Europe",https://www.talent4gig.com/,,213498,USD,213498,Seed,3,,1,Family & Friends,,"199,841"
Seed Round - FleetOps,https://www.crunchbase.com/funding_round/fleetrover-seed--08066aee,FleetOps,https://www.crunchbase.com/organization/fleetrover,Seed,1200000,CAD,911631,2018-09-10,Seed,,,,Yes,FleetOps is a freight marketplace.It works by automating the allocation of loads to truck drivers that can deliver them.,"Artificial Intelligence (AI), Big Data, Marketplace, Transportation",,"Toronto, Ontario, Canada, North America",http://fleetops.ai,$1M to $10M,7430172,USD,7430172,Early Stage Venture,10,,5,"BCF Ventures, Hike Ventures, Panache Ventures, Pegasus Tech Ventures, Silicon Balls",3,"255,767"
Seed Round - Bleexo,https://www.crunchbase.com/funding_round/bleexo-seed--29b4a77e,Bleexo,https://www.crunchbase.com/organization/bleexo,Seed,500000,EUR,603075,2018-01-02,Seed,,,,Yes,Bleexo is a software-as-a-service platform.,"Artificial Intelligence (AI), Human Resources, Machine Learning, SaaS, Software",,"Toulouse, Midi-Pyrenees, France, Europe",http://www.bleexo.com/en,Less than $1M,2000000,EUR,2379945,M&A,2,,,,,"279,330"
Seed Round - Intento,https://www.crunchbase.com/funding_round/intento-seed--b5522d6e,Intento,https://www.crunchbase.com/organization/intento,Seed,650000,USD,650000,2018-03-01,Seed,,,,Yes,Intento is a machine translation and multilingual generative AI platform for global companies.,"Artificial Intelligence (AI), Developer APIs, Enterprise Software, Information Technology, SaaS, Translation Service",Women Founded,"San Francisco, California, United States, North America",http://inten.to,$10M to $50M,11911000,USD,11911000,Early Stage Venture,9,,3,"Berkeley SkyDeck Fund, Bogdan Iarovoi, SmartHub",,"272,907"
Seed Round - FeedYou,https://www.crunchbase.com/funding_round/feedyou-seed--9fad9802,FeedYou,https://www.crunchbase.com/organization/feedyou,Seed,20000000,CZK,919105,2018-09-25,Seed,,,,Yes,Feedyou provides virtual assistants and AI Chatbot for enterprises.,"Artificial Intelligence (AI), Chatbot, Customer Service, Machine Learning, Software",,"Pardubice, Pardubicky kraj, Czech Republic, Europe",https://feedyou.ai,$1M to $10M,30000000,CZK,1366999,Seed,2,,1,Presto Ventures,,"273,094"
Equity Crowdfunding - SCARLETRED,https://www.crunchbase.com/funding_round/scarletred-holding-gmbh-equity-crowdfunding--d59bb7a1,SCARLETRED,https://www.crunchbase.com/organization/scarletred-holding-gmbh,Equity Crowdfunding,600000,EUR,694626,2018-10-01,,7500000,EUR,8682827,Yes,"SCARLETRED is a leading health AI company providing objective skin imaging and analysis SaaS for biopharma, dermatologists and patients","Artificial Intelligence (AI), Biopharma, Clinical Trials, Computer Vision, Cosmetics, Health Care, Information Technology, Machine Learning, Medical Device, Software",,"Vienna, Wien, Austria, Europe",http://www.scarletred.com,$1M to $10M,4550000,EUR,5222848,,14,Green Rocket GmbH,1,Green Rocket GmbH,3,"279,915"
Pre Seed Round - OpenINSIGHTS,https://www.crunchbase.com/funding_round/zio-pre-seed--4a2198ea,OpenINSIGHTS,https://www.crunchbase.com/organization/zio,Pre-Seed,400000,USD,400000,2018-12-18,Seed,,,,Yes,OpenINSIGHTS is AI-driven customer analytics and predictive insights platform.,"Analytics, Artificial Intelligence (AI), IaaS, Machine Learning, SaaS",,"Indianapolis, Indiana, United States, North America",http://www.openinsights.ci/,$100M to $500M,1900000,USD,1900000,Seed,3,Indiana University Philanthropic Venture Fund,2,"Indiana University Philanthropic Venture Fund, IU Ventures",,"273,302"
Seed Round - Lumoa,https://www.crunchbase.com/funding_round/lumoa-seed--bef67256,Lumoa,https://www.crunchbase.com/organization/lumoa,Seed,650000,EUR,779428,2018-05-01,Seed,,,,Yes,Lumoa makes customer feedback actionable. Our online service analyses customer feedback utilizing AI.,"Analytics, Artificial Intelligence (AI), Consumer Research, SaaS, Small and Medium Businesses, Software, Text Analytics",,"Helsinki, Southern Finland, Finland, Europe",http://lumoa.me,Less than $1M,650000,EUR,779428,M&A,1,Icebreaker.vc,3,"Ali Omar, Business Finland, Icebreaker.vc",1,"314,406"
Pre Seed Round - Edplus,https://www.crunchbase.com/funding_round/edplus-pre-seed--6002a93f,Edplus,https://www.crunchbase.com/organization/edplus,Pre-Seed,500000,GBP,643461,2018-08-28,Seed,,,,Yes,Making learning easier for everyone,"Artificial Intelligence (AI), E-Learning, EdTech, Education, Gaming, Information Technology, Machine Learning, Mobile Apps",,"Oxford, Oxfordshire, United Kingdom, Europe",http://edplus.app,Less than $1M,500000,GBP,643461,Seed,1,Oxford Science Enterprises,1,Oxford Science Enterprises,,"490,962"
Seed Round - Frameless,https://www.crunchbase.com/funding_round/frameless-seed--f69daf65,Frameless,https://www.crunchbase.com/organization/frameless,Seed,300000,USD,300000,2018-03-01,Seed,,,,Yes,Intelligent High-Quality Mixed Reality Environments,"Artificial Intelligence (AI), Augmented Reality, Mobile, Virtual Reality",,"Vienna, Wien, Austria, Europe",http://www.frameless.me/,Less than $1M,300000,USD,300000,Seed,1,,2,"The Austrian Research Promotion Agency (FFG), Vienna Business Agency",,"150,568"
Seed Round - SituIQ,https://www.crunchbase.com/funding_round/situiq-seed--aba3fbbb,SituIQ,https://www.crunchbase.com/organization/situiq,Seed,500000,USD,500000,2018-03-30,Seed,2500000,USD,2500000,Yes,"IoT as a Service, AI, Sensors, Invention Hub","Artificial Intelligence (AI), Big Data, Information Technology, Robotics, Software",,"Bainbridge Island, Washington, United States, North America",https://www.situiq.com/,Less than $1M,500000,USD,500000,Seed,1,,,,,"562,136"
Convertible Note - UVL Robotics,https://www.crunchbase.com/funding_round/uvl-robotics-convertible-note--00ae4f44,UVL Robotics,https://www.crunchbase.com/organization/uvl-robotics,Convertible Note,300000,USD,300000,2018-04-17,,,,,No,Drone-based & AI logistics solutions,"Artificial Intelligence (AI), Drone Management, Drones, Last Mile Transportation, Logistics, Machine Learning, Retail, Warehousing",,"San Jose, California, United States, North America",https://www.uvl.io/,$1M to $10M,2000000,USD,2000000,Seed,6,Phystech Ventures,1,Phystech Ventures,,"278,802"
Pre Seed Round - Lanp Srl,https://www.crunchbase.com/funding_round/lanp-srl-pre-seed--8d6adf74,Lanp Srl,https://www.crunchbase.com/organization/lanp-srl,Pre-Seed,350000,EUR,431782,2018-03-05,Seed,,,,Yes,Shaping the future of physical space with data. Real Time Data Insights with no-camera AI solution. Retail tested.,"Analytics, Artificial Intelligence (AI), Electronics, Information Technology, Machine Learning, Retail, Smart Building, Smart Cities, Software",,"Monza, Lombardia, Italy, Europe",https://www.ulisse.tech,Less than $1M,1510000,EUR,1831364,Seed,3,,,,,"240,723"
Pre Seed Round - PKRS.AI,https://www.crunchbase.com/funding_round/peakers-pre-seed--7fdf1f97,PKRS.AI,https://www.crunchbase.com/organization/peakers,Pre-Seed,375000,USD,375000,2018-01-01,Seed,,,,Yes,"The future of personal coaching. AI powered, human enhanced.","Artificial Intelligence (AI), Internet, Machine Learning, Software, Sports",,"Santa Monica, California, United States, North America",https://www.pkrs.ai/,$1M to $10M,4345000,USD,4345000,Seed,4,,,,,"529,661"
Pre Seed Round - Virtual i Technologies,https://www.crunchbase.com/funding_round/virtual-i-technologies-pre-seed--4e944109,Virtual i Technologies,https://www.crunchbase.com/organization/virtual-i-technologies,Pre-Seed,263636,CHF,280000,2018-03-01,Seed,5000000,CHF,5310347,Yes,Virtual i Technologies is an insurtech company that offers risk assessment and commercial insurance solutions.,"Artificial Intelligence (AI), Financial Services, Insurance, InsurTech, Risk Management",,"Zürich, Zurich, Switzerland, Europe",https://www.virtualitechnologies.com,$1M to $10M,3910831,USD,3910831,Seed,5,,,,,"303,422"
Pre Seed Round - LokiBots,https://www.crunchbase.com/funding_round/lokibots-pre-seed--ab21109f,LokiBots,https://www.crunchbase.com/organization/lokibots,Pre-Seed,210000,USD,210000,2018-08-01,Seed,,,,Yes,"Cloud AI Native No-Code Platform with Conversational AI, Gen AI, Agentic AI and Doc AI to enable Conversational & Intelligent Automations.","CRM, EdTech, Finance, Generative AI, Legal Tech, Machine Learning, Marketing Automation, Natural Language Processing, Robotics, Sales Automation",,"Milpitas, California, United States, North America",https://www.lokibots.ai,,1321000,USD,1321000,Seed,5,,,,,"190,874"
Seed Round - PlantCT™,https://www.crunchbase.com/funding_round/plantct-seed--e7bcc90f,PlantCT™,https://www.crunchbase.com/organization/plantct,Seed,253509,USD,253509,2018-01-01,Seed,,,,Yes,An Agro- tech start up working on the PlantCT™ which a CT scanner for plants. It monitors crop-health and predicts plant diseases.,"Agriculture, AgTech, Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Sensor, Software",,"Budapest, Budapest, Hungary, Europe",https://plantct.com/,,370509,USD,370509,Seed,2,,3,"Csaba Asztalán, Illés Szabolcs Dudás, Zsófia Beck",,"532,116"
Pre Seed Round - Radius Analytics,https://www.crunchbase.com/funding_round/radius-analytics-pre-seed--b248e2dd,Radius Analytics,https://www.crunchbase.com/organization/radius-analytics,Pre-Seed,200000,GBP,267039,2018-06-01,Seed,,,,Yes,Industrialised modelling.,"Artificial Intelligence (AI), Consulting, Enterprise Software, FinTech, Industrial Automation, Information Technology, Intelligent Systems, Machine Learning, Software",,"London, England, United Kingdom, Europe",https://radiusanalytics.co.uk/,$1M to $10M,868000,GBP,1142075,Seed,5,,,,,"534,284"
Pre Seed Round - Superb AI,https://www.crunchbase.com/funding_round/superb-ai-pre-seed--24e6f3a1,Superb AI,https://www.crunchbase.com/organization/superb-ai,Pre-Seed,300000,USD,300000,2018-09-01,Seed,5000000,USD,5000000,Yes,"End-to-end training data platform that automates data preparation at scale and makes building datasets quick, systematic, and repeatable.","Artificial Intelligence (AI), Computer Vision, Machine Learning, Natural Language Processing, SaaS",,"San Mateo, California, United States, North America",https://www.superb-ai.com,$1M to $10M,27600000,USD,27600000,Early Stage Venture,4,,,,,"491,279"
Angel Round - CurveRobot,https://www.crunchbase.com/funding_round/curverobot-angel--91a1d198,CurveRobot,https://www.crunchbase.com/organization/curverobot,Angel,302100,USD,302100,2018-06-28,Seed,,,,Yes,CurveRobot is an artificial intelligence and robotics company.,"Artificial Intelligence (AI), Robotics, Software",,"Beijing, Beijing, China, Asia",http://curverobot.cn,,302100,USD,302100,Seed,1,iVision Ventures,1,iVision Ventures,,"254,945"
Angel Round - Powerlaw AI,https://www.crunchbase.com/funding_round/powerlaw-ai-angel--252f379f,Powerlaw AI,https://www.crunchbase.com/organization/powerlaw-ai,Angel,3000000,CNY,471202,2018-05-22,Seed,,,,Yes,Powerlaw AI is a developer of artificial intelligence technology designed to improve the efficiency of legal processes.,"Artificial Intelligence (AI), Legal, Machine Learning, Software",,"Haidian, Beijing, China, Asia",https://powerlaw.ai/,,163000000,CNY,23679258,Early Stage Venture,4,,1,Huayu Kechuang,,"255,510"
Seed Round - SapientX,https://www.crunchbase.com/funding_round/sapientx-seed--276b8ec4,SapientX,https://www.crunchbase.com/organization/sapientx,Seed,406000,USD,406000,2018-09-02,Seed,6000000,USD,6000000,Yes,SapientX's conversational AI software adds a voice & intelligence to products,"Artificial Intelligence (AI), Automotive, Consumer Electronics, Digital Signage, Machine Learning, Mobile, Software",,"Santa Cruz, California, United States, North America",http://www.sapientx.com,$1M to $10M,2304806,USD,2304806,Seed,4,,1,SeedInvest,,"570,102"
Pre Seed Round - thingc,https://www.crunchbase.com/funding_round/thingc-pre-seed--f6049735,thingc,https://www.crunchbase.com/organization/thingc,Pre-Seed,250000,USD,250000,2018-10-24,Seed,,,,Yes,"thingc are developing an on-demand farm workforce, using Artificial Intelligence-powered Robotics.","Agriculture, AgTech, Artificial Intelligence (AI), Farming, Information Technology, Internet of Things, Robotics, Software",,"Brunswick, Victoria, Australia, Oceania",https://thingc.co/,Less than $1M,280664,USD,280664,Seed,2,SOSV,2,"HAX, SOSV",1,"495,112"
Seed Round - Formalytics,https://www.crunchbase.com/funding_round/mykicks-seed--753b468a,Formalytics,https://www.crunchbase.com/organization/mykicks,Seed,650000,USD,650000,2018-04-01,Seed,,,,Yes,"Formalytics develop mobile ball tracking and AR experiences for sports. First product, myKicks, briefly reached #1 on UK app store during WC","Artificial Intelligence (AI), Augmented Reality, Computer Vision, Software, Sports",,"Perth, Western Australia, Australia, Oceania",http://formalytics.io/,$1M to $10M,1650000,USD,1650000,Seed,2,,,,,"256,962"
Pre Seed Round - Continuum Industries,https://www.crunchbase.com/funding_round/continuum-industries-pre-seed--568e9baa,Continuum Industries,https://www.crunchbase.com/organization/continuum-industries,Pre-Seed,250000,GBP,326074,2018-10-01,Seed,,,,Yes,Continuum Industries is a provider of an AI-powered infrastructure development platform.,"Artificial Intelligence (AI), Clean Energy, CleanTech, Machine Learning, Renewable Energy, Software",,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",https://continuum.industries/,$1M to $10M,12250000,GBP,15218600,Early Stage Venture,5,,1,Gareth Williams,,"256,993"
Grant - XCO Tech Inc.,https://www.crunchbase.com/funding_round/xco-grant--288e37e0,XCO Tech Inc.,https://www.crunchbase.com/organization/xco,Grant,800000,CAD,604938,2018-11-13,,,,,No,"XCO is advancing physical, cognitive and biometric performance across the spectrum of health and aging.","Fitness, Health Care, Health Diagnostics, Internet of Things, Medical Device, mHealth, Personal Health, Predictive Analytics, Wellness",,"Penticton, British Columbia, Canada, North America",https://xco.io,$1M to $10M,2633624,USD,2633624,Seed,4,Western Innovation (WINN) Initiative,1,Western Innovation (WINN) Initiative,,"520,576"
Seed Round - DeepVu,https://www.crunchbase.com/funding_round/vufind-seed--44a98c88,DeepVu,https://www.crunchbase.com/organization/vufind,Seed,500000,USD,500000,2018-07-01,Seed,,,,Yes,Generative AI for Autonomous Supply Chain Planning to Optimize Resilience and Sustainability.,"Artificial Intelligence (AI), Generative AI, Industrial Automation, Logistics, Machine Learning, Manufacturing, Risk Management, SaaS, Supply Chain Management, Sustainability",,"Berkeley, California, United States, North America",https://deepvu.co,,750000,USD,750000,Seed,3,,,,,"257,450"
Pre Seed Round - Native AI,https://www.crunchbase.com/funding_round/native-3000-pre-seed--c975c719,Native AI,https://www.crunchbase.com/organization/native-3000,Pre-Seed,500000,USD,500000,2018-10-01,Seed,,,,Yes,"The always-on market intelligence platform that helps you understand, innovate, and create ideal experiences for your customers.","Artificial Intelligence (AI), Consumer Goods, Food and Beverage, Life Science, Natural Language Processing, Predictive Analytics, Software","Women Founded, Women Led","New York, New York, United States, North America",https://www.gonative.ai,$1M to $10M,5700000,USD,5700000,Seed,4,,,,,"258,581"
Seed Round - Echo State,https://www.crunchbase.com/funding_round/echo-state-seed--1d45e982,Echo State,https://www.crunchbase.com/organization/echo-state,Seed,600000,USD,600000,2018-02-01,Seed,,,,Yes,"Echo State specializes in data science, data translation, and data engineering.","Analytics, Artificial Intelligence (AI), Cloud Computing, Consulting, Information Technology, Machine Learning, Software",,"Stockholm, Stockholms Lan, Sweden, Europe",https://echostate.se,Less than $1M,600000,USD,600000,Seed,1,,,,,"260,794"
Debt Financing - MarketMuse,https://www.crunchbase.com/funding_round/marketmuse-debt-financing--e0250fb9,MarketMuse,https://www.crunchbase.com/organization/marketmuse,Debt Financing,1000000,USD,1000000,2018-05-15,,,,,No,MarketMuse accelerates content research and builds AI-driven content strategies.,"Analytics, Artificial Intelligence (AI), Content, Content Marketing, Machine Learning, Marketing Automation, SaaS",,"Boston, Massachusetts, United States, North America",https://www.marketmuse.com,$1M to $10M,9238000,USD,9238000,Early Stage Venture,12,Silicon Valley Bank,1,Silicon Valley Bank,,"135,709"
Seed Round - AutoFAQ,https://www.crunchbase.com/funding_round/autofaq-seed--c2c5b36d,AutoFAQ,https://www.crunchbase.com/organization/autofaq,Seed,1000000,USD,1000000,2018-08-31,Seed,,,,Yes,AutoFAQ is an IT company that provides an omnichannel platform of robotic support for customers through artificial intelligence.,"Artificial Intelligence (AI), InsurTech, Machine Learning, Service Industry",,"Moscow, Moscow City, Russian Federation, Europe",https://autofaq.ai,$1M to $10M,1000000,USD,1000000,Seed,1,,,,,"373,932"
Seed Round - Bankify,https://www.crunchbase.com/funding_round/bankify-seed--79374690,Bankify,https://www.crunchbase.com/organization/bankify,Seed,400000,EUR,466739,2018-06-01,Seed,,,,Yes,"Bankify’s CrossFlow facilitates secure, instant, and cost-effective payments, along with account validation, and AI-powered fraud detection.","Artificial Intelligence (AI), Banking, Big Data, Finance, Financial Services, FinTech, Software",,"Helsinki, Southern Finland, Finland, Europe",http://www.bankify.io/,Less than $1M,400000,EUR,466739,Seed,2,,,,,"550,339"
Convertible Note - OK Roger,https://www.crunchbase.com/funding_round/ok-roger-convertible-note--a5e28cc4,OK Roger,https://www.crunchbase.com/organization/ok-roger,Convertible Note,325000,USD,325000,2018-01-01,,,,,No,AI-driven personal assistant focused on Travel,"Artificial Intelligence (AI), Business Travel, Machine Learning, Natural Language Processing, Software, Travel",,"Austin, Texas, United States, North America",https://www.okroger.ai,Less than $1M,925000,USD,925000,,4,,,,,"137,645"
Equity Crowdfunding - DIGITAL ATTENDANT,https://www.crunchbase.com/funding_round/digital-attendant-equity-crowdfunding--bd0bb654,DIGITAL ATTENDANT,https://www.crunchbase.com/organization/digital-attendant,Equity Crowdfunding,50000000,JPY,447095,2018-07-31,,,,,Yes,DIGITAL ATTENDANT is an AI venture founded with the vision of reducing the benefits of AI technology.,"Artificial Intelligence (AI), Information Services, Information Technology, Intelligent Systems",,"Tokyo, Tokyo, Japan, Asia",http://digitalattendant.co.jp,$1M to $10M,50000000,JPY,447095,,1,Fundinno,1,Fundinno,,"138,328"
Seed Round - Eggup,https://www.crunchbase.com/funding_round/eggup-seed--ab5be0ec,Eggup,https://www.crunchbase.com/organization/eggup,Seed,225000,EUR,262541,2018-06-01,Seed,,,,Yes,Helping companies to leverage soft skills,"Analytics, Human Resources, Predictive Analytics, Recruiting, SaaS, Skill Assessment",,"Rome, Lazio, Italy, Europe",https://www.eggup.co/,Less than $1M,399000,EUR,474277,M&A,6,,,,,"138,359"
Pre Seed Round - EATLAB,https://www.crunchbase.com/funding_round/eatlab-pre-seed--749525b6,EATLAB,https://www.crunchbase.com/organization/eatlab,Pre-Seed,650000,USD,650000,2018-04-01,Seed,,,,Yes,One stop shop AI solutions for restaurants,"Predictive Analytics, Software",,"Bangkok, Krung Thep, Thailand, Asia",https://eatlab.ai/,,3100000,USD,3100000,Early Stage Venture,3,Chumnongsri Hanchanlash,1,Chumnongsri Hanchanlash,,"434,568"
Grant - Inspirit IoT,https://www.crunchbase.com/funding_round/inspirit-iot-inc-grant--ff6c96fe,Inspirit IoT,https://www.crunchbase.com/organization/inspirit-iot-inc,Grant,909704,USD,909704,2018-09-17,,,,,No,"Inspirit IoT is a computer hardware that provides solutions in machine learning to cloud, server and edge devices.","Cloud Computing, Information Technology, Internet of Things, Machine Learning, Security",,"Champaign, Illinois, United States, North America",https://inspirit-iot.com,$1M to $10M,3787627,USD,3787627,Seed,4,National Science Foundation,1,National Science Foundation,,"526,786"
Product Crowdfunding - ID Cruise,https://www.crunchbase.com/funding_round/id-cruise-product-crowdfunding--7d925d29,ID Cruise,https://www.crunchbase.com/organization/id-cruise,Product Crowdfunding,48900000,JPY,444066,2018-08-21,,,,,No,ID Cruise is a media and artificial intelligence based psychology company.,"Artificial Intelligence (AI), Information Technology, Media and Entertainment",,"Tokyo, Tokyo, Japan, Asia",http://www.id-cruise.co.jp/,$1M to $10M,48900000,JPY,444066,,1,Fundinno,1,Fundinno,,"591,284"
Grant - Sensative,https://www.crunchbase.com/funding_round/sensative-ab-grant--46406a33,Sensative,https://www.crunchbase.com/organization/sensative-ab,Grant,3284000,SEK,359006,2018-09-01,,,,,No,"Disruptive IoT, cloud & AI technology empowering smart property owners in the digitalization of properties and industrial processes.","Artificial Intelligence (AI), Big Data, Cloud Data Services, Industrial Automation, Internet of Things, Machine Learning, Sensor, Smart Building, Smart Cities, Smart Home",,"Lund, Skane Lan, Sweden, Europe",http://www.sensative.com/,$1M to $10M,10812669,USD,10812669,Early Stage Venture,17,,,,,"591,368"
Grant - VocaliD,https://www.crunchbase.com/funding_round/vocalid-grant--1ba89cd1,VocaliD,https://www.crunchbase.com/organization/vocalid,Grant,200000,USD,200000,2018-07-01,,,,,No,Voice AI company that synthesizes unique vocal personalities so brands and individuals can be heard,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Women Founded, Women Led","Boston, Massachusetts, United States, North America",https://vocalid.ai,Less than $1M,4335249,USD,4335249,M&A,12,,,,,"373,129"
Convertible Note - Aktify,https://www.crunchbase.com/funding_round/aktify-convertible-note--4455b7cd,Aktify,https://www.crunchbase.com/organization/aktify,Convertible Note,1000000,USD,1000000,2018-06-04,,,,,No,Aktify uses robust data science and machine learning to focus on customer with productive conversations.,Artificial Intelligence (AI),,"Lehi, Utah, United States, North America",http://aktify.com,$10M to $50M,4500000,USD,4500000,Seed,2,Kreg Peeler,1,Kreg Peeler,,"592,337"
Pre Seed Round - Journey Foods,https://www.crunchbase.com/funding_round/journey-foods-pre-seed--edcd28fa,Journey Foods,https://www.crunchbase.com/organization/journey-foods,Pre-Seed,405000,USD,405000,2018-11-08,Seed,2700000,USD,2700000,Yes,Journey Foods solves food science and supply chain inefficiencies with enterprise software to help companies feed 8 billion people better.,"Artificial Intelligence (AI), Data Visualization, Food Processing, Industrial Automation, Machine Learning, Nutrition, SaaS, Snack Food, Software, Supply Chain Management","Black Founded, Women Founded, Women Led","Austin, Texas, United States, North America",http://journeyfoods.io,Less than $1M,2585000,USD,2585000,,12,,,,,"592,585"
Seed Round - PSYGIG,https://www.crunchbase.com/funding_round/psygig-seed--6c93a216,PSYGIG,https://www.crunchbase.com/organization/psygig,Seed,100000000,JPY,940955,2018-03-30,Seed,,,,Yes,PSYGIG helps engineers make safer Mobility IoT by accelerating the development of autonomous devices.,"Artificial Intelligence (AI), Consumer Electronics, Electronics, Infrastructure, SaaS, Software",,"Tokyo, Tokyo, Japan, Asia",http://psygig.com/,Less than $1M,100000000,JPY,940955,Seed,3,DNX Ventures,4,"DG Incubation, DNX Ventures, Genesia Ventures, STRIVE",1,"592,736"
Grant - Sensative,https://www.crunchbase.com/funding_round/sensative-ab-grant--4f791873,Sensative,https://www.crunchbase.com/organization/sensative-ab,Grant,2000000,SEK,226716,2018-06-01,,,,,No,"Disruptive IoT, cloud & AI technology empowering smart property owners in the digitalization of properties and industrial processes.","Artificial Intelligence (AI), Big Data, Cloud Data Services, Industrial Automation, Internet of Things, Machine Learning, Sensor, Smart Building, Smart Cities, Smart Home",,"Lund, Skane Lan, Sweden, Europe",http://www.sensative.com/,$1M to $10M,10812669,USD,10812669,Early Stage Venture,17,,,,,"593,737"
Seed Round - ABODOO,https://www.crunchbase.com/funding_round/abodoo-seed--ee053b4b,ABODOO,https://www.crunchbase.com/organization/abodoo,Seed,200000,EUR,240230,2018-01-03,Seed,,,,Yes,Abodoo is a 'Data Intelligence' software company with innovative & ground breaking  'Skills Data Mapping & Matching' technology.,"Artificial Intelligence (AI), Big Data, Communities, Consulting, Human Resources, Information Technology, Internet, Machine Learning, Recruiting, Software",,"Dublin, Dublin, Ireland, Europe",https://abodoo.com/,$1M to $10M,1369725,USD,1369725,,8,Dan Kiely,1,Dan Kiely,,"594,599"
Seed Round - Delfos Energy,https://www.crunchbase.com/funding_round/delfos-intelligent-maintenance-seed--2f01f7d5,Delfos Energy,https://www.crunchbase.com/organization/delfos-intelligent-maintenance,Seed,1500000,BRL,387207,2018-12-27,Seed,,,,Yes,Delfos provides Artificial Intelligence for the Energy Industry in order to predict failures.,"Artificial Intelligence (AI), Database, Machine Learning, Renewable Energy, SaaS",,"Barcelona, Catalonia, Spain, Europe",http://delfosim.com,$1M to $10M,8153843,USD,8153843,Seed,4,EDP Ventures,3,"BMG UpTech, Bossanova Investimentos, EDP Ventures",,"595,118"
Grant - Swae,https://www.crunchbase.com/funding_round/swae-grant--15a9e239,Swae,https://www.crunchbase.com/organization/swae,Grant,750000,CAD,579525,2018-06-05,,,,,No,Swae is an AI platform for idea meritocracy and decision-making,"Artificial Intelligence (AI), CivicTech, Enterprise Software, Innovation Management, Machine Learning, Smart Cities, Software",,"Vancouver, British Columbia, Canada, North America",https://swae.io,$1M to $10M,1500000,CAD,1168659,Seed,2,GlobalChallengesFnd,1,GlobalChallengesFnd,,"595,492"
