Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Location,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - ReelData AI,https://www.crunchbase.com/funding_round/reeldata-ai-seed--a1a96c9f,ReelData AI,https://www.crunchbase.com/organization/reeldata-ai,Seed,25000,USD,25000,2019-05-22,Seed,,,,Yes,ReelData AI is a provider of artificial intelligence solutions for land-based aquaculture.,"Agriculture, Aquaculture, Artificial Intelligence (AI)",,https://www.reeldata.ai/,"Halifax, Nova Scotia, Canada, North America",$1M to $10M,11062715,USD,11062715,Early Stage Venture,8,,"Atlantic Canada Opportunities Agency, Business Development Bank of Canada, Innovacorp, New Brunswick Innovation Foundation, Volta Labs",5,,"116,222"
Seed Round - BNB DYNAMICS,https://www.crunchbase.com/funding_round/bnb-dynamics-seed--a049e2d7,BNB DYNAMICS,https://www.crunchbase.com/organization/bnb-dynamics,Seed,300000,AZN,176211,2019-04-01,Seed,,,,Yes,"BNB DYNAMICS is specialize in the commercial use of robots, where our ultimate goal is to take human living conditions.","Artificial Intelligence (AI), Education, Machine Learning, Robotics, STEM Education, Training",,https://bnbdynamics.az/,"Baku, Baki, Azerbaijan, Asia",,500000,AZN,293685,Seed,2,,,,,"409,494"
Grant - Invisible Agents,https://www.crunchbase.com/funding_round/invisible-agents-grant--85891768,Invisible Agents,https://www.crunchbase.com/organization/invisible-agents,Grant,25000,USD,25000,2019-05-29,,,,,No,Invisible Agents is developing technology to improve fundraising for non-profits and churches through machine learning.,Machine Learning,,http://invisible-agents.com/,"Halifax, Nova Scotia, Canada, North America",$1M to $10M,25000,USD,25000,,1,Innovacorp,Innovacorp,1,,"409,662"
Pre Seed Round - FinbotsAI,https://www.crunchbase.com/funding_round/finbots-ai-pre-seed--b7a41c4a,FinbotsAI,https://www.crunchbase.com/organization/finbots-ai,Pre-Seed,100000,SGD,74166,2019-12-30,Seed,,,,Yes,Better Credit Decisions with AI,"B2B, Banking, Commercial Lending, Consumer Lending, Credit Bureau, Financial Services, FinTech, Lending, Machine Learning, Micro Lending",,https://www.finbots.ai,"Singapore, Central Region, Singapore, Asia",$1M to $10M,4233190,USD,4233190,Early Stage Venture,5,Sanjay Uppal,Sanjay Uppal,1,,"410,392"
Pre Seed Round - MetaSoul,https://www.crunchbase.com/funding_round/emoshape-pre-seed--1a5fa6c6,MetaSoul,https://www.crunchbase.com/organization/emoshape,Pre-Seed,100000,USD,100000,2019-05-01,Seed,13500000,USD,13500000,Yes,"MetaSoul INC, an American Delaware company headquartered in New York, specializes in Emotion Synthesis for generative AI models.","Artificial Intelligence (AI), Gaming, Metaverse, SaaS, Software",,http://www.metasoul.one,"New York, New York, United States, North America",$1M to $10M,1570000,USD,1570000,Seed,13,,Ascend Venture Capital,1,,"410,835"
Convertible Note - LaPieza,https://www.crunchbase.com/funding_round/talento-startup-convertible-note--cb649ec4,LaPieza,https://www.crunchbase.com/organization/talento-startup,Convertible Note,25000,USD,25000,2019-10-10,,,,,No,LaPieza is a recruitment platform that helps companies to find top remote talent in record time.,"Artificial Intelligence (AI), Human Resources, Machine Learning, Recruiting, Software",,https://lapieza.io,"Mexico City, Distrito Federal, Mexico, North America",,385000,USD,385000,Seed,2,COLABORATIVOx,COLABORATIVOx,1,1,"222,213"
Pre Seed Round - musicube,https://www.crunchbase.com/funding_round/musicube-pre-seed--cc26ac09,musicube,https://www.crunchbase.com/organization/musicube,Pre-Seed,59000,USD,59000,2019-12-16,Seed,,,,Yes,musicube is an AI metadata and music search company.,"Artificial Intelligence (AI), Audio, B2B, Big Data, Machine Learning, Music, Music Streaming, Software",,https://musicu.be,"Hamburg, Hamburg, Germany, Europe",Less than $1M,919000,USD,919000,M&A,4,,,,,"222,302"
Pre Seed Round - VAUX,https://www.crunchbase.com/funding_round/vaux-pre-seed--31d78708,VAUX,https://www.crunchbase.com/organization/vaux,Pre-Seed,120000,USD,120000,2019-02-04,Seed,,,,Yes,Vaux AI is streaming and enabling communication in low-bitrate environments.,"Artificial Intelligence (AI), Audio, Software, Telecommunications, Video Conferencing, VoIP",,https://vaux.ai,"Brisbane, Queensland, Australia, Oceania",,120000,USD,120000,Seed,2,Techstars,Techstars,1,1,"222,471"
Pre Seed Round - RAD AI,https://www.crunchbase.com/funding_round/rad-intelligence-pre-seed--ec8beb63,RAD AI,https://www.crunchbase.com/organization/rad-intelligence,Pre-Seed,150000,USD,150000,2019-09-01,Seed,5000000,USD,5000000,Yes,AI technology that delivers real-time insights through real-world language.,"Artificial Intelligence (AI), Brand Marketing, Digital Marketing, Digital Media, Machine Learning, Marketing, Marketing Automation, SaaS, Social Media, Social Media Marketing",,http://www.radintel.ai,"Venice, California, United States, North America",$10M to $50M,10107750,USD,10107750,Early Stage Venture,12,,Dzhel,1,,"222,765"
Grant - Biel Glasses,https://www.crunchbase.com/funding_round/biel-glasses-grant--86072113,Biel Glasses,https://www.crunchbase.com/organization/biel-glasses,Grant,5000,EUR,5505,2019-10-10,,,,,No,Biel Glasses develops smart glasses to improve mobility and personal autonomy of people with low vision.,"Artificial Intelligence (AI), Assistive Technology, Health Care, Medical Device",,http://www.bielglasses.com,"Barcelona, Catalonia, Spain, Europe",$1M to $10M,4004206,EUR,4437757,Seed,17,IPA4SME,IPA4SME,1,,"224,075"
