Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,CB Rank (Funding Round),Lead Investors,Number of Investors,Investor Names,Number of Partner Investors
Series A - KEENSENSE,https://www.crunchbase.com/funding_round/keensense-series-a--330f8415,KEENSENSE,https://www.crunchbase.com/organization/keensense,Series A,20000000,CNY,2925688,2018-09-06,Early Stage Venture,,,,Yes,KEENSENSE is engaged in original artificial intelligence and video deep learning technology.,"Artificial Intelligence (AI), Computer, Video",,"Suzhou, Jiangsu, China, Asia",http://www.1000video.cn,,23000000,CNY,3415293,Early Stage Venture,2,"593,426","Bitmain, MiningLamp",2,"Bitmain, MiningLamp",
Seed Round - MountLytics,https://www.crunchbase.com/funding_round/mapcase-media-seed--24e9a348,MountLytics,https://www.crunchbase.com/organization/mapcase-media,Seed,850000,EUR,1050076,2018-02-13,Seed,,,,Yes,MountLytics is a travelTech startup based in Leipzig and Eschborn.,"Artificial Intelligence (AI), CRM, Hotel, Information Technology, Tourism, Travel",,"Eschborn, Hessen, Germany, Europe",http://www.mountlytics.com,$1M to $10M,2200000,EUR,2488856,Seed,2,"415,336",TGFS - Technologiegründerfonds Sachsen,2,"Hessen Kapital I, TGFS - Technologiegründerfonds Sachsen",
Seed Round - Splash,https://www.crunchbase.com/funding_round/popgun-seed--91e64ef5,Splash,https://www.crunchbase.com/organization/popgun,Seed,2200000,USD,2200000,2018-03-01,Seed,,,,Yes,Splash is an AI company bringing the joy of music making to everyone.,"Artificial Intelligence (AI), Machine Learning, Music, Software, Video Games",,"Brisbane, Queensland, Australia, Oceania",https://splashmusic.com,$1M to $10M,23220227,USD,23220227,Early Stage Venture,5,"594,171",Khosla Ventures,3,"Khosla Ventures, Techstars, Techstars Ventures",
Seed Round - envelio,https://www.crunchbase.com/funding_round/envelio-seed--40681a3b,envelio,https://www.crunchbase.com/organization/envelio,Seed,1000000,EUR,1153770,2018-05-29,Seed,,,,Yes,envelio is a cloud based smart grid platform.,"Analytics, Artificial Intelligence (AI), Cloud Computing, Electrical Distribution, Enterprise Software, Machine Learning, Power Grid, SaaS, Smart Cities, Software",,"Köln, Nordrhein-Westfalen, Germany, Europe",https://envelio.com,$1M to $10M,7071429,EUR,7945711,M&A,3,"558,517","Demeter Partners, HTGF | High-Tech Gruenderfonds",2,"Demeter Partners, HTGF | High-Tech Gruenderfonds",1
Seed Round - LitiGate,https://www.crunchbase.com/funding_round/litigate-seed--1421a65b,LitiGate,https://www.crunchbase.com/organization/litigate,Seed,1500000,USD,1500000,2018-12-13,Seed,,,,Yes,LitiGate develops a litigation platform to automate legal research and argument assessment.,"Analytics, Artificial Intelligence (AI), InsurTech, Legal, Legal Tech, Machine Learning, Text Analytics",,"Tel Aviv, Tel Aviv, Israel, Asia",https://www.litigate.ai,$1M to $10M,6500000,USD,6500000,Seed,3,"595,777",Rhodium,4,"Brighteye Ventures, Rhodium, Shibolet Capital, TheTime",
Seed Round - Trust Stamp,https://www.crunchbase.com/funding_round/trust-stamp-seed--b1c5a639,Trust Stamp,https://www.crunchbase.com/organization/trust-stamp,Seed,3000000,USD,3000000,2018-09-25,Seed,,,,Yes,"Trust Stamp is a developer of AI-powered software that provides identity verification, cybersecurity, biometrics, cryptography, and fintech.","Artificial Intelligence (AI), Biometrics, Fraud Detection, Identity Management, InsurTech, Machine Learning, Transaction Processing",,"Atlanta, Georgia, United States, North America",https://www.truststamp.ai,$10M to $50M,33013000,USD,33013000,IPO,21,"595,842",,1,Emergent Technology Holdings,
Seed Round - Myota,https://www.crunchbase.com/funding_round/myota-seed--00aca92d,Myota,https://www.crunchbase.com/organization/myota,Seed,2100000,USD,2100000,2018-05-14,Seed,,,,Yes,Myota is a data security management solution developing an AI-based security management platform to protect critical data.,"Artificial Intelligence (AI), Data Center, Data Management, Information Technology, Network Security",,"Centerbrook, Connecticut, United States, North America",https://myota.io,$1M to $10M,10119537,USD,10119537,,3,"596,016",,,,
Seed Round - TritonWear,https://www.crunchbase.com/funding_round/tritonwear-seed--6acbfffa,TritonWear,https://www.crunchbase.com/organization/tritonwear,Seed,1210000,USD,1210000,2018-02-26,Seed,,,,Yes,TritonWear redefines athlete limits with a wearable and app that actually guides consistently better training.,"Analytics, Artificial Intelligence (AI), Big Data, Fitness, Hardware, Machine Learning, Sports, Swimming, Wearables",,"Toronto, Ontario, Canada, North America",http://www.tritonwear.com/,$1M to $10M,6106180,USD,6106180,Seed,11,"640,915",,2,"Creative Destruction Lab (CDL), Radical Ventures",
Seed Round - Motion Gestures,https://www.crunchbase.com/funding_round/motion-gestures-seed--272c2587,Motion Gestures,https://www.crunchbase.com/organization/motion-gestures,Seed,1650000,USD,1650000,2018-05-09,Seed,,,,Yes,Motion Gestures is a Canadian machine learning startup specializing in gesture recognition software.,"Cloud Computing, Computer, Machine Learning, Sensor, Software",,"Kitchener, Ontario, Canada, North America",https://motiongestures.com/,$1M to $10M,7646595,USD,7646595,Seed,6,"560,550",China Canada Angel Alliance,5,"China Canada Angel Alliance, Golden Triangle Angel Network, Keiretsu Forum, Newton Fund, Propel(X)",1
Series B - Bossa Nova Robotics,https://www.crunchbase.com/funding_round/bossa-nova-robotics-inc-series-b--a8541034,Bossa Nova Robotics,https://www.crunchbase.com/organization/bossa-nova-robotics-inc,Series B,2000000,USD,2000000,2018-03-21,Early Stage Venture,,,,Yes,"Bossa Nova Robotics is a provider of real-time, on-shelf product data for the global retail industry.","Analytics, Artificial Intelligence (AI), Autonomous Vehicles, Cloud Computing, Computer Vision, Human Computer Interaction, Retail Technology, Robotics, Software",,"San Francisco, California, United States, North America",http://www.bossanova.com/,$10M to $50M,97610389,USD,97610389,Early Stage Venture,12,"560,573",,2,"Celesta Capital, Cota Capital",1
Venture Round - Coraal (Clustaar),https://www.crunchbase.com/funding_round/clustaar-series-unknown--cf359637,Coraal (Clustaar),https://www.crunchbase.com/organization/clustaar,Venture - Series Unknown,1700000,EUR,2086043,2018-03-01,,,,,Yes,Coraal is customer support automation solution based on an integrated chatbot-livechat-knowledgebase suite.,"Chatbot, Customer Service, Machine Learning, Natural Language Processing, SaaS, SEO",,"Paris, Ile-de-France, France, Europe",http://coraal.io,Less than $1M,1700000,EUR,2086043,,1,"608,232",,3,"Alliance Entreprendre, Axeleo Capital, Finorpa",1
Seed Round - Gideon,https://www.crunchbase.com/funding_round/GideonRobotics-seed--95007f26,Gideon,https://www.crunchbase.com/organization/GideonRobotics,Seed,2200000,EUR,2572603,2018-07-23,Seed,,,,Yes,Gideon Brothers solves industrial problems with autonomous mobile robots powered by AI & Visual Perception.,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software",,"Zagreb, Grad Zagreb, Croatia, Europe",http://www.gideon.ai,$1M to $10M,42311327,USD,42311327,,11,"642,161",Taavet Hinrikus,7,"David Rowan, HCVC, LocalGlobe, Luca Ascani, Plug and Play, SparkLabs Global Ventures, Taavet Hinrikus",4
Seed Round - xorlab,https://www.crunchbase.com/funding_round/xorlab-seed--abe60986,xorlab,https://www.crunchbase.com/organization/xorlab,Seed,1735000,CHF,1745954,2018-12-13,Seed,,,,Yes,xorlab harnesses machine intelligence to stop even the most sophisticated email attacks at first sight.,"Cyber Security, Information Technology, Machine Learning, Software",,"Zürich, Zurich, Switzerland, Europe",https://www.xorlab.com,$1M to $10M,9945000,CHF,10609675,Early Stage Venture,8,"642,486","Hasler Foundation, Zürcher Kantonal Bank",3,"Hasler Foundation, SICTIC, Zürcher Kantonal Bank",
Debt Financing - Cognixion,https://www.crunchbase.com/funding_round/cognixion-debt-financing--c2218513,Cognixion,https://www.crunchbase.com/organization/cognixion,Debt Financing,1766000,USD,1766000,2018-07-30,,,,,No,Cognixion is a neural interface startup creates AI-powered products for individuals with disabilities.,"Artificial Intelligence (AI), Augmented Reality, Machine Learning, Neuroscience, Software",,"Santa Barbara, California, United States, North America",https://www.cognixion.com,$1M to $10M,16705097,USD,16705097,Seed,5,"642,708",,,,
Series A - U Voice,https://www.crunchbase.com/funding_round/u-voice-series-a--0e193c5c,U Voice,https://www.crunchbase.com/organization/u-voice,Series A,10000000,CNY,1557450,2018-01-18,Early Stage Venture,,,,Yes,U Voice is a developer of intelligent voiceprint recognition technology.,"Artificial Intelligence (AI), Electronics, Software",,"Shanghai, Shanghai, China, Asia",http://www.uvoicetech.com,,13000000,CNY,2021054,Early Stage Venture,2,"499,952",Kaitai Capital,1,Kaitai Capital,
Seed Round - Streem,https://www.crunchbase.com/funding_round/streem-inc-seed--9551d024,Streem,https://www.crunchbase.com/organization/streem-inc,Seed,2000000,USD,2000000,2018-03-28,Seed,,,,Yes,Making the worlds expertise more accessible.,"Artificial Intelligence (AI), Augmented Reality, Computer Vision, Machine Learning, Video Chat",,"Portland, Oregon, United States, North America",https://www.streem.com,$1M to $10M,10481322,USD,10481322,M&A,5,"642,929",,7,"Archivist, Flying Fish Partners, Oregon Venture Fund, Portland Seed Fund, Rogue Venture Partners, TechNexus Venture Collaborative, The R-Group",
Angel Round - Synerise,https://www.crunchbase.com/funding_round/synerise-angel--eb887f84,Synerise,https://www.crunchbase.com/organization/synerise,Angel,3875968,USD,3875968,2018-07-01,Seed,,,,Yes,#17 Europe’s Fastest Growing Technology Sector Company according to Financial Times.,"Analytics, Artificial Intelligence (AI), Business Intelligence, Machine Learning, Marketing Automation, Predictive Analytics, Software",,"Kraków, Malopolskie, Poland, Europe",https://synerise.com,$10M to $50M,50668126,USD,50668126,Early Stage Venture,11,"643,751",Jaroslaw Krolewski,1,Jaroslaw Krolewski,
Angel Round - Malgo,https://www.crunchbase.com/funding_round/malgo-fe69-angel--6a957da8,Malgo,https://www.crunchbase.com/organization/malgo-fe69,Angel,10000000,CNY,1581865,2018-03-15,Seed,,,,Yes,Malgo is a health technology company that offers enterprises with integrated digital health solutions.,"Artificial Intelligence (AI), Health Care, Health Insurance",,"Hangzhou, Zhejiang, China, Asia",http://www.malgo.cn/,Less than $1M,10000000,CNY,1581865,Seed,2,"643,840",FutureCap,2,"FutureCap, TusStar",
Angel Round - BRAINCITIES,https://www.crunchbase.com/funding_round/braincities-angel--a9c4cd87,BRAINCITIES,https://www.crunchbase.com/organization/braincities,Angel,1373000,EUR,1554029,2018-11-30,Seed,10000000,EUR,11318491,Yes,Making private and public organisations smarter with human-supportive Artificial Intelligence.,"Analytics, Artificial Intelligence (AI), Data Mining, Knowledge Management, Machine Learning, Natural Language Processing, Predictive Analytics, Robotics, Software",,"Paris, Ile-de-France, France, Europe",http://www.braincities.co,Less than $1M,1660000,EUR,1871390,Private Equity,4,"659,882",,,,
Seed Round - Derq,https://www.crunchbase.com/funding_round/derq-seed--f1e130a0,Derq,https://www.crunchbase.com/organization/derq,Seed,1580000,USD,1580000,2018-10-01,Seed,,,,Yes,"Derq is an MIT spinoff that uses AI to power an award-winning predictive platform, help eliminate crashes and create safer and smarter roads","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Enterprise Software, Internet of Things, Machine Learning, Predictive Analytics, Public Safety, Smart Cities",,"Ann Arbor, Michigan, United States, North America",http://en.derq.com,$1M to $10M,3580000,USD,3580000,Seed,3,"644,645",,,,
Seed Round - BioTrillion,https://www.crunchbase.com/funding_round/biotrillion-seed--9ca214f1,BioTrillion,https://www.crunchbase.com/organization/biotrillion,Seed,2300000,USD,2300000,2018-08-15,Seed,35000000,USD,35000000,Yes,"""Data from Life. Data for Life.""","Artificial Intelligence (AI), Biotechnology, Computer Vision, Health Care, Health Diagnostics, Life Science, Medical, mHealth, Neuroscience",,"San Francisco, California, United States, North America",https://www.biotrillion.com,$1M to $10M,2300000,USD,2300000,Seed,1,"644,757",,6,"(SVTC) + Constellar Ventures, David B. Kirk, Lu Yoh-Chie, Santosh Kumar, Savan Devani, Tom X Lee",
Seed Round - Feature Labs,https://www.crunchbase.com/funding_round/feature-labs-seed--98912267,Feature Labs,https://www.crunchbase.com/organization/feature-labs,Seed,1500000,USD,1500000,2018-02-22,Seed,,,,Yes,Feature Labs builds tools and APIs for data science and feature engineering automation.,"Artificial Intelligence (AI), Developer APIs, Developer Tools, Industrial Automation, Software",,"Boston, Massachusetts, United States, North America",https://www.featurelabs.com/,$1M to $10M,1500000,USD,1500000,M&A,1,"644,808",Flybridge,3,"First Star Ventures, Flybridge, Script Capital",2
Seed Round - Verusen,https://www.crunchbase.com/funding_round/autit-seed--6e69f4d2,Verusen,https://www.crunchbase.com/organization/autit,Seed,2700000,USD,2700000,2018-10-16,Seed,,,,Yes,Verusen is the global supply chain innovator focused on providing the simplest way to manage materials for global supply chains.,"Artificial Intelligence (AI), Machine Learning, Software, Supply Chain Management",,"Atlanta, Georgia, United States, North America",https://verusen.com/,$1M to $10M,39125000,USD,39125000,Early Stage Venture,6,"644,809","Glasswing Ventures, Zetta Venture Partners",3,"Engage, Glasswing Ventures, Zetta Venture Partners",1
Convertible Note - BrandShield,https://www.crunchbase.com/funding_round/brandshield-convertible-note--1377352e,BrandShield,https://www.crunchbase.com/organization/brandshield,Convertible Note,2650000,USD,2650000,2018-12-12,,,,,No,BrandShield is a brand-oriented digital risk protection company providing threat detection and remediation solutions.,"Artificial Intelligence (AI), Business Intelligence, Cyber Security, Intellectual Property, Internet, Machine Learning, Natural Language Processing, SaaS, Security",,"Herzliya, Tel Aviv, Israel, Asia",http://www.brandshield.com,$1M to $10M,14840000,USD,14840000,IPO,7,"644,876",,1,Two Shields Investments,
Venture Round - Limbik,https://www.crunchbase.com/funding_round/limbik-series-unknown--bca7a0df,Limbik,https://www.crunchbase.com/organization/limbik,Venture - Series Unknown,1740639,USD,1740639,2018-05-18,,,,,Yes,"Limbik protects against the reputational, financial, and security threats of information manipulation.","Artificial Intelligence (AI), Cyber Security, Government, Identity Management, Machine Learning, Predictive Analytics, Security",,"New York, New York, United States, North America",https://limbik.com,$1M to $10M,3005639,USD,3005639,,3,"645,141",,,,
Angel Round - Puying Intelligence,https://www.crunchbase.com/funding_round/puying-intelligence-angel--c512c7b2,Puying Intelligence,https://www.crunchbase.com/organization/puying-intelligence,Angel,3000000,USD,3000000,2018-12-07,Seed,,,,Yes,Puying Intelligence is an AI insurance claim management service company.,"Artificial Intelligence (AI), FinTech",,"Shanghai, Shanghai, China, Asia",http://puying.ai/,,3000000,USD,3000000,Seed,1,"416,198","Safe & Rich Venture Capital, Ultrabuttonwood Capital",2,"Safe & Rich Venture Capital, Ultrabuttonwood Capital",
Seed Round - Mendel.ai,https://www.crunchbase.com/funding_round/mendel-health-seed--db0800a5,Mendel.ai,https://www.crunchbase.com/organization/mendel-health,Seed,2400000,USD,2400000,2018-06-01,Seed,,,,Yes,Advancing Clinical Research by Combining Machine Precision and Human Intuition,"Analytics, Artificial Intelligence (AI), Health Care, Life Science, Medical",Women Founded,"San Jose, California, United States, North America",https://mendel.ai/,$1M to $10M,65400000,USD,65400000,Early Stage Venture,9,"416,364",DCM Ventures,2,"BootstrapLabs, DCM Ventures",3
Seed Round - Leena AI,https://www.crunchbase.com/funding_round/leena-ai-seed--55c6863a,Leena AI,https://www.crunchbase.com/organization/leena-ai,Seed,2000000,USD,2000000,2018-09-19,Seed,,,,Yes,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,"Artificial Intelligence (AI), Human Resources, Information Technology, Virtual Assistant",,"New York, New York, United States, North America",https://www.leena.ai/,$10M to $50M,40000000,USD,40000000,Early Stage Venture,5,"416,672",,4,"Elad Gil, Kunal Bahl, Quiet Capital, Rohit Bansal",
Seed Round - AnChain.ai,https://www.crunchbase.com/funding_round/anchain-ai-seed--c5352a70,AnChain.ai,https://www.crunchbase.com/organization/anchain-ai,Seed,2000000,USD,2000000,2018-08-01,Seed,,,,Yes,AnChain.AI : Next Generation AI-powered Cryptocurrency Anti-Money Laundering,"Artificial Intelligence (AI), Blockchain, Compliance, Cryptocurrency, Cyber Security, Ethereum, FinTech, Machine Learning",,"San Jose, California, United States, North America",https://www.AnChain.ai,$1M to $10M,16350000,USD,16350000,Early Stage Venture,4,"417,098",Amino Capital,2,"Amino Capital, SIG China (SIG Asia Investments)",1
Seed Round - SOCIUM Inc,https://www.crunchbase.com/funding_round/socium-seed--b3cd20de,SOCIUM Inc,https://www.crunchbase.com/organization/socium,Seed,190000000,JPY,1738263,2018-04-26,Seed,,,,Yes,SOCIUM is an AI-powered drug discovery and development company focused on first-in-class small molecules.,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Pharmaceutical",,"Tokyo, Tokyo, Japan, Asia",https://www.socium.co.jp/,$1M to $10M,260000000,JPY,2362077,Seed,2,"417,135",,1,UTEC - The University of Tokyo Edge Capital Partners,
Seed Round - Wasteless,https://www.crunchbase.com/funding_round/wasteless-ltd-seed--ca81e510,Wasteless,https://www.crunchbase.com/organization/wasteless-ltd,Seed,2000000,USD,2000000,2018-10-09,Seed,,,,Yes,Wasteless provides Deep ML pricing solution for markdown optimization and fresh-waste reduction,"Artificial Intelligence (AI), E-Commerce, Internet, Machine Learning, Software, Supply Chain Management, Waste Management",,"Tel Aviv, Tel Aviv, Israel, Asia",https://www.wasteless.com,$1M to $10M,6600000,USD,6600000,,9,"662,523",Slingshot Ventures,1,Slingshot Ventures,
Seed Round - superQuery,https://www.crunchbase.com/funding_round/evaluex-seed--50ee23f8,superQuery,https://www.crunchbase.com/organization/evaluex,Seed,3000000,USD,3000000,2018-01-11,Seed,,,,Yes,"AI-powered IDE designed for serverless big data services by Google, AWS, Microsoft and Oracle. Increase speed & reduce costs by 60%","Artificial Intelligence (AI), Big Data, Machine Learning",,"Tel Aviv, Tel Aviv, Israel, Asia",https://web.superquery.io/,$1M to $10M,3000000,USD,3000000,M&A,2,"662,616",Magma Venture Partners,2,"F2 Capital, Magma Venture Partners",
Grant - Exabel,https://www.crunchbase.com/funding_round/exabel-grant--5972bfea,Exabel,https://www.crunchbase.com/organization/exabel,Grant,1750000,USD,1750000,2018-05-11,,,,,No,Artificial intelligence for human investors,"Analytics, Artificial Intelligence (AI), Cloud Computing, Finance, FinTech, Machine Learning, Software",,"Oslo, Oslo, Norway, Europe",https://www.exabel.com/,$1M to $10M,22830000,USD,22830000,Seed,6,"315,222",,,,
Seed Round - Transmetrics,https://www.crunchbase.com/funding_round/transmetrics-seed--0471a46e,Transmetrics,https://www.crunchbase.com/organization/transmetrics,Seed,1540000,EUR,1782874,2018-10-01,Seed,,,,Yes,Transmetrics optimizes logistics planning and asset management by leveraging the power of predictive analytics and artificial intelligence.,"Analytics, Artificial Intelligence (AI), B2B, Business Intelligence, Logistics, Machine Learning, Predictive Analytics, SaaS, Shipping, Transportation",,"Sofia, Grad Sofiya, Bulgaria, Europe",https://www.transmetrics.ai/,Less than $1M,9020000,EUR,9985114,Seed,11,"419,653",,,,
Seed Round - Zippin,https://www.crunchbase.com/funding_round/zippin-seed--ebce3df0,Zippin,https://www.crunchbase.com/organization/zippin,Seed,2000000,USD,2000000,2018-04-02,Seed,,,,Yes,Zippin is the next generation of checkout-free technology enabling retailers to quickly deploy frictionless shopping in their stores. ,"Artificial Intelligence (AI), Computer, Retail Technology, Shopping, Software",,"San Francisco, California, United States, North America",https://www.getzippin.com/,Less than $1M,44000000,USD,44000000,Early Stage Venture,3,"419,866",Maven Ventures,4,"Core Ventures, Maven Ventures, Montage Ventures, Pear VC",1
Seed Round - TeamBrain,https://www.crunchbase.com/funding_round/teambrain-seed--ae6ba943,TeamBrain,https://www.crunchbase.com/organization/teambrain,Seed,1500000,EUR,1705650,2018-12-12,Seed,,,,Yes,TeamBrain is develops an artificial intelligence based knowledge platform.,"Artificial Intelligence (AI), Machine Learning, Software",,"Paris, Ile-de-France, France, Europe",https://teambrain.fr/,$1M to $10M,1500000,EUR,1705650,Seed,1,"420,617",,1,SIDE Capital,
Seed Round - OnsiteIQ,https://www.crunchbase.com/funding_round/onsiteiq-seed--8f124f51,OnsiteIQ,https://www.crunchbase.com/organization/onsiteiq,Seed,2500000,USD,2500000,2018-11-15,Seed,,,,Yes,OnsiteIQ is a construction intelligence platform for real estate investors.,"Artificial Intelligence (AI), Computer Vision, Construction, Enterprise Software, Real Estate",,"New York, New York, United States, North America",http://onsiteiq.io/,$1M to $10M,46386476,USD,46386476,Early Stage Venture,8,"420,775",Anthemis,2,"Anthemis, MetaProp",1
Corporate Round - Autocode,https://www.crunchbase.com/funding_round/stdlib-corporate-round--60fb5a9b,Autocode,https://www.crunchbase.com/organization/stdlib,Corporate Round,2000000,USD,2000000,2018-05-31,,,,,Yes,"An online code editor with API autocomplete, instant hosting, and a Standard Library. Sync data, build bots and customize workflows.","Artificial Intelligence (AI), Developer APIs, Open Source, PaaS, Software",,"San Francisco, California, United States, North America",https://autocode.com,$1M to $10M,4000000,USD,4000000,,2,"420,805",Stripe,1,Stripe,
Seed Round - Speciate AI,https://www.crunchbase.com/funding_round/speciate-ai-seed--1e25b870,Speciate AI,https://www.crunchbase.com/organization/speciate-ai,Seed,2000000,USD,2000000,2018-01-01,Seed,,,,Yes,Speciate AI provides an AI driven solution to help companies understand what the market feels about their products and identify ways to grow,"Artificial Intelligence (AI), Machine Learning, Natural Language Processing",Women Founded,"Chicago, Illinois, United States, North America",http://www.speciateai.com,$1M to $10M,2000000,USD,2000000,Seed,1,"422,660",,,,
Seed Round - InsightFinder,https://www.crunchbase.com/funding_round/insightfinder-inc-seed--5cb18eee,InsightFinder,https://www.crunchbase.com/organization/insightfinder-inc,Seed,2000000,USD,2000000,2018-04-10,Seed,,,,Yes,InsightFinder is a software company that provides monitoring and predictive analytics services for IT operations.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics","Women Founded, Women Led","Durham, North Carolina, United States, North America",https://insightfinder.com,$1M to $10M,19487250,USD,19487250,Early Stage Venture,11,"422,689",Eight Roads Ventures,3,"Eight Roads Ventures, Newton Fund, Propel(X)",
Corporate Round - GalaPro,https://www.crunchbase.com/funding_round/galapro-corporate-round--cde54db1,GalaPro,https://www.crunchbase.com/organization/galapro,Corporate Round,2500000,USD,2500000,2018-01-01,,,,,Yes,"Real-time Synchronized Subtitles, Dubbing & Amplification for Theater Shows, Movies, Museums & Conferences using Artificial intelligence","Artificial Intelligence (AI), Audio, Lifestyle, Machine Learning, Media and Entertainment",,"Herzliya, Tel Aviv, Israel, Asia",http://www.galapro.com,Less than $1M,6700000,USD,6700000,,5,"540,011",Shubert Organization,1,Shubert Organization,
Pre Seed Round - Shadow,https://www.crunchbase.com/funding_round/shadow-7e00-pre-seed--b71bf18c,Shadow,https://www.crunchbase.com/organization/shadow-7e00,Pre-Seed,2000000,USD,2000000,2018-01-01,Seed,,,,Yes,Shadow leverages the power of AI and community to reunite lost pets across the US.,"Apps, Artificial Intelligence (AI), Communities, Information Technology, Pet",,"New York, New York, United States, North America",https://shadowapp.com/,,6000000,USD,6000000,Seed,2,"147,412",Founders Fund,1,Founders Fund,
Venture Round - Global Surface Intelligence,https://www.crunchbase.com/funding_round/global-surface-intelligence-ltd-series-unknown--fd6c9f3c,Global Surface Intelligence,https://www.crunchbase.com/organization/global-surface-intelligence-ltd,Venture - Series Unknown,843843,GBP,1120438,2018-06-25,,3120000,GBP,4142673,Yes,Global Surface Intelligence is an Edinburgh-based earth observation and artificial-intelligence-as-a-service provider,"Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Information Technology, Machine Learning, Natural Resources",,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",http://www.surfaceintelligence.com,$1M to $10M,6322597,USD,6322597,,12,"540,229",Par Equity,3,"Par Equity, Scottish Investment Bank, Seraphim Space",2
Angel Round - WorldCom Hengqi,https://www.crunchbase.com/funding_round/platx-angel--38468a20,WorldCom Hengqi,https://www.crunchbase.com/organization/platx,Angel,10000000,CNY,1468062,2018-07-27,Seed,,,,Yes,"WorldCom Hengqi is an operating system & solution provider of intelligent operating systems using AI, big data & cloud technologies.","Artificial Intelligence (AI), Cloud Data Services, Data Integration, Operating Systems",,"Haidian, Beijing, China, Asia",https://www.stonehg.cn/,,300000000,CNY,43383719,Early Stage Venture,6,"540,354",CASVC,1,CASVC,
Seed Round - 365talents,https://www.crunchbase.com/funding_round/365talents-seed--9985847a,365talents,https://www.crunchbase.com/organization/365talents,Seed,2500000,EUR,2946258,2018-05-22,Seed,,,,Yes,365talents provides talent management strategy services.,"Artificial Intelligence (AI), Human Resources, Management Information Systems, SaaS, Skill Assessment, Software",,"Lyon, Rhone-Alpes, France, Europe",http://www.365talents.com,$1M to $10M,14946258,USD,14946258,Early Stage Venture,2,"540,663","Axeleo Capital, Ventech",4,"Alliance Entreprendre, Axeleo Capital, KREAXI, Ventech",2
Seed Round - ImageBiopsy Lab,https://www.crunchbase.com/funding_round/imagebiopsy-lab-seed--70dcf306,ImageBiopsy Lab,https://www.crunchbase.com/organization/imagebiopsy-lab,Seed,1200000,EUR,1358940,2018-11-11,Seed,,,,Yes,"ImageBiopsy Lab is the global leader for image analyses tasks in MSK radiology, orthopaedic surgery and traumatology.","Artificial Intelligence (AI), Health Care, Health Diagnostics, Image Recognition, Machine Learning, Medical, Software",,"Vienna, Wien, Austria, Europe",https://imagebiopsy.com,$1M to $10M,4344340,USD,4344340,Early Stage Venture,4,"541,995",APEX Ventures,2,"APEX Ventures, aws Gründungsfonds",
Series A - Bisheng Zhineng,https://www.crunchbase.com/funding_round/bisheng-zhineng-series-a--e8b09707,Bisheng Zhineng,https://www.crunchbase.com/organization/bisheng-zhineng,Series A,20000000,CNY,3181370,2018-03-30,Early Stage Venture,,,,Yes,Bisheng Zhineng is an online education platform that provides intelligent handwriting recognition technology for educational institutions.,"Artificial Intelligence (AI), Big Data, Information Technology",,"Yuhang, Zhejiang, China, Asia",http://www.abcpen.com,,35000000,CNY,5438551,Early Stage Venture,3,"542,612",,,,
Grant - Apollo Agriculture,https://www.crunchbase.com/funding_round/apollo-agriculture-grant--1d8b21ef,Apollo Agriculture,https://www.crunchbase.com/organization/apollo-agriculture,Grant,1090000,USD,1090000,2018-10-30,,,,,No,"Apollo Agriculture is an agtech company that offers farmers access to agricultural inputs, financing, and advice.","Agriculture, AgTech, Financial Services, Information Services, Machine Learning",,"Nairobi, Nairobi Area, Kenya, Africa",https://apolloagriculture.com,Less than $1M,78611015,USD,78611015,,12,"247,443",Mastercard Foundation Fund for Rural Prosperity,1,Mastercard Foundation Fund for Rural Prosperity,
Series A - HACARUS,https://www.crunchbase.com/funding_round/hacarus-series-a--168cc5bc,HACARUS,https://www.crunchbase.com/organization/hacarus,Series A,270000000,JPY,2374148,2018-10-05,Early Stage Venture,,,,Yes,Hacarus is a provider of AI tools for the medical and industrial fields.,"Artificial Intelligence (AI), Life Science, Machine Learning, Manufacturing, Medical, Software",,"Kyoto, Kyoto, Japan, Asia",https://www.hacarus.com,$1M to $10M,2590800000,JPY,24303126,Early Stage Venture,7,"154,591",Miyako Capital,8,"Capital Medica Ventures, Essential Pharma, Innovation Engine, Kaga Electronics, Media Future, Miyako Capital, Ohara Pharmaceutical, Paltek Corporation",
