Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,CB Rank (Funding Round),Lead Investors,Investor Names,Number of Investors,Number of Partner Investors
Pre Seed Round - Sken.ai,https://www.crunchbase.com/funding_round/sken-ai-pre-seed--ea33b9f8,Sken.ai,https://www.crunchbase.com/organization/sken-ai,Pre-Seed,100000,USD,100000,2020-08-28,Seed,,,,Yes,"Sken.ai, offers a “DevOps first AppSec”.","Cyber Security, Developer Platform, Developer Tools, DevOps, Machine Learning, SaaS",,"Dublin, California, United States, North America",https://www.sken.ai,$1M to $10M,400000,USD,400000,M&A,3,"615,774",Innovating Capital,Innovating Capital,1,1
Pre Seed Round - MED360,https://www.crunchbase.com/funding_round/med360-pre-seed--365fcf8c,MED360,https://www.crunchbase.com/organization/med360,Pre-Seed,60000000,CLP,71276,2020-03-11,Seed,,,,Yes,MED360 is a SaaS platform that optimizes booking management for healthcare,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, SaaS, Software",,"Santiago, Region Metropolitana, Chile, South America",https://www.med360.cl,$1M to $10M,60000000,CLP,71276,Seed,1,"248,550",UDD Ventures,UDD Ventures,1,
Pre Seed Round - Cyble,https://www.crunchbase.com/funding_round/cyble-pre-seed--fd80c4fe,Cyble,https://www.crunchbase.com/organization/cyble,Pre-Seed,70000,USD,70000,2020-02-22,Seed,,,,Yes,"Cyble is a leading AI-powered threat intelligence company offering comprehensive coverage of adversaries, exposure, weaknesses, and targets.","Artificial Intelligence (AI), Cloud Security, Cyber Security, Risk Management, Software",,"Alpharetta, Georgia, United States, North America",https://cyble.com,$50M to $100M,44807000,USD,44807000,Early Stage Venture,11,"591,125",,,,
Seed Round - OurEye.ai,https://www.crunchbase.com/funding_round/oureye-ai-seed--554fa790,OurEye.ai,https://www.crunchbase.com/organization/oureye-ai,Seed,100000,USD,100000,2020-09-18,Seed,,,,Yes,OurEye.ai offers video intelligence solutions for CCTV Intelligence.,"Artificial Intelligence (AI), Machine Learning, Smart Home",,"Bengaluru, Karnataka, India, Asia",https://oureye.ai/,,635000,USD,635000,Seed,3,"190,675",,,,
Equity Crowdfunding - WOOM,https://www.crunchbase.com/funding_round/woom-fertility-equity-crowdfunding--e2045891,WOOM,https://www.crunchbase.com/organization/woom-fertility,Equity Crowdfunding,13706,GBP,17940,2020-08-21,,,,,Yes,WOOM is Data science for Women's and Reproductive Health,"Apps, Artificial Intelligence (AI), Health Care, Lifestyle, mHealth, Wellness",,"Madrid, Madrid, Spain, Europe",https://woomhealth.com,Less than $1M,4400703,USD,4400703,M&A,11,"190,865",,Crowdcube,1,
Pre Seed Round - Simply Speak,https://www.crunchbase.com/funding_round/simply-speak-pre-seed--453e5d55,Simply Speak,https://www.crunchbase.com/organization/simply-speak,Pre-Seed,20000,USD,20000,2020-08-03,Seed,,,,Yes,Simply Speak is a digital health company leveraging Conversational-AI to restore humanity to the practice of medicine.,"Artificial Intelligence (AI), Health Care, Medical",,"New York, New York, United States, North America",https://simplyspeak.com,$1M to $10M,1120000,USD,1120000,Seed,3,"191,223",,ICONYC labs,1,
Pre Seed Round - Logimind,https://www.crunchbase.com/funding_round/logimind-pre-seed--f3a3aa7a,Logimind,https://www.crunchbase.com/organization/logimind,Pre-Seed,500000,BRL,92146,2020-08-16,Seed,,,,Yes,A Logimind é uma startup de automação residencial wireless 5G com inteligência artificial.,"Artificial Intelligence (AI), Hardware, Software",,"Balneário De Camboriú, Santa Catarina, Brazil, South America",http://www.logimind.com.br/,,500000,BRL,92146,Seed,1,"618,671",,,,
Debt Financing - Recruit N Refer Technology Inc.,https://www.crunchbase.com/funding_round/recruit-n-refer-debt-financing--f4c1d6f0,Recruit N Refer Technology Inc.,https://www.crunchbase.com/organization/recruit-n-refer,Debt Financing,10000,USD,10000,2020-04-01,,10000000,USD,10000000,No,Recruit N Refer is a CPA focused talent marketplace that serves the entire spectrum of the CPA journey from student to partnership track.,"Accounting, Artificial Intelligence (AI), Big Data, Marketplace, Recruiting, SaaS",,"Vancouver, British Columbia, Canada, North America",https://inforecruitnrefer.ca/,,935865,USD,935865,Seed,9,"191,511",,,,
Grant - ChoiZY,https://www.crunchbase.com/funding_round/choizy-grant--22ee56a2,ChoiZY,https://www.crunchbase.com/organization/choizy,Grant,50000,USD,50000,2020-05-22,,,,,No,Career Guidance App with Artificial Intelligence,"Artificial Intelligence (AI), EdTech, Education, Machine Learning",,"Kyiv, Kyyiv, Ukraine, Europe",https://www.choizy.org,,150000,USD,150000,Seed,5,"191,641",,,,
Grant - TutorHero,https://www.crunchbase.com/funding_round/tutorhero-grant--9a5b9bc5,TutorHero,https://www.crunchbase.com/organization/tutorhero,Grant,50000,GBP,63732,2020-09-25,,,,,No,TutorHero is a revolutionary machine learning tutoring tool designed to help students catch up on lost learning.,"Artificial Intelligence (AI), Education, Machine Learning, Tutoring",,"London, England, United Kingdom, Europe",http://www.tutorhero.com/,,50000,GBP,63732,,1,"193,037",Innovate UK,Innovate UK,1,
Grant - Infima,https://www.crunchbase.com/funding_round/infima-grant--2129b4b9,Infima,https://www.crunchbase.com/organization/infima,Grant,223820,USD,223820,2020-06-25,,,,,No,Infima is a deep-learning-based mortgage analytics platform for predicting borrower payment behaviors.,"Artificial Intelligence (AI), FinTech, Machine Learning, Predictive Analytics",,"San Mateo, California, United States, North America",https://www.infima.io,$1M to $10M,5223820,USD,5223820,M&A,3,"193,465",National Science Foundation,National Science Foundation,1,
Pre Seed Round - andMe,https://www.crunchbase.com/funding_round/pandme-pre-seed--924dc86b,andMe,https://www.crunchbase.com/organization/pandme,Pre-Seed,120000,USD,120000,2020-11-12,Seed,,,,Yes,andMe is a personal shopping assistant that finds the right products or gifts in seconds with AI and rewards users with Card-linked offers.,"Artificial Intelligence (AI), E-Commerce, Local Shopping, Shopping",,"London, England, United Kingdom, Europe",https://andmeapp.com,,1253454,USD,1253454,Seed,4,"195,015",Techstars,Techstars,1,
Grant - Vendura Wellness,https://www.crunchbase.com/funding_round/vendura-wellness-grant--45191c5c,Vendura Wellness,https://www.crunchbase.com/organization/vendura-wellness,Grant,25000,USD,25000,2020-05-13,,,,,No,Vendura Wellness is an app that uses machine learning and gamification to nudge users to improve their physical and mental health.,"Fitness, Health Care, Machine Learning, Mental Health, Wellness",,"Halifax, Nova Scotia, Canada, North America",http://www.vendurawellness.com/,,525000,USD,525000,Seed,2,"195,138",,"Atlantic Canada Opportunities Agency, Business Development Bank of Canada, Innovacorp, Volta Labs",4,
Pre Seed Round - Verchable,https://www.crunchbase.com/funding_round/verchable-pre-seed--76f331c1,Verchable,https://www.crunchbase.com/organization/verchable,Pre-Seed,80000,GBP,104024,2020-01-20,Seed,,,,Yes,Artificial Intelligence for Contextual Video Understanding,"Artificial Intelligence (AI), Computer Vision, Video",,"London, England, United Kingdom, Europe",https://www.verchable.com/,,309177,USD,309177,Seed,3,"206,162",,Entrepreneur First,1,
Pre Seed Round - Tempore,https://www.crunchbase.com/funding_round/travel-labs-pre-seed--8d77f373,Tempore,https://www.crunchbase.com/organization/travel-labs,Pre-Seed,120000,USD,120000,2020-09-07,Seed,,,,Yes,Business Travel in One Click | Artificially Intelligent Software for the Modern Workplace,"Artificial Intelligence (AI), B2B, Business Travel, Machine Learning, SaaS, Software",,"Minneapolis, Minnesota, United States, North America",https://www.tempore.com,Less than $1M,620000,USD,620000,Seed,2,"207,294",Techstars,Techstars,1,1
Grant - Ligence,https://www.crunchbase.com/funding_round/ligence-grant--f790b8f6,Ligence,https://www.crunchbase.com/organization/ligence,Grant,100000,EUR,117441,2020-10-01,,,,,No,Deep Tech Company developing AI solutions in Healthcare. Main product - CardioEchoAI is a heart ultrasound image analysis tool.,"Analytics, Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software",,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",https://www.ligence.io/,$1M to $10M,3520508,EUR,4022384,,10,"207,789",,,,
Seed Round - Pivigo,https://www.crunchbase.com/funding_round/pivigo-seed--ac1cacb0,Pivigo,https://www.crunchbase.com/organization/pivigo,Seed,144000,GBP,188913,2020-01-23,Seed,,,,Yes,"Data is and will continue to change our lives. It is generated by us, for us and around us.","Artificial Intelligence (AI), Big Data, Data Mining, Information Services, Information Technology, Machine Learning, Professional Services, Software",,"Sheffield, Sheffield, United Kingdom, Europe",http://www.pivigo.com/,$1M to $10M,5086000,GBP,6673386,Seed,7,"236,634",,,,
Pre Seed Round - Rebolet,https://www.crunchbase.com/funding_round/rebolet-pre-seed--7909eb90,Rebolet,https://www.crunchbase.com/organization/rebolet,Pre-Seed,80000,USD,80000,2020-11-01,Seed,,,,Yes,"Rebolet empowers e-commerce shops to streamline returns, enhance recommerce, and reduce carbon emissions with AI and data analytics.","Artificial Intelligence (AI), E-Commerce, E-Commerce Platforms, Logistics, Retail Technology",,"Berlin, Berlin, Germany, Europe",https://www.rebolet.com/,$1M to $10M,602591,USD,602591,Seed,4,"208,363",,Brinc,1,
Pre Seed Round - Cyble,https://www.crunchbase.com/funding_round/cyble-pre-seed--d8b76637,Cyble,https://www.crunchbase.com/organization/cyble,Pre-Seed,50000,USD,50000,2020-10-01,Seed,,,,Yes,"Cyble is a leading AI-powered threat intelligence company offering comprehensive coverage of adversaries, exposure, weaknesses, and targets.","Artificial Intelligence (AI), Cloud Security, Cyber Security, Risk Management, Software",,"Alpharetta, Georgia, United States, North America",https://cyble.com,$50M to $100M,44807000,USD,44807000,Early Stage Venture,11,"208,587",,,,
Seed Round - ChemTech AI,https://www.crunchbase.com/funding_round/chemtec-seed--a67220b7,ChemTech AI,https://www.crunchbase.com/organization/chemtec,Seed,150000,USD,150000,2020-01-23,Seed,,,,Yes,"AI-based software designed to operate food, chemical, cosmetic, and oil & gas production lines. Fully autonomous and highly efficient.","Artificial Intelligence (AI), Industrial Automation, Manufacturing, Software",,"New York, New York, United States, North America",https://www.chmtch.com,,1150000,USD,1150000,Seed,3,"583,522",Momenta,Momenta,1,2
Grant - Docugami,https://www.crunchbase.com/funding_round/docugami-grant--e1787361,Docugami,https://www.crunchbase.com/organization/docugami,Grant,216917,USD,216917,2020-07-06,,,,,No,Docugami is a Seattle-area document engineering startup that transforms how businesses create and manage documents,"Artificial Intelligence (AI), Data Collection and Labeling",,"Kirkland, Washington, United States, North America",http://docugami.com,$1M to $10M,11916917,USD,11916917,Seed,4,"209,010",National Science Foundation,National Science Foundation,1,
Seed Round - SiteSee,https://www.crunchbase.com/funding_round/sitesee-seed--e5d0df58,SiteSee,https://www.crunchbase.com/organization/sitesee,Seed,227700,USD,227700,2020-04-30,Seed,2401014,USD,2401014,Yes,Artificial Intelligence Digital Twin for infrastructure analysis.,"Analytics, Artificial Intelligence (AI), Information Technology, Infrastructure, Machine Learning, SaaS, Telecommunications",,"Brisbane, Queensland, Australia, Oceania",http://www.sitesee.io,Less than $1M,1494874,USD,1494874,Early Stage Venture,5,"209,357",,,,
Pre Seed Round - Percepta,https://www.crunchbase.com/funding_round/percepta-543d-pre-seed--45cfdc53,Percepta,https://www.crunchbase.com/organization/percepta-543d,Pre-Seed,120000,USD,120000,2020-09-08,Seed,,,,Yes,"​Percepta uses proprietary AI technology to analyze existing security camera feeds, and alerts employees of shoplifting incidents.","Artificial Intelligence (AI), Computer Vision, Machine Learning, Retail, Software",,"Philadelphia, Pennsylvania, United States, North America",https://percepta.ai,$1M to $10M,1120000,USD,1120000,,2,"419,688",Techstars,Techstars,1,1
Grant - PolArctic,https://www.crunchbase.com/funding_round/polarctic-grant--3b87685f,PolArctic,https://www.crunchbase.com/organization/polarctic,Grant,224999,USD,224999,2020-01-22,,,,,No,PolArctic is a data science and oceanographic company that specializes in creating custom products for the Arctic.,"Artificial Intelligence (AI), Machine Learning, Small and Medium Businesses, Women's","Women Founded, Women Led","Lorton, Virginia, United States, North America",https://polarcticllc.com,,224999,USD,224999,,1,"210,717",National Science Foundation,National Science Foundation,1,
Seed Round - Hyperthesis,https://www.crunchbase.com/funding_round/hyperthesis-seed--bba173a3,Hyperthesis,https://www.crunchbase.com/organization/hyperthesis,Seed,7500,USD,7500,2020-08-05,Seed,,,,Yes,Hyperthesis is an NSF-sponsored startup that leverages advances in AI and UI to make behavioral science research exponentially faster.,"Artificial Intelligence (AI), Higher Education, Management Consulting, Search Engine",Women Founded,"Los Angeles, California, United States, North America",https://www.hyperthesis.co,Less than $1M,232500,USD,232500,Seed,2,"319,181",,,,
Seed Round - Volopay,https://www.crunchbase.com/funding_round/volopay-seed--671bc3b0,Volopay,https://www.crunchbase.com/organization/volopay,Seed,125000,USD,125000,2020-08-25,Seed,,,,Yes,Volopay simplifies business spending using corporate cards and automated payables.,"Artificial Intelligence (AI), Finance, FinTech, Real Time, Software, Web Development",,"Midview City, Central Region, Singapore, Asia",https://www.volopay.com/,$50M to $100M,31325000,USD,31325000,Early Stage Venture,5,"211,088",Y Combinator,Y Combinator,1,
Pre Seed Round - Kintsugi,https://www.crunchbase.com/funding_round/kintsugi-pre-seed--44fa7fdb,Kintsugi,https://www.crunchbase.com/organization/kintsugi,Pre-Seed,20000,USD,20000,2020-08-31,Seed,,,,Yes,Kintsugi detects signs of clinical depression and anxiety using machine learning and voice biomarkers.,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Machine Learning, Mental Health","Women Founded, Women Led","Berkeley, California, United States, North America",https://kintsugihealth.com,,30875772,USD,30875772,Early Stage Venture,9,"211,248",,Techstars,1,1
"Grant - Vectech, Inc.",https://www.crunchbase.com/funding_round/vectech-grant--fd267e5e,"Vectech, Inc.",https://www.crunchbase.com/organization/vectech,Grant,25000,USD,25000,2020-01-13,,,,,No,Vectech's AI diagnostic entomology system identifies damaging insects that spread disease and cause agricultural or economic loss.,"Artificial Intelligence (AI), Cloud Data Services, Life Science, Robotics",,"Baltimore, Maryland, United States, North America",https://www.vectech.io/,Less than $1M,300781,USD,300781,Seed,5,"413,360",,,,
Grant - Standup,https://www.crunchbase.com/funding_round/standup-grant--3b50f18b,Standup,https://www.crunchbase.com/organization/standup,Grant,50000,USD,50000,2020-03-15,,,,,No,Standup is an AI company that automates revenue opportunities for startups and small businesses.,"Artificial Intelligence (AI), Information Technology",,"Houston, Texas, United States, North America",https://standupai.com/,,4000000,USD,4000000,,4,"211,787",,,,
Grant - digna,https://www.crunchbase.com/funding_round/digna-grant--c17b13d6,digna,https://www.crunchbase.com/organization/digna,Grant,50000,EUR,56095,2020-01-01,,,,,No,Data Observability and Modern Data Quality For Data Platforms,"Artificial Intelligence (AI), Data Management, Database, Enterprise Software, Information Technology, Machine Learning",,"Vienna, Wien, Austria, Europe",https://digna.ai,,220000,EUR,255460,,2,"211,791",austria Wirtschaftsservice (aws),austria Wirtschaftsservice (aws),1,
Non Equity Assistance - RailVision Analytics,https://www.crunchbase.com/funding_round/railvision-analytics-non-equity-assistance--15c6b405,RailVision Analytics,https://www.crunchbase.com/organization/railvision-analytics,Non-equity Assistance,35000,CAD,24538,2020-05-01,,,,,No,RailVision Analytics uses AI in a map-based application to reduce fuel consumption and improve safety in the rail industry.,"Artificial Intelligence (AI), Machine Learning, Railroad, Software, Transportation",,"Montréal, Quebec, Canada, North America",https://www.railvision.ca,$1M to $10M,4532580,USD,4532580,Seed,4,"403,253",Centech,Centech,1,
Pre Seed Round - Leia,https://www.crunchbase.com/funding_round/leia-pre-seed--627d4fd2,Leia,https://www.crunchbase.com/organization/leia,Pre-Seed,25000,USD,25000,2020-03-03,Seed,,,,Yes,Leia Inc. is a leading provider of eyewear-free 3D display hardware and software solutions.,"3D Technology, Artificial Intelligence (AI), Hardware, Mobile Devices, Nanotechnology",,"Menlo Park, California, United States, North America",https://www.leiainc.com,$10M to $50M,325175000,USD,325175000,Seed,9,"212,861",,Sputnik ATX,1,
Grant - Wefarm,https://www.crunchbase.com/funding_round/we-farm-grant--fd954527,Wefarm,https://www.crunchbase.com/organization/we-farm,Grant,95000,GBP,123556,2020-02-17,,,,,No,Wefarm is a farmer-to-farmer digital network that enables users to share information via SMS.,"AgTech, Farming, Internet, Machine Learning, SMS",,"London, England, United Kingdom, Europe",https://wefarm.com,$10M to $50M,32014650,USD,32014650,Early Stage Venture,11,"213,287",Innovate UK,Innovate UK,1,
Pre Seed Round - Granular.ai,https://www.crunchbase.com/funding_round/granular-6747-pre-seed--3d5d008e,Granular.ai,https://www.crunchbase.com/organization/granular-6747,Pre-Seed,120000,USD,120000,2020-11-18,Seed,,,,Yes,Granular.ai is a data analytics company that developed an artificial intelligence platform for satellite imagery.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Software",,"Somerville, Massachusetts, United States, North America",https://granular.ai,Less than $1M,220000,USD,220000,Seed,2,"582,314",Techstars,Techstars,1,1
Grant - Terrabotics,https://www.crunchbase.com/funding_round/terrabotics-grant--23344d96,Terrabotics,https://www.crunchbase.com/organization/terrabotics,Grant,150000,USD,150000,2020-12-07,,,,,No,An Earth Observation & Remote Sensing Data Analytics company for more sustainable production and supply of natural resources.,"Analytics, Artificial Intelligence (AI), Mapping Services, Natural Resources, Oil and Gas, Remote Sensing, Renewable Energy, Software, Sustainability",,"London, England, United Kingdom, Europe",https://www.terrabotics.co.uk/,,1671000,USD,1671000,Seed,7,"331,869",,UK Space Agency,1,
Grant - Well Principled,https://www.crunchbase.com/funding_round/well-principled-grant--e43fda79,Well Principled,https://www.crunchbase.com/organization/well-principled,Grant,50000,USD,50000,2020-10-28,,,,,No,Well Principled is an A.I. Management Consultant that predicts the buying behavior of every customer.,"Marketing Automation, Predictive Analytics, Software, Supply Chain Management",,"St Louis, Missouri, United States, North America",https://wellprincipled.com,$1M to $10M,2600000,USD,2600000,Seed,3,"332,273",Arch Grants,Arch Grants,1,
Seed Round - Soterya,https://www.crunchbase.com/funding_round/soterya-seed--2c948756,Soterya,https://www.crunchbase.com/organization/soterya,Seed,125000,USD,125000,2020-09-08,Seed,10000000,USD,10000000,Yes,AI-Driven Robotic Medical Technologies for sleep health,"Artificial Intelligence (AI), Health Care, Robotics, Software",,"Everett, Massachusetts, United States, North America",https://www.soteryabio.com/,Less than $1M,828000,USD,828000,Seed,3,"334,250",,Epilepsy,1,
Seed Round - MLReef,https://www.crunchbase.com/funding_round/mlreef-seed--932d7fbd,MLReef,https://www.crunchbase.com/organization/mlreef,Seed,50000,EUR,59212,2020-08-15,Seed,,,,Yes,MLReef is a single application for the entire Machine Learning life cycle.,"Artificial Intelligence (AI), IaaS, Information Technology, Internet, Machine Learning, Software",,"Neidling, Niederosterreich, Austria, Europe",https://about.mlreef.com,Less than $1M,370000,EUR,417433,Seed,3,"336,631",tecnet equity,tecnet equity,1,1
Pre Seed Round - CATMOS,https://www.crunchbase.com/funding_round/ujura-company-pre-seed--f4c1a796,CATMOS,https://www.crunchbase.com/organization/ujura-company,Pre-Seed,20000000,KRW,16821,2020-08-24,Seed,1800000000,KRW,1513890,Yes,Catmos is an AI-based health monitoring system that checks the activity of cats.,"Artificial Intelligence (AI), Health Care, Machine Learning, Pet, Software",,"Daegu, Taegu-jikhalsi, South Korea, Asia",https://catmos.pet,Less than $1M,20000000,KRW,16821,Seed,1,"281,020",,,,
Grant - uMore,https://www.crunchbase.com/funding_round/umore-stress-and-mood-tracker-grant--19b3dea8,uMore,https://www.crunchbase.com/organization/umore-stress-and-mood-tracker,Grant,10000,USD,10000,2020-03-25,,2000000,USD,2000000,No,"uMore is an AI-powered mental health tracker that helps users identify patterns, build positive habits, and share progress.","Artificial Intelligence (AI), Health Care, Mental Health, Mobile, Wellness","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","Miami, Florida, United States, North America",https://umore.app/,Less than $1M,630000,USD,630000,Seed,4,"337,956",MIT Enterprise Forum Pan Arab Region,MIT Enterprise Forum Pan Arab Region,1,
Series A - Goparrot,https://www.crunchbase.com/funding_round/goparrot-inc-series-a--95eadf4f,Goparrot,https://www.crunchbase.com/organization/goparrot-inc,Series A,80000,USD,80000,2020-02-01,Early Stage Venture,,,,Yes,GoParrot is a platform that leverages point of sale integrations to provide an end-to-end solution for restaurant operators.,"Artificial Intelligence (AI), Food and Beverage, Information Technology, Software",,"New York, New York, United States, North America",https://www.goparrot.ai,$1M to $10M,180000,USD,180000,M&A,2,"337,998",,Branded Hospitality Ventures,1,
Grant - NeuPeak Robotics,https://www.crunchbase.com/funding_round/neupeak-robotics-grant--81f34766,NeuPeak Robotics,https://www.crunchbase.com/organization/neupeak-robotics,Grant,100000,USD,100000,2020-10-13,,,,,No,NeuPeak Robotics is an AI and robotics company that develops autonomous robots replacing dexterity intensive farm labor.,"AgTech, Artificial Intelligence (AI), Farming, Machine Learning, Robotics",,"Vancouver, British Columbia, Canada, North America",https://www.neupeak.com/,Less than $1M,100000,USD,100000,Seed,5,"338,230",,"Innovate BC, National Research Council of Canada Industrial Research Assistance Program",2,
Seed Round - ReturnLogic,https://www.crunchbase.com/funding_round/returnlogic-seed--cdb6a26a,ReturnLogic,https://www.crunchbase.com/organization/returnlogic,Seed,50000,USD,50000,2020-06-22,Seed,,,,Yes,Intelligent Returns Management Platform for Scaling Ecommerce Brands,"Business Intelligence, E-Commerce, Enterprise Software, Logistics, Predictive Analytics, Retail Technology, SaaS, Supply Chain Management",,"Mechanicsburg, Pennsylvania, United States, North America",http://www.returnlogic.com,$1M to $10M,11589996,USD,11589996,Early Stage Venture,8,"117,901",,Robin Hood Ventures,1,
Pre Seed Round - Elysium,https://www.crunchbase.com/funding_round/ahmed-barkhia-co-pre-seed--34e2c786,Elysium,https://www.crunchbase.com/organization/ahmed-barkhia-co,Pre-Seed,30000,EUR,35232,2020-10-01,Seed,1500000,EUR,1761608,Yes,Providing access to historical patient data,"Analytics, Apps, Artificial Intelligence (AI), Big Data, Health Care, Life Science, Machine Learning, mHealth",,"Rome, Lazio, Italy, Europe",http://elysium.tech,$1M to $10M,95000,EUR,112491,Seed,4,"283,914",,,,
Seed Round - Likely.AI,https://www.crunchbase.com/funding_round/likely-ai-fde2-seed--e1bc4361,Likely.AI,https://www.crunchbase.com/organization/likely-ai-fde2,Seed,215000,USD,215000,2020-01-15,Seed,,,,Yes,Delivering First-To-Know-Intelligence to the entire real estate ecosystem,"Artificial Intelligence (AI), Big Data, Lead Generation, Lending, Machine Learning, Real Estate",,"Austin, Texas, United States, North America",http://likely.ai,$1M to $10M,1155000,USD,1155000,Seed,3,"119,111",Mako Strategies,Mako Strategies,1,
Grant - Pavo & Tusker Innovations,https://www.crunchbase.com/funding_round/pavo-tusker-grant--fa931702,Pavo & Tusker Innovations,https://www.crunchbase.com/organization/pavo-tusker,Grant,100000,USD,100000,2020-05-01,,,,,No,Pavo & Tusker Innovations provides IT consulting and IT services.,"Artificial Intelligence (AI), Computer Vision, Information Technology, Internet",,"Chennai, Tamil Nadu, India, Asia",https://www.pavo-tusker.com,,350000,USD,350000,Seed,4,"119,131",Nvidia Inception,Nvidia Inception,1,
Grant - DRSLINQ,https://www.crunchbase.com/funding_round/drslinq-grant--cb89f19e,DRSLINQ,https://www.crunchbase.com/organization/drslinq,Grant,100000,USD,100000,2020-06-18,,,,,No,DRSLINQ is developing a mobile EKG device platform to appropriately triage chest pain patients to the ER.,"B2B, Information Technology, Machine Learning",,"Newtown, Pennsylvania, United States, North America",http://www.drslinq.com/,,100000,USD,100000,Seed,2,"119,451",Ben Franklin Technology Partners of Southeastern Pennsylvania,Ben Franklin Technology Partners of Southeastern Pennsylvania,1,
Seed Round - MLReef,https://www.crunchbase.com/funding_round/mlreef-seed--f97d2491,MLReef,https://www.crunchbase.com/organization/mlreef,Seed,165000,EUR,185113,2020-01-01,Seed,,,,Yes,MLReef is a single application for the entire Machine Learning life cycle.,"Artificial Intelligence (AI), IaaS, Information Technology, Internet, Machine Learning, Software",,"Neidling, Niederosterreich, Austria, Europe",https://about.mlreef.com,Less than $1M,370000,EUR,417433,Seed,3,"610,893",,,,
Pre Seed Round - Zantrik,https://www.crunchbase.com/funding_round/zantrik-limited-pre-seed--6f9692b6,Zantrik,https://www.crunchbase.com/organization/zantrik-limited,Pre-Seed,10000000,BDT,117955,2020-01-03,Seed,,,,Yes,Automotive maintenance platform,"Artificial Intelligence (AI), Automotive",,"Dhaka, Dhaka, Bangladesh, Asia",https://www.zantrik.com,,337955,USD,337955,Seed,4,"285,041",Bangladesh Angels,Bangladesh Angels,1,
Seed Round - Trabble,https://www.crunchbase.com/funding_round/trabble-seed--621c2e08,Trabble,https://www.crunchbase.com/organization/trabble,Seed,100000,USD,100000,2020-08-17,Seed,3000000,USD,3000000,Yes,Trabble's Guest Engagement SaaS platform empowers Travel & Hospitality businesses in adapting to the return of post-covid tourism.,"Artificial Intelligence (AI), B2B, Hospitality, Information Technology, Machine Learning, SaaS, Software, Tourism, Travel",,"Singapore, Central Region, Singapore, Asia",https://www.trabble.co,Less than $1M,400000,USD,400000,Seed,3,"120,288",,"Techstars, Techstars Korea Accelerator",2,
Seed Round - DarkHorse,https://www.crunchbase.com/funding_round/darkhorse-05c3-seed--5af26dba,DarkHorse,https://www.crunchbase.com/organization/darkhorse-05c3,Seed,100000,USD,100000,2020-03-01,Seed,,,,Yes,"The world's first scalable youth sports community – leveraging cutting-edge tech & analytics for holistic, player-performance analysis.","Analytics, Big Data, Computer Vision, Hardware, Machine Learning, SaaS, Software, Sports",,"Palo Alto, California, United States, North America",https://www.thedarkhorse.ai ,Less than $1M,1290000,USD,1290000,Seed,6,"612,088",,,,
Seed Round - Procheck,https://www.crunchbase.com/funding_round/procheck-seed--a0005b58,Procheck,https://www.crunchbase.com/organization/procheck,Seed,210000,USD,210000,2020-02-28,Seed,,,,Yes,"Procheck leverages IoT and AI to enable manufacturers to boost output, minimize environmental impact and streamline their operations","Artificial Intelligence (AI), Information Technology, Internet of Things, Service Industry",,"Karachi, Sindh, Pakistan, Asia",https://www.procheck.pk/,,460000,USD,460000,Seed,2,"120,899",,Sarmayacar,1,
Seed Round - Blue Lion Labs,https://www.crunchbase.com/funding_round/blue-lion-labs-ltd-seed--b0d1e95b,Blue Lion Labs,https://www.crunchbase.com/organization/blue-lion-labs-ltd,Seed,40000,USD,40000,2020-01-09,Seed,,,,Yes,Blue Lion Labs is made up of a dedicated team of experienced experts in Artificial Intelligence and Water Quality.,"Artificial Intelligence (AI), Quality Assurance, Water Purification",,"Waterloo, Ontario, Canada, North America",https://www.bluelionlabs.com/,Less than $1M,365000,USD,365000,,5,"179,426",Accelerator Centre,"Accelerator Centre, Next AI, NEXT Canada",3,
Grant - WSK Medical,https://www.crunchbase.com/funding_round/wsk-medical-grant--c045bd9a,WSK Medical,https://www.crunchbase.com/organization/wsk-medical,Grant,100000,EUR,121098,2020-12-07,,,,,No,First AI solution on the market for real-time detection and classification of throat cancer.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Medical Device, Software",,"Amsterdam, Noord-Holland, The Netherlands, Europe",http://www.wskmedical.org,$1M to $10M,3001500,EUR,3353658,Seed,15,"475,029",,,,
