Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - UTU Technologies,https://www.crunchbase.com/funding_round/utu-technologies-seed--a49a5cc4,UTU Technologies,https://www.crunchbase.com/organization/utu-technologies,Seed,460000,USD,460000,2020-08-08,Seed,,,,Yes,UTU Technologies develops a decentralized trust infrastructure in Web3 and DeFi.,"Artificial Intelligence (AI), Blockchain, Information Technology, Reputation, Software, Web3",,"Nairobi, Nairobi Area, Kenya, Africa",https://utu.io/,$1M to $10M,1495000,USD,1495000,Seed,8,,"Artesian VC, Rus Newton",2,,"6,175"
Seed Round - LIberaTrade,https://www.crunchbase.com/funding_round/liberatrade-seed--5c3e927b,LIberaTrade,https://www.crunchbase.com/organization/liberatrade,Seed,400000,USD,400000,2020-11-01,Seed,3500000,USD,3500000,Yes,SupplyChain AI for Emerging Markets,"Artificial Intelligence (AI), Supply Chain Management",,"Hong Kong, Hong Kong Island, Hong Kong, Asia",http://www.liberatrade,,500000,USD,500000,Seed,2,"Artesian VC, Innovative Digital Investors","Artesian VC, Brinc, Gabriel Fong, Innovative Digital Investors, Jack Gillett, Wolfgang Lehmacher",6,1,"24,806"
Seed Round - VideoVerse,https://www.crunchbase.com/funding_round/videoverse-seed--60e03361,VideoVerse,https://www.crunchbase.com/organization/videoverse,Seed,1000000,USD,1000000,2020-05-26,Seed,,,,Yes,Revolutionising video content creation & distribution through AI,"Artificial Intelligence (AI), Generative AI, Media and Entertainment, Sports, Video, Video Editing",,"Los Angeles, California, United States, North America",https://vverse.ai/,$50M to $100M,60100000,USD,60100000,Private Equity,11,SOSV,"9Unicorns Accelerator Fund, Chinaccelerator, Inflection Point Ventures, SOSV",4,3,"26,507"
Seed Round - Buildpan,https://www.crunchbase.com/funding_round/buildpan-cloud-seed--4233f857,Buildpan,https://www.crunchbase.com/organization/buildpan-cloud,Seed,500000,USD,500000,2020-09-04,Seed,4500000,USD,4500000,Yes,Buildpan is a developer of an automation testing platform used to test and develop applications.,"Apps, Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software",,"Indore, Madhya Pradesh, India, Asia",https://www.buildpan.com,,500000,USD,500000,,4,SOSV,"9Point8 Capital, SOSV, Swastik Bihani",3,1,"38,646"
Seed Round - Edge Video,https://www.crunchbase.com/funding_round/edge-video-seed--bfdeb54f,Edge Video,https://www.crunchbase.com/organization/edge-video,Seed,1000000,USD,1000000,2020-01-05,Seed,,,,Yes,"Edge Video is a video player with a decentralized CDN, facial recognition, and Watch2Earn functionality.","Artificial Intelligence (AI), Mobile Apps, Video Streaming",,"The Hague, Zuid-Holland, The Netherlands, Europe",http://edgevideo.com,$1M to $10M,1000000,USD,1000000,,2,,JellyC,1,,"40,334"
Pre Seed Round - Arlula,https://www.crunchbase.com/funding_round/arlula-pre-seed--ee27252b,Arlula,https://www.crunchbase.com/organization/arlula,Pre-Seed,585000,AUD,430511,2020-11-30,Seed,,,,Yes,Arlula reduces the time it takes to access critical satellite imagery from weeks to minutes.,"Artificial Intelligence (AI), Data Management, Information Technology, Machine Learning, Software",,"Sydney, New South Wales, Australia, Oceania",https://arlula.com/,$1M to $10M,3535000,AUD,2329120,Seed,2,,"Black Nova Group, Possible Ventures, Startmate",3,,"42,159"
Seed Round - Aveni,https://www.crunchbase.com/funding_round/aveni-seed--692b8a05,Aveni,https://www.crunchbase.com/organization/aveni,Seed,520000,GBP,653861,2020-06-03,Seed,,,,Yes,Aveni is a driving automation and insight direct from the voice across regulated industries.,"Artificial Intelligence (AI), Call Center, Financial Services, Information Technology, Machine Learning, Natural Language Processing, Software, Speech Recognition",,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",https://aveni.ai/,,15495000,GBP,19845474,Early Stage Venture,5,TRICAPITAL,"Harper Macleod, Old College Capital, Scottish Investment Bank, TRICAPITAL, Wallace Equity",5,2,"45,162"
Seed Round - GENXT,https://www.crunchbase.com/funding_round/genxt-seed--8e5b4212,GENXT,https://www.crunchbase.com/organization/genxt,Seed,301000,USD,301000,2020-10-01,Seed,,,,Yes,"GENXT.AI develops B2B solutions that streamline enterprise AI adoption, eliminating the risks of private data and ML model disclosure.","Artificial Intelligence (AI), Data Integration, Enterprise Software, Information Technology, PaaS, Privacy, Security",,"Hinxton, Cambridgeshire, United Kingdom, Europe",https://genxt.ai,,1306600,USD,1306600,Seed,5,,Bert Mouler,1,,"51,659"
Pre Seed Round - Bountiful,https://www.crunchbase.com/funding_round/bountiful-e579-pre-seed--d4d22cfe,Bountiful,https://www.crunchbase.com/organization/bountiful-e579,Pre-Seed,300000,GBP,408861,2020-12-30,Seed,2500000,USD,2500000,Yes,"B2B, B2B2C, SaaS","Artificial Intelligence (AI), Catering, Food and Beverage, Food Delivery, Restaurants, SaaS",,"London, England, United Kingdom, Europe",http://www.bountiful.land,,300000,GBP,408861,Seed,1,Stuart McCamley,"Louis Raine, Stuart McCamley",2,,"52,383"
Seed Round - Aquila Systems,https://www.crunchbase.com/funding_round/aquila-systems-seed--092157f8,Aquila Systems,https://www.crunchbase.com/organization/aquila-systems,Seed,30000000,JPY,288921,2020-12-03,Seed,,,,Yes,An AI-based schedule optimization solution for hospital operating rooms,"Analytics, Artificial Intelligence (AI), Consulting",,"Shibuya, Kanagawa, Japan, Asia",https://aquila.company/en/,,30000000,JPY,288921,Seed,1,Shizen Capital,Shizen Capital,1,,"51,923"
Angel Round - Airy,https://www.crunchbase.com/funding_round/airy-angel--3dc9b59e,Airy,https://www.crunchbase.com/organization/airy,Angel,960000,USD,960000,2020-02-27,Seed,,,,Yes,Airy is a data streaming platform that offers data for ML and AI applications.,"Artificial Intelligence (AI), Cloud Data Services, Data Integration, Data Management, Intelligent Systems, Machine Learning, Natural Language Processing, Open Source, Software, Unified Communications",,"San Francisco, California, United States, North America",https://airy.co,$1M to $10M,7860000,USD,7860000,Seed,3,,"Emanuel Stehle, Steffen Hoellinger",2,,"54,894"
Corporate Round - Percepta,https://www.crunchbase.com/funding_round/percepta-543d-corporate-round--8fb5b262,Percepta,https://www.crunchbase.com/organization/percepta-543d,Corporate Round,1000000,USD,1000000,2020-09-21,,,,,Yes,"​Percepta uses proprietary AI technology to analyze existing security camera feeds, and alerts employees of shoplifting incidents.","Artificial Intelligence (AI), Computer Vision, Machine Learning, Retail, Software",,"Philadelphia, Pennsylvania, United States, North America",https://percepta.ai,$1M to $10M,1120000,USD,1120000,,2,ADT,ADT,1,1,"59,696"
Pre Seed Round - Infinite-Compute.com,https://www.crunchbase.com/funding_round/infinite-compute-com-pre-seed--a784f306,Infinite-Compute.com,https://www.crunchbase.com/organization/infinite-compute-com,Pre-Seed,300000,USD,300000,2020-02-21,Seed,900000,USD,900000,Yes,Infinite-Compute provides commitment-free access to proven AI apps & dev tools with a pay-as-you-go market network in the cloud.,"3D Technology, Artificial Intelligence (AI), Generative AI, Software",,"Cheyenne, Wyoming, United States, North America",https://infinite-compute.com/,,600000,USD,600000,Seed,2,"Austin Impact Capital, Undisclosed Individual investors","Austin Impact Capital, Undisclosed Individual investors",2,,"60,232"
Pre Seed Round - Hubert,https://www.crunchbase.com/funding_round/hubert-ai-pre-seed--e810ca42,Hubert,https://www.crunchbase.com/organization/hubert-ai,Pre-Seed,300000,USD,300000,2020-03-02,Seed,,,,Yes,Automatically screen candidates using structured AI-interviews.,"Artificial Intelligence (AI), Human Resources, SaaS",,"Stockholm, Stockholms Lan, Sweden, Europe",https://hubert.ai/,$1M to $10M,2400000,USD,2400000,Seed,2,,AG28 Ventures,1,,"60,648"
Seed Round - Extend AI,https://www.crunchbase.com/funding_round/extend-ai-seed--036ca609,Extend AI,https://www.crunchbase.com/organization/extend-ai,Seed,1100000,CAD,765617,2020-03-20,Seed,,,,Yes,Extend AI is a spacetime AI platform.,"Artificial Intelligence (AI), Software",,"Quebec, Quebec, Canada, North America",https://extend.ai,$1M to $10M,4200000,CAD,3068953,Seed,3,,AQC Capital,1,,"61,543"
Seed Round - Theseus AI,https://www.crunchbase.com/funding_round/theseus-ai-seed--125f640b,Theseus AI,https://www.crunchbase.com/organization/theseus-ai,Seed,850000,USD,850000,2020-10-01,Seed,,,,Yes,Theseus AI builds intelligence to improve health outcomes.,"Artificial Intelligence (AI), Health Care, Hospital",,"Santa Monica, California, United States, North America",http://theseusai.com,,850000,USD,850000,Seed,1,,"Surface Ventures, Zero Prime Ventures",2,,"62,037"
Pre Seed Round - boh.ai,https://www.crunchbase.com/funding_round/boh-ai-pre-seed--df3a0103,boh.ai,https://www.crunchbase.com/organization/boh-ai,Pre-Seed,325000,USD,325000,2020-10-01,Seed,,,,Yes,Intuitive AI-based platform for automating kitchen compliance and back-of-house operations,"Artificial Intelligence (AI), Hospitality, Information Technology, Internet, Restaurants, SaaS, Software",,"Berkeley, California, United States, North America",https://www.boh.ai,Less than $1M,325000,USD,325000,Seed,1,,TBD Angels,1,,"63,215"
Grant - Soos Technology,https://www.crunchbase.com/funding_round/nr-soos-technology-grant--b066a05f,Soos Technology,https://www.crunchbase.com/organization/nr-soos-technology,Grant,1000000,USD,1000000,2020-11-24,,,,,No,Soos develops an incubation system that affects the sex development process and turns genetic males into functional female chicks.,"AgTech, Artificial Intelligence (AI), Biotechnology, Machine Learning",,"Kidron, HaMerkaz, Israel, Asia",http://www.soos.org.il,$1M to $10M,9300000,USD,9300000,Early Stage Venture,3,Grow-NY,Grow-NY,1,1,"63,726"
