Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Hoopr,https://www.crunchbase.com/funding_round/hoopr-e150-seed--388860c7,Hoopr,https://www.crunchbase.com/organization/hoopr-e150,Seed,1500000,USD,1500000,2021-12-14,Seed,,,,Yes,"Hoopr is an AI-powered music generator for video creators and businesses to license royalty-free music for ads, videos, and films.","Artificial Intelligence (AI), Music, Video, Video Editing",,"Mumbai, Maharashtra, India, Asia",https://hoopr.ai/,$1M to $10M,1500000,USD,1500000,Seed,1,"9Unicorns Accelerator Fund, Venture Catalysts","91 Ventures, 9Unicorns Accelerator Fund, Anshoo Sharma, Anuraag Srivastava, Ashneer seth Grover, Dholakia Ventures, Giri Malpani, Inflection Point Ventures, Pradyumna Agrawal, Sahil Barua, Venture Catalysts",11,,"7,489"
Seed Round - ApertureData,https://www.crunchbase.com/funding_round/aperturedata-seed--afc57503,ApertureData,https://www.crunchbase.com/organization/aperturedata,Seed,3000000,USD,3000000,2021-08-10,Seed,,,,Yes,ApertureData manages images and videos with a database purpose-built for data science and machine learning.,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Machine Learning, Software","Women Founded, Women Led","Los Gatos, California, United States, North America",https://aperturedata.io,$1M to $10M,3225000,USD,3225000,,3,Root Ventures,"2048 Ventures, Alumni Ventures, Andrew Schulert, Ashwin Kolhe, Bala Meduri, Borja Burgos, Graph Ventures, Heidi Hysell, Hustle Fund, Jui Deshpande, MAGIC Fund, Minda Brusse, Palvi Mehta, Rahul Thathoo, Rohini Pandhi, Root Ventures, Tom Preston-Werner, Vivek T., Work-Bench",19,,"7,816"
Seed Round - UptimeAI,https://www.crunchbase.com/funding_round/uptimeai-seed--c97f6eeb,UptimeAI,https://www.crunchbase.com/organization/uptimeai,Seed,1500000,USD,1500000,2021-02-16,Seed,,,,Yes,UptimeAI specializes in AI-based predictive maintenance software for heavy industries.,"Artificial Intelligence (AI), Machine Learning, Software",,"San Francisco, California, United States, North America",https://www.uptimeai.com,$1M to $10M,19006791,USD,19006791,Early Stage Venture,5,YourNest Venture Capital,YourNest Venture Capital,1,1,"8,733"
Pre Seed Round - Biodock,https://www.crunchbase.com/funding_round/biodock-pre-seed--33ee0ac0,Biodock,https://www.crunchbase.com/organization/biodock,Pre-Seed,2100000,USD,2100000,2021-03-22,Seed,,,,Yes,Biodock offers a cloud AI platform that extracts answers from image data.,"Analytics, Artificial Intelligence (AI), Machine Learning",,"Austin, Texas, United States, North America",https://www.biodock.ai,$1M to $10M,4200000,USD,4200000,Seed,2,Andreessen Horowitz,"Andreessen Horowitz, John Curtius, Soma Capital, TQ Ventures, Y Combinator, Zach Weinberg",6,,"11,109"
Seed Round - Remi AI,https://www.crunchbase.com/funding_round/remi-5bc2-seed--2e8357d5,Remi AI,https://www.crunchbase.com/organization/remi-5bc2,Seed,1440000,AUD,1070784,2021-11-02,Seed,,,,Yes,"At Remi, we believe in intelligent automation of the world's supply chains.","Artificial Intelligence (AI), B2B, Consulting, Machine Learning, SaaS, Supply Chain Management",,"Sydney, New South Wales, Australia, Oceania",https://remi.ai,Less than $1M,1440000,AUD,1070784,Seed,2,Artesian VC,"Artesian VC, Clearsign Capital, Frazis Capital Partners, InterValley Ventures Pty Ltd, Superseed Ventures, Sydney Angels",6,1,"14,495"
Series A - CoCoPIE,https://www.crunchbase.com/funding_round/cocopie-series-a--b623372b,CoCoPIE,https://www.crunchbase.com/organization/cocopie,Series A,1100000,USD,1100000,2021-08-24,Early Stage Venture,,,,Yes,CoCoPIE is a startup developing a platform to optimize AI models for edge devices.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software",,"Irvine, California, United States, North America",https://www.cocopie.ai/,$1M to $10M,3154700,USD,3154700,Early Stage Venture,4,,"Chuxin Capital, Sequoia Capital China",2,,"17,489"
Series A - AIForceTech,https://www.crunchbase.com/funding_round/aiforcetech-series-a--ac40ec43,AIForceTech,https://www.crunchbase.com/organization/aiforcetech,Series A,1600000,USD,1600000,2021-06-22,Early Stage Venture,,,,Yes,AIForceTech integrates artificial intelligence and technology and manufactures unmanned agricultural machinery.,"Artificial Intelligence (AI), Machine Learning, Machinery Manufacturing, Manufacturing",,"Haidian, Beijing, China, Asia",http://www.aiforcetech.com,,16600000,USD,16600000,Early Stage Venture,3,Xiangfeng Capital,"Chinese Academy Of Sciences, Delian Capital, Hubei Provincial High Technology Industry Investment, Innoangel Fund, Jilin Zhongke Bio-Engineering, Qianhai Fubang, Vertex Ventures China, Xiangfeng Capital, ZGC Group",9,1,"23,667"
Pre Seed Round - Akiba Digital,https://www.crunchbase.com/funding_round/akiba-digital-pre-seed--863d3697,Akiba Digital,https://www.crunchbase.com/organization/akiba-digital,Pre-Seed,1100000,USD,1100000,2021-07-19,Seed,,,,Yes,"Data, Technology, Financial Intelligence Solutions. Unlocking financial opportunities for consumers and businesses using alternative data.","Analytics, Cloud Data Services, Credit Bureau, Data Integration, Lending, Micro Lending, Predictive Analytics, Retail Technology, Small and Medium Businesses",,"Johannesburg, NA - South Africa, South Africa, Africa",https://www.akibadigital.com/,$1M to $10M,1317468,USD,1317468,Seed,5,"EXPERT DOJO, Oui Capital","Alumni Ventures, BaseCamp Ventures, EXPERT DOJO, Flori Ventures, Future Africa, Hustle Fund, LoftyInc Capital, Oui Capital, Soma Capital",9,,"24,415"
Seed Round - Revery AI,https://www.crunchbase.com/funding_round/revery-ai-seed--121d2418,Revery AI,https://www.crunchbase.com/organization/revery-ai,Seed,1225000,USD,1225000,2021-09-21,Seed,,,,Yes,Revery AI develops a virtual dressing room for fashion retailers.,"Artificial Intelligence (AI), E-Commerce, Fashion, Generative AI, Machine Learning, Retail Technology",,"Emeryville, California, United States, North America",https://revery.ai,,1225000,USD,1225000,Seed,2,,"Alexey Alexanov, CABRA VC, TSVC, Y Combinator",4,2,"26,200"
Pre Seed Round - NeuroX1,https://www.crunchbase.com/funding_round/neurox1-pre-seed--2730676d,NeuroX1,https://www.crunchbase.com/organization/neurox1,Pre-Seed,1250000,USD,1250000,2021-12-30,Seed,,,,Yes,Computational drug discovery leveraging generative AI to create therapeutics for neurodegenerative disorders.,"Artificial Intelligence (AI), Biopharma, Biotechnology, Generative AI, Life Science, Machine Learning, Neuroscience",LGBTQ+ Founded,"Austin, Texas, United States, North America",https://www.neurox1.com,$1M to $10M,1970000,USD,1970000,Seed,3,Trousdale Ventures,"Capital Factory, Trousdale Ventures, Vibe Capital",3,,"25,815"
Seed Round - Boneprox,https://www.crunchbase.com/funding_round/boneprox-seed--9cb93dba,Boneprox,https://www.crunchbase.com/organization/boneprox,Seed,11000000,SEK,1302312,2021-03-17,Seed,,,,Yes,Leading the Future of Digital Dentistry with Scandinavian Quality & Advanced Dental Imaging Solutions,"Artificial Intelligence (AI), Dental, Health Care, Machine Learning, Medical Device, SaaS",,"Göteborg, Vastra Gotaland, Sweden, Europe",https://www.boneprox.com/,Less than $1M,3696758,USD,3696758,Seed,4,,BioGaia,1,,"27,223"
Seed Round - Xailient,https://www.crunchbase.com/funding_round/xailient-seed--16a6c6e7,Xailient,https://www.crunchbase.com/organization/xailient,Seed,2920000,AUD,2189226,2021-06-30,Seed,,,,Yes,Xailient improves the profits of computer vision innovators.,"Artificial Intelligence (AI), Computer Vision, Information Technology",,"Dover, Delaware, United States, North America",https://www.xailient.com/,$1M to $10M,4690000,AUD,3391546,Seed,4,,"Antler, Eleanor Venture, Flying Fox Ventures",3,,"26,030"
Seed Round - Channel AI,https://www.crunchbase.com/funding_round/channel-ai-seed--3ec53e2f,Channel AI,https://www.crunchbase.com/organization/channel-ai,Seed,2000000,USD,2000000,2021-01-01,Seed,,,,Yes,Building the truly open AI messaging platform,"Artificial Intelligence (AI), Messaging, Social Network",,"Palo Alto, California, United States, North America",https://channelai.io,,22000000,USD,22000000,Early Stage Venture,2,,"Rainfall Ventures, Slow Ventures",2,,"28,898"
Seed Round - Coram AI,https://www.crunchbase.com/funding_round/coram-ai-seed--51a0817e,Coram AI,https://www.crunchbase.com/organization/coram-ai,Seed,1000000,USD,1000000,2021-11-01,Seed,,,,Yes,Coram AI creates video intelligence systems for businesses.,"Artificial Intelligence (AI), Computer Vision, Intelligent Systems, Security, Software",,"Sunnyvale, California, United States, North America",https://www.coram.ai,$1M to $10M,16500000,USD,16500000,Seed,2,,K5 Global,1,,"28,854"
Seed Round - SearchSmartly,https://www.crunchbase.com/funding_round/searchsmartly-seed--a5b93069,SearchSmartly,https://www.crunchbase.com/organization/searchsmartly,Seed,1250000,GBP,1740557,2021-06-21,Seed,,,,Yes,"Property Search, AI, Real Estate, Mobile App","Artificial Intelligence (AI), B2B, B2C, Real Estate",,"London, England, United Kingdom, Europe",https://www.searchsmartly.co,$10M to $50M,1250000,GBP,1740557,Seed,2,,"Antony Senny, Cur8 Capital, Founders Factory, James Hind, Matt Cooper",5,1,"32,130"
Seed Round - Maria Saúde,https://www.crunchbase.com/funding_round/maria-saúde-seed--93a51678,Maria Saúde,https://www.crunchbase.com/organization/maria-saúde,Seed,15000000,BRL,2811569,2021-09-24,Seed,,,,Yes,"SaaS, Mobile App, Digital Health, AI, Virtual Consultations, Personalized Care, Health Records, Nutrition, Preventive Healthcare.","Artificial Intelligence (AI), Generative AI, Health Care, Information Technology, Machine Learning, SaaS, Telehealth",,"Belo Horizonte, Minas Gerais, Brazil, South America",https://mariasaude.com,,15000000,BRL,2811569,Seed,1,Mater Dei,Mater Dei,1,,"32,363"
Series A - Turing Sense,https://www.crunchbase.com/funding_round/turing-0e89-series-a--36c82aa7,Turing Sense,https://www.crunchbase.com/organization/turing-0e89,Series A,10000000,CNY,1530690,2021-01-01,Early Stage Venture,,,,Yes,Turing is an AI+ luxury product identification and trading platform under Turing Deep Vision.,"Artificial Intelligence (AI), Machine Learning, Trading Platform",,,https://www.turingsenseai.com,,10000000,CNY,1530690,Early Stage Venture,2,,AlphaX Partners,1,,"32,594"
Seed Round - Deep Vision,https://www.crunchbase.com/funding_round/deep-vision-d439-seed--19c27ca7,Deep Vision,https://www.crunchbase.com/organization/deep-vision-d439,Seed,10000000,CNY,1556372,2021-05-18,Seed,,,,Yes,Deep Vision is a supplier of high-precision intelligent visual inspection solutions in the industrial field.,"3D Technology, Artificial Intelligence (AI), Machinery Manufacturing",,"Haidian, Beijing, China, Asia",http://www.deepvision-tech.com/,,160000000,CNY,24701338,Early Stage Venture,3,ZGC Group,ZGC Group,1,,"34,046"
Seed Round - Zilia,https://www.crunchbase.com/funding_round/zilia-seed--24515dbf,Zilia,https://www.crunchbase.com/organization/zilia,Seed,4000000,CAD,3198030,2021-08-11,Seed,,,,Yes,"Zilia is a medical device company that prevents, diagnose, and treats various ocular, neurological, and systemic conditions.","Artificial Intelligence (AI), Health Diagnostics, Medical Device",,"Quebec, Quebec, Canada, North America",https://ziliahealth.com,$1M to $10M,4000000,CAD,3198030,Seed,3,Anges Quebec,"Anges Quebec, Campus des Technologies de la Santé/CTS Healthcare, Government Of Quebec, Investissement Quebec",4,1,"35,105"
Seed Round - Metrobi,https://www.crunchbase.com/funding_round/metrobi-seed--ea2bd801,Metrobi,https://www.crunchbase.com/organization/metrobi,Seed,2599600,USD,2599600,2021-07-26,Seed,,,,Yes,"Metrobi aims to support local food and beverage makers with logistics, financial, and marketing tools and help them expand their businesses.","Artificial Intelligence (AI), Courier Service, Delivery, Delivery Service, Fleet Management, Food Delivery, Last Mile Transportation, Machine Learning, SaaS, Same Day Delivery",,"Boston, Massachusetts, United States, North America",https://metrobi.com,$1M to $10M,3367600,USD,3367600,Seed,4,"212, Techstars","212, Castor Ventures, LaunchPad Venture, TBD Angels, Techstars, Walnut Venture Associates",6,,"36,461"
Seed Round - SourseAI,https://www.crunchbase.com/funding_round/sourse-ai-seed--37584d2a,SourseAI,https://www.crunchbase.com/organization/sourse-ai,Seed,1500000,AUD,1122504,2021-07-07,Seed,,,,Yes,"SourseAI is a forecasting, prediction and scenario planning platform built specifically for key industries.","Artificial Intelligence (AI), Machine Learning, SaaS, Software",,"Sydney, New South Wales, Australia, Oceania",https://sourse.co,$1M to $10M,4500000,AUD,3091869,Early Stage Venture,2,"Aligned Equity, Southern Cross Austereo","Aligned Equity, Southern Cross Austereo",2,,"36,456"
Seed Round - AirSeed Technologies,https://www.crunchbase.com/funding_round/airseed-technologies-seed--e6310007,AirSeed Technologies,https://www.crunchbase.com/organization/airseed-technologies,Seed,2100000,AUD,1586487,2021-06-22,Seed,6000000,AUD,4532821,Yes,"AirSeed Technologies is an environmental technology company. Combining drones, artificial intelligence, and patentable biotechnology.","AgTech, Artificial Intelligence (AI), Drone Management, Drones, Machine Learning, Service Industry",,"Sydney, New South Wales, Australia, Oceania",https://airseedtech.com,,5846195,USD,5846195,Seed,4,TWIYO Capital,TWIYO Capital,1,,"38,063"
Seed Round - Presagen,https://www.crunchbase.com/funding_round/presagen-seed--310baf81,Presagen,https://www.crunchbase.com/organization/presagen,Seed,2240000,USD,2240000,2021-08-01,Seed,22000000,USD,22000000,Yes,"Presagen is The Social Network for Healthcare, connecting clinics, patients and medical data from around the world through AI.","Artificial Intelligence (AI), Big Data, Health Care, Information Technology, Machine Learning, Medical","Women Founded, Women Led","San Francisco, California, United States, North America",https://www.presagen.com/,$1M to $10M,6478272,USD,6478272,Seed,3,"Jungle Capital, SHIFT Invest","Jungle Capital, Morgan Stanley, SHIFT Invest",3,,"39,989"
Seed Round - BRICKBRO,https://www.crunchbase.com/funding_round/brickbro-seed--436abe92,BRICKBRO,https://www.crunchbase.com/organization/brickbro,Seed,1000000,EUR,1190140,2021-03-16,Seed,,,,Yes,"Brickbro is a P2P marketplace matching anyone looking to buy, sell and rent commercial properties.","Artificial Intelligence (AI), Commercial, Commercial Real Estate, Internet, Marketplace, Real Estate, Rental Property, Retail, Smart Cities, Social Impact",,"Barcelona, Catalonia, Spain, Europe",https://www.brickbro.com/,$1M to $10M,6694582,USD,6694582,Early Stage Venture,7,Telegraph Hill Capital,"Akio Tanaka, Andreas Mihalovits, Arcanys Ventures, Guillem Serra, Plug and Play, Telegraph Hill Capital",6,,"39,355"
Pre Seed Round - Symbiose Technologies,https://www.crunchbase.com/funding_round/symbiose-technologies-pre-seed--9efb5b0c,Symbiose Technologies,https://www.crunchbase.com/organization/symbiose-technologies,Pre-Seed,2000000,USD,2000000,2021-11-01,Seed,,,,Yes,AI-Powered Communications,Artificial Intelligence (AI),,"Miami, Florida, United States, North America",https://www.symbioseinc.com/,,2000000,USD,2000000,Seed,1,,"AAF Management Ltd., Edward Lando, Great Oaks Venture Capital, Slow Ventures, South Park Commons",5,,"39,602"
Pre Seed Round - Castor,https://www.crunchbase.com/funding_round/castor-ea88-pre-seed--a7a7f601,Castor,https://www.crunchbase.com/organization/castor-ea88,Pre-Seed,2000000,USD,2000000,2021-11-30,Seed,,,,Yes,"Castor is a collaborative, automated data discovery tool.","Artificial Intelligence (AI), SaaS, Software",,"Paris, Ile-de-France, France, Europe",https://www.castordoc.com/,,25500000,USD,25500000,Early Stage Venture,3,,"Eduardo Ronzano, Edward Lando, Pareto Holdings",3,,"40,084"
Seed Round - Kapiche,https://www.crunchbase.com/funding_round/kapiche-seed--14d5e1e4,Kapiche,https://www.crunchbase.com/organization/kapiche,Seed,2000000,AUD,1543400,2021-04-30,Seed,,,,Yes,"Kapiche removes the guesswork from understandng brand, customer, employee, and product experiences.","Analytics, Artificial Intelligence (AI), B2B, Data Mining, Machine Learning, Natural Language Processing, SaaS, Software, Text Analytics",,"Brisbane, Queensland, Australia, Oceania",https://kapiche.com/,$1M to $10M,3199963,USD,3199963,Early Stage Venture,5,Main Sequence Ventures,"Albert Patajo, Brisbane Angels, Main Sequence Ventures",3,1,"40,921"
Seed Round - Microsec,https://www.crunchbase.com/funding_round/microsec-db90-seed--e0178a90,Microsec,https://www.crunchbase.com/organization/microsec-db90,Seed,1000000,USD,1000000,2021-09-22,Seed,,,,Yes,"Agentless real-time security dynamically protecting your cloud, container, and data assets","Analytics, Artificial Intelligence (AI), Big Data, Cyber Security, DevOps, Machine Learning, SaaS",,"Santa Clara, California, United States, North America",https://microsec.cloud/,,1000000,USD,1000000,Seed,2,,Andrew Wesbecher,1,,"42,618"
Seed Round - Operata,https://www.crunchbase.com/funding_round/operata-seed--173d4e29,Operata,https://www.crunchbase.com/organization/operata,Seed,2200000,AUD,1628592,2021-08-05,Seed,,,,Yes,Customer & agent experience management SaaS for Cloud Contact Centres.,"Artificial Intelligence (AI), SaaS, Software",,"Melbourne, Victoria, Australia, Oceania",https://operata.com,$1M to $10M,2200000,AUD,1628592,Seed,2,Tidal Ventures,"Aprill Allen, Black Nova Group, Flying Fox Ventures, Tidal Ventures",4,1,"42,438"
Debt Financing - HIVERY,https://www.crunchbase.com/funding_round/hivery-debt-financing--ab35831f,HIVERY,https://www.crunchbase.com/organization/hivery,Debt Financing,3692775,AUD,2813787,2021-04-04,,,,,No,HIVERY is a software company that offers retail assortment strategy simulation and optimization solutions for consumer packaged goods.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Software",,"Sydney, New South Wales, Australia, Oceania",http://www.hivery.com,$1M to $10M,62798575,AUD,43355464,Early Stage Venture,7,,OneVentures,1,1,"42,497"
Series D - UBTech Robotics,https://www.crunchbase.com/funding_round/ubtech-series-d--8beec0be,UBTech Robotics,https://www.crunchbase.com/organization/ubtech,Series D,2800000,USD,2800000,2021-11-09,Late Stage Venture,4198000000,USD,4198000000,Yes,UBTech Robotics is as an artificial intelligence and humanoid robotic company.,"Artificial Intelligence (AI), Consumer Electronics, Industrial Engineering, Machine Learning, Product Research, Robotics, Software",,"Shenzhen, Guangdong, China, Asia",http://www.ubtrobot.com/,$100M to $500M,942800000,USD,942800000,IPO,7,,"Victor Koch, Zhonghuijin Group",2,,"43,197"
"Seed Round - Depix Technologies, Inc.",https://www.crunchbase.com/funding_round/depix-seed--24fb48ea,"Depix Technologies, Inc.",https://www.crunchbase.com/organization/depix,Seed,2000000,USD,2000000,2021-12-15,Seed,,,,Yes,Enterprise AI for automotive and design visualization software as a service,"Apps, Artificial Intelligence (AI), Automotive, Industrial Design, Product Design, Software, Software Engineering",,"Montréal, Quebec, Canada, North America",https://www.depix.ai/,$1M to $10M,3716916,USD,3716916,Seed,3,,"Anges Quebec, AQC Capital, TandemLaunch",3,,"43,606"
Seed Round - ZYTLYN Technologies,https://www.crunchbase.com/funding_round/zytlyn-seed--84796bb6,ZYTLYN Technologies,https://www.crunchbase.com/organization/zytlyn,Seed,2500000,USD,2500000,2021-06-10,Seed,,,,Yes,"ZYTLYN is a data analytics and AI company, helping customers address their most urgent problems with its Prediction as-a-Service product.","Analytics, Artificial Intelligence (AI), Big Data, Data Integration, Machine Learning, Software",,"Geneva, Geneve, Switzerland, Europe",https://www.zytlyn.com/,$1M to $10M,3600000,USD,3600000,Seed,2,,"Business Angels Switzerland (BAS), Century Oak Capital, Elyes Mrad, FONGIT, Julia Sattel, Niels Gron, Plug and Play, SICTIC",8,,"45,855"
Debt Financing - Athena Security,https://www.crunchbase.com/funding_round/athena-security-inc-debt-financing--24fba71f,Athena Security,https://www.crunchbase.com/organization/athena-security-inc,Debt Financing,3000000,USD,3000000,2021-04-01,,,,,No,Athena’s mission is to help save lives. Athena created a patented Weapons Detection Software inspired by Homeland Security Best Practices.,"Artificial Intelligence (AI), Computer Vision, Cyber Security, Machine Learning, Physical Security","Women Founded, Women Led","Austin, Texas, United States, North America",http://athena-security.com,$1M to $10M,18600000,USD,18600000,Seed,4,,Christopher Ciabarra,1,,"46,486"
Initial Coin Offering - WiBX,https://www.crunchbase.com/funding_round/wibx-initial-coin-offering--3a5d07e7,WiBX,https://www.crunchbase.com/organization/wibx,Initial Coin Offering,15000000,BRL,2758197,2021-04-30,,,,,Yes,Wibx is a digital currency and business platform designed as a reward for digital engagement.,"Artificial Intelligence (AI), Social Network, Virtual Currency, Web3",,"São José Dos Campos, Sao Paulo, Brazil, South America",https://wibx.io,,15000000,BRL,2758197,,1,,Shibata,1,,"45,780"
Seed Round - Fox Robotics,https://www.crunchbase.com/funding_round/fox-robotics-seed--96a399e7,Fox Robotics,https://www.crunchbase.com/organization/fox-robotics,Seed,750000,GBP,1029890,2021-10-27,Seed,2823849,GBP,3877672,Yes,Fox Robotics provides robotics and software solutions.,"AgTech, Artificial Intelligence (AI), Data Center Automation, Machine Learning, Robotics, Sensor, Software",,"Farnham, Surrey, United Kingdom, Europe",https://www.fox-robotics.com/,$1M to $10M,6237402,USD,6237402,,6,Anglia Capital Group,"Anglia Capital Group, Britbots, Worth Capital",3,1,"47,473"
Seed Round - NovaResp Technologies,https://www.crunchbase.com/funding_round/novaresp-technologies-seed--f5d6d73c,NovaResp Technologies,https://www.crunchbase.com/organization/novaresp-technologies,Seed,1100000,USD,1100000,2021-01-01,Seed,,,,Yes,NovaResp Technologies provides AI-based medical devices for a respiratory disorder.,"Artificial Intelligence (AI), Health Care",,"Halifax, Nova Scotia, Canada, North America",https://www.novaresp.com,Less than $1M,6842341,USD,6842341,Seed,6,,,,,"48,444"
Seed Round - Robomotion,https://www.crunchbase.com/funding_round/robomotion-c241-seed--beb431be,Robomotion,https://www.crunchbase.com/organization/robomotion-c241,Seed,10000000,TRY,1162156,2021-06-08,Seed,,,,Yes,Robomotion handles dull everyday tasks with robotic process automation technology.,"Artificial Intelligence (AI), Robotic Process Automation (RPA), Robotics, Software",,"Istanbul, Istanbul, Turkey, Europe",https://robomotion.io/,$1M to $10M,1252485,USD,1252485,Seed,3,,"Agah Uğur, hiVC, Lima Ventures, İzzet Halyo",4,,"48,720"
Seed Round - Fermata,https://www.crunchbase.com/funding_round/fermata-b564-seed--0133d973,Fermata,https://www.crunchbase.com/organization/fermata-b564,Seed,828000,EUR,1014312,2021-01-03,Seed,,,,Yes,Fermata provides computer vision solutions for the farmers to reduce crop losses and decrease the need for pesticide and chemical usage,"Agriculture, AgTech, Artificial Intelligence (AI), CleanTech, Machine Learning",,"Herzliya, Tel Aviv, Israel, Asia",https://fermata.tech/,,4232000,EUR,4569474,Seed,5,Raw Ventures,Raw Ventures,1,,"49,358"
Pre Seed Round - Vimcal,https://www.crunchbase.com/funding_round/vimcal-pre-seed--a00e03ec,Vimcal,https://www.crunchbase.com/organization/vimcal,Pre-Seed,1900000,USD,1900000,2021-02-01,Seed,,,,Yes,Vimcal is a calendar app that serves as an exective assistant.,"Apps, Artificial Intelligence (AI), iOS",,"San Francisco, California, United States, North America",https://www.vimcal.com/,$1M to $10M,6400000,USD,6400000,Seed,3,,"Ankur Nagpal, Dick Costolo, Hustle Fund, Hyphen Capital, Joe Gebbia, Y Combinator",6,1,"50,259"
Seed Round - HeyHi,https://www.crunchbase.com/funding_round/heyhi-8538-seed--56d95dbb,HeyHi,https://www.crunchbase.com/organization/heyhi-8538,Seed,1500000,USD,1500000,2021-05-05,Seed,,,,Yes,"HeyHi is an AI-enabled assessment & personalised adaptive learning system, in a collaborative learning space.","Artificial Intelligence (AI), E-Learning, EdTech, Education, Information Technology",,"Singapore, Central Region, Singapore, Asia",https://www.heyhi.sg,$1M to $10M,1500000,USD,1500000,Seed,1,,Potato Productions,1,,"49,606"
Seed Round - CatalyzeX,https://www.crunchbase.com/funding_round/profilic-seed--a78822c0,CatalyzeX,https://www.crunchbase.com/organization/profilic,Seed,1640000,USD,1640000,2021-09-22,Seed,,,,Yes,CatalyzeX is an AI code search engine and knowledge-sharing network.,"Artificial Intelligence (AI), Browser Extensions, Developer Tools, Information Technology, Machine Learning, Productivity Tools, Professional Networking, Software, Software Engineering","South Asian Founded, South Asian Led","Oakland, California, United States, North America",https://www.catalyzex.com,Less than $1M,1640000,USD,1640000,Seed,3,"Abstraction Capital, Basecamp Fund, focal, Kepler, On Deck, Unpopular Ventures, Unshackled Ventures","Abstraction Capital, Akshay Chaturvedi, Alumni Ventures, Anthony Goldbloom, Basecamp Fund, Binh Tran, Darling Ventures, Dr Ritesh Malik, focal, Ilya Kirnos, Joe Fernandez, Kepler, Michael Shuffett, On Deck, Slava Kovalevskyi, Unpopular Ventures, Unshackled Ventures",17,2,"50,037"
