"nace","division_code","division_name","section_code","section_name","count","domain","parent","color","x","y"
1,1,"Crop and animal production, hunting and related service activities","A","AGRICULTURE, FORESTRY AND FISHING",349477,1,"AGRICULTURE, FORESTRY AND FISHING","blue",1,1
2,2,"Forestry and logging","A","AGRICULTURE, FORESTRY AND FISHING",10188,2,"AGRICULTURE, FORESTRY AND FISHING","blue",1,1
3,3,"Fishing and aquaculture","A","AGRICULTURE, FORESTRY AND FISHING",237,3,"AGRICULTURE, FORESTRY AND FISHING","blue",1,1
5,5,"Mining of coal and lignite","B","MINING AND QUARRYING",0,5,"MINING AND QUARRYING","blue",1,1
6,6,"Extraction of crude petroleum and natural gas","B","MINING AND QUARRYING",0,6,"MINING AND QUARRYING","blue",1,1
7,7,"Mining of metal ores","B","MINING AND QUARRYING",0,7,"MINING AND QUARRYING","blue",1,1
8,8,"Other mining and quarrying","B","MINING AND QUARRYING",3237,8,"MINING AND QUARRYING","blue",1,1
9,9,"Mining support service activities","B","MINING AND QUARRYING",0,9,"MINING AND QUARRYING","blue",1,1
10,10,"Manufacture of food products","C","MANUFACTURING",955782,10,"MANUFACTURING","blue",1,1
11,11,"Manufacture of beverages","C","MANUFACTURING",32080,11,"MANUFACTURING","blue",1,1
12,12,"Manufacture of tobacco products","C","MANUFACTURING",11336,12,"MANUFACTURING","blue",1,1
13,13,"Manufacture of textiles","C","MANUFACTURING",123954,13,"MANUFACTURING","blue",1,1
14,14,"Manufacture of wearing apparel","C","MANUFACTURING",3408,14,"MANUFACTURING","blue",1,1
15,15,"Manufacture of leather and related products of other materials","C","MANUFACTURING",257,15,"MANUFACTURING","blue",1,1
16,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","C","MANUFACTURING",34531,16,"MANUFACTURING","blue",1,1
17,17,"Manufacture of paper and paper products","C","MANUFACTURING",13198,17,"MANUFACTURING","blue",1,1
18,18,"Printing and reproduction of recorded media","C","MANUFACTURING",96405,18,"MANUFACTURING","blue",1,1
19,19,"Manufacture of coke and refined petroleum products","C","MANUFACTURING",0,19,"MANUFACTURING","blue",1,1
20,20,"Manufacture of chemicals and chemical products","C","MANUFACTURING",268650,20,"MANUFACTURING","blue",1,1
21,21,"Manufacture of basic pharmaceutical products and pharmaceutical preparations","C","MANUFACTURING",651050,21,"MANUFACTURING","blue",1,1
22,22,"Manufacture of rubber and plastic products","C","MANUFACTURING",99391,22,"MANUFACTURING","blue",1,1
23,23,"Manufacture of other non-metallic mineral products","C","MANUFACTURING",221311,23,"MANUFACTURING","blue",1,1
24,24,"Manufacture of basic metals","C","MANUFACTURING",28053,24,"MANUFACTURING","blue",1,1
25,25,"Manufacture of fabricated metal products, except machinery and equipment","C","MANUFACTURING",369690,25,"MANUFACTURING","blue",1,1
26,26,"Manufacture of computer, electronic and optical products","C","MANUFACTURING",30712,26,"MANUFACTURING","blue",1,1
27,27,"Manufacture of electrical equipment","C","MANUFACTURING",31748,27,"MANUFACTURING","blue",1,1
28,28,"Manufacture of machinery and equipment n.e.c.","C","MANUFACTURING",180162,28,"MANUFACTURING","blue",1,1
29,29,"Manufacture of motor vehicles, trailers and semi-trailers","C","MANUFACTURING",376847,29,"MANUFACTURING","blue",1,1
30,30,"Manufacture of other transport equipment","C","MANUFACTURING",14681,30,"MANUFACTURING","blue",1,1
31,31,"Manufacture of furniture","C","MANUFACTURING",43570,31,"MANUFACTURING","blue",1,1
32,32,"Other manufacturing","C","MANUFACTURING",109156,32,"MANUFACTURING","blue",1,1
33,33,"Repair, maintenance and installation of machinery and equipment","C","MANUFACTURING",146031,33,"MANUFACTURING","blue",1,1
35,35,"Electricity, gas, steam and air conditioning supply","D","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",37029,35,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","blue",1,1
36,36,"Water collection, treatment and supply","E","WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",2808,36,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","blue",1,1
37,37,"Sewerage","E","WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",12877,37,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","blue",1,1
38,38,"Waste collection, recovery and disposal activities","E","WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",75495,38,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","blue",1,1
39,39,"Remediation activities and other waste management service activities","E","WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",14754,39,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","blue",1,1
41,41,"Construction of residential and non-residential buildings","F","CONSTRUCTION",76504,41,"CONSTRUCTION","blue",1,1
42,42,"Civil engineering","F","CONSTRUCTION",78307,42,"CONSTRUCTION","blue",1,1
