Organization Name,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Number of Founders,Founders,Number of Employees,Number of Lead Investors,Number of Investors,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors
50inTech,,,$1M to $10M,Active,1/1/2018,year,,,,,3,"Caroline Ramade, GaÃ«lle Le Goff, Julien Londeix",Nov-50,2,13,https://www.crunchbase.com/organization/50intech,,"B2B, Human Resources","Paris, Ile-de-France, France",50inTech is a fast-track app for women that aims to reach gender equality in the tech industry.,"54,613","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.50intech.com,https://twitter.com/50inTech,https://www.facebook.com/50intech/,https://www.linkedin.com/company/50intech/,support@50intech.com,,,,,,,,,,,,"Administrative Services, Other",3,Seed,10/26/2023,1500000,EUR,1584604,Seed,1500000,EUR,1584604,Seed,3052106,USD,3052106,3052106,USD,3052106,"Crowdcube, STATION F, Super Capital, Evolem Start, Alma Angels"
A.I.Mergence,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/a-i-mergence,,"Artificial Intelligence (AI), Robotics, Security","Paris, Ile-de-France, France",Company specialised in Artificial Intelligence and Autonomous Robotics,"1,062,389","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.ai-mergence.com,https://twitter.com/ai_mergence,https://www.facebook.com/A.I.Mergence/,https://www.linkedin.com/company/a-i-mergence/,contact@ai-mergence.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Privacy and Security, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
A2JOB,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/a2job,,"Health Care, Human Resources","Paris, Ile-de-France, France",A2JOB is a digital recruitment platform dedicated to health professionals and social workers.,"1,848,394","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://a2job.fr/,,,https://www.linkedin.com/company/a2job,contact@a2job.fr,,,,,,,,,,,,"Administrative Services, Health Care",,,,,,,,,,,,,,,,,,
AB Tasty,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ab-tasty,,"A/B Testing, Analytics, Artificial Intelligence (AI), Machine Learning, SaaS, Software, Test and Measurement, Usability Testing","Paris, Ile-de-France, France","AB Tasty offers AI-driven experimentation, personalization, and product optimization platforms for user testing.","9,014","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.abtasty.com,http://twitter.com/ABTasty,https://www.facebook.com/abtasty/,http://www.linkedin.com/company/ab-tasty,contact@abtasty.com,,,1,1,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software",5,Late Stage Venture,7/22/2020,40000000,USD,40000000,Series C,40000000,USD,40000000,Series C,64313293,USD,64313293,65713293,USD,65713293,"Kima Ventures, Partech, CrÃ©dit Mutuel Innovation, Omnes Capital, XAnge"
ACQER,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/acqer,,"Property Management, Real Estate, Residential","Paris, Ile-de-France, France",ACQER is a real estate agency that provides property management services.,"848,024","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://acqer.fr,https://twitter.com/ACQER_FR,,https://www.linkedin.com/company/acqer,contact@acqer.fr,,,,,,,,,,,,Real Estate,,,,,,,,,,,,,,,,,,
ARMTEK,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/armtek,,"Artificial Intelligence (AI), Content, Document Management, Software","Paris, Ile-de-France, France","Armtek is an AI-driven software solution that provides ongoing value, operations, supplier, performance, and content management services.","634,947","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://armtek.fr,,,https://www.linkedin.com/company/armtek-france,dreamteam@armtek.fr,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
AUTORIGIN,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/autorigin,,E-Commerce,"Paris, Ile-de-France, France",Buy or sell your french used car with confidence with Autorigin vehicule history reports by giving only the numeber plate. Safety first !,"2,794,270","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://autorigin.com/,https://twitter.com/Autorigin_web,https://www.facebook.com/autorigin/,https://www.linkedin.com/company/autorigin/?,contact@autorigin.com,,,,,,,,,,,,Commerce and Shopping,,,,,,,,,,,,,,,,,,
Abyssale,75008,,$1M to $10M,Active,1/1/2019,month,,,,,2,"Alessandro Stigliani, Yassine Khial",10-Jan,2,5,https://www.crunchbase.com/organization/abyssale,,"Advertising, Developer APIs, Graphic Design, Marketing Automation","Paris, Ile-de-France, France",Abyssale is a banner creation platform that enables you to generate stunning social media and online advertising for your brand.,"43,247","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.abyssale.com/?utm_source=crunchbase&utm_medium=website&utm_campaign=abyssale_company,https://twitter.com/NxAbyssale,https://www.facebook.com/NxAbyssale,https://www.linkedin.com/company/abyssale,,,,,,,,,,,,,"Advertising, Design, Sales and Marketing, Software",3,Seed,10/25/2023,1500000,EUR,1584954,Seed,1500000,EUR,1584954,Seed,2100000,EUR,2264755,2100000,EUR,2264755,"Kima Ventures, Founders Future, AglaÃ© Ventures, Guillaume Lestrade, Matthieu Besozzi"
Acracy,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/acracy,,"Advertising, Digital Marketing, Marketing","Paris, Ile-de-France, France","Acracy is an advertising company that provides digital marketing, social media marketing, graphic designing, and web development services.","2,430,661","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://acracy.co/,https://twitter.com/weareacracy,,https://www.linkedin.com/company/acracy/,finance@acracy.co,,,,,,,,,,,,"Advertising, Sales and Marketing",,,,,,,,,,,,,,,,,,
Actiondesk,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/actiondesk,,"Information Services, Information Technology, SaaS, Software","Paris, Ile-de-France, France","Actiondesk (YC S19) is a spreadsheet software that lets you import and refresh data from SQL, Stripe, Salesforce, Hubspot and more","42,340","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.actiondesk.io/,https://twitter.com/actiondesk,https://www.facebook.com/actiondesk/,https://www.linkedin.com/company/actiondesk/,,,,,,,,,,,,,"Information Technology, Software",3,M&A,5/24/2022,3900000,USD,3900000,Seed,3900000,USD,3900000,Seed,4050000,USD,4050000,4050000,USD,4050000,"Y Combinator, Speedinvest, Bossa Invest, Bling Capital, FundersClub"
