"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL11","A01",16,1.94,40.35,66.47,"north"
"NL12","A01",21,3.57,35.44,66.47,"north"
"NL13","A01",8,2.14,31.97,66.47,"north"
"NL13","A21",0,0,73.33,61.48,"north"
"NL12","A21",0,0,66.39,61.48,"north"
"NL11","A21",0,0,70.56,61.48,"north"
"NL11","A22",1,2.57,62.87,73.99,"north"
"NL12","A22",0,0,72.31,73.99,"north"
"NL13","A22",0,0,55.37,73.99,"north"
"NL13","A23",8,3.64,41.06,54.42,"north"
"NL11","A23",16,3.31,51.1,54.42,"north"
"NL12","A23",7,2.02,36.79,54.42,"north"
"NL13","A24",0,0,22.79,47.69,"north"
"NL12","A24",0,0,30.97,47.69,"north"
"NL11","A24",1,0.39,60.62,47.69,"north"
"NL11","A41",0,0,18.64,63.5,"north"
"NL12","A41",0,0,33.73,63.5,"north"
"NL13","A41",0,0,25.3,63.5,"north"
"NL11","A42",0,0,13.8,56.03,"north"
"NL12","A42",0,0,27.61,56.03,"north"
"NL13","A42",0,0,18.86,56.03,"north"
"NL12","A43",0,0,25.13,72.75,"north"
"NL11","A43",1,1.59,14.82,72.75,"north"
"NL13","A43",0,0,10.55,72.75,"north"
"NL11","A44",0,0,10.65,71.52,"north"
"NL12","A44",0,0,13.41,71.52,"north"
"NL13","A44",0,0,10.65,71.52,"north"
"NL12","A45",0,0,26.97,62.96,"north"
"NL11","A45",0,0,25.16,62.96,"north"
"NL13","A45",0,0,44.24,62.96,"north"
"NL12","A46",0,0,21.85,66.35,"north"
"NL11","A46",0,0,27.45,66.35,"north"
"NL13","A46",1,4.25,34.17,66.35,"north"
"NL12","A47",5,1,37,76.72,"north"
"NL11","A47",5,0.71,34.67,76.72,"north"
"NL13","A47",5,1.56,40.92,76.72,"north"
"NL11","A61",122,2.87,49.5,37.95,"north"
"NL12","A61",9,0.3,34.94,37.95,"north"
"NL13","A61",13,0.67,30.92,37.95,"north"
"NL12","A62",4,5.55,33,67.05,"north"
"NL11","A62",0,0,11.46,67.05,"north"
"NL13","A62",1,2.18,23.52,67.05,"north"
"NL11","A63",0,0,17.55,44.98,"north"
"NL13","A63",0,0,17,44.98,"north"
"NL12","A63",2,1.89,19.93,44.98,"north"
"NL12","B01",17,2.2,48.66,57.41,"north"
"NL13","B01",7,1.42,42.08,57.41,"north"
"NL11","B01",10,0.92,39.59,57.41,"north"
