"parent","priority","cpc","description"
"Digitale technologie - Transversal","Artificial intelligence","G06N3","Computer systems based on biological models"
"Digitale technologie - Transversal","Artificial intelligence","G06N5","Computer systems utilizing knowledge-based models"
"Digitale technologie - Transversal","Artificial intelligence","G06N7","Computer systems based on specific mathematical models"
"Digitale technologie - Transversal","Artificial intelligence","G06N99","Subject matter not provided for in other groups of this subclass"
"Digitale technologie - Transversal","Robotics - Robots","B25J","Manipulators; chambers provided with manipulation devices"
"Digitale technologie - Transversal","Robotics - Autonomous robots","B25J9","Programme-controlled manipulators (autonomous robots)"
"Digitale technologie - Transversal","Digitale veiligheid","G06F21","Security arrangements for protecting computers or computer systems against unauthorised activity "
"Digitale technologie - Transversal","Digitale veiligheid","H04W12","Network architectures or network communication protocols for wireless network security"
"Digitale technologie - Transversal","Digitale veiligheid","H04L9","Cryptographic mechanisms or cryptographic arrangements for secret or secure communication"
"Digitale technologie - Transversal","Digitale veiligheid","H04L63","Network architectures or network communication protocols for network security"
"Digitale technologie - Transversal","Digitale veiligheid","Y04S40/24","Arrangements for network security, i.e. cybersecurity"
"Digitale technologie - Energie","Smart grids","H02J3","Circuit arrangements for ac mains or ac distribution networks"
"Digitale technologie - Energie","Smart grids","Y04S","Systems integrating technologies related to power network operation, communication or information technologies for improving the electrical power generation, transmission, distribution, management or usage, i.e. smart grids"
"Digitale technologie - Energie","Smart grids","Y02B90/20","Systems integrating technologies related to power network operation and communication or information technologies mediating in the improvement of the carbon footprint of the management of residential or tertiary loads, i.e. smart grids as enabling technology in buildings sector"
"Digitale technologie - Energie","Smart grids","Y02B70/30","Systems integrating technologies related to power network operation and communication or information technologies for improving the carbon footprint of the management of residential or tertiary loads, i.e. smart grids as climate change mitigation technology"
"Digitale technologie - Energie","Electrolizers voor Power2Molecule","H01M8","Fuel cells"
"Digitale technologie - Energie","Electrolizers voor Power2Molecule","Y02E60/3","Hydrogen technology "
"Digitale technologie - Energie","Electrolizers voor Power2Molecule","Y02E60/5","Fuel cells"
"Digitale technologie - Energie","Electrolizers voor Power2Molecule","C25B1/02","Electrolytic production of inorganic compounds or non-metals of hydrogen or oxygen"
"Digitale technologie - Energie","Electrolizers voor Power2Molecule","C25B1/04","Electrolytic production of inorganic compounds or non-metals of hydrogen or oxygen by electrolysis of water"
"Digitale technologie - Energie","Elektrische mobiliteit - EV charging systems","Y04S10/126","Eenergy generation units being or involving electric vehicles [EV] or hybrid vehicles [HEV], i.e. power aggregation of EV or HEV, vehicle to grid arrangements [V2G]"
"Digitale technologie - Energie","Elektrische mobiliteit - EV charging systems","Y04S30/12","Remote or cooperative charging of electric or hybrid vehicles "
"Digitale technologie - Energie","Elektrische mobiliteit - EV charging systems","Y02T90/14","Plug-in electric vehicles"
"Digitale technologie - Energie","Elektrische mobiliteit - EV charging systems","H02J2310/48","The network being an on-board power network, i.e. within a vehicle for electric vehicles [EV] or hybrid vehicles [HEV]"
"Digitale technologie - Energie","Elektrische mobiliteit - Battery technologies","H01M","Processes Or Means, E.g. Batteries, For The Direct Conversion Of Chemical Energy Into Electrical Energy"
"Digitale technologie - Energie","Elektrische mobiliteit - Battery technologies","H02J7","Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries"
"Digitale technologie - Energie","Elektrische mobiliteit - Battery technologies","Y02E60/12	","Battery technologies with an indirect contribution to GHG emissions mitigation"
"Digitale technologie - Energie","Elektrische mobiliteit - Battery technologies","Y02T10/7005","Battery technologies with an indirect contribution to GHG emissions mitigation (battery technologies specific to electromobility"
"Digitale technologie - Klimaat","Klimaatbeheersing","G05D23","Control of temperature "
"Digitale technologie - Klimaat","Klimaatbeheersing","H05B1/02","Automatic switching arrangements for electric heating apparatus "
"Digitale technologie - Klimaat","Klimaatbeheersing","F24F","Air-conditioning; air-humidification; ventilation; use of air currents for screening"
"Digitale technologie - Klimaat","Klimaatbeheersing","F24F11/30","Control or safety arrangements for purposes related to the operation of the system"
"Digitale technologie - Klimaat","Klimaatbeheersing","H04L12/2818","Controlling appliance services of a home automation network by calling their functionalities from a device located outside both the home and the home network"
"Digitale technologie - Klimaat","Klimaatbeheersing","G05B19/042","Programme control other than numerical control, i.e. in sequence controllers or logic controllers using digital processors"
