priority;cpc;description;relevant
Head-up displays;G02B2027/0105;Head-up displays Holograms with particular structures;yes
Head-up displays;G02B2027/0107;Head-up displays with optical power;yes
Head-up displays;G02B2027/0109;Head-up displays comprising details concerning the making of holograms;yes
Head-up displays;G02B2027/0112;Head-up displays comprising device for genereting colour display;yes
Head-up displays;G02B2027/0114;Head-up displays comprising dichroic elements;yes
Head-up displays;G02B2027/0116;Head-up displays comprising devices for correcting chromatic aberration;yes
Head-up displays;G02B2027/0118;Head-up displays comprising devices for improving the contrast of the display / brillance control visibility;yes
Head-up displays;G02B2027/0121;Head-up displays Parasitic image effect attenuation by suitable positioning of the parasitic images;yes
Head-up displays;G02B2027/0123;Head-up displays comprising devices increasing the field of view;yes
Head-up displays;G02B2027/0125;Head-up displays Field-of-view increase by wavefront division;yes
Head-up displays;G02B2027/0127;Head-up displays comprising devices increasing the depth of field;yes
Head-up displays;G02B2027/0129;Head-up displays comprising devices for correcting parallax;yes
Head-up displays;G02B2027/0132;Head-up displays comprising binocular systems;yes
Head-up displays;G02B2027/0134;Head-up displays of stereoscopic type;yes
Head-up displays;G02B2027/0136;Head-up displays with a single image source for both eyes;yes
Head-up displays;G02B2027/0138;Head-up displays comprising image capture systems, e.g. camera;yes
Head-up displays;G02B2027/0141;Head-up displays characterised by the informative content of the display;yes
Head-up displays;G02B2027/0143;Head-up displays the two eyes not being equipped with identical nor symmetrical optical devices;yes
Head-up displays;G02B2027/0145;Head-up displays creating an intermediate image;yes
Head-up displays;G02B2027/0147;Head-up displays comprising a device modifying the resolution of the displayed image;yes
Head-up displays;G02B2027/0152;Head-up displays involving arrangement aiming to get lighter or better balanced devices;yes
Head-up displays;G02B2027/0154;Head-up displays with movable elements;yes
Head-up displays;G02B2027/0156;Head-up displays with optionally usable elements;yes
Head-up displays;G02B2027/0158;Head-up displays with adjustable nose pad;yes
Head-up displays;G02B2027/0159;Head-up displays with mechanical means other than scaning means for positioning the whole image;yes
Head-up displays;G02B2027/0161;Head-up displays characterised by the relative positioning of the constitutive elements;yes
