"id";"value";"share";"ctry"
"Microsoft Technology Licensing Llc";1346;3,78;"US"
"Ping An Technology (Shenzhen) Co Ltd";863;2,42;"CN"
"Google Llc";843;2,37;"US"
"Samsung Electronics Co Ltd";813;2,28;"KR"
"Huawei Technologies Co Ltd";661;1,85;"CN"
"Nec Corporation";582;1,63;"JP"
"Tencent Technology (Shenzhen) Company Limited";493;1,38;"CN"
"Koninklijke Philips Nv";386;1,08;"NL"
"International Business Machines Corporation";377;1,06;"US"
"Nippon Telegraph And Telephone Corporation";364;1,02;"JP"
"Intel Corporation";333;0,93;"US"
"Siemens Aktiengesellschaft";263;0,74;"DE"
"Mitsubishi Electric Corporation";249;0,7;"JP"
"Qualcomm Incorporated";243;0,68;"US"
"Alibaba Group Holding Limited";232;0,65;"KY"
"Lg Electronics Inc";227;0,64;"KR"
"Sony Group Corporation";211;0,59;"JP"
"Beijing Sensetime Technology Development Co Ltd";198;0,56;"CN"
"Advanced New Technologies Co Ltd";195;0,55;"KY"
"Robert Bosch Gmbh";190;0,53;"DE"
"Telefonaktiebolaget Lm Ericsson (Publ)";177;0,5;"SE"
"Sony Corporation";160;0,45;"JP"
"Hewlett-Packard Development Company Lp";156;0,44;"US"
"Deepmind Technologies Limited";150;0,42;"UK"
"Boe Technology Group Co Ltd";150;0,42;"CN"
"Sz Dji Technology Co Ltd";136;0,38;"CN"
"Nokia Technologies Oy";134;0,38;"FI"
"Omron Corporation";127;0,36;"JP"
"Hitachi Ltd";122;0,34;"JP"
"Nec Laboratories America Inc";118;0,33;"US"
"Fujitsu Limited";117;0,33;"JP"
"Apple Inc";114;0,32;"US"
"Guangdong Oppo Mobile Telecommunications Corp Lt";104;0,29;"CN"
"Fujifilm Corporation";103;0,29;"JP"
"General Electric Company";96;0,27;"US"
"Guangdong Oppo Mobile Telecommunications Corp Ltd";95;0,27;"CN"
"The Regents Of The University Of California";94;0,26;"US"
"Ebay Inc";93;0,26;"US"
"Oracle International Corporation";92;0,26;"US"
"Amazon Technologies Inc";85;0,24;"US"
"Nvidia Corporation";83;0,23;"US"
"Facebook Inc";82;0,23;"US"
"Semiconductor Energy Laboratory Co Ltd";81;0,23;"JP"
"Beijing Didi Infinity Technology And Development C";81;0,23;"CN"
"Cambricon Technologies Corporation Limited";77;0,22;"CN"
"Hrl Laboratories Llc";76;0,21;"US"
"One Connect Smart Technology Co Ltd (Shenzhen)";74;0,21;"CN"
"Zte Corporation";74;0,21;"CN"
"Abb Schweiz Ag";72;0,2;"CH"
"Shenzhen Sensetime Technology Co Ltd";72;0,2;"CN"
"Tsinghua University";71;0,2;"CN"
"Beijing Didi Infinity Technology And Development Co Ltd";71;0,2;"CN"
"Intuit Inc";70;0,2;"US"
"Visa International Service Association";66;0,19;"US"
"Baidu Online Network Technology (Beijing) Co Ltd";64;0,18;"CN"
"Sony Interactive Entertainment Inc";64;0,18;"JP"
"Massachusetts Institute Of Technology";63;0,18;"US"
"Landmark Graphics Corporation";63;0,18;"US"
"Hangzhou Hikvision Digital Technology Co Ltd";63;0,18;"CN"
"Shenzhen University";62;0,17;"CN"
"X Development Llc";60;0,17;"US"
"Olympus Corporation";60;0,17;"JP"
"Micron Technology Inc";59;0,17;"US"
"Denso Corporation";58;0,16;"JP"
"Saudi Arabian Oil Company";57;0,16;"SA"
"Korea Advanced Institute Of Science And Technology";57;0,16;"KR"
"Walmart Apollo Llc";55;0,15;"US"
"Shanghai Cambricon Information Technology Co Ltd";54;0,15;"CN"
"Facebook Technologies Llc";53;0,15;"US"
"Halliburton Energy Services Inc";52;0,15;"US"
"Xiaomi Inc";52;0,15;"CN"
"Hewlett Packard Enterprise Development Lp";48;0,13;"US"
"Kla-Tencor Corporation";48;0,13;"US"
"Preferred Networks Inc";47;0,13;"JP"
"Kabushiki Kaisha Toshiba";47;0,13;"JP"
"Panasonic Intellectual Property Management Co Ltd";46;0,13;"JP"
"Alipay (Hangzhou) Information Technology Co Ltd";46;0,13;"CN"
"Asml Netherlands Bv";46;0,13;"NL"
"Geoquest Systems Bv";45;0,13;"NL"
"Canon Kabushiki Kaisha";45;0,13;"JP"
"Magic Leap Inc";45;0,13;"US"
"Salesforcecom Inc";45;0,13;"US"
"Beijing Jingdong Century Trading Co Ltd";44;0,12;"CN"
"British Telecommunications Public Limited Company";44;0,12;"UK"
"Zhejiang University";44;0,12;"CN"
"3m Innovative Properties Company";43;0,12;"US"
"Beijing Bytedance Network Technology Co Ltd";43;0,12;"CN"
"Services P„©Troliers Schlumberger";42;0,12;"FR"
"Volkswagen Aktiengesellschaft";42;0,12;"DE"
"Bayerische Motoren Werke Aktiengesellschaft";42;0,12;"DE"
"Illumina Inc";40;0,11;"US"
"Grail Inc";40;0,11;"US"
"Korea Electronics Technology Institute";40;0,11;"KR"
"Paypal Inc";40;0,11;"US"
"Nuance Communications Inc";40;0,11;"US"
"Agency For Science Technology And Research";39;0,11;"SG"
"Raytheon Company";39;0,11;"US"
"Waymo Llc";39;0,11;"US"
"Shenzhen Institutes Of Advanced Technology";39;0,11;"CN"
"Zoox Inc";38;0,11;"US"
"The Climate Corporation";37;0,1;"US"
"Jpmorgan Chase Bank Na";37;0,1;"US"
"F Hoffmann-La Roche Ag";37;0,1;"CH"
"Kawasaki Jukogyo Kabushiki Kaisha";37;0,1;"JP"
"Beijing Jingdong Shangke Information Technology Co Ltd";36;0,1;"CN"
"Shenzhen Institutes Of Advanced Technology Chinese";36;0,1;"CN"
"Peking University Shenzhen Graduate School";36;0,1;"CN"
"Seoul National University R&Db Foundation";35;0,1;"KR"
"Ping An Technology(Shenzhen)Co Ltd";35;0,1;"CN"
"Webank Co Ltd";35;0,1;"CN"
"Cisco Technology Inc";34;0,1;"US"
"Shenzhen Intellifusion Technologies Co Ltd";34;0,1;"CN"
"Services Petroliers Schlumberger";34;0,1;"FR"
"Tencent America Llc";34;0,1;"US"
"Centre National De La Recherche Scientifique";34;0,1;"FR"
"Ntt Docomo Inc";34;0,1;"JP"
"Medtronic Inc";32;0,09;"US"
"Shenzhen Corerain Technologies Co Ltd";32;0,09;"CN"
"Schlumberger Technology Bv";32;0,09;"NL"
"Southeast University";32;0,09;"CN"
"Tata Consultancy Services Limited";32;0,09;"IN"
"President And Fellows Of Harvard College";31;0,09;"US"
"Snap Inc";31;0,09;"US"
"Beijing Sankuai Online Technology Co Ltd";31;0,09;"CN"
"Silicon Storage Technology Inc";31;0,09;"US"
"The Board Of Trustees Of The Leland Stanford Junior University";30;0,08;"US"
"South China University Of Technology";30;0,08;"CN"
"Audi Ag";30;0,08;"DE"
"Nantomics Llc";30;0,08;"US"
"Wuyi University";30;0,08;"CN"
"Entit Software Llc";30;0,08;"US"
"Siemens Healthcare Gmbh";29;0,08;"DE"
"Shanghai Sensetime Intelligent Technology Co Ltd";29;0,08;"CN"
"The Johns Hopkins University";29;0,08;"US"
"Toyota Motor Europe";29;0,08;"BE"
"Verily Life Sciences Llc";29;0,08;"US"
"Psomagen Inc";29;0,08;"US"
"Vestas Wind Systems A/S";29;0,08;"DK"
"Siemens Healthcare Diagnostics Inc";28;0,08;"US"
"Element Ai Inc";28;0,08;"CA"
"Beijing Gridsum Technology Co Ltd";28;0,08;"CN"
"Shanghai United Imaging Healthcare Co Ltd";28;0,08;"CN"
"Dalian University Of Technology";27;0,08;"CN"
"Siemens Mobility Gmbh";27;0,08;"DE"
"Sony Semiconductor Solutions Corporation";27;0,08;"JP"
"Kla Corporation";27;0,08;"US"
"Mitsubishi Heavy Industries Ltd";27;0,08;"JP"
"Motorola Solutions Inc";27;0,08;"US"
"Rovi Guides Inc";26;0,07;"US"
"The General Hospital Corporation";26;0,07;"US"
"Northeastern University";26;0,07;"US"
"Mastercard International Incorporated";26;0,07;"US"
"Northeastern University";26;0,07;"CN"
"Rakuten Inc";25;0,07;"JP"
"The Regents Of The University Of Michigan";25;0,07;"US"
"The University Of Tokyo";25;0,07;"JP"
"Yamaha Corporation";25;0,07;"JP"
"Ventana Medical Systems Inc";25;0,07;"US"
"Honda Motor Co Ltd";25;0,07;"JP"
"Tdk Corporation";25;0,07;"JP"
"The Charles Stark Draper Laboratory Inc";24;0,07;"US"
"Siemens Energy Global Gmbh & Co Kg";24;0,07;"DE"
"Nissan Motor Co Ltd";24;0,07;"JP"
"Xilinx Inc";24;0,07;"US"
"Capital One Services Llc";24;0,07;"US"
"Applied Materials Inc";24;0,07;"US"
"Toshiba Digital Solutions Corporation";24;0,07;"JP"
"Korea University Research And Business Foundation";23;0,06;"KR"
"The Fourth Paradigm (Beijing) Tech Co Ltd";23;0,06;"CN"
"Carnegie Mellon University";23;0,06;"US"
"Nec Solution Innovators Ltd";23;0,06;"JP"
"Carrier Corporation";23;0,06;"US"
"Cerebras Systems Inc";22;0,06;"US"
"Osaka University";22;0,06;"JP"
"Shimadzu Corporation";22;0,06;"JP"
"Cylance Inc";21;0,06;"US"
"Guangzhou Shiyuan Electronics Co Ltd";21;0,06;"CN"
"Commissariat √† L'„âNergie Atomique Et Aux √âNergies Alternatives";21;0,06;"FR"
"Thales";21;0,06;"FR"
"Advanced Micro Devices Inc";21;0,06;"US"
"Midea Group Co Ltd";21;0,06;"CN"
"Rakuten Group Inc";21;0,06;"JP"
"Uptake Technologies Inc";21;0,06;"US"
"Citrix Systems Inc";21;0,06;"US"
"Citrix Systems Inc";21;0,06;"CN"
"Elekta Inc";20;0,06;"US"
"Oxford University Innovation Limited";20;0,06;"UK"
"Beijing Dajia Internet Information Technology Co";20;0,06;"CN"
"Magic Pony Technology Limited";20;0,06;"UK"
"Baidu Usa Llc";20;0,06;"US"
"The Procter & Gamble Company";20;0,06;"US"
"Zhejiang Dahua Technology Co Ltd";20;0,06;"CN"
"Arm Limited";20;0,06;"UK"
"Nuctech Company Limited";20;0,06;"CN"
"Beijing Jingdong Shangke Information Technology Co";20;0,06;"CN"
"Honeywell International Inc";20;0,06;"US"
"Le Holdings (Beijing) Co Ltd";20;0,06;"CN"
"Sony Interactive Entertainment Llc";19;0,05;"US"
"Beijing Baidu Netcom Science And Technology Co Ltd";19;0,05;"CN"
"Nokia Solutions And Networks Oy";19;0,05;"FI"
"Shenzhen Goodix Technology Co Ltd";19;0,05;"CN"
"Yandex Europe Ag";19;0,05;"CH"
"Shenzhen Yuntianlifei Technology Co Ltd";19;0,05;"CN"
"Bigo Technology Pte Ltd";19;0,05;"SG"
"Tempus Labs Inc";18;0,05;"US"
"Tornier Inc";18;0,05;"US"
"Fraunhofer-Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev";18;0,05;"DE"
"Cornell University";18;0,05;"US"
"D5ai Llc";18;0,05;"US"
"Ubtech Robotics Corp Ltd";18;0,05;"CN"
"Baiducom Times Technology (Beijing) Co Ltd";18;0,05;"CN"
"Huazhong University Of Science And Technology";18;0,05;"CN"
"Cardiac Pacemakers Inc";18;0,05;"US"
"Thomson Licensing";17;0,05;"FR"
"Ramot At Tel-Aviv University Ltd";17;0,05;"IL"
"Life Technologies Corporation";17;0,05;"US"
"Mobileye Vision Technologies Ltd";17;0,05;"IL"
"1qb Information Technologies Inc";17;0,05;"CA"
"Ford Global Technologies Llc";17;0,05;"US"
"Avl List Gmbh";17;0,05;"AT"
"Mcafee Llc";17;0,05;"US"
"Industry-University Cooperation Foundation Hanyang";17;0,05;"KR"
"Uipath Inc";17;0,05;"US"
"Board Of Regents The University Of Texas System";17;0,05;"US"
"Naver Corporation";17;0,05;"KR"
"Sensormatic Electronics Llc";17;0,05;"US"
"Cloudminds (Shenzhen) Robotics Systems Co Ltd";17;0,05;"CN"
"Hitachi Automotive Systems Ltd";17;0,05;"JP"
"Netflix Inc";17;0,05;"US"
"Chevron Usa Inc";17;0,05;"US"
"Optim Corporation";17;0,05;"JP"
"Google Inc";16;0,04;"US"
"Suning Cloud Computing Co Limited";16;0,04;"CN"
"National Institute Of Information And Communications Technology";16;0,04;"JP"
"Zf Friedrichshafen Ag";16;0,04;"DE"
"Movidius Ltd";16;0,04;"NL"
"Conti Temic Microelectronic Gmbh";16;0,04;"DE"
"The Trustees Of Princeton University";16;0,04;"US"
"The Board Of Trustees Of The Leland Stanford Junio";16;0,04;"US"
"Texas Instruments Incorporated";16;0,04;"US"
"Dolby Laboratories Licensing Corporation";16;0,04;"US"
"Yutou Technology (Hangzhou) Co Ltd";16;0,04;"CN"
"Nikon Corporation";16;0,04;"JP"
"Shenzhen Gowild Robotics Co Ltd";16;0,04;"CN"
"Clarion Co Ltd";16;0,04;"JP"
"Movidius Ltd";16;0,04;"IE"
"Peking University";16;0,04;"CN"
"Exxonmobil Upstream Research Company";16;0,04;"US"
"Signify Holding Bv";16;0,04;"NL"
"Mayo Foundation For Medical Education And Research";16;0,04;"US"
"Inait Sa";16;0,04;"CH"
"Lyft Inc";16;0,04;"US"
"Continental Automotive Gmbh";16;0,04;"DE"
"Allstate Insurance Company";16;0,04;"US"
"Nuro Inc";16;0,04;"US"
"Reliaquest Holdings Llc";16;0,04;"US"
"Samsung Life Public Welfare Foundation";15;0,04;"KR"
"Beijing Kuangshi Technology Co Ltd";15;0,04;"CN"
"Tohoku University";15;0,04;"JP"
"Institute Of Automation Chinese Academy Of Sciences";15;0,04;"CN"
"Agt International Gmbh";15;0,04;"CH"
"The Trustees Of Columbia University In The City Of New York";15;0,04;"US"
"Greeneden Us Holdings Ii Llc";15;0,04;"US"
"Five Ai Limited";15;0,04;"UK"
"Institute Of Automation Chinese Academy Of Scienc";15;0,04;"CN"
"Ohio State Innovation Foundation";15;0,04;"US"
"Gamalon Inc";15;0,04;"US"
"Ancestrycom Dna Llc";15;0,04;"US"
"Benevolentai Technology Limited";14;0,04;"UK"
"Uber Technologies Inc";14;0,04;"US"
"Wangsu Science & Technology Co Ltd";14;0,04;"CN"
"Smith & Nephew Inc";14;0,04;"US"
"The Asan Foundation";14;0,04;"KR"
"University Of Ulsan Foundation For Industry Cooper";14;0,04;"KR"
"Avigilon Corporation";14;0,04;"CA"
"King Abdullah University Of Science And Technology";14;0,04;"SA"
"National University Of Singapore";14;0,04;"SG"
"Uatc Llc";14;0,04;"US"
"The Broad Institute Inc";14;0,04;"US"
"Syntiant";14;0,04;"US"
"Shenzhen Institutes Of Advanced Technology Chinese Academy Of Sciences";14;0,04;"CN"
"Gree Electric Appliances Inc Of Zhuhai";14;0,04;"CN"
"Northwestern University";14;0,04;"US"
"Smith & Nephew Orthopaedics Ag";14;0,04;"CH"
"Smith & Nephew Asia Pacific Pte Limited";14;0,04;"SG"
"Sony Europe Bv";14;0,04;"UK"
"The Chinese University Of Hong Kong";14;0,04;"HK"
"Wangsu Science & Technology Co Ltd";14;0,04;"HK"
"Siemens Gamesa Renewable Energy A/S";14;0,04;"DK"
"Kabushiki Kaisha Yaskawa Denki";14;0,04;"JP"
"Berkshire Grey Inc";14;0,04;"US"
"Hutom Co Ltd";14;0,04;"KR"
"Inmentis Llc";14;0,04;"US"
"Northwestern University";14;0,04;"CN"
"Guardant Health Inc";13;0,04;"US"
"Jiangnan University";13;0,04;"CN"
"Coupang Corp";13;0,04;"KR"
"Pearson Education Inc";13;0,04;"US"
"Western Digital Technologies Inc";13;0,04;"US"
"Hitachi Kokusai Electric Inc";13;0,04;"JP"
"China University Of Mining And Technology";13;0,04;"CN"
"Vuno Inc";13;0,04;"KR"
"Sumitomo Electric Industries Ltd";13;0,04;"JP"
"Equifax Inc";13;0,04;"US"
"Pindrop Security Inc";13;0,04;"US"
"Thomson Reuters Enterprise Centre Gmbh";13;0,04;"CH"
"Shen Zhen Kuang-Chi Hezhong Technology Ltd";13;0,04;"CN"
"Mitsubishi Hitachi Power Systems Ltd";13;0,04;"JP"
"Leica Microsystems Cms Gmbh";13;0,04;"DE"
"Stats Llc";13;0,04;"US"
"Shandong University";13;0,04;"CN"
"Industry-Academic Cooperation Foundation Yonsei U";13;0,04;"KR"
"Jingdong Digits Technology Holding Co Ltd";13;0,04;"CN"
"Zapata Computing Inc";13;0,04;"US"
"Lynxi Technologies Co Ltd";13;0,04;"CN"
"One Connect Smart Technology Co Ltd(Shenzhen)";13;0,04;"CN"
"Anhui Cambricon Information Technology Co Ltd";13;0,04;"CN"
"Tractable Ltd";13;0,04;"UK"
"Mimos Berhad";13;0,04;"MY"
"Plusai Corp";13;0,04;"US"
"Ricoh Company Ltd";13;0,04;"JP"
"Kyocera Corporation";13;0,04;"JP"
"Seegene Inc";13;0,04;"KR"
"China Unionpay Co Ltd";12;0,03;"CN"
"Autodesk Inc";12;0,03;"US"
"Regeneron Pharmaceuticals Inc";12;0,03;"US"
"Shandong University Of Science And Technology";12;0,03;"CN"
"Tesla Inc";12;0,03;"US"
"Interdigital Vc Holdings Inc";12;0,03;"US"
"Tokyo Institute Of Technology";12;0,03;"JP"
"Assa Abloy Ab";12;0,03;"SE"
"Beijing Xiaomi Mobile Software Co Ltd";12;0,03;"CN"
"Jlk Inc";12;0,03;"KR"
"Sensetime Group Limited";12;0,03;"HK"
"Sri International";12;0,03;"US"
"Insurance Services Office Inc";12;0,03;"US"
"Kodak Alaris Inc";12;0,03;"US"
"Panasonic Intellectual Property Corporation Of America";12;0,03;"US"
"Mipsology Sas";12;0,03;"FR"
"Equos Research Co Ltd";12;0,03;"JP"
"Kuka Deutschland Gmbh";12;0,03;"DE"
"The Governing Council Of The University Of Toronto";12;0,03;"CA"
"Hughes Network Systems Llc";12;0,03;"US"
"Yale University";12;0,03;"US"
"Boston Scientific Scimed Inc";12;0,03;"US"
"The Nielsen Company (Us) Llc";12;0,03;"US"
"Georgia Tech Research Corporation";12;0,03;"US"
"Aspen Technology Inc";12;0,03;"US"
"National Institute Of Advanced Industrial Science";12;0,03;"JP"
"Inspur Electronic Information Industry Co Ltd";12;0,03;"CN"
"Mujin Inc";12;0,03;"JP"
"Dmai Inc";12;0,03;"US"
"Roche Diagnostics Gmbh";12;0,03;"DE"
"Medtronic Minimed Inc";11;0,03;"US"
"Institute Of Computing Technology Chinese Academy Of Sciences";11;0,03;"CN"
"Konica Minolta Inc";11;0,03;"JP"
"Servicenow Inc";11;0,03;"US"
"University Health Network";11;0,03;"CA"
"Sun Yat-Sen University";11;0,03;"CN"
"D-Wave Systems Inc";11;0,03;"CA"
"Grg Banking Equipment Co Ltd";11;0,03;"CN"
"Rensselaer Polytechnic Institute";11;0,03;"US"
"The University Of North Carolina At Chapel Hill";11;0,03;"US"
"Henkel Ag & Co Kgaa";11;0,03;"DE"
"Cognitive Systems Corp";11;0,03;"CA"
"Alcon Inc";11;0,03;"CH"
"Futurewei Technologies Inc";11;0,03;"US"
