"id";"value";"share";"ctry"
"Robert Bosch Gmbh";858;3,54;"DE"
"Denso Corporation";471;1,94;"JP"
"Nissan Motor Co Ltd";444;1,83;"JP"
"Bayerische Motoren Werke Aktiengesellschaft";416;1,72;"DE"
"Safran Aircraft Engines";353;1,46;"FR"
"Honda Motor Co Ltd";309;1,27;"JP"
"Vitesco Technologies Gmbh";308;1,27;"DE"
"Lg Chem Ltd";264;1,09;"KR"
"Hitachi Automotive Systems Ltd";251;1,04;"JP"
"Audi Ag";245;1,01;"DE"
"Byd Company Limited";244;1,01;"CN"
"Renault Sas";241;0,99;"FR"
"Volvo Truck Corporation";237;0,98;"SE"
"Psa Automobiles Sa";224;0,92;"FR"
"Psa Automobiles Sa";224;0,92;"CN"
"Zf Friedrichshafen Ag";205;0,85;"DE"
"General Electric Company";204;0,84;"US"
"Scania Cv Ab";202;0,83;"SE"
"Continental Automotive Gmbh";183;0,75;"DE"
"Cummins Inc";182;0,75;"US"
"Daimler Ag";172;0,71;"DE"
"Schaeffler Technologies Ag & Co Kg";169;0,7;"DE"
"Mitsubishi Electric Corporation";169;0,7;"JP"
"Mazda Motor Corporation";162;0,67;"JP"
"Volkswagen Aktiengesellschaft";159;0,66;"DE"
"Valeo Systemes Thermiques";159;0,66;"FR"
"Toyota Jidosha Kabushiki Kaisha";156;0,64;"JP"
"Isuzu Motors Limited";155;0,64;"JP"
"Ihi Corporation";151;0,62;"JP"
"Jaguar Land Rover Limited";125;0,52;"UK"
"Sumitomo Electric Industries Ltd";123;0,51;"JP"
"Siemens Aktiengesellschaft";117;0,48;"DE"
"Sumitomo Wiring Systems Ltd";111;0,46;"JP"
"Schaeffler Technologies Ag&Co Kg";109;0,45;"DE"
"Ntn Corporation";107;0,44;"JP"
"Borgwarner Inc";101;0,42;"US"
"Mitsubishi Heavy Industries Ltd";101;0,42;"JP"
"Basf Corporation";99;0,41;"US"
"Autonetworks Technologies Ltd";99;0,41;"JP"
"Nidec Corporation";97;0,4;"JP"
"Yamaha Hatsudoki Kabushiki Kaisha";96;0,4;"JP"
"Kabushiki Kaisha Toyota Jidoshokki";96;0,4;"JP"
"Hitachi Ltd";93;0,38;"JP"
"Johnson Matthey Public Limited Company";92;0,38;"UK"
"Abb Schweiz Ag";88;0,36;"CH"
"Cummins Emission Solutions Inc";86;0,35;"US"
"Mitsubishi Heavy Industries Engine & Turbocharger Ltd";85;0,35;"JP"
"Murata Manufacturing Co Ltd";84;0,35;"JP"
"Sz Dji Technology Co Ltd";83;0,34;"CN"
"Siemens Mobility Gmbh";82;0,34;"DE"
"Kabushiki Kaisha Toshiba";79;0,33;"JP"
"Aisin Aw Co Ltd";76;0,31;"JP"
"Safran Nacelles";75;0,31;"FR"
"Safran Helicopter Engines";74;0,31;"FR"
"W„§Rtsil„§ Finland Oy";72;0,3;"FI"
"Avl List Gmbh";72;0,3;"AT"
"Hitachi Construction Machinery Co Ltd";71;0,29;"JP"
"Mahle International Gmbh";69;0,28;"DE"
"Mtu Friedrichshafen Gmbh";69;0,28;"DE"
"Safran";69;0,28;"FR"
"Bridgestone Corporation";69;0,28;"JP"
"Mitsubishi Jidosha Kogyo Kabushiki Kaisha";67;0,28;"JP"
"Gs Yuasa International Ltd";65;0,27;"JP"
"Carrier Corporation";63;0,26;"US"
"Nec Corporation";63;0,26;"JP"
"Lg Electronics Inc";63;0,26;"KR"
"Volkswagen Ag";61;0,25;"DE"
"Huawei Technologies Co Ltd";61;0,25;"CN"
"Nio (Anhui) Holding Co Ltd";61;0,25;"CN"
"Eaton Intelligent Power Limited";60;0,25;"IE"
"Eaton Intelligent Power Limited";60;0,25;"SG"
"Witricity Corporation";59;0,24;"US"
"Hitachi Astemo Ltd";59;0,24;"JP"
"Nio Co Ltd";59;0,24;"CN"
"Phoenix Contact E-Mobility Gmbh";56;0,23;"DE"
"Yanmar Power Technology Co Ltd";54;0,22;"JP"
"Contemporary Amperex Technology Co Limited";53;0,22;"CN"
"Caterpillar Inc";52;0,21;"US"
"The Yokohama Rubber Co Ltd";51;0,21;"JP"
"Sikorsky Aircraft Corporation";51;0,21;"US"
"Innogy Se";51;0,21;"DE"
"Umicore Ag & Co Kg";49;0,2;"DE"
"Samsung Sdi Co Ltd";49;0,2;"KR"
"Jatco Ltd";49;0,2;"JP"
"Ifp Energies Nouvelles";48;0,2;"FR"
"Cps Technology Holdings Llc";48;0,2;"US"
"Plastic Omnium Advanced Innovation And Research";48;0,2;"BE"
"Compagnie Plastic Omnium";47;0,19;"FR"
"Shanghai Bixiufu Enterprise Management Co Ltd";46;0,19;"CN"
"Airbus Operations Gmbh";44;0,18;"DE"
"Bombardier Primove Gmbh";43;0,18;"DE"
"Qualcomm Incorporated";42;0,17;"US"
"Compagnie G„©N„©Rale Des Etablissements Michelin";42;0,17;"FR"
"Corning Incorporated";40;0,16;"US"
"Kawasaki Jukogyo Kabushiki Kaisha";40;0,16;"JP"
"Aulton New Energy Automotive Technology Group";40;0,16;"CN"
"Toshiba Infrastructure Systems & Solutions Corporation";39;0,16;"JP"
"Fca Us Llc";38;0,16;"US"
"Tenneco (Suzhou) Emission System Co Ltd";36;0,15;"CN"
"Weichai Power Co Ltd";36;0,15;"CN"
"Continental Automotive France";34;0,14;"FR"
"Cataler Corporation";34;0,14;"JP"
"Daewoo Shipbuilding & Marine Engineering Co Ltd";33;0,14;"KR"
"Yanmar Co Ltd";32;0,13;"JP"
"Saudi Arabian Oil Company";32;0,13;"SA"
"Bombardier Inc";31;0,13;"CA"
"Ford Global Technologies Llc";31;0,13;"US"
"Komatsu Ltd";30;0,12;"JP"
"Japan Engine Corporation";30;0,12;"JP"
"Shindengen Electric Manufacturing Co Ltd";29;0,12;"JP"
"Thyssenkrupp Ag";27;0,11;"DE"
"The Regents Of The University Of California";27;0,11;"US"
"Innio Jenbacher Gmbh & Co Og";27;0,11;"AT"
"Tvs Motor Company Limited";27;0,11;"IN"
"Woodward Inc";26;0,11;"US"
