"id";"value";"share";"ctry"
"Sz Dji Technology Co Ltd";1312;4,86;"CN"
"Sz Dji Technology Co Ltd";1312;4,86;"JP"
"Lg Electronics Inc";992;3,68;"KR"
"Robert Bosch Gmbh";570;2,11;"DE"
"Huawei Technologies Co Ltd";481;1,78;"CN"
"Denso Corporation";449;1,66;"JP"
"Qualcomm Incorporated";438;1,62;"US"
"Samsung Electronics Co Ltd";302;1,12;"KR"
"Mitsubishi Electric Corporation";297;1,1;"JP"
"Honda Motor Co Ltd";287;1,06;"JP"
"Autel Robotics Co Ltd";236;0,87;"CN"
"Sony Group Corporation";233;0,86;"JP"
"Sony Semiconductor Solutions Corporation";228;0,84;"JP"
"Waymo Llc";223;0,83;"US"
"Nissan Motor Co Ltd";200;0,74;"JP"
"Walmart Apollo Llc";192;0,71;"US"
"Valeo Schalter Und Sensoren Gmbh";168;0,62;"DE"
"Nec Corporation";166;0,61;"JP"
"Komatsu Ltd";165;0,61;"JP"
"Telefonaktiebolaget Lm Ericsson (Publ)";161;0,6;"SE"
"Hitachi Automotive Systems Ltd";154;0,57;"JP"
"Audi Ag";153;0,57;"DE"
"Bayerische Motoren Werke Aktiengesellschaft";152;0,56;"DE"
"Sony Corporation";151;0,56;"JP"
"Intel Corporation";124;0,46;"US"
"Volkswagen Aktiengesellschaft";115;0,43;"DE"
"Pioneer Corporation";112;0,41;"JP"
"Microsoft Technology Licensing Llc";108;0,4;"US"
"Guangdong Oppo Mobile Telecommunications Corp Ltd";108;0,4;"CN"
"Zf Friedrichshafen Ag";101;0,37;"DE"
"Ford Global Technologies Llc";101;0,37;"US"
"Ntt Docomo Inc";101;0,37;"JP"
"Zoox Inc";100;0,37;"US"
"Apple Inc";99;0,37;"US"
"Beijing Xiaomi Mobile Software Co Ltd";94;0,35;"CN"
"Koito Manufacturing Co Ltd";86;0,32;"JP"
"Husqvarna Ab";83;0,31;"SE"
"Renault Sas";83;0,31;"FR"
"Uber Technologies Inc";78;0,29;"US"
"Toyota Jidosha Kabushiki Kaisha";77;0,29;"JP"
"Volvo Truck Corporation";70;0,26;"SE"
"Amazon Technologies Inc";70;0,26;"US"
"Kubota Corporation";69;0,26;"JP"
"Wing Aviation Llc";69;0,26;"US"
"Daimler Ag";67;0,25;"DE"
"Continental Automotive Gmbh";67;0,25;"DE"
"Panasonic Intellectual Property Management Co Ltd";67;0,25;"JP"
"Jaguar Land Rover Limited";67;0,25;"UK"
"Beijing Voyager Technology Co Ltd";67;0,25;"CN"
"Beijing Voyager Technology Co Ltd";67;0,25;"CM"
"Positec Power Tools (Suzhou) Co Ltd";66;0,24;"CN"
