"nuts2";"name";"field";"rca";"reldens";"complexity"
"AT11";"Burgenland";"Information & Communication Technologies";1,18;38,63;44,75
"AT11";"Burgenland";"Mathematics & Statistics";0,17;32,66;51,17
"AT11";"Burgenland";"Philosophy & Theology";0;23,68;13,98
"AT11";"Burgenland";"Physics & Astronomy";0,57;27,76;70,4
"AT11";"Burgenland";"Psychology & Cognitive Sciences";0;25,05;47,52
"AT11";"Burgenland";"Public Health & Health Services";0,73;25,33;44,42
"AT11";"Burgenland";"Social Sciences";0,49;28,55;26,24
"AT11";"Burgenland";"Visual & Performing Arts";3,17;31,23;9,92
"AT11";"Burgenland";"Built Environment & Design";2,9;37,8;35,47
"AT11";"Burgenland";"Chemistry";0,37;31,95;51,19
"AT11";"Burgenland";"Clinical Medicine";1,19;34,13;46,27
"AT11";"Burgenland";"Communication & Textual Studies";0,47;25,36;15,4
"AT11";"Burgenland";"Biomedical Research";0,65;20,93;61,3
"AT11";"Burgenland";"Earth & Environmental Sciences";0,7;26,92;65,54
"AT11";"Burgenland";"Economics & Business";1,05;29,78;44,6
"AT11";"Burgenland";"Engineering";1,03;40,27;42,31
"AT11";"Burgenland";"Historical Studies";0;25,17;25,31
"AT11";"Burgenland";"Enabling & Strategic Technologies";2,98;39,31;50,56
"AT11";"Burgenland";"Biology";0,37;25,96;65,01
"AT11";"Burgenland";"Agriculture, Fisheries & Forestry";0,81;28,01;46,15
"AT12";"Lower Austria";"Philosophy & Theology";0,27;25,23;13,98
"AT12";"Lower Austria";"Mathematics & Statistics";0,91;36,71;51,17
"AT12";"Lower Austria";"Information & Communication Technologies";1,55;41,55;44,75
"AT12";"Lower Austria";"Physics & Astronomy";0,47;33,81;70,4
"AT12";"Lower Austria";"Psychology & Cognitive Sciences";0,63;26,45;47,52
"AT12";"Lower Austria";"Public Health & Health Services";0,45;25,97;44,42
"AT12";"Lower Austria";"Visual & Performing Arts";0,5;26,74;9,92
"AT12";"Lower Austria";"Biomedical Research";1,24;37,72;61,3
"AT12";"Lower Austria";"Social Sciences";0,65;29,62;26,24
"AT12";"Lower Austria";"Agriculture, Fisheries & Forestry";2,3;44,19;46,15
"AT12";"Lower Austria";"Biology";2,04;44,33;65,01
"AT12";"Lower Austria";"Communication & Textual Studies";0,1;26,97;15,4
"AT12";"Lower Austria";"Built Environment & Design";0,71;31,55;35,47
"AT12";"Lower Austria";"Chemistry";0,94;38,74;51,19
"AT12";"Lower Austria";"Clinical Medicine";0,72;31,69;46,27
