Entity,Code,Day,Training computation (petaFLOP),Domain
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),,2018-08-30,693,Language
2-layer-LSTM+Deep-Gradient-Compression,,2017-12-05,1.34,Language
3D city reconstruction,,2009-09-29,,Other
4 layer QRNN (h=2500),,2018-03-22,240.00002,Language
6-Act Tether,,2021-08-03,,Other
6-layer MLP (MNIST),,2010-03-01,0.130788,Vision
A3C FF hs,,2016-02-04,,Games
ADALINE,,1960-06-30,9.9e-12,Vision
ADAM (CIFAR-10),,2014-12-22,60.48,Vision
ADM,,2021-05-11,6200000,Image generation
ALBERT,,2019-09-26,,Language
ALBERT-xxlarge,,2020-02-09,2390000,Language
ALIGN,,2021-06-11,25986700,Multiple domains
ALM 1.0,,2022-11-28,,Language
ALVINN,,1989-12-01,0.000010548576,Other
AMDIM,,2019-06-03,,Multiple domains
AR-LDM,,2022-11-20,510000,Image generation
ASE+ACE,,1983-09-01,3.24e-7,Other
ATLAS,,2020-05-02,38257.92,Language
AWD-LSTM,,2017-07-18,,Language
AWD-LSTM + MoS + Partial Shuffled,,2019-06-10,328,Language
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),,2017-08-07,309.00003,Language
AWD-LSTM+WT+Cache+IOG (WT2),,2017-09-26,3.3100002,Language
AWD-LSTM-DRILL + dynamic evaluation† (WT2),,2019-05-14,424,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",,2017-11-10,437,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",,2018-09-18,,Language
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),,2018-08-14,,Language
AbLang,,2022-01-22,,Biology
AdaRNN,,2014-06-01,,Language
Adaptive Input Transformer + RD,,2021-06-28,82000,Language
Adaptive Inputs + LayerDrop,,2019-09-25,,Language
Adaptive Subgrad,,2011-10-03,,Other
Advantage Learning,,2015-12-15,,Games
Adversarial Joint Adaptation Network (ResNet),,2017-08-17,,Vision
Agent57,,2020-03-30,,Games
Agile Soccer Robot,,2023-04-26,,Other
AlexNet,,2012-09-30,470,Vision
AlexaTM 20B,,2022-08-02,204374020,Language
AlphaCode,,2022-02-02,156816000,Language
AlphaFold,,2020-01-15,100000,Biology
AlphaFold 2,,2020-11-30,2990000,Biology
AlphaFold-Multimer,,2021-10-04,4350000,Biology
AlphaGeometry,,2024-01-17,,Other
AlphaGo Fan,,2015-10-01,380000.03,Games
AlphaGo Lee,,2016-01-27,1900000,Games
AlphaGo Master,,2017-01-01,200010000,Games
AlphaGo Zero,,2017-10-18,341000000,Games
AlphaMissense,,2023-09-22,,Biology
AlphaStar,,2019-10-30,59250000,Games
AlphaX-1,,2019-10-02,7600,Vision
AlphaZero,,2017-12-05,36679270,Games
AltCLIP,,2022-11-12,,Multiple domains
AmoebaNet-A (F=190),,2018-02-05,,Vision
AmoebaNet-A (F=448),,2018-02-05,385296.9,Vision
Ankh_base,,2023-01-16,2600000.2,Biology
Ankh_large,,2023-01-16,6500000,Biology
AudioGen,,2023-03-05,7200000,Other
AudioLM,,2023-07-26,3900,Other
Aya,,2024-02-12,,Language
BART-large,,2019-10-29,,Language
BASIC-L,,2021-11-19,41200000,Vision
BASIC-L + Lion,,2023-02-13,,Vision
BEIT-3,,2022-08-22,70000,Multiple domains
BERT-Large,,2018-10-11,285000,Language
BERT-Large-CAS (PTB+WT2+WT103),,2019-04-20,521000.03,Language
BERT-RBP,,2022-04-07,140000,Biology
BIDAF,,2016-11-05,3468.6145,Language
BLIP-2 (Q-Former),,2023-01-30,1200000,Multiple domains
BLOOM-176B,,2022-11-08,577000000,Language
BLOOMZ-176B,,2022-11-03,,Language
BLSTM for handwriting (1),,2007-09-23,,Vision
BLSTM for handwriting (2),,2007-12-03,,Vision
BLUUMI,,2023-11-03,,Language
BOXES,,1968-07-01,,Games
BPE,,2015-08-31,,Language
BPL,,2015-12-11,,Image generation
Back-propagation,,1986-10-01,1.24416e-7,Other
Base LM + kNN LM + Continuous Cache,,2019-11-01,7300.0005,Language
BatchNorm,,2015-06-15,,Other
Bayesian automated hyperparameter tuning,,2012-12-02,,Other
