"id","parent","value","color","share"
"Siemens Aktiengesellschaft (DE)","Batteries",41,"red",0.12
"Siemens Aktiengesellschaft (DE)","Other energy storage",2,"magenta",0.01
"Volvo Truck Corporation (SE)","Green transports",91,"pink",0.27
"Volvo Truck Corporation (SE)","Autonomous vehicles",48,"cyan",0.14
"Volvo Truck Corporation (SE)","Batteries",71,"red",0.21
"Volvo Truck Corporation (SE)","Biofuels",7,"brown",0.02
"Tron - Translationale Onkologie An Der Universit„§Tsmedizin Der Johannes Gutenberg- Universit„§T Mainz Gemeinn„ºTzige Gmbh (DE)","Biotechnology",2,"lightorange",0.01
"Biontech Rna Pharmaceuticals Gmbh (DE)","Biotechnology",2,"lightorange",0.01
"Volvo Truck Corporation (SE)","Air & Water pollution reduction",14,"grey",0.04
"Siemens Aktiengesellschaft (DE)","Artificial intelligence",1,"black",0
"Volvo Truck Corporation (SE)","Smart grids",2,"lightgreen",0.01
"Razavi Omrani Javaheralsadat (IR)","Batteries",1,"red",0
"Moradian Mohammadreza (IR)","Batteries",1,"red",0
"Razavi Omrani Javaheralsadat (IR)","Green transports",1,"pink",0
"Moradian Mohammadreza (IR)","Green transports",1,"pink",0
"Innogy Innovation Gmbh (DE)","Batteries",4,"red",0.01
"Innogy Innovation Gmbh (DE)","Green transports",4,"pink",0.01
"Innogy Innovation Gmbh (DE)","Cloud computing",2,"maroon",0.01
"Innogy Innovation Gmbh (DE)","Cybersecurity",3,"yellow",0.01
"Innogy Innovation Gmbh (DE)","Smart grids",2,"lightgreen",0.01
"Innogy Innovation Gmbh (DE)","Internet of things",3,"turquoise",0.01
"Abb Schweiz Ag (CH)","Air & Water pollution reduction",1,"grey",0
"Abb Schweiz Ag (CH)","Batteries",73,"red",0.22
"Abb Schweiz Ag (CH)","Green transports",74,"pink",0.22
"Abb Schweiz Ag (CH)","Smart grids",12,"lightgreen",0.04
"Volvo Truck Corporation (SE)","Hydrogen",4,"lime",0.01
"Faraday & Future Inc (US)","Batteries",11,"red",0.03
"Faraday & Future Inc (US)","Green transports",10,"pink",0.03
"W„§Rtsil„§ Ship Design Norway As (NO)","Batteries",1,"red",0
"W„§Rtsil„§ Ship Design Norway As (NO)","Green transports",1,"pink",0
"Raytheon Technologies Corporation (US)","Green buildings",1,"darkorange",0
"Compagnie G„©N„©Rale Des Etablissements Michelin (FR)","Advanced Sustainable Materials",22,"orange",0.07
"Huawei Technologies Co Ltd (CN)","Autonomous vehicles",50,"cyan",0.15
"Toyota Motor Europe (BE)","Batteries",7,"red",0.02
"Toyota Motor Europe (BE)","Green transports",8,"pink",0.02
"Toyota Jidosha Kabushiki Kaisha (JP)","Batteries",28,"red",0.08
"Toyota Jidosha Kabushiki Kaisha (JP)","Green transports",28,"pink",0.08
"Heksagon Muhendislik Ve Tasarim Anonim Sirketi (TR)","Batteries",1,"red",0
"Toyota Jidosha Kabushiki Kaisha (JP)","Solar energy",2,"green",0.01
"Michelin Recherche Et Technique Sa (CH)","Advanced Sustainable Materials",1,"orange",0
"Colombie&Co Sa (CH)","Green buildings",1,"darkorange",0
"Kadir Has Universitesi (TR)","Quantum computers",1,"silver",0
"Ozyegin Universitesi (TR)","Quantum computers",1,"silver",0
"Gebze Teknik Universitesi (TR)","Batteries",1,"red",0
"Gebze Teknik Universitesi (TR)","Green transports",1,"pink",0
"Nissan Motor Co Ltd (JP)","Green transports",220,"pink",0.65
"Renault Sas (FR)","Green transports",104,"pink",0.31
"Saint-Gobain Glass France (FR)","Advanced Sustainable Materials",108,"orange",0.32
"Telefonaktiebolaget Lm Ericsson (Publ) (SE)","Autonomous vehicles",6,"cyan",0.02
"Alstom Transport Technologies (FR)","Batteries",4,"red",0.01
"Alstom Transport Technologies (FR)","Green transports",5,"pink",0.01
"Alelion Energy Systems Ab (SE)","Batteries",4,"red",0.01
"Alelion Energy Systems Ab (SE)","Green transports",4,"pink",0.01
"Alelion Energy Systems Ab (SE)","Green buildings",2,"darkorange",0.01
"Alelion Energy Systems Ab (SE)","Smart grids",2,"lightgreen",0.01
"Twalib Mbarak Hatayan Limited (MU)","Autonomous vehicles",1,"cyan",0
