"id","parent","value","color","share"
"Lm Wind Power International Technology Ii Aps (DK)","Wind energy",51,"violet",0.14
"Lm Wind Power International Technology Ii Aps (DK)","Advanced Sustainable Materials",3,"orange",0.01
"Reac Energy Gmbh (DE)","Wind energy",1,"violet",0
"Reac Energy Gmbh (DE)","Marine & hydro energy",1,"tan",0
"Siemens Aktiengesellschaft (DE)","Wind energy",26,"violet",0.07
"Siemens Aktiengesellschaft (DE)","Solar energy",68,"green",0.19
"Siemens Aktiengesellschaft (DE)","Efficient power & combustion",7,"beige",0.02
"Siemens Aktiengesellschaft (DE)","Smart grids",15,"lightgreen",0.04
"Abb Schweiz Ag (CH)","Wind energy",12,"violet",0.03
"Abb Schweiz Ag (CH)","Solar energy",36,"green",0.1
"Abb Schweiz Ag (CH)","Smart grids",22,"lightgreen",0.06
"Siemens Gamesa Renewable Energy A/S (DK)","Wind energy",251,"violet",0.71
"Soletanche Freyssinet (FR)","Wind energy",5,"violet",0.01
"Siemens Aktiengesellschaft (DE)","Green buildings",4,"darkorange",0.01
"Siemens Gamesa Renewable Energy A/S (DK)","Augmented reality",2,"navyblue",0.01
"Siemens Gamesa Renewable Energy A/S (DK)","Smart grids",11,"lightgreen",0.03
"Madson Charles Martin Chavez (PH)","Wind energy",2,"violet",0.01
"Madson Charles Martin Chavez (PH)","Solar energy",2,"green",0.01
"Madson Charles Martin Chavez (PH)","Batteries",2,"red",0.01
"Madson Charles Martin Chavez (PH)","Other energy storage",2,"magenta",0.01
"Mcloughlin Stephen John (UK)","Wind energy",1,"violet",0
"Barnes Lisa (UK)","Wind energy",1,"violet",0
"Cave Martin (UK)","Wind energy",1,"violet",0
"Mcloughlin Stephen John (UK)","Solar energy",1,"green",0
"Barnes Lisa (UK)","Solar energy",1,"green",0
"Cave Martin (UK)","Solar energy",1,"green",0
"Mcloughlin Stephen John (UK)","Green buildings",1,"darkorange",0
"Barnes Lisa (UK)","Green buildings",1,"darkorange",0
"Cave Martin (UK)","Green buildings",1,"darkorange",0
"Rune Schytt Composites Aps (DK)","Wind energy",1,"violet",0
"Lai At Ba (VN)","Wind energy",1,"violet",0
"Turbosaam Sarl (CH)","Wind energy",2,"violet",0.01
"Vestas Wind Systems A/S (DK)","Wind energy",556,"violet",1.57
"Vortex Bladeless Sl (ES)","Wind energy",3,"violet",0.01
"Vortex Bladeless Sl (ES)","Marine & hydro energy",2,"tan",0.01
"Lozzi Orlando (IT)","Wind energy",2,"violet",0.01
"Vestas Wind Systems A/S (DK)","Solar energy",68,"green",0.19
"Wobben Properties Gmbh (DE)","Wind energy",275,"violet",0.78
"Wobben Properties Gmbh (DE)","Cloud computing",2,"maroon",0.01
"Wobben Properties Gmbh (DE)","Internet of things",3,"turquoise",0.01
"Wobben Properties Gmbh (DE)","Solar energy",61,"green",0.17
"Nass & Wind Industrie (FR)","Wind energy",1,"violet",0
"Vestas Wind Systems A/S (DK)","Artificial intelligence",23,"black",0.07
"Deif A/S (DK)","Wind energy",3,"violet",0.01
"Licitar Antonijo (HR)","Wind energy",1,"violet",0
