"id","parent","value","color","share"
"Abb Schweiz Ag (CH)","Smart grids",3,"lightgreen",0.01
"Samsung Electronics Co Ltd (KR)","Internet of things",132,"turquoise",0.32
"Dialog Semiconductor Inc (US)","Green buildings",2,"darkorange",0
"Google Llc (US)","Artificial intelligence",70,"black",0.17
"Google Llc (US)","Quantum computers",38,"silver",0.09
"Google Llc (US)","Nanotechnology",8,"darkred",0.02
"Fraunhofer Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev (DE)","Internet of things",1,"turquoise",0
"Technische Universit„§T Berlin (DE)","Internet of things",1,"turquoise",0
"Huawei Technologies Co Ltd (CN)","Internet of things",92,"turquoise",0.22
"General Electric Company (US)","Green buildings",3,"darkorange",0.01
"Telefonaktiebolaget Lm Ericsson (Publ) (SE)","Internet of things",64,"turquoise",0.15
"Telefonaktiebolaget Lm Ericsson (Publ) (SE)","Solar energy",7,"green",0.02
"Hiensch Innovations Bv (NL)","Green buildings",1,"darkorange",0
"Huawei Technologies Co Ltd (CN)","Artificial intelligence",55,"black",0.13
"Olympus Corporation (JP)","Internet of things",2,"turquoise",0
"Rama Rao Kishore (US)","Internet of things",1,"turquoise",0
"Raytheon Company (US)","Cybersecurity",5,"yellow",0.01
"Epcos Ag (DE)","Smart grids",1,"lightgreen",0
"Motorola Solutions Inc (US)","Internet of things",11,"turquoise",0.03
"Telefonaktiebolaget Lm Ericsson (Publ) (SE)","Green buildings",1,"darkorange",0
"Ce+T Power Luxembourg (LU)","Green buildings",1,"darkorange",0
"Siemens Aktiengesellschaft (DE)","Blockchain",2,"purple",0
"Siemens Aktiengesellschaft (DE)","Cybersecurity",2,"yellow",0
"Siemens Aktiengesellschaft (DE)","Internet of things",4,"turquoise",0.01
"Eaton Intelligent Power Limited (IE)","Quantum computers",1,"silver",0
"Microsoft Technology Licensing Llc (US)","Augmented reality",186,"navyblue",0.44
"Constructions Electroniques + Telecommunications (BE)","Green buildings",1,"darkorange",0
"Sisp Technologies Ltd (UK)","Blockchain",2,"purple",0
"Sisp Technologies Ltd (UK)","Cybersecurity",2,"yellow",0
"Sisp Technologies Ltd (UK)","Internet of things",1,"turquoise",0
"Cirrus Logic International Semiconductor Ltd (UK)","Green buildings",4,"darkorange",0.01
"Cirrus Logic International Semiconductor Ltd (UK)","Internet of things",1,"turquoise",0
"Intrinsic Id Bv (NL)","Blockchain",1,"purple",0
"Intrinsic Id Bv (NL)","Cybersecurity",1,"yellow",0
"Intrinsic Id Bv (NL)","Internet of things",1,"turquoise",0
"Siemens Mobility Gmbh (DE)","Blockchain",1,"purple",0
"Siemens Mobility Gmbh (DE)","Cybersecurity",1,"yellow",0
"Siemens Mobility Gmbh (DE)","Internet of things",3,"turquoise",0.01
"Huawei Technologies Co Ltd (CN)","Cybersecurity",47,"yellow",0.11
"Ballard Power Systems Inc (CA)","Batteries",1,"red",0
"Simon Fraser University (CA)","Batteries",1,"red",0
"Ballard Power Systems Inc (CA)","Hydrogen",1,"lime",0
"Simon Fraser University (CA)","Hydrogen",1,"lime",0
"Flodesign Sonics Inc (US)","Biotechnology",2,"lightorange",0
"Bsh Hausger„§Te Gmbh (DE)","Green buildings",1,"darkorange",0
"Qualcomm Incorporated (US)","Internet of things",114,"turquoise",0.27
"Oxford University Innovation Limited (UK)","Quantum computers",6,"silver",0.01
"Qualcomm Incorporated (US)","Smart grids",2,"lightgreen",0
"Rockley Photonics Limited (UK)","Quantum computers",7,"silver",0.02
"Novalia Ltd (UK)","Solar energy",1,"green",0
"Nagravision Sa (CH)","Blockchain",7,"purple",0.02
"Nagravision Sa (CH)","Cloud computing",2,"maroon",0
"Nagravision Sa (CH)","Cybersecurity",24,"yellow",0.06
"Nagravision Sa (CH)","Internet of things",8,"turquoise",0.02
"Hughes Network Systems Llc (US)","Internet of things",13,"turquoise",0.03
"Saint-Gobain Glass France (FR)","Advanced Sustainable Materials",21,"orange",0.05
"Finisar Corporation (US)","Quantum computers",4,"silver",0.01
"Knorr-Bremse Systeme F„ºR Nutzfahrzeuge Gmbh (DE)","Air & Water pollution reduction",1,"grey",0
"Esab Ab (SE)","Green buildings",1,"darkorange",0
"Firecomms Limited (IE)","Quantum computers",1,"silver",0
"Macom Technology Solutions Holdings Inc (US)","Solar energy",1,"green",0
"National Institute Of Advanced Industrial Science And Technology (JP)","Artificial intelligence",1,"black",0
"Thales Dis France Sa (FR)","Cybersecurity",1,"yellow",0
"Qualcomm Incorporated (US)","Cybersecurity",42,"yellow",0.1
"General Electric Technology Gmbh (CH)","Smart grids",4,"lightgreen",0.01
"Philips Lighting Holding Bv (NL)","Green buildings",1,"darkorange",0
"Microsoft Technology Licensing Llc (US)","Quantum computers",48,"silver",0.11
"Northrop Grumman Systems Corporation (US)","Quantum computers",36,"silver",0.09
"Robert Bosch Gmbh (DE)","Solar energy",21,"green",0.05
"Qualcomm Incorporated (US)","Quantum computers",18,"silver",0.04
"Centre National De La Recherche Scientifique (FR)","Quantum computers",8,"silver",0.02
"Universit„© Grenoble Alpes (FR)","Quantum computers",2,"silver",0
"Institut National De La Recherche Scientifique (CA)","Quantum computers",2,"silver",0
"Green Charge Networks Llc (US)","Artificial intelligence",1,"black",0
"Witricity Corporation (US)","Batteries",8,"red",0.02
"Witricity Corporation (US)","Internet of things",5,"turquoise",0.01
"Qualcomm Incorporated (US)","Solar energy",50,"green",0.12
"Intelligent Energy Limited (UK)","Batteries",1,"red",0
"Intelligent Energy Limited (UK)","Hydrogen",1,"lime",0
"Intelligent Energy Limited (UK)","Smart grids",1,"lightgreen",0
"Robert Bosch Gmbh (DE)","Green buildings",2,"darkorange",0
"Alcatel-Lucent Usa Inc (US)","Artificial intelligence",1,"black",0
"Cirrus Logic International Semiconductor Ltd (UK)","Batteries",1,"red",0
"Resonant Inc (US)","Cybersecurity",2,"yellow",0
"Shenzhen Chip Hope Micro-Electronics Ltd (CN)","Green buildings",1,"darkorange",0
"Istanbul Teknik Universitesi (TR)","Blockchain",1,"purple",0
"Istanbul Teknik Universitesi (TR)","Cybersecurity",2,"yellow",0
"Istanbul Teknik Universitesi (TR)","Internet of things",1,"turquoise",0
"Zuma Array Limited (UK)","Green buildings",1,"darkorange",0
"Raytheon Company (US)","Batteries",4,"red",0.01
"Raytheon Company (US)","Other energy storage",4,"magenta",0.01
"Raytheon Company (US)","Smart grids",2,"lightgreen",0
"Iee International Electronics & Engineering Sa (LU)","Autonomous vehicles",1,"cyan",0
"Wadis Ltd (IL)","Air & Water pollution reduction",1,"grey",0
"Wadis Ltd (IL)","Recycling technologies",1,"darkgreen",0
"Ge Energy Power Conversion Technology Limited (UK)","Solar energy",2,"green",0
"Avl List Gmbh (AT)","Solar energy",1,"green",0
"Avl List Gmbh (AT)","Batteries",1,"red",0
"Avl List Gmbh (AT)","Hydrogen",1,"lime",0
"Avl List Gmbh (AT)","Artificial intelligence",1,"black",0
"D Swarovski Kg (AT)","Solar energy",1,"green",0
"Viasat Inc (US)","Advanced Sustainable Materials",1,"orange",0
"Murata Manufacturing Co Ltd (JP)","Green buildings",7,"darkorange",0.02
"Nippon Telegraph And Telephone Corporation (JP)","Quantum computers",19,"silver",0.05
"Verily Life Sciences Llc (US)","Internet of things",4,"turquoise",0.01
"Analog Devices Inc (US)","Artificial intelligence",1,"black",0
"Kinematicsoup Technologies Inc (CA)","Augmented reality",1,"navyblue",0
"Kinematicsoup Technologies Inc (CA)","Cloud computing",1,"maroon",0
"Kinematicsoup Technologies Inc (CA)","Internet of things",1,"turquoise",0
"Toyonakakeisou Co Ltd (JP)","Quantum computers",1,"silver",0
"Sumitomo Electric Industries Ltd (JP)","Efficient power & combustion",12,"beige",0.03
"Autonetworks Technologies Ltd (JP)","Efficient power & combustion",1,"beige",0
"Sumitomo Wiring Systems Ltd (JP)","Efficient power & combustion",1,"beige",0
"Sumitomo Electric Industries Ltd (JP)","Smart grids",1,"lightgreen",0
"Autonetworks Technologies Ltd (JP)","Smart grids",1,"lightgreen",0
"Sumitomo Wiring Systems Ltd (JP)","Smart grids",1,"lightgreen",0
"Panasonic Intellectual Property Management Co Ltd (JP)","Green buildings",6,"darkorange",0.01
"Rigetti & Co Inc (US)","Quantum computers",7,"silver",0.02
"Hitachi Automotive Systems Ltd (JP)","Solar energy",38,"green",0.09
"Cloud Crowding Corp (US)","Cybersecurity",1,"yellow",0
"Adtran Inc (US)","Quantum computers",3,"silver",0.01
"Blue Danube Systems Inc (US)","Internet of things",1,"turquoise",0
"Shenzhen Institute Of Advanced Technology Chinese Academy Of Sciences (CN)","Autonomous vehicles",1,"cyan",0
"Kabushiki Kaisha Toshiba (JP)","Solar energy",41,"green",0.1
"Hitachi Industrial Equipment Systems Co Ltd (JP)","Green transports",1,"pink",0
"The Regents Of The University Of California (US)","Artificial intelligence",3,"black",0.01
"Google Llc (US)","Augmented reality",118,"navyblue",0.28
"Rai Strategic Holdings Inc (US)","Internet of things",1,"turquoise",0
"Hella Gmbh & Co Kgaa (DE)","Batteries",1,"red",0
"Hella Gmbh & Co Kgaa (DE)","Green transports",1,"pink",0
"Korea Electronics Technology Institute (KR)","Solar energy",6,"green",0.01
"Denso Corporation (JP)","Internet of things",3,"turquoise",0.01
"Robert Bosch Gmbh (DE)","Air & Water pollution reduction",6,"grey",0.01
"Nokia Solutions And Networks Oy (FI)","Quantum computers",2,"silver",0
"Nr Electric Co Ltd (CN)","Solar energy",1,"green",0
"Nr Electric Power Electronics Co Ltd (CN)","Solar energy",1,"green",0
"Nr Engineering Co Ltd (CN)","Solar energy",1,"green",0
"Sony Corporation (JP)","Batteries",7,"red",0.02
"Brightgreen Pty Ltd (AU)","Green buildings",1,"darkorange",0
"Dialog Semiconductor (Uk) Limited (UK)","Solar energy",1,"green",0
"Dialog Semiconductor (Uk) Limited (UK)","Green buildings",2,"darkorange",0
"Azur Space Solar Power Gmbh (DE)","Solar energy",11,"green",0.03
"Azur Space Solar Power Gmbh (DE)","Quantum computers",5,"silver",0.01
"Signify Holding Bv (NL)","Green buildings",13,"darkorange",0.03
"Qualcomm Incorporated (US)","Batteries",6,"red",0.01
"Qualcomm Incorporated (US)","Green buildings",1,"darkorange",0
"Newsouth Innovations Pty Limited (AU)","Quantum computers",4,"silver",0.01
"Newsouth Innovations Pty Limited (AU)","Nanotechnology",5,"darkred",0.01
"Murata Manufacturing Co Ltd (JP)","Solar energy",177,"green",0.42
"Ferro Corporation (US)","Biofuels",2,"brown",0
"Ferro Corporation (US)","Advanced Sustainable Materials",2,"orange",0
"Texas Instruments Incorporated (US)","Batteries",7,"red",0.02
"Sunforge Llc (US)","Solar energy",1,"green",0
"Sunforge Llc (US)","Green buildings",1,"darkorange",0
"Hewlett Packard Enterprise Development Lp (US)","Quantum computers",3,"silver",0.01
"Bayerische Motoren Werke Aktiengesellschaft (DE)","Autonomous vehicles",4,"cyan",0.01
"Korea Electro Technology Research Institute (KR)","Batteries",1,"red",0
"Massachusetts Institute Of Technology (US)","Cloud computing",2,"maroon",0
"Fraunhofer-Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev (DE)","Cloud computing",3,"maroon",0.01
"Massachusetts Institute Of Technology (US)","Internet of things",5,"turquoise",0.01
"Fraunhofer-Gesellschaft Zur F„∂Rderung Der Angewandten Forschung Ev (DE)","Internet of things",5,"turquoise",0.01
"Ifp Energies Nouvelles (FR)","Marine & hydro energy",1,"tan",0
"Arista Networks Inc (US)","Cloud computing",1,"maroon",0
"Arista Networks Inc (US)","Internet of things",1,"turquoise",0
"California Institute Of Technology (US)","Solar energy",15,"green",0.04
"California Institute Of Technology (US)","Internet of things",2,"turquoise",0
"D-Wave Systems Inc (CA)","Quantum computers",6,"silver",0.01
"D-Wave Systems Inc (CA)","Nanotechnology",4,"darkred",0.01
"Mitsubishi Electric Corporation (JP)","Green buildings",21,"darkorange",0.05
"North Carolina State University (US)","Nanotechnology",1,"darkred",0
"Institut Polytechnique De Grenoble (FR)","Internet of things",2,"turquoise",0
"Safran Electronics & Defense (FR)","Internet of things",2,"turquoise",0
"Xilinx Inc (US)","Solar energy",25,"green",0.06
"Space Systems/Loral Llc (US)","Internet of things",1,"turquoise",0
"Qualcomm Incorporated (US)","Biotechnology",2,"lightorange",0
"Yamaha Corporation (JP)","Internet of things",7,"turquoise",0.02
"Samsung Electronics Co Ltd (KR)","Cloud computing",48,"maroon",0.11
"Panasonic Intellectual Property Management Co Ltd (JP)","Internet of things",5,"turquoise",0.01
"Lockheed Martin Corporation (US)","Quantum computers",2,"silver",0
"Siemens Aktiengesellschaft (DE)","Green buildings",4,"darkorange",0.01
"Nanowave Technologies Inc (CA)","Quantum computers",1,"silver",0
"Huawei Technologies Co Ltd (CN)","Cloud computing",48,"maroon",0.11
"China Academy Of Telecommunications Technology (CN)","Internet of things",2,"turquoise",0
"Boe Technology Group Co Ltd (CN)","Solar energy",336,"green",0.8
"Fujifilm Corporation (JP)","Advanced Sustainable Materials",137,"orange",0.33
"Aperd Corporation (JP)","Green buildings",1,"darkorange",0
"Nutanix Inc (US)","Blockchain",1,"purple",0
"Nutanix Inc (US)","Cloud computing",1,"maroon",0
"Nutanix Inc (US)","Cybersecurity",1,"yellow",0
"Nutanix Inc (US)","Smart grids",1,"lightgreen",0
"Nutanix Inc (US)","Internet of things",1,"turquoise",0
"The Regents Of The University Of California (US)","Internet of things",5,"turquoise",0.01
"Rohm Co Ltd (JP)","Batteries",7,"red",0.02
"Thomson Licensing (FR)","Artificial intelligence",3,"black",0.01
"Northrop Grumman Systems Corporation (US)","Nanotechnology",12,"darkred",0.03
"Olsson Samuel Lars Ivar (US)","Quantum computers",1,"silver",0
"Andrekson Peter Avo (SE)","Quantum computers",1,"silver",0
"Shindengen Electric Manufacturing Co Ltd (JP)","Solar energy",61,"green",0.15
"Univaultage Llc (US)","Cybersecurity",2,"yellow",0
"Solid Inc (KR)","Quantum computers",1,"silver",0
"Semiconductor Energy Laboratory Co Ltd (JP)","Artificial intelligence",48,"black",0.11
"Octavo Systems Llc (US)","Solar energy",4,"green",0.01
"Robert Bosch Gmbh (DE)","Batteries",8,"red",0.02
"Robert Bosch Gmbh (DE)","Green transports",9,"pink",0.02
"Smith Rodney John (NZ)","Blockchain",1,"purple",0
"Smith Rodney John (NZ)","Cybersecurity",1,"yellow",0
"Smith Rodney John (NZ)","Internet of things",1,"turquoise",0
"Sumitomo Electric Industries Ltd (JP)","Batteries",18,"red",0.04
"Autonetworks Technologies Ltd (JP)","Batteries",18,"red",0.04
"Sumitomo Wiring Systems Ltd (JP)","Batteries",18,"red",0.04
"Furukawa Automotive Systems Inc (JP)","Solar energy",1,"green",0
"Furukawa Electric Co Ltd (JP)","Solar energy",10,"green",0.02
"Texas Instruments Incorporated (US)","Green buildings",11,"darkorange",0.03
"Mitsubishi Electric Corporation (JP)","Nuclear energy",2,"white",0
"Intel Corporation (US)","Nanotechnology",197,"darkred",0.47
"Xieon Networks S„† Rl (LU)","Quantum computers",1,"silver",0
"Dana Tm4 Inc (CA)","Green buildings",1,"darkorange",0
